VVHat	VVHat	q-crq	What	what	0
die	die	vvb	die	die	0
infinitely	infinitely	av-j	infinitely	infinite	0
indeb	indeb	n1	indeb	indeb	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
vncessant	vncessant	j-u	uncessant	cessant	0
prayers	prayers	n2	prayers	prayer	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
thrice	thrice	av	thrice	thrice	0
honora	honora	fw-es	honora	honora	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	1
