ALthough	ALthough	cs	ALthough	although	0
likewise	likewise	av	likewise	likewise	0
obliged	obliged	vvn	obliged	oblige	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
and	and	cc	and	and	0
yours	yours	po22	yours	your	0
all	all	d	all	all	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
service	service	n1	service	service	0
.	.	.	.	.	1
God	God	np1	God	God	0
and	and	cc	and	and	0
men	men	n2	men	man	0
know	know	vvb	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
both	both	d	both	both	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
No	No	uh-dx	No	no	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Ancestors	Ancestors	n2	Ancestors	ancestor	0
have	have	vhb	have	have	0
severally	severally	av-j	severally	several	0
acted	acted	vvn	acted	act	0
that	that	cst	that	that	0
charitable	charitable	j	charitable	charitable	0
part	part	n1	part	part	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
here	here	av	here	here	0
I	I	pns11	I	i	0
advise	advise	vvb	advice	advise	0
others	others	ng2-jn	others	other	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
their	their	po32	their	their	0
direction	direction	n1	direction	direction	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Pembrokes	Pembrokes	npg1	Pembrokes	Pembroke	0
Hi	Hi	pno31	Him	he	0
∣	∣	sy	∣	∣	0
story	story	n1	story	story	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
continued	continued	vvd	continued	continue	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
begun	begun	vvn	begun	begin	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
dayes	dayes	n2	days	day	0
shall	shall	vmb	shall	shall	0
receive	receive	vvi	receive	receive	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
recei	recei	n1	recei	recei	0
∣	∣	sy	∣	∣	0
ved	ved	vvn	ved	ve	0
into	into	p-acp	into	into	0
everlasting	everlasting	j	everlasting	everlasting	0
habitations	habitations	n2	habitations	habitation	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
shall	shall	vmb	shall	shall	0
ever	ever	av	ever	ever	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	1
