WEE	WEE	pns12	we	we	0
and	and	cc	and	and	0
honey	honey	n1	honey	honey	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
glo	glo	n1	glow	glow	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Cities	Cities	n2	Cities	city	0
:	:	:	:	:	0
There	There	pc-acp	There	there	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Lords	Lords	ng1	Lords	lord	0
Presence	Presence	n1	Presence	presence	0
,	,	,	,	,	0
his	his	po31	his	his	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
his	his	po31	his	his	0
Oracles	Oracles	n2	Oracles	oracle	0
,	,	,	,	,	0
his	his	po31	his	his	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Prophets	Prophets	n2	Prophets	prophet	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
perfection	perfection	n1	perfection	perfection	0
of	of	pp-f	of	of	0
beauty	beauty	n1	beauty	beauty	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
other	other	j-jn	other	other	0
Cities	Cities	n2	Cities	city	0
strong	strong	j	strong	strong	0
Towers	Towers	n2	Towers	tower	0
?	?	?	?	?	1
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
had	had	vhd	had	have	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
also	also	av	also	also	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
they	they	pns32	they	they	0
gods	gods	n2	gods	god	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
stones	stones	n2	stones	stone	0
and	and	cc	and	and	0
sticks	sticks	n2	sticks	stick	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
?	?	?	?	?	1
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
had	had	vhd	had	have	0
Jehovah	Jehovah	np1	Jehovah	Jehovah	0
the	the	dt	the	the	0
true	true	j	true	true	0
and	and	cc	and	and	0
living	living	j-vvg	living	live	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
they	they	pns32	they	they	0
wise	wise	n1	wise	wise	0
Counsellors	Counsellors	n2	Counsellors	counselor	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
?	?	?	?	?	1
Jerusa	Jerusa	np1	Jerusa	Jerusa	0
∣	∣	sy	∣	∣	0
lem	lem	n1	lem	lem	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
Sanedrim	Sanedrim	np1	Sanedrim	Sanedrim	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
they	they	pns32	they	they	0
humane	humane	j	humane	humane	0
Laws	Laws	n2	Laws	law	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
good	good	j	good	good	0
?	?	?	?	?	1
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
had	had	vhd	had	have	0
Divine	Divine	j-jn	Divine	divine	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
City	City	n1	City	city	0
or	or	cc	or	or	0
People	People	n1	People	people	0
ever	ever	av	ever	ever	0
had	had	vhd	had	have	0
Deut.	Deut.	np1	Deut.	Deut.	1
4.8	4.8	crd	4.8	4.8	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
they	they	pns32	they	they	0
temporal	temporal	j	temporal	temporal	0
Excel	Excel	vvb	Excel	excel	0
∣	∣	sy	∣	∣	0
lencies	lencies	n2	lencies	lency	0
and	and	cc	and	and	0
Priviledges	Priviledges	n2	Privileges	privilege	0
?	?	?	?	?	1
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
had	had	vhd	had	have	0
spiritual	spiritual	j	spiritual	spiritual	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
they	they	pns32	they	they	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
and	and	cc	and	and	0
Nature	Nature	n1	Nature	nature	0
?	?	?	?	?	1
Jerusa	Jerusa	np1	Jerusa	Jerusa	0
∣	∣	sy	∣	∣	0
lem	lem	n1	lem	lem	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
There	There	a-acp	There	there	0
God	God	np1	God	God	0
shined	shined	vvd	shined	shine	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
50.2	50.2	crd	50.2	50.2	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
what	what	r-crq	what	what	0
now	now	av	now	now	0
is	is	vbz	is	be	0
become	become	vvn	become	become	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Cities	Cities	n2	Cities	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Je	Je	fw-fr	Je	je	0
∣	∣	sy	∣	∣	0
rusalem	rusalem	fw-la	rusalem	rusalem	0
it	it	fw-la	it	iter	0
self	self	n1	self	self	0
?	?	?	?	?	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
not	not	xx	not	not	0
all	all	d	all	all	0
laid	laid	vvn	laid	lay	0
waste	waste	n1	waste	waste	0
,	,	,	,	,	0
made	made	vvd	made	make	0
heapes	heapes	n2	heaps	heap	0
,	,	,	,	,	0
dead	dead	j	dead	dead	0
and	and	cc	and	and	0
buried	buried	vvn	buried	bury	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
wombe	wombe	n1	womb	womb	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
?	?	?	?	?	1
Cities	Cities	ng1	Cities	city	0
have	have	vhb	have	have	0
their	their	po32	their	their	0
periods	periods	n2	periods	period	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
men	men	n2	men	man	0
:	:	:	:	:	0
Babylon	Babylon	np1	Babylon	Babylon	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
borne	borne	vvn	born	bear	0
Gen.	Gen.	np1	Gen.	Gen.	1
11.4	11.4	crd	11.4	11.4	0
.	.	.	.	.	0
and	and	cc	and	and	0
a	a	dt	a	a	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
dye	dye	vvi	die	dye	0
Isa.	Isa.	np1	Isa.	Isa.	1
14.4	14.4	crd	14.4	14.4	0
.	.	.	.	.	1
Nineveh	Nineveh	np1	Nineveh	Nineveh	0
had	had	vhd	had	have	0
her	her	po31	her	her	0
day	day	n1	day	day	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
up	up	a-acp	up	up	0
Gen.	Gen.	np1	Gen.	Gen.	1
10.11	10.11	crd	10.11	10.11	0
.	.	.	.	.	0
and	and	cc	and	and	0
her	her	po31	her	her	0
day	day	n1	day	day	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
Nahum	Nahum	np1	Nahum	Nahum	0
3.7	3.7	crd	3.7	3.7	0
.	.	.	.	.	1
Tyrus	Tyrus	np1	Tyrus	Tyrus	0
had	had	vhd	had	have	0
her	her	po31	her	her	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
rising	rising	vvg	rising	rise	0
,	,	,	,	,	0
and	and	cc	and	and	0
her	her	po31	her	her	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
ruining	ruining	vvg	ruining	ruin	0
,	,	,	,	,	0
and	and	cc	and	and	0
shee	shee	pns31	she	she	0
is	is	vbz	is	be	0
descended	descended	vvn	descended	descend	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
pit	pit	n1	pit	pit	0
with	with	p-acp	with	with	0
others	others	n2-jn	others	other	0
Ezek.	Ezek.	np1	Ezek.	Ezek.	1
26.18	26.18	crd	26.18	26.18	0
,	,	,	,	,	0
20.	20.	crd	20.	20.	1
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
had	had	vhd	had	have	0
her	her	po31	her	her	0
day	day	n1	day	day	0
for	for	p-acp	for	for	0
building	building	n1	building	building	0
,	,	,	,	,	0
and	and	cc	and	and	0
her	her	po31	her	her	0
day	day	n1	day	day	0
for	for	p-acp	for	for	0
burning	burning	j-vvg	burning	burn	0
Jerem.	Jerem.	np1	Jerem.	Jerem.	1
52.12	52.12	crd	52.12	52.12	0
,	,	,	,	,	0
13.	13.	crd	13.	13.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
mentation	mentation	n1	mentation	mentation	0
,	,	,	,	,	0
that	that	cst	that	that	0
such	such	d	such	such	0
Cities	Cities	n2	Cities	city	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
such	such	d	such	such	0
an	an	dt	and	a	0
end	end	n1	end	end	0
.	.	.	.	.	1
The	The	dt	The	the	0
Cause	Cause	n1	Cause	cause	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
dismal	dismal	j	dismal	dismal	0
ends	ends	n2	ends	end	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
search	search	n1	search	search	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
SIN	SIN	n1	SIN	sin	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
malignant	malignant	j	malignant	malignant	0
a	a	dt	a	a	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
destroies	destroies	vvz	destroys	destroy	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
and	and	cc	and	and	0
pulls	pulls	vvz	pulls	pull	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
strongest	strongest	js	strongest	strong	0
Cities	Cities	n2	Cities	city	0
.	.	.	.	.	1
Cruelty	Cruelty	n1	Cruelty	cruelty	0
,	,	,	,	,	0
falsehood	falsehood	n1	falsehood	falsehood	0
,	,	,	,	,	0
and	and	cc	and	and	0
robbery	robbery	n1	robbery	robbery	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
sins	sins	n2	sins	sin	0
laid	laid	vvn	laid	lay	0
Nineveh	Nineveh	np1	Nineveh	Nineveh	0
waste	waste	vvi	waste	waste	0
Nahum	Nahum	np1	Nahum	Nahum	0
3.	3.	crd	3.	3.	1
Pride	Pride	n1	Pride	pride	0
,	,	,	,	,	0
fulnesse	fulnesse	n1	fullness	fullness	0
of	of	pp-f	of	of	0
bread	bread	n1	bred	bread	0
,	,	,	,	,	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
idlenesse	idlenesse	n1	idleness	idleness	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
neglect	neglect	n1	neglect	neglect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
sins	sins	n2	sins	sin	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
take	take	vvb	take	take	0
Sodome	Sodome	np1	Sodome	Sodom	0
away	away	av	away	away	0
Ezek.	Ezek.	np1	Ezek.	Ezek.	1
16.49	16.49	crd	16.49	16.49	0
,	,	,	,	,	0
50.	50.	crd	50.	50.	1
Pride	Pride	n1	Pride	pride	0
,	,	,	,	,	0
Violence	Violence	n1	Violence	violence	0
,	,	,	,	,	0
unmercifulnesse	unmercifulnesse	n1	unmercifulness	unmercifulness	0
,	,	,	,	,	0
vain-confidence	vain-confidence	n1	vain-confidence	vain-confidence	0
,	,	,	,	,	0
and	and	cc	and	and	0
Treachery	Treachery	n1	Treachery	treachery	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
sins	sins	n2	sins	sin	0
rent	rent	vvn	rend	rend	0
Babylon	Babylon	np1	Babylon	Babylon	0
in	in	p-acp	in	in	0
peices	peices	n2	pieces	piece	0
Isa.	Isa.	np1	Isa.	Isa.	1
47.	47.	crd	47.	47.	1
Jer.	Jer.	np1	Jer.	Jer.	0
50.	50.	crd	50.	50.	0
what	what	r-crq	what	what	0
sins	sins	vvz	sins	sin	0
destroied	destroied	vvn	destroyed	destroy	0
Ammon	Ammon	np1	Ammon	Ammon	0
,	,	,	,	,	0
Moab	Moab	np1	Moab	Moab	0
,	,	,	,	,	0
Edom	Edom	np1	Edom	Edom	0
,	,	,	,	,	0
Philistia	Philistia	np1	Philistia	Philistia	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Cities	Cities	n2	Cities	city	0
;	;	;	;	;	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
sunk	sunk	vvd	sunk	sink	0
Tyrus	Tyrus	np1	Tyrus	Tyrus	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
Ezekiel	Ezekiel	np1	Ezekiel	Ezekiel	0
tells	tells	vvz	tells	tell	0
you	you	pn22	you	you	0
chap.	chap.	n1	chap.	chapter	1
25.	25.	crd	25.	25.	1
&	&	cc	&	and	0
26.	26.	crd	26.	26.	1
A	A	dt	A	a	0
large	large	j	large	large	0
Catalogue	Catalogue	n1	Catalogue	catalogue	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
sins	sins	n2	sins	sin	0
which	which	r-crq	which	which	0
kindled	kindled	vvd	kindled	kindle	0
the	the	dt	the	the	0
fire	fire	n1	fire	fire	0
in	in	p-acp	in	in	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
and	and	cc	and	and	0
turned	turned	vvd	turned	turn	0
her	her	pno31	her	she	0
into	into	p-acp	into	into	0
ashes	ashes	n2	ashes	ash	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
22.	22.	crd	22.	22.	0
of	of	pp-f	of	of	0
Ezekiel	Ezekiel	np1	Ezekiel	Ezekiel	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
chapters	chapters	n2	chapters	chapter	0
;	;	;	;	;	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
fear	fear	vvb	fear	fear	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
City	City	n1	City	city	0
.	.	.	.	.	1
Are	Are	vbr	Are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
those	those	d	those	those	0
set	set	j-vvn	set	set	0
light	light	n1	light	light	0
by	by	p-acp	by	by	0
Father	Father	n1	Father	father	0
and	and	cc	and	and	0
Mother	Mother	n1	Mother	mother	0
?	?	?	?	?	0
are	are	vbr	are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
those	those	d	those	those	0
do	do	vdb	do	do	0
vex	vex	vvi	vex	vex	0
the	the	dt	the	the	0
Fatherlesse	Fatherlesse	j	Fatherless	fatherless	0
and	and	cc	and	and	0
Widdow	Widdow	n1	Widow	widow	0
?	?	?	?	?	0
are	are	vbr	are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
those	those	d	those	those	0
despise	despise	vvi	despise	despise	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
phane	phane	n1	phane	phane	0
his	his	po31	his	his	0
Sabbaths	Sabbaths	n2	Sabbaths	sabbath	0
?	?	?	?	?	0
are	are	vbr	are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
those	those	d	those	those	0
take	take	vvi	take	take	0
usury	usury	n1	usury	usury	0
,	,	,	,	,	0
and	and	cc	and	and	0
increase	increase	vvi	increase	increase	0
,	,	,	,	,	0
are	are	vbr	are	be	0
greedy	greedy	j	greedy	greedy	0
of	of	pp-f	of	of	0
gain	gain	n1	gain	gain	0
,	,	,	,	,	0
and	and	cc	and	and	0
live	live	vvi	live	live	0
by	by	p-acp	by	by	0
dishonest	dishonest	j	dishonest	dishonest	0
gain	gain	n1	gain	gain	0
?	?	?	?	?	1
Ezek.	Ezek.	np1	Ezek.	Ezek.	0
22.18	22.18	crd	22.18	22.18	0
.	.	.	.	.	1
Are	Are	vbr	Are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
those	those	d	those	those	0
that	that	cst	that	that	0
devise	devise	vvb	devise	devise	0
mischief	mischief	n1	mischief	mischief	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvb	give	give	0
wicked	wicked	j	wicked	wicked	0
counsel	counsel	n1	counsel	counsel	0
?	?	?	?	?	1
Are	Are	vbr	Are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
those	those	d	those	those	0
carry	carry	vvi	carry	carry	0
tales	tales	n2	tales	tale	0
to	to	pc-acp	to	to	0
shed	shed	vvi	shed	shed	0
bloud	bloud	n1	blood	blood	0
?	?	?	?	?	1
Are	Are	vbr	Are	be	0
there	there	pc-acp	there	there	0
not	not	xx	not	not	0
those	those	d	those	those	0
exercise	exercise	n1	exercise	exercise	0
robbery	robbery	n1	robbery	robbery	0
,	,	,	,	,	0
vex	vex	vvb	vex	vex	0
the	the	dt	the	the	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
the	the	dt	the	the	0
needy	needy	j	needy	needy	0
,	,	,	,	,	0
and	and	cc	and	and	0
oppresse	oppresse	vvi	oppress	oppress	0
the	the	dt	the	the	0
stranger	stranger	n1	stranger	stranger	0
?	?	?	?	?	1
Are	Are	vbr	Are	be	0
not	not	xx	not	not	0
her	her	po31	her	her	0
professors	professors	n2	professors	professor	0
as	as	p-acp	as	as	0
dross	dross	n1	dross	dross	0
,	,	,	,	,	0
even	even	av	even	even	0
the	the	dt	the	the	0
dross	dross	n1	dross	dross	0
of	of	pp-f	of	of	0
silver	silver	n1	silver	silver	0
?	?	?	?	?	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
say	say	vvb	say	say	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
City	City	n1	City	city	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
did	did	vdd	did	do	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
hast	hast	vh2	hast	have	0
been	been	vbn	been	be	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
a	a	dt	a	a	0
provocation	provocation	n1	provocation	provocation	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
anger	anger	n1	anger	anger	0
,	,	,	,	,	0
Jer.	Jer.	np1	Jer.	Jer.	1
32.31	32.31	crd	32.31	32.31	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
fu	fu	zz	fu	fu	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
day	day	n1	day	day	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
built	built	vvd	built	build	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
even	even	av	even	even	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
remove	remove	vvi	remove	remove	0
thee	thee	pno21	thee	thou	0
from	from	p-acp	from	from	0
before	before	p-acp	before	before	0
my	my	po11	my	my	0
face	face	n1	face	face	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
art	art	vb2r	art	be	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
purging	purging	vvg	purging	purge	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
art	art	vb2r	art	be	0
not	not	xx	not	not	0
purged	purged	vvn	purged	purge	0
,	,	,	,	,	0
Eze.	Eze.	np1	Eze.	Eze.	1
24.13	24.13	crd	24.13	24.13	0
Thou	Thou	pns21	Thou	thou	0
shalt	shalt	vm2	shalt	shall	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
purged	purged	vvn	purged	purge	0
from	from	p-acp	from	from	0
thy	thy	po21	thy	thy	0
filthinesse	filthinesse	n1	filthiness	filthiness	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
caused	caused	vvn	caused	cause	0
my	my	po11	my	my	0
fury	fury	n1	fury	fury	0
to	to	pc-acp	to	to	0
rest	rest	vvi	rest	rest	0
upon	upon	p-acp	upon	upon	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
Surely	Surely	np1	Surely	Surely	0
LONDON	LONDON	np1	LONDON	London	0
deserves	deserves	vvz	deserves	deserve	0
not	not	xx	not	not	0
better	better	vvi	better	better	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
than	than	cs	than	than	0
other	other	j-jn	other	other	0
Cities	Cities	n2	Cities	city	0
did	did	vdd	did	do	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
her	her	po31	her	her	0
sins	sins	n2	sins	sin	0
,	,	,	,	,	0
may	may	vmb	may	may	0
fear	fear	vvi	fear	fear	0
her	her	po31	her	her	0
end	end	n1	end	end	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
instructed	instructed	vvn	instructed	instruct	0
therefore	therefore	av	therefore	therefore	0
O	O	uh	Oh	oh	0
LONDON	LONDON	np1	LONDON	London	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
soul	soul	n1	soul	soul	0
depart	depart	vvi	depart	depart	0
from	from	p-acp	from	from	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
bee	bee	vbi	be	be	0
made	made	vvn	made	make	0
Desolate	Desolate	j	Desolate	desolate	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
Day	Day	n1	Day	day	0
to	to	pc-acp	to	to	0
reckon	reckon	vvi	reckon	reckon	0
with	with	p-acp	with	with	0
sinfull	sinfull	j	sinful	sinful	0
Lands	Lands	n2	Lands	land	0
and	and	cc	and	and	0
Cities	Cities	n2	Cities	city	0
Isa.	Isa.	np1	Isa.	Isa.	1
17.4	17.4	crd	17.4	17.4	0
.	.	.	.	.	1
