ACcording	ACcording	vvg	ACcording	accord	0
Form	Form	n1	From	form	0
:	:	:	:	:	0
)	)	)	)	)	0
So	So	av	So	so	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
but	but	p-acp	but	but	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
short	short	j	short	short	0
time	time	n1	time	time	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
Great	Great	j	Great	great	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
all	all	d	all	all	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
your	your	po22	your	your	0
Neighbours	Neighbours	n2	Neighbours	neighbour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
glad	glad	j	glad	glad	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Friendship	Friendship	n1	Friendship	friendship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
fearful	fearful	j	fearful	fearful	0
to	to	pc-acp	to	to	0
Offend	Offend	vvi	Offend	offend	0
you	you	pn22	you	you	0
.	.	.	.	.	1
That	That	cst	That	that	0
this	this	d	this	this	0
is	is	vbz	is	be	0
so	so	av	so	so	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
desire	desire	vvb	desire	desire	0
that	that	cst	that	that	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
will	will	vmb	will	will	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
this	this	d	this	this	0
Advertise	Advertise	vvi	Advertise	advertise	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
Judgment	Judgment	n1	Judgement	judgement	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Most	Most	av-ds	Most	most	0
humbly	humbly	av-j	humbly	humble	0
praying	praying	vvg	praying	pray	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
whereas	whereas	cs	whereas	whereas	0
I	I	pns11	I	i	0
presented	presented	vvd	presented	present	0
these	these	d	these	these	0
Five	Five	crd	Five	five	0
Propositions	Propositions	n2	Propositions	proposition	0
together	together	av	together	together	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
Natures	Natures	n2	Nature's	nature	0
,	,	,	,	,	0
jointly	jointly	av-j	jointly	joint	0
depending	depending	vvg	depending	depend	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
linked	linked	vvn	linked	link	0
together	together	av	together	together	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Destruction	Destruction	n1	Destruction	destruction	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
one	one	crd	one	one	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
apparent	apparent	j	apparent	apparent	0
Maim	Maim	n1	Maim	maim	0
and	and	cc	and	and	0
disabling	disabling	n-vvg	disabling	disable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
;	;	;	;	;	0
That	That	cst	That	that	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
separated	separated	vvn	separated	separate	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
all	all	d	all	all	0
handled	handled	vvd	handled	handle	0
together	together	av	together	together	0
jointly	jointly	av-j	jointly	joint	0
and	and	cc	and	and	0
severally	severally	av-j	severally	several	0
by	by	p-acp	by	by	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
speed	speed	n1	speed	speed	0
and	and	cc	and	and	0
secrecy	secrecy	n1	secrecy	secrecy	0
as	as	c-acp	as	as	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reported	reported	vvn	reported	report	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
better	better	jc	better	better	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
promised	promised	vvn	promised	promise	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
perform	perform	vvi	perform	perform	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
prevented	prevented	vvn	prevented	prevent	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
seek	seek	vvi	seek	seek	0
to	to	pc-acp	to	to	0
hinder	hinder	vvi	hinder	hinder	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
and	and	cc	and	and	0
Profit	Profit	n1	Profit	profit	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
own	own	d	own	own	0
private	private	j	private	private	0
Ends.	Ends.	n2	Ends.	end	0
The	The	dt	The	the	0
true	true	j	true	true	0
Ground	Ground	n1	Ground	ground	0
,	,	,	,	,	0
Course	Course	n1	Course	course	0
and	and	cc	and	and	0
Form	Form	n1	From	form	0
herein	herein	av	herein	herein	0
mentioned	mentioned	vvn	mentioned	mention	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
appear	appear	vvi	appear	appear	0
how	how	c-crq	how	how	0
other	other	j-jn	other	other	0
Coun	Coun	vvb	Con	con	0
∣	∣	sy	∣	∣	0
tries	tries	vvz	tries	try	0
make	make	vvb	make	make	0
themselves	themselves	px32	themselves	themselves	0
Powerful	Powerful	j	Powerful	powerful	0
and	and	cc	and	and	0
Rich	Rich	j	Rich	rich	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
kinds	kinds	n2	kinds	kind	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Merchandize	Merchandize	n1	Merchandise	merchandise	0
,	,	,	,	,	0
Manufactory	Manufactory	j	Manufactory	manufactory	0
,	,	,	,	,	0
and	and	cc	and	and	0
fulness	fulness	n1	fullness	fullness	0
of	of	pp-f	of	of	0
Trade	Trade	n1	Trade	trade	0
,	,	,	,	,	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
Commodities	Commodities	n2	Commodities	commodity	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
Country	Country	n1	Country	country	0
growing	growing	vvg	growing	grow	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
withal	withal	av	withal	withal	0
.	.	.	.	.	1
And	And	cc	And	and	0
herein	herein	av	herein	herein	0
likewise	likewise	av	likewise	likewise	0
shall	shall	vmb	shall	shall	0
appear	appear	vvi	appear	appear	0
how	how	c-crq	how	how	0
easie	easie	j	easy	easy	0
'tis	'tis	pn31|vbz	it's	it|be	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
the	the	dt	the	the	0
Wealth	Wealth	n1	Wealth	wealth	0
and	and	cc	and	and	0
Strength	Strength	n1	Strength	strength	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Countries	Countries	n2	Countries	country	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
Royal	Royal	j	Royal	royal	0
,	,	,	,	,	0
Rich	Rich	j	Rich	rich	0
,	,	,	,	,	0
and	and	cc	and	and	0
plentiful	plentiful	j	plentiful	plentiful	0
Means	Means	n2	Means	mean	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
denied	denied	vvn	denied	deny	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
support	support	n1	support	support	0
of	of	pp-f	of	of	0
Traf	Traf	np1	Traf	Traf	0
∣	∣	sy	∣	∣	0
fick	fick	n1	fick	fick	0
and	and	cc	and	and	0
Continual	Continual	j	Continual	continual	0
Employment	Employment	n1	Employment	employment	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
People	People	n1	People	people	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
Replenishing	Replenishing	n-vvg	Replenishing	replenish	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Cof	Cof	n1	Cof	cof	0
∣	∣	sy	∣	∣	0
fers	fers	vvz	fers	fer	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
fully	fully	av-j	fully	full	0
assur'd	assur'd	vvn	assured	assure	0
to	to	pc-acp	to	to	0
Improve	Improve	vvi	Improve	improve	0
your	your	po22	your	your	0
Native	Native	j-jn	Native	native	0
Commodities	Commodities	n2	Commodities	commodity	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
Traffick	Traffick	n1	Traffic	traffic	0
,	,	,	,	,	0
Three	Three	crd	Three	three	0
Millions	Millions	crd	Millions	million	0
of	of	pp-f	of	of	0
Pounds	Pounds	n2	Pounds	pound	0
more	more	av-dc	more	more	0
Yearly	Yearly	j	Yearly	yearly	0
than	than	cs	than	than	0
now	now	av	now	now	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Coffers	Coffers	n2	Coffers	coffer	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
or	or	cc	or	or	0
three	three	crd	three	three	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
near	near	av-j	near	near	0
Two	Two	crd	Two	two	0
Mil	Mil	np1	Mil	Mil	0
∣	∣	sy	∣	∣	0
lions	lions	ng2	lions	lion	0
of	of	pp-f	of	of	0
Pounds	Pounds	n2	Pounds	pound	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
encrease	encrease	vvi	increase	increase	0
your	your	po22	your	your	0
Revenues	Revenues	n2	Revenues	revenue	0
many	many	d	many	many	0
Thousands	Thousands	crd	Thousands	thousand	0
Yearly	Yearly	j	Yearly	yearly	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
and	and	cc	and	and	0
greatly	greatly	av-j	greatly	great	0
profit	profit	vvb	profit	profit	0
your	your	po22	your	your	0
People	People	n1	People	people	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
undertaken	undertaken	vvn	undertaken	undertake	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
Work	Work	n1	Work	work	0
;	;	;	;	;	0
All	All	d	All	all	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
grow	grow	vvi	grow	grow	0
by	by	p-acp	by	by	0
Advancement	Advancement	n1	Advancement	advancement	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
Merchandizing	Merchandizing	vvg	Merchandizing	merchandize	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
uttermost	uttermost	j	uttermost	uttermost	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
Manufactory	Manufactory	j	Manufactory	manufactory	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
on	on	p-acp	on	on	0
Work	Work	vvi	Work	work	0
all	all	d	all	all	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
People	People	n1	People	people	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Realm	Realm	n1	Realm	realm	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
do	do	vdb	do	do	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
raise	raise	vvb	raise	raise	0
their	their	po32	their	their	0
Greatness	Greatness	n1	Greatness	greatness	0
by	by	p-acp	by	by	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Native	Native	j-jn	Native	native	0
Commodities	Commodities	n2	Commodities	commodity	0
,	,	,	,	,	0
whilst	whilst	cs	while	while	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
Parling	Parling	j-vvg	Parling	parl	0
and	and	cc	and	and	0
Disputing	Disputing	vvg	Disputing	dispute	0
whether	whether	cs	whither	whether	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
good	good	j	good	good	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
,	,	,	,	,	0
or	or	cc	or	or	0
not	not	xx	not	not	0
.	.	.	.	.	1
