WORSHIPFƲL	WORSHIPFƲL	np1	WORSHIPFƲL	WORSHIPFƲL	0
to	to	pc-acp	to	to	0
stir	stir	vvi	stir	stir	0
up	up	a-acp	up	up	0
all	all	d	all	all	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
read	read	vvi	read	read	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
gaining	gaining	n-vvg	gaining	gain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Assurance	Assurance	n1	Assurance	assurance	0
thorow	thorow	p-acp	thorough	through	0
Gods	Gods	npg1	Gods	God	0
assistance	assistance	n1	assistance	assistance	0
.	.	.	.	.	1
Worthy	Worthy	j	Worthy	worthy	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
Subject	Subject	j-jn	Subject	subject	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
faln	faln	vvn	fallen	fall	0
upon	upon	p-acp	upon	upon	0
,	,	,	,	,	0
even	even	av	even	even	0
a	a	dt	a	a	0
Subject	Subject	j-jn	Subject	subject	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
subject	subject	vvi	subject	subject	0
our	our	po12	our	our	0
fears	fears	n2	fears	fear	0
,	,	,	,	,	0
eject	eject	vvi	eject	eject	0
our	our	po12	our	our	0
doubts	doubts	n2	doubts	doubt	0
,	,	,	,	,	0
and	and	cc	and	and	0
deject	deject	vvb	deject	deject	0
all	all	d	all	all	0
adverse	adverse	j	adverse	adverse	0
powers	powers	n2	powers	power	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Assurance	Assurance	n1	Assurance	assurance	0
are	are	vbr	are	be	0
wont	wont	j	wont	wont	0
illaqueate	illaqueate	vvb	illaqueate	illaqueate	0
our	our	po12	our	our	0
very	very	j	very	very	0
intellects	intellects	n2	intellects	intellect	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
captivate	captivate	vvi	captivate	captivate	0
our	our	po12	our	our	0
wills	wills	n2	wills	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
subju	subju	n1	subju	subju	0
∣	∣	sy	∣	∣	0
gate	gate	n1	gate	gate	0
all	all	d	all	all	0
the	the	dt	the	the	0
powers	powers	n2	powers	power	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
souls	souls	n2	souls	soul	0
.	.	.	.	.	1
Souls	Souls	np1	Souls	Souls	0
therefore	therefore	av	therefore	therefore	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
do	do	vdi	do	do	0
well	well	av	well	well	0
till	till	c-acp	till	till	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
heavened	heavened	vvn	heavened	heaven	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
full	full	j	full	full	0
circle	circle	n1	circle	circle	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
thorow	thorow	j	thorough	thorough	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
do	do	vdb	do	do	0
find	find	vvi	find	find	0
without	without	p-acp	without	without	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
very	very	j	very	very	0
being	being	n1	being	being	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
burden	burden	n1	burden	burden	0
,	,	,	,	,	0
my	my	po11	my	my	0
life	life	n1	life	life	0
a	a	dt	a	a	0
Sustain	Sustain	vvi	Sustain	sustain	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
the	the	cs	the	than	0
loss	loss	n1	loss	loss	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
God's	God's	npg1	God's	God	0
counte	counte	vvb	count	count	0
∣	∣	sy	∣	∣	0
nance	nance	n1	nance	nance	0
.	.	.	.	.	0
loss	loss	n1	loss	loss	0
,	,	,	,	,	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
a	a	dt	a	a	0
hell	hell	n1	hell	hell	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
Oh	Oh	uh	O	oh	0
the	the	dt	the	the	0
hel	hel	n1	hell	hell	0
∣	∣	sy	∣	∣	0
lish	lish	uh	lish	lish	0
horrors	horrors	n2	horrors	horror	0
that	that	cst	that	that	0
a	a	dt	a	a	0
man	man	n1	man	man	0
shall	shall	vmb	shall	shall	0
feel	feel	vvi	feel	feel	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
this	this	d	this	this	0
Assurance	Assurance	n1	Assurance	assurance	0
is	is	vbz	is	be	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
!	!	!	!	!	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
glad	glad	j	glad	glad	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
!	!	!	!	!	1
Heaven	Heaven	n1	Heaven	heaven	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
;	;	;	;	;	0
Oh	Oh	uh	O	oh	0
Sir	Sir	n1	Sir	sir	0
!	!	!	!	!	0
what	what	q-crq	what	what	0
a	a	dt	a	a	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
Paradise	Paradise	n1	Paradise	paradise	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
beatitude	beatitude	n1	beatitude	beatitude	0
did	did	vdd	did	do	0
circum	circum	fw-la	circum	circum	0
∣	∣	sy	∣	∣	0
scribe	scribe	n1	scribe	scribe	0
that	that	cst	that	that	0
holy	holy	j	holy	holy	0
*	*	*	*	*	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
,	,	,	,	,	0
St.	St.	n1	St.	saint	1
Hie	Hie	vvb	High	hie	0
∣	∣	sy	∣	∣	0
rom	rom	n1	rome	rome	0
.	.	.	.	.	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
writes	writes	vvz	writes	write	0
of	of	pp-f	of	of	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
medio	medio	fw-la	medio	medio	0
Angelorum	Angelorum	fw-la	Angelorum	angelorum	0
choro	choro	fw-la	choro	choro	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
very	very	j	very	very	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
quire	quire	n1	choir	choir	0
of	of	pp-f	of	of	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
hearing	hearing	vvg	hearing	hear	0
them	them	pno32	them	they	0
sing	sing	vvi	sing	sing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
Eremo	Eremo	fw-la	Eremo	eremo	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Wilder	Wilder	np1	Wilder	Wilder	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
!	!	!	!	!	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
we	we	pns12	we	we	0
be	be	vbi	be	be	0
so	so	av	so	so	0
too	too	av	too	too	0
?	?	?	?	?	0
yes	yes	uh	yes	yes	0
verily	verily	av-j	verily	very	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
but	but	cc-acp	but	but	0
labour	labour	vvi	labour	labour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
Assurance	Assurance	n1	Assurance	assurance	0
,	,	,	,	,	0
treading	treading	vvg	treading	tread	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Vestigaes	Vestigaes	n2	Vestigaes	vestigae	0
or	or	cc	or	or	0
footsteps	footsteps	n2	footsteps	footstep	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
blessed	blessed	j-vvn	blessed	bless	0
Hebrews	Hebrews	njp2	Hebrews	hebrew	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
assured	assured	vvn	assured	assure	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
sal	sal	fw-la	sal	sal	0
∣	∣	sy	∣	∣	0
vation	vation	n1	vation	vation	0
,	,	,	,	,	0
and	and	cc	and	and	0
eternal	eternal	j	eternal	eternal	0
bliss	bliss	n1	bliss	bliss	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
memorable	memorable	j	memorable	memorable	0
expression	expression	n1	expression	expression	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
10.34	10.34	crd	10.34	10.34	0
.	.	.	.	.	1
Know	Know	vvb	Know	know	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
(	(	(	(	(	0
mark	mark	n1	mark	mark	0
)	)	)	)	)	0
knowing	knowing	vvg	knowing	know	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
selvs	selvs	n2	selves	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
a	a	dt	a	a	0
better	better	jc	better	better	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
enduring	enduring	j-vvg	enduring	endure	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
stance	stance	n1	stance	stance	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
then	then	av	then	then	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
thereby	thereby	av	thereby	thereby	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
so	so	av	so	so	0
we	we	pns12	we	we	0
thereby	thereby	av	thereby	thereby	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
innumerable	innumerable	j	innumerable	innumerable	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
gels	gels	n2	gels	gel	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
Heb.	Heb.	np1	Heb.	Heb.	1
12.22	12.22	crd	12.22	12.22	0
.	.	.	.	.	1
Confess	Confess	vvb	Confess	confess	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
that	that	zz	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
hard	hard	j	hard	hard	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
acquire	acquire	vvi	acquire	acquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
gain	gain	vvi	gain	gain	0
this	this	d	this	this	0
Assu	Assu	np1	Assu	Assu	0
∣	∣	sy	∣	∣	0
rance	rance	n1	rance	rance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
doth	doth	vdz	does	do	0
fulmi	fulmi	fw-la	fulmi	fulmi	0
∣	∣	sy	∣	∣	0
nate	nate	fw-fr	nate	nate	0
and	and	cc	and	and	0
thunder	thunder	vvi	thunder	thunder	0
out	out	av	out	out	0
her	her	po31	her	her	0
Council	Council	n1	Council	council	0
.	.	.	.	.	1
Trid.	Trid.	np1	Trid.	Trid.	0
sess	sess	vvb	sess	sess	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	0
c	c	sy	c	c	0
.	.	.	.	.	1
9.	9.	crd	9.	9	1
&	&	cc	&	and	0
16.	16.	crd	16.	16.	1
Ana	Ana	np1	Ana	Ana	0
∣	∣	sy	∣	∣	0
thema's	thema's	n2	thema's	thema	0
against	against	p-acp	against	against	0
us	us	pno12	us	we	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
maintain	maintain	vvi	maintain	maintain	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
this	this	d	this	this	0
Assurance	Assurance	n1	Assurance	assurance	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
discoura	discoura	fw-es	discoura	discoura	0
∣	∣	sy	∣	∣	0
ged	ged	vvn	ged	ge	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
treating	treating	vvg	treating	treat	0
on	on	p-acp	on	on	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
ei	ei	fw-la	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
one	one	crd	one	one	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
defensated	defensated	j	defensated	defensated	0
and	and	cc	and	and	0
born	born	vvn	born	bear	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
God's	God's	npg1	God's	God	0
never-failing	never-failing	j	never-failing	never-failing	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
power	power	n1	power	power	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
this	this	d	this	this	0
,	,	,	,	,	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
labour	labour	vvi	labour	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
labour	labour	vvi	labour	labour	0
hard	hard	av-j	hard	hard	0
(	(	(	(	(	0
because	because	p-acp	because	because	0
our	our	po12	our	our	0
work	work	n1	work	work	0
is	is	vbz	is	be	0
so	so	av	so	so	0
hard	hard	j	hard	hard	0
)	)	)	)	)	0
&	&	cc	&	and	0
strive	strive	vvb	strive	strive	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
life	life	n1	life	life	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
fail	fail	n1	fail	fail	0
and	and	cc	and	and	0
doubt	doubt	vvb	doubt	doubt	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
life	life	n1	life	life	0
.	.	.	.	.	1
Life	Life	n1	Life	life	0
here	here	av	here	here	0
is	is	vbz	is	be	0
sweet	sweet	j	sweet	sweet	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
above	above	p-acp	above	above	0
is	is	vbz	is	be	0
sweeter	sweeter	jc	sweeter	sweet	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
Assurance	Assurance	n1	Assurance	assurance	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
sweetest	sweetest	js	sweetest	sweet	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
this	this	d	this	this	0
world's	world's	ng1	world's	world	0
circumference	circumference	n1	circumference	circumference	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
when	when	c-crq	when	when	0
a	a	dt	a	a	0
man	man	n1	man	man	0
hath	hath	vhz	hath	have	0
it	it	pn31	it	it	0
,	,	,	,	,	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
truly	truly	av-j	truly	true	0
say	say	vvi	say	say	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
Oh!	Oh!	uh	Oh!	oh	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
life	life	n1	life	life	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
now	now	av	now	now	0
live	live	vvi	live	live	0
,	,	,	,	,	0
living	living	vvg	living	live	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Gal	Gal	n1	Gall	gall	0
▪	▪	▪	▪	▪	0
2.20	2.20	crd	2.20	2.20	0
.	.	.	.	.	0
who	who	r-crq	who	who	0
loved	loved	vvd	loved	love	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
gave	gave	vvd	gave	give	0
himself	himself	px31	himself	himself	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
?	?	?	?	?	1
Oh	Oh	uh	O	oh	0
the	the	dt	the	the	0
unexpressible	unexpressible	j	unexpressible	unexpressible	0
peace	peace	n1	peace	peace	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
now	now	av	now	now	0
have	have	vhb	have	have	0
within	within	p-acp	within	within	0
me	me	pno11	me	i	0
,	,	,	,	,	0
being	being	vbg	being	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
breast	breast	n1	breast	breast	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
heavenly	heavenly	j	heavenly	heavenly	0
bliss	bliss	n1	bliss	bliss	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
blest	blest	vvn	blessed	bless	0
!	!	!	!	!	1
Oh	Oh	uh	O	oh	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
glorying	glorying	vvg	glorying	glory	0
joy	joy	n1	joy	joy	0
doth	doth	vdz	does	do	0
now	now	av	now	now	0
warm	warm	vvi	warm	warm	0
me	me	pno11	me	i	0
!	!	!	!	!	0
what	what	q-crq	what	what	0
a	a	dt	a	a	0
Ocean	Ocean	n1	Ocean	ocean	0
of	of	pp-f	of	of	0
comfort	comfort	n1	comfort	comfort	0
overflow	overflow	vvb	overflow	overflow	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
a	a	dt	a	a	0
Heaven	Heaven	n1	Heaven	heaven	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
becir	becir	n1	becir	becir	0
∣	∣	sy	∣	∣	0
cle	cle	vvb	cle	cle	0
me	me	pno11	me	i	0
!	!	!	!	!	1
Oh	Oh	uh	O	oh	0
this	this	d	this	this	0
Assurance	Assurance	n1	Assurance	assurance	0
,	,	,	,	,	0
this	this	d	this	this	0
heavenly	heavenly	j	heavenly	heavenly	0
Assurance	Assurance	n1	Assurance	assurance	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
else	else	av	else	else	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
very	very	j	very	very	0
gate	gate	n1	gate	gate	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
Jacob	Jacob	np1	Jacob	Jacob	0
said	said	vvd	said	say	0
once	once	a-acp	once	once	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
saw	saw	vvd	saw	see	0
the	the	dt	the	the	0
Angels	Angels	n2	Angels	angel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
ascend	ascend	vvb	ascend	ascend	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
and	and	cc	and	and	0
descending	descending	vvg	descending	descend	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
Ladder	Ladder	n1	Ladder	ladder	0
which	which	r-crq	which	which	0
reached	reached	vvd	reached	reach	0
to	to	p-acp	to	to	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
27.17	27.17	crd	27.17	27.17	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
could	could	vmd	could	can	0
we	we	pns12	we	we	0
but	but	p-acp	but	but	0
fol	fol	zz	fol	fol	0
∣	∣	sy	∣	∣	0
low	low	av-j	low	low	0
those	those	d	those	those	0
lessons	lessons	n2	lessons	lesson	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
laid	laid	vvn	laid	lay	0
down	down	a-acp	down	down	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
going	going	vvg	going	go	0
up	up	a-acp	up	up	0
as	as	p-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
by	by	p-acp	by	by	0
steps	steps	n2	steps	step	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
a	a	dt	a	a	0
man	man	n1	man	man	0
may	may	vmb	may	may	0
tower	tower	vvi	tower	tower	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
;	;	;	;	;	0
could	could	vmd	could	can	0
we	we	pns12	we	we	0
live	live	vvi	live	live	0
such	such	d	such	such	0
a	a	dt	a	a	0
spot	spot	n1	spot	spot	0
∣	∣	sy	∣	∣	0
less	less	dc	less	less	0
,	,	,	,	,	0
such	such	d	such	such	0
a	a	dt	a	a	0
strict	strict	j	strict	strict	0
,	,	,	,	,	0
such	such	d	such	such	0
an	an	dt	and	a	0
holy	holy	j	holy	holy	0
,	,	,	,	,	0
such	such	d	such	such	0
a	a	dt	a	a	0
seraphical	seraphical	j	seraphical	seraphical	0
life	life	n1	life	life	0
as	as	c-acp	as	as	0
here	here	av	here	here	0
is	is	vbz	is	be	0
shewn	shewn	vvn	shown	show	0
us	us	pno12	us	we	0
,	,	,	,	,	0
could	could	vmd	could	can	0
we	we	pns12	we	we	0
get	get	vvi	get	get	0
the	the	dt	the	the	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sins	sins	n2	sins	sin	0
sealed	sealed	vvn	sealed	seal	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
could	could	vmd	could	can	0
we	we	pns12	we	we	0
gain	gain	vvi	gain	gain	0
that	that	d	that	that	0
high	high	j	high	high	0
and	and	cc	and	and	0
unquestio	unquestio	fw-la	unquestio	unquestio	0
∣	∣	sy	∣	∣	0
nable	nable	j	nable	nable	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
holy	holy	j	holy	holy	0
Spi	Spi	np1	Spi	Spi	0
∣	∣	sy	∣	∣	0
