PYthagoras	PYthagoras	np1	PYthagoras	PYthagoras	0
gui	gui	fw-la	gui	gui	0
∣	∣	sy	∣	∣	0
deth	deth	n1	death	death	0
the	the	cs	the	than	0
passenger	passenger	n1	passenger	passenger	0
vnto	vnto	p-acp	unto	unto	0
eternall	eternall	j	eternal	eternal	0
happinesse	happinesse	n1	happiness	happiness	0
and	and	cc	and	and	0
saluation	saluation	n1	salvation	salvation	0
:	:	:	:	:	0
The	The	dt	The	the	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
is	is	vbz	is	be	0
wide	wide	j	wide	wide	0
and	and	cc	and	and	0
spacious	spacious	j	spacious	spacious	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
many	many	d	many	many	0
trauaile	trauaile	n1	travail	travail	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
they	they	pns32	they	they	0
find	find	vvb	find	find	0
great	great	j	great	great	0
trouble	trouble	n1	trouble	trouble	0
and	and	cc	and	and	0
straitnesse	straitnesse	n1	straitness	straitness	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
leadeth	leadeth	vvz	leads	lead	0
vnto	vnto	p-acp	unto	unto	0
euerlasting	euerlasting	j	everlasting	everlasting	0
woe	woe	n1	woe	woe	0
and	and	cc	and	and	0
destruction	destruction	n1	destruction	destruction	0
.	.	.	.	.	1
Both	Both	av-d	Both	both	0
these	these	d	these	these	0
waies	waies	n2	ways	way	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
before	before	p-acp	before	before	0
our	our	po12	our	our	0
eies	eies	n2	eyes	eye	0
as	as	p-acp	as	as	0
life	life	n1	life	life	0
and	and	cc	and	and	0
death	death	n1	death	death	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
idle	idle	j	idle	idle	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
necessity	necessity	n1	necessity	necessity	0
must	must	vmb	must	must	0
walke	walke	vvi	walk	walk	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
our	our	po12	our	our	0
life	life	n1	life	life	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
pilgrimage	pilgrimage	n1	pilgrimage	pilgrimage	0
,	,	,	,	,	0
and	and	cc	and	and	0
choose	choose	vvi	choose	choose	0
either	either	d	either	either	0
to	to	pc-acp	to	to	0
trauell	trauell	vvi	travel	travel	0
the	the	dt	the	the	0
narrow	narrow	j	narrow	narrow	0
way	way	n1	way	way	0
vnto	vnto	p-acp	unto	unto	0
life	life	n1	life	life	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
runne	runne	vvi	run	run	0
the	the	dt	the	the	0
broad	broad	j	broad	broad	0
way	way	n1	way	way	0
vnto	vnto	p-acp	unto	unto	0
death	death	n1	death	death	0
.	.	.	.	.	1
The	The	dt	The	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
religious	religious	j	religious	religious	0
profession	profession	n1	profession	profession	0
,	,	,	,	,	0
a	a	dt	a	a	0
vertu	vertu	n1	virtue	virtue	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
and	and	cc	and	and	0
conscionable	conscionable	j	conscionable	conscionable	0
carriage	carriage	n1	carriage	carriage	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
wee	wee	pns12	we	we	0
giue	giue	vvb	give	give	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Gods	Gods	npg1	Gods	God	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
Cesar	Cesar	np1	Cesar	Cesar	0
,	,	,	,	,	0
our	our	po12	our	our	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
and	and	cc	and	and	0
Masters	Masters	n2	Master's	master	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
belongeth	belongeth	vvz	belongeth	belong	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
gate	gate	n1	gate	gate	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
way	way	n1	way	way	0
is	is	vbz	is	be	0
narrow	narrow	j	narrow	narrow	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
passage	passage	n1	passage	passage	0
strait	strait	av-j	strait	straight	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
liber	liber	fw-la	liber	libre	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
of	of	pp-f	of	of	0
flesh	flesh	n1	flesh	flesh	0
and	and	cc	and	and	0
blood	blood	n1	blood	blood	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
strained	strained	vvn	strained	strain	0
,	,	,	,	,	0
our	our	po12	our	our	0
affections	affections	n2	affections	affection	0
bridled	bridled	vvn	bridled	bridle	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
man	man	n1	man	man	0
captiuated	captiuated	vvn	captivated	captivate	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
yoke	yoke	n1	yoke	yoke	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
obedience	obedience	n1	obedience	obedience	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
such	such	d	such	such	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
&	&	cc	&	and	0
serue	serue	vvi	serve	serve	0
vnder	vnder	p-acp	under	under	0
him	him	pno31	him	he	0
.	.	.	.	.	1
The	The	dt	The	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sinfull	sinfull	j	sinful	sinful	0
and	and	cc	and	and	0
licentious	licentious	j	licentious	licentious	0
life	life	n1	life	life	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
serue	serue	vvb	serve	serve	0
sin	sin	n1	since	sin	0
and	and	cc	and	and	0
Satan	Satan	np1	Satan	Satan	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvb	make	make	0
no	no	dx	no	no	0
consci	consci	fw-la	consci	consci	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
of	of	pp-f	of	of	0
obediēce	obediēce	n1	obedience	obedience	0
neither	neither	av-dx	neither	neither	0
towards	towards	p-acp	towards	towards	0
god	god	n1	god	god	0
not	not	xx	not	not	0
man	man	n1	man	man	0
.	.	.	.	.	1
The	The	dt	The	the	0
gate	gate	n1	gate	gate	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
way	way	n1	way	way	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
is	is	vbz	is	be	0
broad	broad	j	broad	broad	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
passage	passage	n1	passage	passage	0
easie	easie	j	easy	easy	0
,	,	,	,	,	0
giuing	giuing	vvg	giving	give	0
liberty	liberty	n1	liberty	liberty	0
&	&	cc	&	and	0
full	full	j	full	full	0
head	head	n1	head	head	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
youthy	youthy	j	youthy	youthy	0
affections	affections	n2	affections	affection	0
and	and	cc	and	and	0
lusts	lusts	n2	lustest	lust	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
end	end	n1	end	end	0
is	is	vbz	is	be	0
vt	vt	fw-la	vt	ut	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
perdition	perdition	n1	perdition	perdition	0
and	and	cc	and	and	0
straitnes	straitnes	n1	straitness	straitness	0
.	.	.	.	.	1
Wher	Wher	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
let	let	vvb	let	let	0
euery	euery	d	every	every	0
yong	yong	j	young	young	0
man	man	n1	man	man	0
,	,	,	,	,	0
behol	behol	j-jn	behol	behol	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
these	these	d	these	these	0
two	two	crd	two	two	0
waies	waies	n2	ways	way	0
,	,	,	,	,	0
choose	choose	vvb	choose	choose	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
leadeth	leadeth	vvz	leads	lead	0
vnto	vnto	p-acp	unto	unto	0
eternall	eternall	j	eternal	eternal	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
sanctified	sanctified	j-vvn	sanctified	sanctify	0
life	life	n1	life	life	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
time	time	n1	time	time	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
walking	walking	vvg	walking	walk	0
sincerely	sincerely	av-j	sincerely	sincere	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Way	Way	n1	Way	way	0
,	,	,	,	,	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Life	Life	n1	Life	life	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
penned	penned	vvn	penned	pen	0
this	this	d	this	this	0
insuing	insuing	j-vvg	ensuing	ensue	0
.	.	.	.	.	1
Tractate	Tractate	vvi	Tractate	tractate	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
welbeloued	welbeloued	j	well-beloved	well-beloved	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
commended	commended	vvn	commended	commend	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
uourable	uourable	j	uourable	uourable	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
that	that	cst	that	that	0
therin	therin	av	therein	therein	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
see	see	vvi	see	see	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
nar	nar	n1	nar	nar	0
∣	∣	sy	∣	∣	0
row	row	n1	row	row	0
way	way	n1	way	way	0
,	,	,	,	,	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
&	&	cc	&	and	0
learne	learne	vvb	learn	learn	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
trauell	trauell	vvi	travel	travel	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
let	let	vvb	let	let	0
that	that	cst	that	that	0
diuellish	diuellish	j	devilish	devilish	0
prouerb	prouerb	n1	proverb	proverb	0
,	,	,	,	,	0
a	a	dt	a	a	0
yong	yong	j	young	young	0
Saint	Saint	n1	Saint	saint	0
an	an	dt	and	a	0
old	old	j	old	old	0
Diuel	Diuel	n1	Devil	devil	0
,	,	,	,	,	0
direct	direct	vvb	direct	direct	0
your	your	po22	your	your	0
course	course	n1	course	course	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
endeuor	endeuor	n1	endeavour	endeavour	0
being	being	vbg	being	be	0
yong	yong	j	young	young	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Saints	Saints	n2	Saints	saint	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
your	your	po22	your	your	0
youth	youth	n1	youth	youth	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
his	his	po31	his	his	0
seruice	seruice	n1	service	service	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
vndoubtedly	vndoubtedly	av-j	undoubtedly	undoubted	0
will	will	vmb	will	will	0
giue	giue	vvi	give	give	0
you	you	pn22	you	you	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
stancie	stancie	n1	stancie	stancie	0
to	to	p-acp	to	to	0
perseuere	perseuere	vvi	persevere	persevere	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
become	become	vvi	become	become	0
Old	Old	j	Old	old	0
Saints	Saints	n2	Saints	saint	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
a	a	dt	a	a	0
ioyfull	ioyfull	j	joyful	joyful	0
end	end	n1	end	end	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
Blessed	Blessed	vvn	Blessed	bless	0
Saints	Saints	n2	Saints	saint	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
&	&	cc	&	and	0
liue	liue	vvi	live	live	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
euermore	euermore	av	evermore	evermore	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
whose	whose	rg-crq	whose	who	0
gracious	gracious	j	gracious	gracious	0
&	&	cc	&	and	0
mercifull	mercifull	j	merciful	merciful	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
commend	commend	vvb	commend	commend	0
you	you	pn22	you	you	0
all	all	d	all	all	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
