READER	READER	n1	READER	reader	0
his	his	po31	his	his	0
Design	Design	n1	Design	design	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Reason	Reason	n1	Reason	reason	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Method	Method	n1	Method	method	0
are	are	vbr	are	be	0
very	very	av	very	very	0
different	different	j	different	different	0
from	from	p-acp	from	from	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
represented	represented	vvn	represented	represent	0
them	them	pno32	them	they	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
short	short	j	short	short	0
is	is	vbz	is	be	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
help	help	vvi	help	help	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reasonableness	Reasonableness	n1	Reasonableness	reasonableness	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
being	being	vbg	being	be	0
perfect	perfect	j	perfect	perfect	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
No	No	uh-dx	No	no	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
expressed	expressed	vvn	expressed	express	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
perspicuous	perspicuous	j	perspicuous	perspicuous	0
and	and	cc	and	and	0
proper	proper	j	proper	proper	0
Terms	Terms	n2	Terms	term	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
offer	offer	vvi	offer	offer	0
Violence	Violence	n1	Violence	violence	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
own	own	d	own	own	0
Understanding	Understanding	n1	Understanding	understanding	0
and	and	cc	and	and	0
Reason	Reason	n1	Reason	reason	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
that	that	d	that	that	0
Construction	Construction	n1	Construction	construction	0
on	on	p-acp	on	on	0
them	them	pno32	them	they	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
some	some	d	some	some	0
have	have	vhb	have	have	0
assigned	assigned	vvn	assigned	assign	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
worthy	worthy	j	worthy	worthy	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Animadversions	Animadversions	n2	Animadversions	animadversion	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
very	very	av	very	very	0
particularly	particularly	av-j	particularly	particular	0
related	related	vvn	related	relate	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
took	took	vvd	took	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
De	De	fw-fr	De	de	0
∣	∣	sy	∣	∣	0
sign	sign	n1	sign	sign	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reasonableness	Reasonableness	n1	Reasonableness	reasonableness	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
oc	oc	fw-la	oc	oc	0
∣	∣	sy	∣	∣	0
casioned	casioned	vvn	casioned	casion	0
my	my	po11	my	my	0
setting	setting	n-vvg	setting	set	0
down	down	a-acp	down	down	0
all	all	d	all	all	0
along	along	a-acp	along	along	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
read	read	vvb	read	read	0
his	his	po31	his	his	0
Account	Account	vvb	Account	account	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
conceived	conceived	vvd	conceived	conceive	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Design	Design	n1	Design	design	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thor	thor	n1	thor	thor	0
;	;	;	;	;	0
and	and	cc	and	and	0
my	my	po11	my	my	0
making	making	vvg	making	make	0
some	some	d	some	some	0
Observations	Observations	n2	Observations	observation	0
on	on	p-acp	on	on	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fered	fered	zz	fered	fered	0
in	in	p-acp	in	in	0
answer	answer	n1	answer	answer	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
Passages	Passages	n2	Passages	passage	0
he	he	pns31	he	he	0
quoted	quoted	vvd	quoted	quote	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Rea	Rea	np1	Rea	Rea	0
∣	∣	sy	∣	∣	0
sonableness	sonableness	n1	sonableness	sonableness	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
now	now	av	now	now	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lished	lished	vvn	lished	lish	0
to	to	pc-acp	to	to	0
prompt	prompt	vvi	prompt	prompt	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
attentively	attentively	av-j	attentively	attentive	0
that	that	cst	that	that	0
excellent	excellent	j	excellent	excellent	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
themselves	themselves	px32	themselves	themselves	0
Masters	Masters	n2	Master's	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Truths	Truths	n2	Truths	truth	0
there	there	a-acp	there	there	0
delivered	delivered	vvn	delivered	deliver	0
;	;	;	;	;	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
the	the	dt	the	the	0
Doctrines	Doctrines	n2	Doctrines	doctrine	0
delivered	delivered	vvn	delivered	deliver	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
New	New	j	New	new	0
Testament	Testament	n1	Testament	testament	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
can	can	vmb	can	can	0
have	have	vhi	have	have	0
their	their	po32	their	their	0
full	full	j	full	full	0
Right	Right	n-jn	Right	right	0
done	done	vdn	done	do	0
them	them	pno32	them	they	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
Peo	Peo	fw-la	Peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
do	do	vdb	do	do	0
understand	understand	vvi	understand	understand	0
and	and	cc	and	and	0
entertain	entertain	vvi	entertain	entertain	0
the	the	dt	the	the	0
great	great	j	great	great	0
Point	Point	n1	Point	point	0
insisted	insisted	vvd	insisted	insist	0
on	on	a-acp	on	on	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Reasonableness	Reasonableness	n1	Reasonableness	reasonableness	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
serve	serve	vvi	serve	serve	0
themselves	themselves	px32	themselves	themselves	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Influence	Influence	n1	Influence	influence	0
and	and	cc	and	and	0
Conduct	Conduct	vvb	Conduct	conduct	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Notion	Notion	n1	Notion	notion	0
,	,	,	,	,	0
that	that	cst	that	that	0
tends	tends	vvz	tends	tend	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
gratify	gratify	vvi	gratify	gratify	0
some	some	d	some	some	0
Peo	Peo	fw-la	Peo	peo	0
∣	∣	sy	∣	∣	0
ple's	ple's	ng1	ple's	ple	0
Ambition	Ambition	n1	Ambition	ambition	0
,	,	,	,	,	0
and	and	cc	and	and	0
serve	serve	vvi	serve	serve	0
their	their	po32	their	their	0
secular	secular	j	secular	secular	0
Interest	Interest	n1	Interest	interest	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
may	may	vmb	may	may	0
;	;	;	;	;	0
But	But	cc-acp	But	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
adapted	adapted	vvn	adapted	adapt	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Advantage	Advantage	n1	Advantage	advantage	0
of	of	pp-f	of	of	0
pure	pure	j	pure	pure	0
and	and	cc	and	and	0
undefiled	undefiled	j	undefiled	undefiled	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
contribute	contribute	vvi	contribute	contribute	0
more	more	av-dc	more	more	0
to	to	p-acp	to	to	0
Christians	Christians	np1	Christians	Christians	0
Growth	Growth	n1	Growth	growth	0
in	in	p-acp	in	in	0
Scripture	Scripture	n1	Scripture	scripture	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
God	God	n1	God	god	0
∣	∣	sy	∣	∣	0
liness	liness	n1	liness	liness	0
of	of	pp-f	of	of	0
living	living	vvg	living	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
rational	rational	j	rational	rational	0
Comfort	Comfort	n1	Comfort	comfort	0
and	and	cc	and	and	0
good	good	j	good	good	0
Assurance	Assurance	n1	Assurance	assurance	0
,	,	,	,	,	0
than	than	cs	than	than	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Notion	Notion	n1	Notion	notion	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
One	One	crd	One	one	0
thing	thing	n1	thing	thing	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
occasioned	occasioned	vvn	occasioned	occasion	0
many	many	d	many	many	0
to	to	pc-acp	to	to	0
entertain	entertain	vvi	entertain	entertain	0
a	a	dt	a	a	0
Prejudice	Prejudice	n1	Prejudice	prejudice	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Reasonableness	Reasonableness	n1	Reasonableness	reasonableness	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
wrong	wrong	n-jn	wrong	wrong	0
Notion	Notion	n1	Notion	notion	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
imbibed	imbibed	vvn	imbibed	imbibe	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
cerning	cerning	j	cerning	cerning	0
those	those	d	those	those	0
Composures	Composures	n2	Composures	composure	0
we	we	pns12	we	we	0
call	call	vvb	call	call	0
Creeds	Creeds	n2	Creeds	creed	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
Their	Their	po32	Their	their	0
fancying	fancying	vvg	fancying	fancy	0
that	that	d	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
,	,	,	,	,	0
or	or	cc	or	or	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creeds	Creeds	n2	Creeds	creed	0
,	,	,	,	,	0
are	are	vbr	are	be	0
absolutely	absolutely	av-j	absolutely	absolute	0
necessary	necessary	j	necessary	necessary	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
explicitely	explicitely	av-j	explicitly	explicit	0
believed	believed	vvn	believed	believe	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
Men	Men	n2	Men	man	0
Christians	Christians	np1	Christians	Christians	0
.	.	.	.	.	1
Concerning	Concerning	vvg	Concerning	concern	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
serve	serve	vvi	serve	serve	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
That	That	cst	That	that	0
not	not	xx	not	not	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Authors	Authors	n2	Authors	author	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
wrte	wrte	n1	wrte	wrte	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Century	Century	n1	Century	century	0
after	after	p-acp	after	after	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
make	make	vvi	make	make	0
any	any	d	any	any	0
mentin	mentin	n1	mentin	mentin	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Creed	Creed	n1	Creed	creed	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Days	Days	n2	Days	day	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
have	have	vhi	have	have	0
ay	ay	av	ay	ay	0
certainty	certainty	n1	certainty	certainty	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
any	any	d	any	any	0
such	such	d	such	such	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
during	during	p-acp	during	during	0
the	the	dt	the	the	0
Fir	Fir	n1	Fir	fir	0
Hundred	Hundred	crd	Hundred	hundred	0
Years	Years	n2	Years	year	0
after	after	p-acp	after	after	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
though	though	cs	though	though	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
very	very	av	very	very	0
sure	sure	j	sure	sure	0
the	the	dt	the	the	0
were	were	vbdr	were	be	0
Christians	Christians	np1	Christians	Christians	0
during	during	p-acp	during	during	0
that	that	d	that	that	0
space	space	n1	space	space	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Creeds	Creeds	n2	Creeds	creed	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
originally	originally	av-j	originally	original	0
designed	designed	vvn	designed	design	0
to	to	pc-acp	to	to	0
relate	relate	vvi	relate	relate	0
wha	wha	q-crq	wha	what	0
Articles	Articles	n2	Articles	article	0
were	were	vbdr	were	be	0
absolutely	absolutely	av-j	absolutely	absolute	0
necessary	necessary	j	necessary	necessary	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
explicitely	explicitely	av-j	explicitly	explicit	0
believe	believe	vvb	believe	believe	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
Men	Men	n2	Men	man	0
Christians	Christians	np1	Christians	Christians	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
some	some	d	some	some	0
did	did	vdd	did	do	0
afterward	afterward	av	afterwards	afterward	0
turn	turn	vvi	turn	turn	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
the	the	dt	the	the	0
Clergy	Clergy	n1	Clergy	clergy	0
,	,	,	,	,	0
an	an	cs	and	an	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
Christians	Christians	np1	Christians	Christians	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Matters	Matters	n2	Matters	matter	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
Heads	Heads	n2	Heads	head	0
,	,	,	,	,	0
Points	Points	n2	Points	point	0
,	,	,	,	,	0
or	or	cc	or	or	0
Articles	Articles	n2	Articles	article	0
and	and	cc	and	and	0
Doctrines	Doctrines	n2	Doctrines	doctrine	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
particular	particular	j	particular	particular	0
Care	Care	n1	Care	care	0
to	to	p-acp	to	to	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
insist	insist	vvi	insist	insist	0
on	on	a-acp	on	on	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
building	building	n-vvg	building	build	0
up	up	a-acp	up	up	0
Believers	Believers	n2	Believers	believer	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
most	most	av-ds	most	most	0
Holy	Holy	j	Holy	holy	0
Faith	Faith	n1	Faith	faith	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
this	this	d	this	this	0
very	very	j	very	very	0
good	good	j	good	good	0
Evidence	Evidence	n1	Evidence	evidence	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
produced	produced	vvn	produced	produce	0
from	from	p-acp	from	from	0
Antiquity	Antiquity	n1	Antiquity	antiquity	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
occasion	occasion	n1	occasion	occasion	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
We	We	pns12	We	we	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
certainty	certainty	n1	certainty	certainty	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
precise	precise	j	precise	precise	0
Number	Number	n1	Number	number	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
which	which	r-crq	which	which	0
did	did	vdd	did	do	0
make	make	vvi	make	make	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
First	First	ord	First	first	0
Creeds	Creeds	n2	Creeds	creed	0
.	.	.	.	.	1
We	We	pns12	We	we	0
are	are	vbr	are	be	0
certain	certain	j	certain	certain	0
that	that	cst	that	that	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
that	that	cst	that	that	0
now	now	av	now	now	0
constitute	constitute	vvb	constitute	constitute	0
the	the	dt	the	the	0
oldest	oldest	js	oldest	old	0
Creeds	Creeds	n2	Creeds	creed	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
any	any	d	any	any	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
were	were	vbdr	were	be	0
afterwards	afterwards	av	afterwards	afterward	0
added	added	vvn	added	add	0
on	on	p-acp	on	on	0
particular	particular	j	particular	particular	0
occasions	occasions	n2	occasions	occasion	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	1
A	A	dt	A	a	0
Doctrine's	Doctrine's	npg1	Doctrine's	doctrine	0
being	being	n1	being	being	0
placed	placed	vvn	placed	place	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Creed	Creed	n1	Creed	creed	0
,	,	,	,	,	0
is	is	vbz	is	be	0
so	so	av	so	so	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
making	making	vvg	making	make	0
the	the	dt	the	the	0
explicite	explicite	j	explicit	explicit	0
Belief	Belief	n1	Belief	belief	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
absolutely	absolutely	av-j	absolutely	absolute	0
necessary	necessary	j	necessary	necessary	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
Men	Men	n2	Men	man	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
an	an	dt	and	a	0
Object	Object	n1	Object	object	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
Faith	Faith	n1	Faith	faith	0
.	.	.	.	.	1
No	No	dx	No	no	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Object	Object	n1	Object	object	0
of	of	pp-f	of	of	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	r-crq	what	what	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
or	or	cc	or	or	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
have	have	vhb	have	have	0
taught	taught	vvn	taught	teach	0
.	.	.	.	.	1
And	And	cc	And	and	0
a	a	dt	a	a	0
Christian's	Christian's	njpg1	Christian's	christian	0
Faith	Faith	n1	Faith	faith	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
grounded	grounded	vvn	grounded	ground	0
on	on	p-acp	on	on	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
vidence	vidence	n1	vidence	vidence	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
or	or	cc	or	or	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
have	have	vhb	have	have	0
taught	taught	vvn	taught	teach	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
the	the	dt	the	the	0
placing	placing	n-vvg	placing	place	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Creed	Creed	n1	Creed	creed	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
have	have	vhb	have	have	0
taught	taught	vvn	taught	teach	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
doth	doth	vdz	does	do	0
it	it	pn31	it	it	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
evidence	evidence	n1	evidence	evidence	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
taught	taught	vvn	taught	teach	0
it	it	pn31	it	it	0
.	.	.	.	.	1
A	A	dt	A	a	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
as	as	c-acp	as	as	0
such	such	d	such	such	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
believe	believe	vvi	believe	believe	0
any	any	d	any	any	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Creed	Creed	n1	Creed	creed	0
;	;	;	;	;	0
though	though	c-acp	though	though	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
convinced	convinced	vvn	convinced	convince	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
have	have	vhb	have	have	0
taught	taught	vvn	taught	teach	0
such	such	d	such	such	0
or	or	cc	or	or	0
such	such	d	such	such	0
a	a	dt	a	a	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
