TIs	TIs	d	This	this	0
Why	Why	q-crq	Why	why	0
Solomon	Solomon	np1	Solomon	Solomon	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
all	all	d	all	all	0
the	the	dt	the	the	0
instruments	instruments	n2	instruments	instrument	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
of	of	pp-f	of	of	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
and	and	cc	and	and	0
mention	mention	vvi	mention	mention	0
them	them	pno32	them	they	0
parti	parti	fw-la	parti	parti	0
∣	∣	sy	∣	∣	0
cularly	cularly	av-jn	cularly	cular	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
very	very	j	very	very	0
hinge	hinge	n1	hinge	hinge	0
,	,	,	,	,	0
and	and	cc	and	and	0
never	never	av-x	never	never	0
mention	mention	vvi	mention	mention	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
;	;	;	;	;	0
doth	doth	vdz	does	do	0
this	this	d	this	this	0
abide	abide	vvi	abide	abide	0
Wood	Wood	n1	Wood	wood	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
Gold	Gold	n1	Gold	gold	0
?	?	?	?	?	0
or	or	cc	or	or	0
is	is	vbz	is	be	0
Wood	Wood	n1	Wood	wood	0
as	as	p-acp	as	as	0
splen	splen	zz	splen	splen	0
∣	∣	sy	∣	∣	0
did	did	vdd	did	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
precious	precious	j	precious	precious	0
as	as	c-acp	as	as	0
Gold	Gold	n1	Gold	gold	0
?	?	?	?	?	1
The	The	dt	The	the	0
Scripture	Scripture	n1	Scripture	scripture	0
is	is	vbz	is	be	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Secrets	Secrets	n2-jn	Secrets	secret	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
notion	notion	n1	notion	notion	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
how	how	q-crq	how	how	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
secrets	secrets	n2-jn	secrets	secret	0
is	is	vbz	is	be	0
truth	truth	n1	truth	truth	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
operation	operation	n1	operation	operation	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
!	!	!	!	!	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
latter	latter	d	latter	latter	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
most	most	ds	most	most	0
a	a	dt	a	a	0
Student	Student	n1	Student	student	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
least	least	cs	lest	lest	0
a	a	dt	a	a	0
Proficient	Proficient	j	Proficient	proficient	0
;	;	;	;	;	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
but	but	cc-acp	but	but	0
little	little	j	little	little	0
skill	skill	n1	skill	skill	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
notion	notion	n1	notion	notion	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
farre	farre	av-j	far	far	0
lesse	lesse	av-dc	less	less	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mysterious	mysterious	j	mysterious	mysterious	0
operation	operation	n1	operation	operation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
experiences	experiences	n2	experiences	experience	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
imparted	imparted	vvn	imparted	impart	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
much	much	d	much	much	0
love	love	n1	love	love	0
,	,	,	,	,	0
I	I	pns11	I	i	0
here	here	av	here	here	0
present	present	j	present	present	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
much	much	av-d	much	much	0
added	added	vvn	added	add	0
unto	unto	p-acp	unto	unto	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
heavenly	heavenly	j	heavenly	heavenly	0
influences	influences	n2	influences	influence	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
per	per	fw-la	per	per	0
and	and	cc	and	and	0
peculiar	peculiar	j	peculiar	peculiar	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
vels	vels	vvz	vels	vel	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
wisdome	wisdome	n1	wisdom	wisdom	0
.	.	.	.	.	1
We	We	pns12	We	we	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
little	little	j	little	little	0
ones	ones	pi2	ones	one	0
:	:	:	:	:	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
deed	deed	n1	deed	deed	0
so	so	av	so	so	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
whilst	whilst	cs	while	while	0
here	here	av	here	here	0
,	,	,	,	,	0
little	little	j	little	little	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
but	but	p-acp	but	but	0
ignorance	ignorance	n1	ignorance	ignorance	0
and	and	cc	and	and	0
impotence	impotence	n1	impotence	impotence	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
we	we	pns12	we	we	0
little	little	j	little	little	0
ones	ones	pi2	ones	one	0
have	have	vhb	have	have	0
great	great	j	great	great	0
ones	ones	pi2	ones	one	0
waiting	waiting	vvg	waiting	wait	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
these	these	d	these	these	0
have	have	vhb	have	have	0
more	more	dc	more	more	0
priviledge	priviledge	n1	privilege	privilege	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
whom	whom	r-crq	whom	who	0
they	they	pns32	they	they	0
wait	wait	vvb	wait	wait	0
upon	upon	p-acp	upon	upon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
another	another	j-jn	another	another	0
secret	secret	n-jn	secret	secret	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
alwaies	alwaies	av	always	always	0
behold	behold	vvb	behold	behold	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
father	father	n1	father	father	0
:	:	:	:	:	0
Matth.	Matth.	np1	Matth.	Matth.	1
18	18	crd	18	18	0
10.	10.	crd	10.	10.	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
doe	doe	vdi	do	do	0
too	too	av	too	too	0
,	,	,	,	,	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
light	light	n1	light	light	0
see	see	vvi	see	see	0
light	light	n1	light	light	0
,	,	,	,	,	0
un	un	fw-it	un	un	0
∣	∣	sy	∣	∣	0
derstand	derstand	vvb	derstand	derstand	0
all	all	d	all	all	0
mysteries	mysteries	n2	mysteries	mystery	0
and	and	cc	and	and	0
all	all	d	all	all	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
all	all	d	all	all	0
truth	truth	n1	truth	truth	0
in	in	p-acp	in	in	0
notion	notion	n1	notion	notion	0
and	and	cc	and	and	0
operation	operation	n1	operation	operation	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
wait	wait	vvi	wait	wait	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
appearing	appearing	vvg	appearing	appear	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
long	long	av-j	long	long	0
till	till	c-acp	till	till	0
this	this	d	this	this	0
change	change	n1	change	change	0
come	come	vvi	come	come	0
,	,	,	,	,	0
that	that	cst	that	that	0
Lords	Lords	n2	Lords	lord	0
have	have	vhb	have	have	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
their	their	po32	their	their	0
servants	servants	n2	servants	servant	0
which	which	r-crq	which	which	0
attend	attend	vvb	attend	attend	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Blood	Blood	n1	Blood	blood	0
carries	carries	vvz	carries	carry	0
the	the	dt	the	the	0
life	life	n1	life	life	0
and	and	cc	and	and	0
the	the	dt	the	the	0
exquisite	exquisite	j	exquisite	exquisite	0
spirit	spirit	n1	spirit	spirit	0
and	and	cc	and	and	0
sence	sence	n1	sense	sense	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
sence	sence	n1	sense	sense	0
nor	nor	ccx	nor	nor	0
feeling	feeling	n1	feeling	feeling	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
so	so	av	so	so	0
truly	truly	av-j	truly	true	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Salt	Salt	n1	Salt	salt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
the	the	dt	the	the	0
blood	blood	n1	blood	blood	0
and	and	cc	and	and	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
carry	carry	vvi	carry	carry	0
exquisite	exquisite	j	exquisite	exquisite	0
spirit	spirit	n1	spirit	spirit	0
and	and	cc	and	and	0
sense	sense	n1	sense	sense	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
mysticall	mysticall	j	mystical	mystical	0
body	body	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
feele	feele	vvb	feel	feel	0
just	just	j	just	just	0
nothing	nothing	pi2	nothing	nothing	0
(	(	(	(	(	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
)	)	)	)	)	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
.	.	.	.	.	0
which	which	r-crq	which	which	0
makes	makes	vvz	makes	make	0
us	us	pno12	us	we	0
so	so	av	so	so	0
short	short	j	short	short	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
velation	velation	n1	velation	velation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mysteries	mysteries	n2	mysteries	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
;	;	;	;	;	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
princi	princi	fw-la	princi	princi	0
∣	∣	sy	∣	∣	0
pally	pally	av-jn	pally	pal	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
his	his	po31	his	his	0
births	births	n2	births	birth	0
in	in	p-acp	in	in	0
divine	divine	j-jn	divine	divine	0
things	things	n2	things	thing	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
much	much	d	much	much	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
and	and	cc	and	and	0
due	due	j-jn	due	due	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
hath	hath	vhz	hath	have	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
condemne	condemne	vvi	condemn	condemn	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
The	The	dt	The	the	0
more	more	av-dc	more	more	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
lives	lives	n2	lives	life	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
the	the	dt	the	the	0
best	best	js	best	best	0
knowledge	knowledge	n1	knowledge	knowledge	0
falls	falls	vvz	falls	fall	0
in	in	p-acp	in	in	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
.	.	.	.	.	1
Living	Living	vvg	Living	live	0
creatures	creatures	n2	creatures	creature	0
which	which	r-crq	which	which	0
lie	lie	n1	lie	lie	0
hid	hid	vvd	hid	hide	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
long	long	av-j	long	long	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
,	,	,	,	,	0
have	have	vhb	have	have	0
(	(	(	(	(	0
we	we	pns12	we	we	0
say	say	vvb	say	say	0
)	)	)	)	)	0
no	no	dx	no	no	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
or	or	cc	or	or	0
very	very	av	very	very	0
little	little	j	little	little	0
,	,	,	,	,	0
a	a	dt	a	a	0
drop	drop	n1	drop	drop	0
or	or	cc	or	or	0
two	two	crd	two	two	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
.	.	.	.	.	1
If	If	cs	If	if	0
our	our	po12	our	our	0
souls	souls	n2	souls	soul	0
lie	lie	vvb	lie	lie	0
hid	hid	vvn	hid	hide	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
much	much	av-d	much	much	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
these	these	d	these	these	0
times	times	n2	times	time	0
tempt	tempt	vvb	tempt	tempt	0
this	this	d	this	this	0
way	way	n1	way	way	0
)	)	)	)	)	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
little	little	j	little	little	0
good	good	j	good	good	0
blood	blood	n1	blood	blood	0
or	or	cc	or	or	0
spirit	spirit	n1	spirit	spirit	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
;	;	;	;	;	0
a	a	dt	a	a	0
drop	drop	n1	drop	drop	0
about	about	p-acp	about	about	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
Hell	Hell	n1	Hell	hell	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
all	all	av-d	all	all	0
;	;	;	;	;	0
not	not	xx	not	not	0
enough	enough	d	enough	enough	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
many	many	d	many	many	0
Hels	Hels	ng1	Hels	hell	0
here	here	av	here	here	0
:	:	:	:	:	0
much	much	av-d	much	much	0
lesse	lesse	dc	less	less	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
so	so	av	so	so	0
much	much	d	much	much	0
blood	blood	n1	blood	blood	0
and	and	cc	and	and	0
brave	brave	j	brave	brave	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
search	search	vvi	search	search	0
and	and	cc	and	and	0
finde	finde	vvi	find	find	0
the	the	dt	the	the	0
deep	deep	j-jn	deep	deep	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
belong	belong	vvb	belong	belong	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
crowne	crowne	n1	crown	crown	0
,	,	,	,	,	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
The	The	dt	The	the	0
wind	wind	n1	wind	wind	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Heavens	Heavens	n2	Heavens	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
season	season	n1	season	season	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
a	a	dt	a	a	0
Husband	Husband	n1	Husband	husband	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
spring	spring	vvb	spring	spring	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
'	'	'	'	'	0
tath	tath	pn31|vhz	tath	it|have	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
then	then	av	then	then	0
such	such	d	such	such	0
a	a	dt	a	a	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
generation	generation	n1	generation	generation	0
and	and	cc	and	and	0
nutrition	nutrition	n1	nutrition	nutrition	0
:	:	:	:	:	0
Favoni	Favoni	fw-la	Favoni	favoni	0
à	à	fw-fr	à	à	0
favendo	favendo	fw-la	favendo	favendo	0
,	,	,	,	,	0
bi	bi	p-acp	by	by	0
vini	vini	fw-la	vini	vini	0
vo	vo	zz	vo	vo	0
∣	∣	sy	∣	∣	0
cat	cat	n1	cat	cat	0
.	.	.	.	.	0
this	this	d	this	this	0
wind	wind	n1	wind	wind	0
makes	makes	vvz	makes	make	0
all	all	d	all	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
season	season	n1	season	season	0
so	so	av	so	so	0
smile	smile	vvi	smile	smile	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
wind	wind	n1	wind	wind	0
blows	blows	vvz	blows	blow	0
all	all	d	all	all	0
the	the	dt	the	the	0
yeer	yeer	n1	year	year	0
long	long	av-j	long	long	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
still	still	av	still	still	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
whilst	whilst	cs	while	while	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
our	our	po12	our	our	0
conversation	conversation	n1	conversation	conversation	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
how	how	c-crq	how	how	0
sweetly	sweetly	av-j	sweetly	sweet	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
generatingly	generatingly	av-vvg	generatingly	generate	0
doth	doth	vdz	does	do	0
that	that	d	that	that	0
wind	wind	n1	wind	wind	0
wch	wch	r-crq	which	which	0
blows	blows	vvz	blows	blow	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
listeth	listeth	vvz	lists	list	0
blow	blow	n1	blow	blow	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
waies	waies	n2	ways	way	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
velling	velling	vvg	velling	vell	0
homeward	homeward	av	homeward	homeward	0
!	!	!	!	!	1
Severall	Severall	j	Several	several	0
things	things	n2	things	thing	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
finde	finde	vvi	find	find	0
,	,	,	,	,	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
book	book	n1	book	book	0
;	;	;	;	;	0
some	some	d	some	some	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
Christs	Christs	npg1	Christs	Christ	0
resur	resur	n1	resur	resur	0
∣	∣	sy	∣	∣	0
rection	rection	n1	rection	rection	0
:	:	:	:	:	0
the	the	dt	the	the	0
blooming	blooming	j-vvg	blooming	bloom	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Tree	Tree	n1	Tree	tree	0
is	is	vbz	is	be	0
judged	judged	vvn	judged	judge	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Spring	Spring	n1	Spring	spring	0
;	;	;	;	;	0
if	if	cs	if	if	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
fall	fall	n1	fallen	fall	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
then	then	av	then	then	0
doe	doe	vdb	do	do	0
some	some	d	some	some	0
Trees	Trees	n2	Trees	tree	0
bloome	bloome	vvi	bloom	bloom	0
againe	againe	av	again	again	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
seen	seen	vvn	seen	see	0
ripe	ripe	j	ripe	ripe	0
fruit	fruit	n1	fruit	fruit	0
and	and	cc	and	and	0
blossomes	blossomes	n2	blossoms	blossom	0
together	together	av	together	together	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
alwaies	alwaies	av	always	always	0
on	on	p-acp	on	on	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
that	that	cst	that	that	0
tree	tree	n1	tree	tree	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
ripe	ripe	j	ripe	ripe	0
fruit	fruit	n1	fruit	fruit	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
to	to	pc-acp	to	to	0
feed	feed	vvi	feed	feed	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
season	season	n1	season	season	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
vigor	vigor	n1	vigor	vigour	0
still	still	av	still	still	0
Budding	Budding	j-vvg	Budding	bud	0
and	and	cc	and	and	0
blossoming	blossoming	j-vvg	blossoming	blossom	0
againe	againe	av	again	again	0
for	for	p-acp	for	for	0
more	more	dc	more	more	0
.	.	.	.	.	1
This	This	d	This	this	0
work	work	n1	work	work	0
speaks	speaks	vvz	speaks	speak	0
that	that	d	that	that	0
miracle	miracle	n1	miracle	miracle	0
