BEing	BEing	vbg	BEing	be	0
Norwiche	Norwiche	np1	Norwiche	Norwiche	0
many	many	d	many	many	0
learned	learned	j	learned	learned	0
conferences	conferences	n2	conferences	conference	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
hands	hands	n2	hands	hand	0
many	many	d	many	many	0
good	good	j	good	good	0
documents	documents	n2	documents	document	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
vniuersally	vniuersally	av-j	universally	universal	0
learned	learned	vvn	learned	learn	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
and	and	cc	and	and	0
liberall	liberall	j	liberal	liberal	0
Sciences	Sciences	n2	Sciences	science	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
daies	daies	n2	days	day	0
:	:	:	:	:	0
and	and	cc	and	and	0
besides	besides	p-acp	beside	beside	0
his	his	po31	his	his	0
great	great	j	great	great	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
very	very	av	very	very	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
two	two	crd	two	two	0
vertues	vertues	n2	virtues	virtue	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
to	to	pc-acp	to	to	0
raigne	raigne	vvi	reign	reign	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
ornaments	ornaments	n2	ornaments	ornament	0
that	that	cst	that	that	0
belong	belong	vvb	belong	belong	0
to	to	p-acp	to	to	0
learning	learning	n1	learning	learning	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
deuided	deuided	vvn	divided	divide	0
this	this	d	this	this	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
into	into	p-acp	into	into	0
two	two	crd	two	two	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
the	the	dt	the	the	0
first	first	ord	first	first	0
part	part	n1	part	part	0
treateth	treateth	vvz	treateth	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
diuers	diuers	j	diverse	diverse	0
motions	motions	n2	motions	motion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Planets	Planets	n2	Planets	planet	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
second	second	ord	second	second	0
part	part	n1	part	part	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Passions	Passions	n2	Passion	passion	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
so	so	av	so	so	0
plainely	plainely	av-j	plainly	plain	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvith	vvith	p-acp	with	with	0
such	such	d	such	such	0
facilitie	facilitie	n1	facility	facility	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
that	that	cst	that	that	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
meane	meane	j	mean	mean	0
ca	ca	zz	ca	ca	0
∣	∣	sy	∣	∣	0
pacitie	pacitie	n1	pacitie	pacitie	0
may	may	vmb	may	may	0
vnderstand	vnderstand	vvi	understand	understand	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
collect	collect	vvi	collect	collect	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
Authors	Authors	n2	Authors	author	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
but	but	p-acp	but	but	0
that	that	d	that	that	0
vvhich	vvhich	r-crq	which	which	0
onely	onely	av-j	only	only	0
was	was	vbds	was	be	0
meet	meet	j	meet	meet	0
and	and	cc	and	and	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
praying	praying	vvg	praying	pray	0
all	all	d	all	all	0
those	those	d	those	those	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
hereafter	hereafter	av	hereafter	hereafter	0
to	to	pc-acp	to	to	0
adde	adde	vvi	add	add	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
any	any	d	any	any	0
necessarie	necessarie	j	necessary	necessary	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
through	through	p-acp	through	through	0
age	age	n1	age	age	0
and	and	cc	and	and	0
vvant	vvant	n1	want	want	0
of	of	pp-f	of	of	0
cleare	cleare	j	clear	clear	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
negligently	negligently	av-j	negligently	negligent	0
omit	omit	vvb	omit	omit	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
to	to	pc-acp	to	to	0
trouble	trouble	vvi	trouble	trouble	0
you	you	pn22	you	you	0
,	,	,	,	,	0
praying	praying	vvg	praying	pray	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
this	this	d	this	this	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
haue	haue	vhi	have	have	0
iust	iust	j	just	just	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
thinke	thinke	vvi	think	think	0
the	the	dt	the	the	0
same	same	d	same	same	0
well	well	av	well	well	0
bestow	bestow	vvi	bestow	bestow	0
∣	∣	sy	∣	∣	0
ed.	ed.	n1	ed.	ed.	0
Vale	Vale	n1	Vale	vale	0
.	.	.	.	.	1
