IOb	IOb	np1	IOb	IOb	0
sensible	sensible	j	sensible	sensible	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
prehension	prehension	n1	prehension	prehension	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
duties	duties	n2	duties	duty	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
daunger	daunger	n1	danger	danger	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
vnderstand	vnderstand	vvi	understand	understand	0
that	that	d	that	that	0
their	their	po32	their	their	0
care	care	n1	care	care	0
,	,	,	,	,	0
industry	industry	n1	industry	industry	0
,	,	,	,	,	0
vigilancy	vigilancy	n1	vigilancy	vigilancy	0
,	,	,	,	,	0
and	and	cc	and	and	0
courage	courage	n1	courage	courage	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
increased	increased	vvn	increased	increase	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preseruation	preseruation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
gouern	gouern	vvb	govern	govern	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
malice	malice	n1	malice	malice	0
,	,	,	,	,	0
industrie	industrie	n1	industry	industry	0
and	and	cc	and	and	0
desperate	desperate	j	desperate	desperate	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tempts	tempts	vvz	tempts	tempt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
aduersaries	aduersaries	n2	adversaries	adversary	0
,	,	,	,	,	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
so	so	av	so	so	0
many	many	d	many	many	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
uocations	uocations	n2	vocations	vocation	0
stirring	stirring	vvg	stirring	stir	0
thē	thē	pno32	them	they	0
vp	vp	a-acp	up	up	0
more	more	av-dc	more	more	0
carefully	carefully	av-j	carefully	careful	0
to	to	pc-acp	to	to	0
watch	watch	vvi	watch	watch	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
care	care	n1	care	care	0
hath	hath	vhz	hath	have	0
singularly	singularly	av-j	singularly	singular	0
appeared	appeared	vvn	appeared	appear	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Generall	Generall	n1	General	general	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
warfare	warfare	n1	warfare	warfare	0
haue	haue	vhb	have	have	0
gi	gi	zz	gi	gi	0
∣	∣	sy	∣	∣	0
uen	uen	vvn	uen	uen	0
no	no	dx	no	no	0
rest	rest	n1	rest	rest	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
preuenting	preuenting	vvg	preventing	prevent	0
the	the	dt	the	the	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
poses	poses	n2	poses	pose	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
by	by	p-acp	by	by	0
espying	espying	vvg	espying	espy	0
their	their	po32	their	their	0
secrets	secrets	n2-jn	secrets	secret	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swering	swering	vvg	swearing	swear	0
their	their	po32	their	their	0
present	present	j	present	present	0
incounters	incounters	vvz	encounters	encounter	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
incouraging	incouraging	vvg	encouraging	encourage	0
inferiours	inferiours	n2-jn	inferiors	inferior	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
declared	declared	vvn	declared	declare	0
your	your	po22	your	your	0
carefull	carefull	j	careful	careful	0
seruice	seruice	n1	service	service	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
warfare	warfare	n1	warfare	warfare	0
setting	setting	vvg	setting	set	0
the	the	dt	the	the	0
battel	battel	n1	battle	battle	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
and	and	cc	and	and	0
incou	incou	fw-fr	incou	incou	0
∣	∣	sy	∣	∣	0
raging	raging	j-vvg	raging	rage	0
euery	euery	d	every	every	0
souldier	souldier	n1	soldier	soldier	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
proper	proper	j	proper	proper	0
standing	standing	n-vvg	standing	stand	0
,	,	,	,	,	0
and	and	cc	and	and	0
place	place	n1	place	place	0
:	:	:	:	:	0
vnder	vnder	p-acp	under	under	0
this	this	d	this	this	0
conduct	conduct	n1	conduct	conduct	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
vndertaken	vndertaken	vvn	undertaken	undertake	0
this	this	d	this	this	0
peece	peece	n1	piece	piece	0
of	of	pp-f	of	of	0
seruice	seruice	n1	service	service	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
opening	opening	vvg	opening	open	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
urisdi	urisdi	n1	urisdi	urisdi	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
so	so	av	so	so	0
much	much	av-d	much	much	0
oppugned	oppugned	vvn	oppugned	oppugn	0
,	,	,	,	,	0
defaced	defaced	vvn	defaced	deface	0
,	,	,	,	,	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
founded	founded	vvn	founded	found	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
aduersaries	aduersaries	n2	adversaries	adversary	0
.	.	.	.	.	1
Wherein	Wherein	c-crq	Wherein	wherein	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
promise	promise	vvi	promise	promise	0
any	any	d	any	any	0
worth	worth	n1	worth	worth	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
able	able	j	able	able	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
good	good	j	good	good	0
conscience	conscience	n1	conscience	conscience	0
to	to	pc-acp	to	to	0
challenge	challenge	vvi	challenge	challenge	0
the	the	dt	the	the	0
reward	reward	n1	reward	reward	0
of	of	pp-f	of	of	0
faithfull	faithfull	j	faithful	faithful	0
and	and	cc	and	and	0
sincere	sincere	j	sincere	sincere	0
dealing	dealing	n-vvg	dealing	deal	0
.	.	.	.	.	1
The	The	dt	The	the	0
question	question	n1	question	question	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
,	,	,	,	,	0
requireth	requireth	vvz	requires	require	0
a	a	dt	a	a	0
man	man	n1	man	man	0
as	as	p-acp	as	as	0
skil	skil	n1	skill	skill	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
in	in	p-acp	in	in	0
distinguishing	distinguishing	vvg	distinguishing	distinguish	0
this	this	d	this	this	0
confused	confused	j-vvn	confused	confuse	0
masse	masse	n1	mass	mass	0
of	of	pp-f	of	of	0
Iurisdi	Iurisdi	np1	Iurisdi	Iurisdi	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
now	now	av	now	now	0
haue	haue	vhb	have	have	0
cast	cast	vvn	cast	cast	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Archimedes	Archimedes	np1	Archimedes	Archimedes	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
examining	examining	vvg	examining	examine	0
the	the	dt	the	the	0
gouldsmithes	gouldsmithes	ng1	guldsmiths	guldsmiths	0
fraude	fraude	n1	fraud	fraud	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hauing	hauing	vhg	having	have	0
receiued	receiued	vvn	received	receive	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
Weight	Weight	n1	Weight	weight	0
of	of	pp-f	of	of	0
gould	gould	n1	gold	gold	0
of	of	pp-f	of	of	0
Hiero	Hiero	np1	Hiero	Hiero	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Sicily	Sicily	np1	Sicily	Sicily	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
gouldenUitruuius	gouldenUitruuius	npg1	gouldenUitruuius	gouldenuitruuius	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
9.	9.	crd	9.	9	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
crowne	crowne	n1	crown	crown	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Gods	Gods	n2	Gods	god	0
;	;	;	;	;	0
stoale	stoale	vvd	stoale	steal	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
way	way	n1	way	way	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
siluer	siluer	n1	silver	silver	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
place	place	n1	place	place	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
rendring	rendring	vvg	rendering	render	0
to	to	p-acp	to	to	0
Hiero	Hiero	np1	Hiero	Hiero	0
his	his	po31	his	his	0
true	true	j	true	true	0
weight	weight	n1	weight	weight	0
againe	againe	av	again	again	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
examine	examine	vvi	examine	examine	0
this	this	d	this	this	0
fraud	fraud	n1	fraud	fraud	0
without	without	p-acp	without	without	0
melting	melting	vvg	melting	melt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crowne	crowne	n1	crown	crown	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
worke	worke	n1	work	work	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
the	the	dt	the	the	0
great	great	j	great	great	0
wit	wit	n1	wit	wit	0
of	of	pp-f	of	of	0
Archimedes	Archimedes	np1	Archimedes	Archimedes	0
himselfe	himselfe	px31	himself	himself	0
:	:	:	:	:	0
such	such	d	such	such	0
is	is	vbz	is	be	0
this	this	d	this	this	0
masse	masse	n1	mass	mass	0
of	of	pp-f	of	of	0
Iuris	Iuris	fw-la	Iuris	juris	0
∣	∣	sy	∣	∣	0
diction	diction	n1	diction	diction	0
,	,	,	,	,	0
wherin	wherin	c-crq	wherein	wherein	0
fraudulent	fraudulent	j	fraudulent	fraudulent	0
workmen	workmen	n2	workmen	workman	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
who	who	r-crq	who	who	0
confound	confound	vvb	confound	confound	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
siluer	siluer	n1	silver	silver	0
,	,	,	,	,	0
coper	coper	j	coper	cope	0
,	,	,	,	,	0
and	and	cc	and	and	0
brasse	brasse	n1	brass	brass	0
together	together	av	together	together	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
the	the	dt	the	the	0
Iurisdiction	Iurisdiction	n1	Jurisdiction	jurisdiction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
kings	kings	n2	kings	king	0
;	;	;	;	;	0
and	and	cc	and	and	0
mingling	mingling	vvg	mingling	mingle	0
both	both	d	both	both	0
together	together	av	together	together	0
,	,	,	,	,	0
adding	adding	vvg	adding	add	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
drosse	drosse	n1	dross	dross	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
ceiptfull	ceiptfull	j	ceiptfull	ceiptfull	0
crowne	crowne	n1	crown	crown	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
great	great	j	great	great	0
God	God	n1	God	god	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
it	it	pn31	it	it	0
vpon	vpon	p-acp	upon	upon	0
his	his	po31	his	his	0
had	had	vhn	had	have	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
distingush	distingush	vvi	distinguish	distinguish	0
this	this	d	this	this	0
confused	confused	j-vvn	confused	confuse	0
mase	mase	n1	maze	maze	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
to	to	p-acp	to	to	0
each	each	d	each	each	0
his	his	po31	his	his	0
own	own	d	own	own	0
right	right	j-jn	right	right	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
wher	wher	q-crq	where	where	0
∣	∣	sy	∣	∣	0
in	in	n1	in	inn	0
I	I	pns11	I	i	0
foūd	foūd	vvd	found	find	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
difficulty	difficulty	n1	difficulty	difficulty	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
yeeres	yeeres	n2	years	year	0
hath	hath	vhz	hath	have	0
troden	troden	vvn	trodden	tread	0
this	this	d	this	this	0
path	path	n1	path	path	0
before	before	p-acp	before	before	0
me	me	pno11	me	i	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
foot	foot	n1	foot	foot	0
∣	∣	sy	∣	∣	0
steppes	steppes	n2	steps	step	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
directed	directed	vvn	directed	direct	0
me	me	pno11	me	i	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
question	question	n1	question	question	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Supremacy	Supremacy	n1	Supremacy	supremacy	0
is	is	vbz	is	be	0
handled	handled	vvn	handled	handle	0
learnedly	learnedly	av-j	learnedly	learned	0
&	&	cc	&	and	0
worthi	worthi	j	worthy	worthy	0
∣	∣	sy	∣	∣	0
thily	thily	av-j-u	thily	thily	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
giuen	giuen	vvn	given	give	0
some	some	d	some	some	0
light	light	n1	light	light	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
question	question	n1	question	question	0
of	of	pp-f	of	of	0
Iurisdiction	Iurisdiction	n1	Jurisdiction	jurisdiction	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
it	it	pn31	it	it	0
but	but	p-acp	but	but	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
passages	passages	n2	passages	passage	0
,	,	,	,	,	0
not	not	xx	not	not	0
handling	handling	vvg	handling	handle	0
the	the	dt	the	the	0
question	question	n1	question	question	0
fully	fully	av-j	fully	full	0
and	and	cc	and	and	0
purposely	purposely	av	purposely	purposely	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
occasion	occasion	n1	occasion	occasion	0
sometimes	sometimes	av	sometime	sometime	0
fal	fal	vvi	fall	fall	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
into	into	p-acp	into	into	0
some	some	d	some	some	0
parts	parts	n2	parts	part	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
necessary	necessary	j	necessary	necessary	0
seruice	seruice	n1	service	service	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
if	if	cs	if	if	0
this	this	d	this	this	0
thing	thing	n1	thing	thing	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
truely	truely	av-j	truly	true	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fraudulent	fraudulent	j	fraudulent	fraudulent	0
confusion	confusion	n1	confusion	confusion	0
of	of	pp-f	of	of	0
tis	tis	d	this	this	0
crowne	crowne	n1	crown	crown	0
of	of	pp-f	of	of	0
Iurisdi	Iurisdi	np1	Iurisdi	Iurisdi	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
standing	standing	vvg	standing	stand	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
proud	proud	j	proud	proud	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
examined	examined	vvn	examined	examine	0
&	&	cc	&	and	0
distinguished	distinguished	vvn	distinguished	distinguish	0
,	,	,	,	,	0
the	the	dt	the	the	0
siluer	siluer	n1	silver	silver	0
seuered	seuered	vvn	severed	sever	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
drosse	drosse	n1	dross	dross	0
from	from	p-acp	from	from	0
both	both	d	both	both	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
Iurisdiction	Iurisdiction	n1	Jurisdiction	jurisdiction	0
lay	lay	vvd	lay	lie	0
thus	thus	av	thus	thus	0
confounded	confounded	vvn	confounded	confound	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
false	false	j	false	false	0
workemen	workemen	n2	workmen	workman	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
so	so	av	so	so	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
triall	triall	n1	trial	trial	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
examined	examined	vvn	examined	examine	0
by	by	p-acp	by	by	0
vnskilfull	vnskilfull	j	unskilful	unskilful	0
and	and	cc	and	and	0
deceitfull	deceitfull	j	deceitful	deceitful	0
triars	triars	n2	triars	triar	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
fet	fet	vvd	fetched	fetch	0
the	the	dt	the	the	0
rules	rules	n2	rules	rule	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
triall	triall	n1	trial	trial	0
not	not	xx	not	not	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
but	but	cc-acp	but	but	0
from	from	p-acp	from	from	0
ambition	ambition	n1	ambition	ambition	0
and	and	cc	and	and	0
adulation	adulation	n1	adulation	adulation	0
,	,	,	,	,	0
they	they	pns32	they	they	0
ta	ta	uh	ta	ta	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
vpon	vpon	p-acp	upon	upon	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
triars	triars	n2	triars	triar	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
made	made	vvd	made	make	0
things	things	n2	things	thing	0
as	as	p-acp	as	as	0
bad	bad	j	bad	bad	0
or	or	cc	or	or	0
farre	farre	av-j	far	far	0
worse	worse	jc	worse	worse	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
handling	handling	n-vvg	handling	handle	0
then	then	av	then	then	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
before	before	a-acp	before	before	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
wrapped	wrapped	vvd	wrapped	wrap	0
this	this	d	this	this	0
question	question	n1	question	question	0
in	in	p-acp	in	in	0
newe	newe	j	new	new	0
difficulties	difficulties	n2	difficulties	difficulty	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
when	when	c-crq	when	when	0
Henrie	Henrie	np1	Henrie	Henry	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
tooke	tooke	vvd	took	take	0
this	this	d	this	this	0
title	title	n1	title	title	0
of	of	pp-f	of	of	0
supreme	supreme	j	supreme	supreme	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
though	though	cs	though	though	0
the	the	dt	the	the	0
sounder	sounder	jc	sounder	sound	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
