Guill	Guill	np1	Guill	Guill	0
mourne	mourne	vvi	mourn	mourn	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
remedy	remedy	n1	remedy	remedy	0
to	to	pc-acp	to	to	0
ease	ease	vvi	ease	ease	0
thy	thy	po21	thy	thy	0
sorrow	sorrow	n1	sorrow	sorrow	0
and	and	cc	and	and	0
griefe	griefe	n1	grief	grief	0
,	,	,	,	,	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
thee	thee	pno21	thee	thou	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
compassion	compassion	n1	compassion	compassion	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	q-crq	when	when	0
will	will	vmb	will	will	0
that	that	d	that	that	0
be	be	vbi	be	be	0
?	?	?	?	?	0
forsooth	forsooth	uh	forsooth	forsooth	0
euen	euen	av	even	even	0
then	then	av	then	then	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
loueth	loueth	vvz	loves	love	0
thee	thee	pno21	thee	thou	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
thou	thou	pns21	thou	thou	0
louest	louest	vvb	love	love	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
loue	loue	n1	love	love	0
ouercome	ouercome	vvi	overcome	overcome	0
that	that	d	that	that	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
thine	thine	png21	thine	thou	0
which	which	r-crq	which	which	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
waiting	waiting	vvg	waiting	wait	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
praying	praying	vvg	praying	pray	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
here	here	av	here	here	0
prepare	prepare	vvi	prepare	prepare	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
ready	ready	j	ready	ready	0
for	for	p-acp	for	for	0
thee	thee	pno21	thee	thou	0
holy	holy	j	holy	holy	0
teares	teares	n2	tears	tear	0
,	,	,	,	,	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
migh	migh	av-j	migh	mighty	0
∣	∣	sy	∣	∣	0
test	test	vvb	test	test	0
thereby	thereby	av	thereby	thereby	0
mollifie	mollifie	vvi	mollify	mollify	0
thine	thine	po21	thine	thy	0
hard	hard	j	hard	hard	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
and	and	cc	and	and	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
tinguish	tinguish	vvb	tinguish	tinguish	0
therein	therein	av	therein	therein	0
the	the	dt	the	the	0
wrath	wrath	n1	wrath	wrath	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
enflamed	enflamed	vvd	inflamed	inflame	0
against	against	p-acp	against	against	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
It	It	pn31	It	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
well	well	av	well	well	0
like	like	vvi	like	like	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
charitable	charitable	j	charitable	charitable	0
remedy	remedy	n1	remedy	remedy	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
mislike	mislike	vvi	mislike	mislike	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
wilt	wilt	vm2	wilt	will	0
thou	thou	pns21	thou	thou	0
do	do	vdi	do	do	0
as	as	p-acp	as	as	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
vtterly	vtterly	av-j	utterly	utter	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
iect	iect	n1	iect	iect	0
whatsoeuer	whatsoeuer	q-crq	whatsoever	whatsoever	0
is	is	vbz	is	be	0
offred	offred	vvn	offered	offer	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
good	good	j	good	good	0
.	.	.	.	.	1
And	And	cc	And	and	0
whether	whether	cs	whither	whether	0
they	they	pns32	they	they	0
please	please	vvb	please	please	0
or	or	cc	or	or	0
displease	displease	vvi	displease	displease	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
will	will	vmb	will	will	0
I	I	pns11	I	i	0
neuer	neuer	av-x	never	never	0
cease	cease	vvi	cease	cease	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
serue	serue	vvi	serve	serve	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
more	more	av-dc	more	more	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
dily	dily	j	dily	dily	0
and	and	cc	and	and	0
willingly	willingly	av-j	willingly	willing	0
loue	loue	vvi	love	love	0
and	and	cc	and	and	0
serue	serue	vvi	serve	serve	0
,	,	,	,	,	0
then	then	cs	then	than	0
my	my	po11	my	my	0
deare	deare	j-jn	deer	dear	0
and	and	cc	and	and	0
best	best	js	best	best	0
beloued	beloued	j-vvn	beloved	belove	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
;	;	;	;	;	0
that	that	cst	that	that	0
maketh	maketh	vv2	makes	make	0
some	some	d	some	some	0
accompt	accompt	n1	account	account	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
?	?	?	?	?	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
my	my	po11	my	my	0
God	God	np1	God	God	0
saue	saue	vvi	save	save	0
and	and	cc	and	and	0
preserue	preserue	vvi	preserve	preserve	0
thee	thee	pno21	thee	thou	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
graunt	graunt	vvb	grant	grant	0
me	me	pno11	me	i	0
grace	grace	n1	grace	grace	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
able	able	j	able	able	0
as	as	c-acp	as	as	0
blessedly	blessedly	av-vvn	blessedly	bless	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
thy	thy	po21	thy	thy	0
welfare	welfare	n1	welfare	welfare	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
an	an	dt	and	a	0
earnest	earnest	j	earnest	earnest	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
.	.	.	.	.	1
