ight	ight	wd	ight	ight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
T	T	sy	TO	t	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
?	?	?	?	?	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
of	of	pp-f	of	of	0
Deborah	Deborah	np1	Deborah	Deborah	0
was	was	vbds	was	be	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Gouernours	Gouernours	n2	Governors	governor	0
of	of	pp-f	of	of	0
Isra	Isra	np1	Isra	Isra	0
∣	∣	sy	∣	∣	0
el	el	fw-es	el	el	0
,	,	,	,	,	0
that	that	cst	that	that	0
offered	offered	vvd	offered	offer	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
willingly	willingly	av-j	willingly	willing	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
people	people	n1	people	people	0
;	;	;	;	;	0
so	so	av	so	so	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
pen	pen	n1	pen	pen	0
of	of	pp-f	of	of	0
Nehemiah	Nehemiah	np1	Nehemiah	Nehemiah	0
brand	brand	vvb	brand	brand	0
the	the	dt	the	the	0
Nobles	Nobles	n2-j	Nobles	noble	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Teko	Teko	n1	Teko	teko	0
∣	∣	sy	∣	∣	0
ites	ites	fw-fr	ites	ites	0
,	,	,	,	,	0
that	that	cst	that	that	0
put	put	vvd	put	put	0
not	not	xx	not	not	0
their	their	po32	their	their	0
neckes	neckes	n2	necks	neck	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
Surely	Surely	np1	Surely	Surely	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
rebuke	rebuke	n1	rebuke	rebuke	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
mutuall	mutuall	j	mutual	mutual	0
Exhor	Exhor	vvb	Exhort	exhort	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
(	(	(	(	(	0
the	the	dt	the	the	0
treasure	treasure	n1	treasure	treasure	0
of	of	pp-f	of	of	0
spirituall	spirituall	j	spiritual	spiritual	0
Almes	Almes	n2	Alms	alm	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
edi	edi	n1	edi	edi	0
∣	∣	sy	∣	∣	0
fication	fication	n1	fication	fication	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Temples	Temples	n2	Temples	temple	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
,	,	,	,	,	0
)	)	)	)	)	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
reproach	reproach	n1	reproach	reproach	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
men	men	n2	men	man	0
neglected	neglected	vvd	neglected	neglect	0
,	,	,	,	,	0
delighted	delighted	vvn	delighted	delight	0
in	in	p-acp	in	in	0
of	of	pp-f	of	of	0
few	few	d	few	few	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
derided	derided	vvn	derided	deride	0
:	:	:	:	:	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
day	day	n1	day	day	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
seekes	seekes	vvz	seeks	seek	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
man	man	n1	man	man	0
among	among	p-acp	among	among	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
gap	gap	n1	gap	gap	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
thereof	thereof	av	thereof	thereof	0
become	become	vvb	become	become	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
fading	fading	j-vvg	fading	fade	0
flower	flower	n1	flower	flower	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
light	light	n1	light	light	0
thereof	thereof	av	thereof	thereof	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
shadow	shadow	n1	shadow	shadow	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
not	not	xx	not	not	0
this	this	d	this	this	0
therefore	therefore	av	therefore	therefore	0
a	a	dt	a	a	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
Nicodemus	Nicodemus	np1	Nicodemus	Nicodemus	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
forth	forth	av	forth	forth	0
among	among	p-acp	among	among	0
Ru	Ru	np1	Ru	Ru	0
∣	∣	sy	∣	∣	0
lers	lers	fw-fr	lers	lers	0
,	,	,	,	,	0
Ioseph	Ioseph	np1	Ioseph	Joseph	0
of	of	pp-f	of	of	0
Arimathea	Arimathea	np1	Arimathea	Arimathea	0
among	among	p-acp	among	among	0
Councellors	Councellors	n2	Councillors	councillor	0
,	,	,	,	,	0
and	and	cc	and	and	0
Theophilus	Theophilus	np1	Theophilus	Theophilus	0
among	among	p-acp	among	among	0
No	No	dx	No	no	0
∣	∣	sy	∣	∣	0
bles	bles	n2-jn	bles	ble	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
witnesse	witnesse	n1	witness	witness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
shouting	shouting	vvg	shouting	shout	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cry	cry	vvi	cry	cry	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
grace	grace	vvb	grace	grace	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
any	any	d	any	any	0
way	way	n1	way	way	0
disgraced	disgraced	vvn	disgraced	disgrace	0
?	?	?	?	?	1
Wherfore	Wherfore	q-crq	Wherefore	wherefore	0
if	if	cs	if	if	0
any	any	d	any	any	0
mans	mans	ng1	men	man	0
eye	eye	n1	eye	eye	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
now	now	av	now	now	0
euill	euill	j-jn	evil	evil	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
among	among	p-acp	among	among	0
Nobles	Nobles	np1	Nobles	Nobles	0
and	and	cc	and	and	0
Councellors	Councellors	n2	Councillors	councillor	0
,	,	,	,	,	0
mine	mine	po11	mine	my	0
eyes	eyes	n2	eyes	eye	0
are	are	vbr	are	be	0
thus	thus	av	thus	thus	0
hopefully	hopefully	av-j	hopefully	hopeful	0
fixed	fixed	vvn	fixed	fix	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
gracious	gracious	j	gracious	gracious	0
accla	accla	n1	accla	accla	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
;	;	;	;	;	0
this	this	d	this	this	0
wrong	wrong	n-jn	wrong	wrong	0
(	(	(	(	(	0
if	if	cs	if	if	0
any	any	d	any	any	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
)	)	)	)	)	0
may	may	vmb	may	may	0
easi	easi	n1	easi	easi	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
bee	bee	vbi	be	be	0
forgiuen	forgiuen	vvn	forgiven	forgive	0
mee	mee	pno11	me	i	0
;	;	;	;	;	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
meere	meere	j	mere	mere	0
conscience	conscience	n1	conscience	conscience	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
long	long	av-j	long	long	0
agoe	agoe	av	ago	ago	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
cured	cured	j-vvn	cured	cure	0
mee	mee	pno11	me	i	0
such	such	d	such	such	0
vndeser	vndeser	n1	vndeser	vndeser	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
respect	respect	n1	respect	respect	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
No	No	dx	No	no	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
sithence	sithence	p-acp	since	sithence	0
also	also	av	also	also	0
many	many	d	many	many	0
such	such	d	such	such	0
compas	compas	n1	compass	compass	0
∣	∣	sy	∣	∣	0
sion	sion	n1	sion	sion	0
are	are	vbr	are	be	0
fauours	fauours	n2	favours	favour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
ther	ther	a-acp	there	there	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
rest	rest	n1	rest	rest	1
