SEing	SEing	vvg	Sing	sing	0
mens	mens	ng2	men's	man	0
hearts	hearts	n2	hearts	heart	0
are	are	vbr	are	be	0
surprised	surprised	vvn	surprised	surprise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vvaye	vvaye	n1	way	way	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
buyldeth	buyldeth	vvz	buildeth	build	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
foundation	foundation	n1	foundation	foundation	0
layde	layde	vvn	laid	lay	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
buylde	buylde	vvi	build	build	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ayrc	ayrc	n1	ayrc	air	0
,	,	,	,	,	0
so	so	av	so	so	0
this	this	d	this	this	0
steddie	steddie	j	steady	steady	0
groundworke	groundworke	n1	groundwork	groundwork	0
surely	surely	av-j	surely	sure	0
founded	founded	vvn	founded	found	0
,	,	,	,	,	0
&	&	cc	&	and	0
vvell	vvell	av	well	well	0
beat	beat	vvd	beatrice	beat	0
vpon	vpon	p-acp	upon	upon	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
giue	giue	vvi	give	give	0
an	an	dt	and	a	0
easie	easie	j	easy	easy	0
entraunce	entraunce	n1	entrance	entrance	0
to	to	p-acp	to	to	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
buylding	buylding	n1	building	building	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
vvord	vvord	n1	word	word	0
of	of	pp-f	of	of	0
doctrine	doctrine	n1	doctrine	doctrine	0
and	and	cc	and	and	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Lordes	Lordes	n2	Lords	lord	0
Saintes	Saintes	n2	Saints	saint	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
meanes	meanes	n2	means	mean	0
maye	maye	vmb	may	may	0
through	through	p-acp	through	through	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
be	be	vbi	be	be	0
gathered	gathered	vvn	gathered	gather	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
sayth	sayth	vvz	say	say	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
vvorke	vvorke	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ministery	ministery	n1	ministry	ministry	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
built	built	vvn	built	build	0
vp	vp	a-acp	up	up	0
into	into	p-acp	into	into	0
him	him	pno31	him	he	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
head	head	n1	head	head	0
,	,	,	,	,	0
euen	euen	av	even	even	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
cause	cause	n1	cause	cause	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
,	,	,	,	,	0
gathered	gathered	vvd	gathered	gather	0
these	these	d	these	these	0
directions	directions	n2	directions	direction	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
vvorde	vvorde	n1	word	word	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
perpe	perpe	vvi	perpe	perpe	0
∣	∣	sy	∣	∣	0
tuall	tuall	n1	tuall	tuall	0
testimony	testimony	n1	testimony	testimony	0
to	to	pc-acp	to	to	0
remayne	remayne	vvi	remain	remain	0
vvith	vvith	p-acp	with	with	0
thē	thē	pno32	them	they	0
,	,	,	,	,	0
a	a	dt	a	a	0
consent	consent	n1	consent	consent	0
to	to	p-acp	to	to	0
suche	suche	d	such	such	0
as	as	c-acp	as	as	0
turne	turne	vvb	turn	turn	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
vvitnesse	vvitnesse	vvi	witness	witness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
especially	especially	av-j	especially	especial	0
(	(	(	(	(	0
next	next	ord	next	next	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
foun	foun	n1	foum	foum	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
layde	layde	vvn	laid	lay	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
laboured	laboured	vvn	laboured	labour	0
to	to	pc-acp	to	to	0
leade	leade	vvi	lead	lead	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Supper	Supper	n1	Supper	supper	0
,	,	,	,	,	0
a	a	dt	a	a	0
speciall	speciall	j	special	special	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
firmation	firmation	n1	firmation	firmation	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
promises	promises	n2	promises	promise	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
cō	cō	vvb	con	con	0
∣	∣	sy	∣	∣	0
fort	fort	n1	fort	fort	0
,	,	,	,	,	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
also	also	av	also	also	0
miserably	miserably	av-j	miserably	miserable	0
neglected	neglected	vvn	neglected	neglect	0
and	and	cc	and	and	0
light	light	av-j	light	light	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
accounted	accounted	vvn	accounted	account	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lamentable	lamentable	j	lamentable	lamentable	0
ruine	ruine	n1	ruin	ruin	0
and	and	cc	and	and	0
downefall	downefall	n1	downfall	downfall	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
thousande	thousande	crd	thousande	thousand	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
iudgementes	iudgementes	n2	judgements	judgement	0
stande	stande	vvb	stand	stand	0
inuiolably	inuiolably	av-j	inviolably	inviolable	0
:	:	:	:	:	0
vvhose	vvhose	r-crq	whose	who	0
vvorkes	vvorkes	n2	works	work	0
doth	doth	vdz	does	do	0
testifie	testifie	vvi	testify	testify	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
iustly	iustly	av-j	justly	just	0
in	in	p-acp	in	in	0
daun	daun	n1	daun	daun	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
endles	endles	j	endless	endless	0
indignation	indignation	n1	indignation	indignation	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
prophane	prophane	j	profane	profane	0
his	his	po31	his	his	0
misteries	misteries	n2	mysteries	mystery	0
in	in	p-acp	in	in	0
vnworthines	vnworthines	n1	unworthiness	unworthiness	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
vvhat	vvhat	r-crq	what	what	0
condition	condition	n1	condition	condition	0
or	or	cc	or	or	0
sort	sort	n1	sort	sort	0
soeuer	soeuer	av	soever	soever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
vvith	vvith	p-acp	with	with	0
him	him	pno31	him	he	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
both	both	d	both	both	0
vvhich	vvhich	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
ioyned	ioyned	vvn	joined	join	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
discharge	discharge	n1	discharge	discharge	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
peoples	peoples	ng1	peoples	people	0
safe	safe	j	safe	safe	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
,	,	,	,	,	0
and	and	cc	and	and	0
gathered	gathered	vvd	gathered	gather	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
into	into	p-acp	into	into	0
suche	suche	d	such	such	0
a	a	dt	a	a	0
forme	forme	n1	form	form	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
best	best	av-js	best	best	0
agree	agree	vvi	agree	agree	0
vvith	vvith	p-acp	with	with	0
their	their	po32	their	their	0
experience	experience	n1	experience	experience	0
:	:	:	:	:	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
refusing	refusing	vvg	refusing	refuse	0
or	or	cc	or	or	0
lightly	lightly	av-j	lightly	light	0
accouting	accouting	vvg	accouting	accout	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
labors	labors	n2	labors	labor	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
godly	godly	j	godly	godly	0
brethren	brethren	n2	brothers	brethren	0
as	as	c-acp	as	as	0
haue	haue	vhb	have	have	0
much	much	d	much	much	0
profited	profited	vvn	profited	profit	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lyke	lyke	av-j	like	like	0
vvay	vvay	n1	way	way	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
casting	casting	vvg	casting	cast	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
mytes	mytes	n2	mytes	myte	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
VVidow	VVidow	n1	VVidow	widow	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lotds	Lotds	ng1	Lotds	lotds	0
vvorke	vvorke	n1	work	work	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
vvas	vvas	vbds	was	be	0
specially	specially	av-j	specially	special	0
ment	ment	vvn	meant	mean	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
so	so	av	so	so	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
yeelded	yeelded	vvn	yielded	yield	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
perswasion	perswasion	n1	persuasion	persuasion	0
of	of	pp-f	of	of	0
certayne	certayne	j	certain	certain	0
godly	godly	j	godly	godly	0
friendes	friendes	n2	friends	friend	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
communicate	communicate	vvi	communicate	communicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
suffering	suffering	vvg	suffering	suffer	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
comfort	comfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
blessing	blessing	n1	blessing	blessing	0
it	it	pn31	it	it	0
:	:	:	:	:	0
and	and	cc	and	and	0
testifie	testifie	vvi	testify	testify	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Papistes	Papistes	njp2	Papists	papist	0
the	the	pno32	thee	they	0
Lordes	Lordes	n2	Lords	lord	0
enimies	enimies	n2	enemies	enemy	0
,	,	,	,	,	0
that	that	cst	that	that	0
though	though	cs	though	though	0
the	the	dt	the	the	0
va	va	fw-fr	va	va	0
∣	∣	sy	∣	∣	0
rietie	rietie	n1	rietie	rietie	0
of	of	pp-f	of	of	0
speach	speach	n1	speech	speech	0
be	be	vbb	be	be	0
diuers	diuers	j	diverse	diverse	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
that	that	cst	that	that	0
vvee	vvee	pns12	we	we	0
holde	holde	vvb	hold	hold	0
firmely	firmely	av-j	firmly	firm	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
grounde	grounde	n1	ground	ground	0
and	and	cc	and	and	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
stance	stance	n1	stance	stance	0
of	of	pp-f	of	of	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
amongst	amongst	p-acp	among	among	0
vs	vs	pno12	us	we	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
any	any	d	any	any	0
oddes	oddes	n2	odds	odds	0
or	or	cc	or	or	0
varietie	varietie	n1	variety	variety	0
of	of	pp-f	of	of	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
vvhat	vvhat	r-crq	what	what	0
∣	∣	sy	∣	∣	0
soeuer	soeuer	av	soever	soever	0
they	they	pns32	they	they	0
and	and	cc	and	and	0
their	their	po32	their	their	0
lyke	lyke	av-j	like	like	0
,	,	,	,	,	0
shame	shame	vvb	shame	shame	0
not	not	xx	not	not	0
vniustly	vniustly	av-j	unjustly	unjust	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
agaynst	agaynst	p-acp	against	against	0
vs.	vs.	pno12	us	we	0
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
case	case	n1	case	case	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
vnder	vnder	p-acp	under	under	0
∣	∣	sy	∣	∣	0
goe	goe	vvi	go	go	0
the	the	dt	the	the	0
viewe	viewe	n1	view	view	0
aswell	aswell	av	aswell	aswell	0
of	of	pp-f	of	of	0
foes	foes	n2	foes	foe	0
as	as	c-acp	as	as	0
fauourers	fauourers	n2	favourers	favourer	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	d	that	that	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
assured	assured	vvn	assured	assure	0
of	of	pp-f	of	of	0
fauourable	fauourable	j	favourable	favourable	0
acceptation	acceptation	n1	acceptation	acceptation	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
sunne	sunne	n1	sun	sun	0
neuer	neuer	av	never	never	0
vvan	vvan	j	wan	wan	0
∣	∣	sy	∣	∣	0
teth	teth	vvz	teth	t	0
light	light	vvb	light	light	0
,	,	,	,	,	0
the	the	dt	the	the	0
fyre	fyre	n1	fire	fire	0
heate	heate	n1	heat	heat	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
srostie	srostie	j	srostie	srostie	0
vvynter	vvynter	n1	winter	winter	0
coldnes	coldnes	n1	coldness	coldness	0
:	:	:	:	:	0
so	so	av	so	so	0
haue	haue	vhi	have	have	0
there	there	a-acp	there	there	0
euer	euer	av	ever	ever	0
bene	bene	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvyll	vvyll	vmb	will	will	0
be	be	vbi	be	be	0
,	,	,	,	,	0
plentie	plentie	n1	plenty	plenty	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
vvho	vvho	r-crq	who	who	0
in	in	p-acp	in	in	0
steade	steade	n1	stead	stead	0
of	of	pp-f	of	of	0
vvell	vvell	av	well	well	0
deseruing	deseruing	j-vvg	deserving	deserve	0
,	,	,	,	,	0
