OH	OH	uh	O	oh	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
in	in	p-acp	in	in	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
own	own	d	own	own	0
heart	heart	n1	heart	heart	0
the	the	dt	the	the	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
enemies	enemies	n2	enemies	enemy	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lawes	Lawes	n2	Laws	law	0
and	and	cc	and	and	0
Li	Li	crd	Li	li	0
∣	∣	sy	∣	∣	0
berties	berties	n2	berties	berty	0
:	:	:	:	:	0
Purge	Purge	vvb	Purge	purge	0
me	me	pno11	me	i	0
also	also	av	also	also	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
oh	oh	uh	o	oh	0
purge	purge	vvb	purge	purge	0
me	me	pno11	me	i	0
;	;	;	;	;	0
whilst	whilst	cs	while	while	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
mortality	mortality	n1	mortality	mortality	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
dye	dye	vvi	die	dye	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
die	die	vvb	die	die	0
:	:	:	:	:	0
So	So	av	So	so	0
prayes	prayes	vvz	prays	pray	0
thy	thy	po21	thy	thy	0
weak	weak	j	weak	weak	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
sons	sons	n2	sons	son	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
cruel	cruel	j	cruel	cruel	0
bondage	bondage	n1	bondage	bondage	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
men	men	n2	men	man	0
and	and	cc	and	and	0
freedom	freedom	n1	freedom	freedom	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
Whilest	Whilest	cs	Whilst	while	0
th'	th'	dt	the	the	0
Authour	Authour	n1	Author	author	0
striveth	striveth	vvz	striveth	strive	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Countries	Countries	ng1	Countries	country	0
good	good	j	good	good	0
,	,	,	,	,	0
An	An	dt	And	a	0
under-Tyrant	under-Tyrant	n1	under-Tyrant	under-tyrant	0
thirsteth	thirsteth	vvz	thirsteth	thirst	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
blood	blood	n1	blood	blood	0
.	.	.	.	.	1
His	His	po31	His	his	0
Gaoler	Gaoler	n1	Gaoler	gaoler	0
Whichcock	Whichcock	np1	Whichcock	Whichcock	0
arbitrarily	arbitrarily	av-jn	arbitrarily	arbitrary	0
Heapeth	Heapeth	vvz	Heapeth	heap	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
greater	greater	jc	greater	great	0
Tyranny	Tyranny	n1	Tyranny	tyranny	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
deer-bought	deer-bought	j	deer-bought	deer-bought	0
Freedom	Freedom	n1	Freedom	freedom	0
now's	now's	av|vbz	now's	now|be	0
not	not	xx	not	not	0
worth	worth	j	worth	worth	0
a	a	dt	a	a	0
straw	straw	n1	straw	straw	0
:	:	:	:	:	0
Let	Let	vvb	Let	let	0
all	all	d	all	all	0
men	men	n2	men	man	0
judg	judg	vvb	judge	judge	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
Whitchcock's	Whitchcock's	npg1	Whitchcock's	whitchcock	0
will's	will's	n1|vbz	will's	will|be	0
a	a	dt	a	a	0
Law	Law	n1	Law	law	0
.	.	.	.	.	1
FINIS	FINIS	fw-la	FINIS	finis	0
.	.	.	.	.	1
