GEntlemen	GEntlemen	n2	GEntlemen	gentleman	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
profess	profess	vvb	profess	profess	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
conjure	conjure	vvi	conjure	conjure	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
Adversary	Adversary	n1	Adversary	adversary	0
fair	fair	j	fair	fair	0
play	play	n1	play	play	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
if	if	cs	if	if	0
any	any	d	any	any	0
person	person	n1	person	person	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
shall	shall	vmb	shall	shall	0
pretend	pretend	vvi	pretend	pretend	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
aggrieved	aggrieved	vvn	aggrieved	aggrieve	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
POEM	POEM	n1	POEM	poem	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
bear	bear	vvi	bear	bear	0
it	it	pn31	it	it	0
patiently	patiently	av-j	patiently	patient	0
;	;	;	;	;	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
Licentiousness	Licentiousness	n1	Licentiousness	licentiousness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Absolom	Absolom	np1	Absolom	Absolom	0
and	and	cc	and	and	0
Achitophel	Achitophel	np1	Achitophel	Achitophel	0
has	has	vhz	has	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
sole	sole	j	sole	sole	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Li	Li	crd	Li	li	0
∣	∣	sy	∣	∣	0
berty	berty	n1	berty	berty	0
of	of	pp-f	of	of	0
This	This	d	This	this	0
,	,	,	,	,	0
I	I	pns11	I	i	0
having	having	vhg	having	have	0
only	only	av-j	only	only	0
taken	taken	vvn	taken	take	0
the	the	dt	the	the	0
Measure	Measure	n1	Measure	measure	0
of	of	pp-f	of	of	0
My	My	po11	My	my	0
Weapon	Weapon	n1	Weapon	weapon	0
;	;	;	;	;	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Length	Length	n1	Length	length	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Rules	Rules	n2	Rules	rule	0
of	of	pp-f	of	of	0
Honour	Honour	n1	Honour	honour	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
you	you	pn22	you	you	0
;	;	;	;	;	0
especially	especially	av-j	especially	especial	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
boldness	boldness	n1	boldness	boldness	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Ingenious	Ingenious	j	Ingenious	ingenious	0
Piece	Piece	n1	Piece	piece	0
,	,	,	,	,	0
was	was	vbds	was	be	0
wholly	wholly	av-jn	wholly	whole	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Encouragement	Encouragement	n1	Encouragement	encouragement	0
you	you	pn22	you	you	0
gave	gave	vvd	gave	give	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
;	;	;	;	;	0
and	and	cc	and	and	0
'tis	'tis	pn31|vbz	it's	it|be	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
Boldness	Boldness	n1	Boldness	boldness	0
only	only	av-j	only	only	0
that	that	cst	that	that	0
this	this	d	this	this	0
POEM	POEM	n1	POEM	poem	0
takes	takes	vvz	takes	take	0
its	its	po31	its	its	0
Birth	Birth	n1	Birth	birth	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
his	his	po31	his	his	0
daring	daring	j-vvg	daring	dare	0
Pen	Pen	n1	Pen	pen	0
brought	brought	vvd	brought	bring	0
that	that	cst	that	that	0
Piece	Piece	n1	Piece	piece	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
so	so	av	so	so	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
troubling	troubling	vvg	troubling	trouble	0
my	my	po11	my	my	0
self	self	n1	self	self	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Sub	Sub	fw-la	Sub	sub	0
∣	∣	sy	∣	∣	0
ject	ject	j-jn	ject	ject	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
kind	kind	n1	kind	kind	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
justly	justly	av-j	justly	just	0
say	say	vvi	say	say	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
sence	sence	n1	sense	sense	0
,	,	,	,	,	0
the	the	dt	the	the	0
Writer	Writer	n1	Writer	writer	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Absolom	Absolom	np1	Absolom	Absolom	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
.	.	.	.	.	1
This	This	d	This	this	0
favour	favour	n1	favour	favour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
Iu	Iu	p-acp	Ju	in	0
∣	∣	sy	∣	∣	0
stice	stice	n1	stice	stice	0
due	due	j-jn	due	due	0
,	,	,	,	,	0
obtain'd	obtain'd	vvn	obtained	obtain	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
trouble	trouble	vvi	trouble	trouble	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
long	long	j	long	long	0
Preface	Preface	n1	Preface	preface	0
,	,	,	,	,	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
tedious	tedious	j	tedious	tedious	0
Compliment	Compliment	n1	Compliment	compliment	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Door	Door	n1	Door	door	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
in	in	p-acp	in	in	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Entertainment	Entertainment	n1	Entertainment	entertainment	0
.	.	.	.	.	1
Onely	Onely	j	Only	only	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
forbear	forbear	vvi	forbear	forbear	0
telling	telling	vvg	telling	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
one	one	pi	one	one	0
thing	thing	n1	thing	thing	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
a	a	dt	a	a	0
little	little	j	little	little	0
concern'd	concern'd	vvn	concerned	concern	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Tories	Tories	n2	Tories	tory	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Absoloms	Absoloms	n2	Absoloms	absolom	0
and	and	cc	and	and	0
Achitophels	Achitophels	npg1	Achitophels	Achitophel	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Grinning	Grinning	j-vvg	Grinning	grin	0
Satyres	Satyres	n2	Satires	satyr	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Whiggs	Whiggs	n2	Whiggs	whigg	0
,	,	,	,	,	0
have	have	vhb	have	have	0
this	this	d	this	this	0
one	one	crd	one	one	0
unpardonable	unpardonable	j	unpardonable	unpardonable	0
Fault	Fault	n1	Fault	fault	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
Lash	Lash	n1	Lash	lash	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
David	David	np1	David	David	0
,	,	,	,	,	0
than	than	cs	than	than	0
an	an	dt	and	a	0
Achitophel	Achitophel	np1	Achitophel	Achitophel	0
;	;	;	;	;	0
whilst	whilst	cs	while	while	0
the	the	dt	the	the	0
running	running	vvg	running	run	0
down	down	a-acp	down	down	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
PLOT	PLOT	n1	PLOT	plot	0
at	at	p-acp	at	at	0
so	so	av	so	so	0
extravagant	extravagant	j	extravagant	extravagant	0
a	a	dt	a	a	0
rate	rate	n1	rate	rate	0
,	,	,	,	,	0
savours	savours	n2	savours	savour	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
little	little	j	little	little	0
less	less	dc	less	less	0
(	(	(	(	(	0
pardon	pardon	vvb	pardon	pardon	0
the	the	dt	the	the	0
Expression	Expression	n1	Expression	expression	0
)	)	)	)	)	0
than	than	cs	than	than	0
ridicu	ridicu	n1	ridicu	ridicu	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
of	of	pp-f	of	of	0
Majesty	Majesty	n1	Majesty	majesty	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
turning	turning	vvg	turning	turn	0
all	all	d	all	all	0
those	those	d	those	those	0
several	several	j	several	several	0
Royal	Royal	j	Royal	royal	0
Speeches	Speeches	n2	Speeches	speech	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
into	into	p-acp	into	into	0
those	those	d	those	those	0
double-tongu'd	double-tongu'd	j	double-tongued	double-tongued	0
Oracles	Oracles	n2	Oracles	oracle	0
that	that	cst	that	that	0
sounded	sounded	vvd	sounded	sound	0
one	one	crd	one	one	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
meant	meant	vvd	meant	mean	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
this	this	d	this	this	0
unmannerly	unmannerly	j	unmannerly	unmannerly	0
Boldness	Boldness	n1	Boldness	boldness	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
branding	branding	j-vvg	branding	brand	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
Iustice	Iustice	n1	Justice	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
affronting	affronting	vvg	affronting	affront	0
even	even	av	even	even	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
push	push	vvi	push	push	0
the	the	dt	the	the	0
humour	humour	n1	humour	humour	0
a	a	dt	a	a	0
little	little	j	little	little	0
farther	farther	av-jc	farther	far	0
,	,	,	,	,	0
you	you	pn22	you	you	0
run	run	vvb	run	run	0
into	into	p-acp	into	into	0
ten	ten	crd	ten	ten	0
times	times	n2	times	time	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Vice	Vice	n1	Vice	vice	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
stin	stin	n1	stin	stin	0
too	too	av	too	too	0
)	)	)	)	)	0
than	than	cs	than	than	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
so	so	av	so	so	0
severely	severely	av-j	severely	severe	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
veigh	veigh	vvb	veigh	veigh	0
against	against	p-acp	against	against	0
:	:	:	:	:	0
and	and	cc	and	and	0
whilst	whilst	cs	while	while	0
a	a	dt	a	a	0
POPISH	POPISH	j	POPISH	popish	0
PLOT	PLOT	n1	PLOT	plot	0
through	through	p-acp	through	through	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
sufficient	sufficient	j	sufficient	sufficient	0
Circumstances	Circumstances	n2	Circumstances	circumstance	0
,	,	,	,	,	0
and	and	cc	and	and	0
credible	credible	j	credible	credible	0
Witnesses	Witnesses	n2	Witnesses	witness	0
,	,	,	,	,	0
miscarries	miscarries	vvz	miscarries	miscarry	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
a	a	dt	a	a	0
PROTESTANT	PROTESTANT	n1	PROTESTANT	protestant	0
PLOT	PLOT	n1	PLOT	plot	0
without	without	p-acp	without	without	0
either	either	d	either	either	0
Witness	Witness	n1	Witness	witness	0
or	or	cc	or	or	0
Circumstance	Circumstance	n1	Circumstance	circumstance	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
goes	goes	vvz	goes	go	0
currant	currant	n1	currant	currant	0
.	.	.	.	.	1
Nay	Nay	uh-x	Nay	nay	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
so	so	av	so	so	0
far	far	av-j	far	far	0
now	now	av	now	now	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
former	former	j	former	former	0
niceties	niceties	n2	niceties	nicety	0
and	and	cc	and	and	0
scruples	scruples	n2	scruples	scruple	0
,	,	,	,	,	0
and	and	cc	and	and	0
disputing	disputing	vvg	disputing	dispute	0
about	about	p-acp	about	about	0
raising	raising	vvg	raising	raise	0
of	of	pp-f	of	of	0
Armies	Armies	n2	Armies	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
one	one	crd	one	one	0
Commission	Commission	n1	Commission	commission	0
found	found	vvn	found	find	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
swallow	swallow	vvi	swallow	swallow	0
the	the	dt	the	the	0
raising	raising	n-vvg	raising	raise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
whole	whole	j-jn	whole	whole	0
Protestant	Protestant	n1	Protestant	protestant	0
ARMY	ARMY	n1	ARMY	army	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
either	either	d	either	either	0
Commissi	Commissi	np1	Commissi	Commissi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
or	or	cc	or	or	0
Commission-Officer	Commission-Officer	n1	Commission-Officer	commission-officer	0
;	;	;	;	;	0
Nay	Nay	uh-x	Nay	nay	0
,	,	,	,	,	0
the	the	dt	the	the	0
very	very	j	very	very	0
When	When	c-crq	When	when	0
,	,	,	,	,	0
Where	Where	q-crq	Where	where	0
,	,	,	,	,	0
and	and	cc	and	and	0
How	How	c-crq	How	how	0
,	,	,	,	,	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Consideration	Consideration	n1	Consideration	consideration	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
true	true	j	true	true	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
Cry	Cry	n1	Cry	cry	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
Nations	Nations	n2	Nations	nation	0
Eyes	Eyes	n2	Eyes	eye	0
are	are	vbr	are	be	0
opn'd	opn'd	vvn	oped	op	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
afraid	afraid	j	afraid	afraid	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
'tis	'tis	pn31|vbz	it's	it|be	0
onely	onely	j	only	only	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
like	like	vvb	like	like	0
best	best	av-js	best	best	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
your	your	po22	your	your	0
lewd	lewd	j	lewd	lewd	0
Eye-sight	Eye-sight	n1	Eyesight	eyesight	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
got	got	vvn	god	get	0
a	a	dt	a	a	0
damnable	damnable	j	damnable	damnable	0
trick	trick	n1	trick	trick	0
of	of	pp-f	of	of	0
turning	turning	vvg	turning	turn	0
the	the	dt	the	the	0
Perspective	Perspective	n1	Perspective	perspective	0
upon	upon	p-acp	upon	upon	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
and	and	cc	and	and	0
magnifying	magnifying	vvg	magnifying	magnify	0
or	or	cc	or	or	0
diminishing	diminishing	vvg	diminishing	diminish	0
at	at	p-acp	at	at	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
alas	alas	uh	alas	alas	0
,	,	,	,	,	0
all	all	d	all	all	0
talking	talking	vvg	talking	talk	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
impertinent	impertinent	j	impertinent	impertinent	0
,	,	,	,	,	0
and	and	cc	and	and	0
fend	fend	vvb	fend	fend	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
and	and	cc	and	and	0
proing	proing	n-vvg	proing	pro	0
signifie	signifie	vvb	signify	signify	0
just	just	j	just	just	0
nothing	nothing	pi2	nothing	nothing	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
after	after	p-acp	after	after	0
all	all	d	all	all	0
Arguments	Arguments	n2	Arguments	argument	0
,	,	,	,	,	0
both	both	d	both	both	0
Parties	Parties	n2	Parties	party	0
are	are	vbr	are	be	0
so	so	av	so	so	0
irreconcileable	irreconcileable	j	irreconcileable	irreconcileable	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
Abso	Abso	np1	Abso	Abso	0
∣	∣	sy	∣	∣	0
lom	lom	av	lom	lom	0
wisely	wisely	av-j	wisely	wise	0
observed	observed	vvn	observed	observe	0
,	,	,	,	,	0
they'll	they'll	pns32|vmb	they'll	they|will	0
be	be	vbi	be	be	0
Fools	Fools	n2	Fools	fool	0
or	or	cc	or	or	0
Knaves	Knaves	n2	Knaves	knave	0
to	to	p-acp	to	to	0
each	each	d	each	each	0
other	other	n-jn	other	other	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Chapter	Chapter	n1	Chapter	chapter	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
reasonable	reasonable	j	reasonable	reasonable	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
point	point	n1	point	point	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
very	very	av	very	very	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
divide	divide	vvi	divide	divide	0
'em	'em	pno32	they	they	0
between	between	p-acp	between	between	0
'em	'em	pno32	they	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvi	give	give	0
the	the	dt	the	the	0
Food	Food	n1	Food	food	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Tory	Tory	np1	Tory	Tory	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Knave	Knave	n1	Knave	knave	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Whigg	Whigg	n1	Whig	whig	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Tories	Tories	n2	Tories	tory	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
believe	believe	vvi	believe	believe	0
no	no	dx	no	no	0
POPISH	POPISH	j	POPISH	popish	0
PLOT	PLOT	n1	PLOT	plot	0
,	,	,	,	,	0
may	may	vmb	may	may	0
as	as	a-acp	as	as	0
justly	justly	av-j	justly	just	0
come	come	vvn	come	come	0
under	under	p-acp	under	under	0
that	that	d	that	that	0
denomination	denomination	n1	denomination	denomination	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
They	They	pns32	They	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
David	David	np1	David	David	0
tells	tells	vvz	tells	tell	0
us	us	pno12	us	we	0
,	,	,	,	,	0
said	said	vvd	said	say	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Hearts	Hearts	n2	Hearts	heart	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
God	God	n1	God	god	0
.	.	.	.	.	1
And	And	cc	And	and	0
then	then	av	then	then	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
Whiggs	Whiggs	n2	Whiggs	whigg	0
that	that	cst	that	that	0
do	do	vdb	do	do	0
believe	believe	vvi	believe	believe	0
a	a	dt	a	a	0
Popish	Popish	j	Popish	popish	0
Plot	Plot	n1	Plot	plot	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
Knaves	Knaves	n2	Knaves	knave	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
da	da	zz	da	da	0
∣	∣	sy	∣	∣	0
ring	ring	vvb	ring	ring	0
to	to	pc-acp	to	to	0
endeavour	endeavour	vvi	endeavour	endeavour	0
to	to	pc-acp	to	to	0
hinder	hinder	vvi	hinder	hinder	0
the	the	dt	the	the	0
Effects	Effects	n2	Effects	effect	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Popish	Popish	j	Popish	popish	0
Plot	Plot	n1	Plot	plot	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Tories	Tories	n2	Tories	tory	0
are	are	vbr	are	be	0
resolved	resolved	vvn	resolved	resolve	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
near	near	av-j	near	near	0
a	a	dt	a	a	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
clusion	clusion	n1	clusion	clusion	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
one	one	crd	one	one	0
favour	favour	n1	favour	favour	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
beg	beg	vvi	beg	beg	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you'll	you'll	pn22|vmb	you'll	you|will	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
freedom	freedom	n1	freedom	freedom	0
of	of	pp-f	of	of	0
clpping	clpping	vvg	clpping	clp	0
but	but	p-acp	but	but	0
about	about	p-acp	about	about	0
a	a	dt	a	a	0
score	score	n1	score	score	0
of	of	pp-f	of	of	0
years	years	n2	years	year	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
back	back	n1	back	back	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Absolom	Absolom	np1	Absolom	Absolom	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
altogether	altogether	av	altogether	altogether	0
so	so	av	so	so	0
unpardona	unpardona	fw-la	unpardona	unpardona	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
a	a	zz	a	a	0
Poetical	Poetical	j	Poetical	poetical	0
License	License	n1	License	licence	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
we	we	pns12	we	we	0
find	find	vvb	find	find	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
slips	slips	n2	slips	slip	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thr	thr	fw-mi	thr	thr	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
own	own	d	own	own	0
Absolom	Absolom	np1	Absolom	Absolom	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
him	him	pno31	him	he	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Zimri	Zimri	np1	Zimri	Zimri	0
