Illustrious	Illustrious	j	Illustrious	illustrious	0
,	,	,	,	,	0
then	then	av	then	then	0
Right	Right	j-jn	Right	right	0
Reason	Reason	n1	Reason	reason	0
(	(	(	(	(	0
and	and	cc	and	and	0
consequently	consequently	av-j	consequently	consequent	0
true	true	j	true	true	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
and	and	cc	and	and	0
Justice	Justice	n1	Justice	justice	0
)	)	)	)	)	0
are	are	vbr	are	be	0
depos'd	depos'd	vvn	deposed	depose	0
and	and	cc	and	and	0
dethron'd	dethron'd	vvn	dethroned	dethron	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
comes	comes	vvz	comes	come	0
Confusion	Confusion	n1	Confusion	confusion	0
and	and	cc	and	and	0
every	every	d	every	every	0
evill	evill	j-jn	evil	evil	0
work	work	n1	work	work	0
.	.	.	.	.	1
There	There	a-acp	There	there	0
never	never	av	never	never	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
(	(	(	(	(	0
nor	nor	ccx	nor	nor	0
ever	ever	av	ever	ever	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
two	two	crd	two	two	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
Polititians	Polititians	n2	Politicians	politician	0
in	in	p-acp	in	in	0
Christendom	Christendom	np1	Christendom	Christendom	0
:	:	:	:	:	0
The	The	dt	The	the	0
one	one	pi	one	one	0
thinks	thinks	vvz	thinks	think	0
Justice	Justice	n1	Justice	justice	0
,	,	,	,	,	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
and	and	cc	and	and	0
Honesty	Honesty	n1	Honesty	honesty	0
the	the	dt	the	the	0
best	best	js	best	best	0
Policy	Policy	n1	Policy	policy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
blessed	blessed	j-vvn	blessed	bless	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
the	the	dt	the	the	0
Apo	Apo	p-acp	Upon	upon	0
∣	∣	sy	∣	∣	0
stles	stles	n2	stles	stle	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
Christians	Christians	np1	Christians	Christians	0
that	that	cst	that	that	0
follow	follow	vvi	follow	follow	0
their	their	po32	their	their	0
steps	steps	n2	steps	step	0
.	.	.	.	.	1
The	The	dt	The	the	0
other	other	n-jn	other	other	0
makes	makes	vvz	makes	make	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
Justice	Justice	n1	Justice	justice	0
and	and	cc	and	and	0
Religion	Religion	n1	Religion	religion	0
too	too	av	too	too	0
(	(	(	(	(	0
some	some	d	some	some	0
∣	∣	sy	∣	∣	0
times	times	n2	times	time	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
no	no	dx	no	no	0
further	further	jc	further	further	0
than	than	cs	than	than	0
they	they	pns32	they	they	0
serve	serve	vvb	serve	serve	0
his	his	po31	his	his	0
Politick	Politick	j	Politic	politic	0
turn	turn	n1	turn	turn	0
,	,	,	,	,	0
his	his	po31	his	his	0
worldly	worldly	j	worldly	worldly	0
greatness	greatness	n1	greatness	greatness	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
;	;	;	;	;	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
Justice	Justice	n1	Justice	justice	0
and	and	cc	and	and	0
Christian	Christian	np1	Christian	Christian	0
Religion	Religion	n1	Religion	religion	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
bring	bring	vvi	bring	bring	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
tries	tries	vvz	tries	try	0
what	what	r-crq	what	what	0
Oppression	Oppression	n1	Oppression	oppression	0
and	and	cc	and	and	0
Superstition	Superstition	n1	Superstition	superstition	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
this	this	d	this	this	0
Brute	Brute	n1	Brutus	brute	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
an	an	dt	and	a	0
Immortal	Immortal	j	Immortal	immortal	0
Soul	Soul	n1	Soul	soul	0
)	)	)	)	)	0
never	never	av-x	never	never	0
looks	looks	vvz	looks	look	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
Hea	Hea	zz	Hea	hea	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
takes	takes	vvz	takes	take	0
his	his	po31	his	his	0
measures	measures	n2	measures	measure	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
Made	Made	vvd	Made	make	0
and	and	cc	and	and	0
Rules	Rules	vvz	Rules	rule	0
the	the	dt	the	the	0
World	World	n1	World	world	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
giveth	giveth	vvz	gives	give	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
∣	∣	sy	∣	∣	0
soever	soever	av	soever	soever	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
calculates	calculates	vvz	calculates	calculate	0
all	all	d	all	all	0
his	his	po31	his	his	0
Plots	Plots	n2	Plots	plot	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
terminates	terminates	vvz	terminates	terminate	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
his	his	po31	his	his	0
Plots	Plots	n2	Plots	plot	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Devil	Devil	n1	Devil	devil	0
ail	ail	vvi	ail	ail	0
him	him	pno31	him	he	0
,	,	,	,	,	0
like	like	av-j	like	like	0
Achitophet	Achitophet	n1	Achitophet	achitophet	0
,	,	,	,	,	0
he	he	pns31	he	he	0
does	does	vdz	does	do	0
(	(	(	(	(	0
or	or	cc	or	or	0
is	is	vbz	is	be	0
ready	ready	j	ready	ready	0
to	to	p-acp	to	to	0
)	)	)	)	)	0
hang	hang	vvb	hang	hang	0
himself	himself	px31	himself	himself	0
;	;	;	;	;	0
or	or	cc	or	or	0
like	like	av-j	like	like	0
that	that	cst	that	that	0
Brute	Brute	np1	Brute	Brutus	0
,	,	,	,	,	0
the	the	dt	the	the	0
King	King	n1	King	king	0
(	(	(	(	(	0
Ne	Ne	ccx	Ne	ne	0
∣	∣	sy	∣	∣	0
bucadnezzar	bucadnezzar	n1	bucadnezzar	bucadnezzar	0
)	)	)	)	)	0
driven	driven	vvn	driven	drive	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
People	People	n1	People	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
turned	turned	vvd	turned	turn	0
to	to	p-acp	to	to	0
Grass	Grass	n1	Grass	grass	0
,	,	,	,	,	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
Brute	Brute	n1	Brutus	brute	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
he	he	pns31	he	he	0
knew	knew	vvd	knew	know	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
High	High	j	High	high	0
R	R	zz	R	r	0
∣	∣	sy	∣	∣	0
leth	leth	vvz	leth	le	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
and	and	cc	and	and	0
giveth	giveth	vvz	gives	give	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
whom	whom	ro-crq	whom	who	0
∣	∣	sy	∣	∣	0
soever	soever	av	soever	soever	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
Saviour	Saviour	n1	Saviour	saviour	0
says	says	vvz	says	say	0
his	his	po31	his	his	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
World	World	n1	World	world	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
therefore	therefore	av	therefore	therefore	0
we	we	pns12	we	we	0
pray	pray	vvb	pray	pray	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
come	come	vvi	come	come	0
,	,	,	,	,	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
wish	wish	vvi	wish	wish	0
,	,	,	,	,	0
much	much	av-d	much	much	0
less	less	av-dc	less	less	0
endeavour	endeavour	vvi	endeavour	endeavour	0
,	,	,	,	,	0
that	that	cst	that	that	0
Antichrist's	Antichrist's	npg1	Antichrist's	Antichrist	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
should	should	vmd	should	shall	0
come	come	vvi	come	come	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
carrying	carrying	vvg	carrying	carry	0
on	on	p-acp	on	on	0
True	True	j	True	true	0
and	and	cc	and	and	0
Pure	Pure	j	Pure	pure	0
Religion	Religion	n1	Religion	religion	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
,	,	,	,	,	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
content	content	vvi	content	content	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
Engines	Engines	n2	Engines	engine	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
propagated	propagated	vvn	propagated	propagate	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
World	World	n1	World	world	0
over	over	a-acp	over	over	0
,	,	,	,	,	0
three	three	crd	three	three	0
hundred	hundred	crd	hundred	hundred	0
years	years	n2	years	year	0
before	before	p-acp	before	before	0
Constantine	Constantine	np1	Constantine	Constantine	0
was	was	vbds	was	be	0
born	born	vvn	born	bear	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
ought	ought	vmd	ought	ought	0
we	we	pns12	we	we	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
the	the	dt	the	the	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
steps	steps	n2	steps	step	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
or	or	cc	or	or	0
Turk	Turk	np1	Turk	Turk	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
Sin	Sin	n1	since	sin	0
,	,	,	,	,	0
are	are	vbr	are	be	0
surely	surely	av-j	surely	sure	0
nouns	nouns	n2	nouns	noun	0
of	of	pp-f	of	of	0
multitude	multitude	n1	multitude	multitude	0
,	,	,	,	,	0
accumulative	accumulative	j	accumulative	accumulative	0
words	words	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
signifie	signifie	vvi	signify	signify	0
those	those	d	those	those	0
that	that	cst	that	that	0
carry	carry	vvb	carry	carry	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
Superstition	Superstition	n1	Superstition	superstition	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
Christ's	Christ's	npg1	Christ's	Christ	0
Religion	Religion	n1	Religion	religion	0
;	;	;	;	;	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
tichrist	tichrist	n1	tichrist	tichrist	0
,	,	,	,	,	0
or	or	cc	or	or	0
against	against	p-acp	against	against	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
sit	sit	vvb	fit	sit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
(	(	(	(	(	0
God's	God's	npg1	God's	God	0
Throne	Throne	n1	Throne	throne	0
)	)	)	)	)	0
commanding	commanding	vvg	commanding	command	0
Souls	Souls	n2	Souls	soul	0
and	and	cc	and	and	0
Consciences	Consciences	n2	Consciences	conscience	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
Gods	Gods	n2	Gods	god	0
;	;	;	;	;	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
limbs	limbs	n2	limbs	limb	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
fall	fall	vvi	fallen	fall	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Finger	Finger	n1	Finger	finger	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
Finger	Finger	n1	Finger	finger	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
was	was	vbds	was	be	0
never	never	av-x	never	never	0
more	more	av-dc	more	more	0
apparently	apparently	av-j	apparently	apparent	0
and	and	cc	and	and	0
mira	mira	fw-gr	mira	mira	0
∣	∣	sy	∣	∣	0
culously	culously	av-j	culously	culous	0
seen	seen	vvn	seen	see	0
,	,	,	,	,	0
than	than	cs	than	than	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
late	late	j	late	late	0
Revolution	Revolution	n1	Revolution	revolution	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
surrection	surrection	n1	surrection	surrection	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Dead	Dead	j	Dead	dead	0
;	;	;	;	;	0
Dead	Dead	j	Dead	dead	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
both	both	d	both	both	0
we	we	pns12	we	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
irreconcileable	irreconcileable	j	irreconcileable	irreconcileable	0
Adversaries	Adversaries	n2	Adversaries	adversary	0
had	had	vhd	had	have	0
past	past	vvn	passed	pass	0
the	the	dt	the	the	0
Sentence	Sentence	n1	Sentence	sentence	0
of	of	pp-f	of	of	0
Death	Death	n1	Death	death	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
unreprievable	unreprievable	j	unreprievable	unreprievable	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
Miracle	Miracle	n1	Miracle	miracle	0
;	;	;	;	;	0
)	)	)	)	)	0
And	And	cc	And	and	0
whoever	whoever	r-crq	whoever	whoever	0
treads	treads	vvz	treads	tread	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
steps	steps	n2	steps	step	0
and	and	cc	and	and	0
Policies	Policies	n2	Policies	policy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Man	Man	n1	Man	man	0
of	of	pp-f	of	of	0
Sin	Sin	n1	since	sin	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Propagating	Propagating	j-vvg	Propagating	propagate	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
with	with	p-acp	with	with	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
can	can	vmb	can	can	0
they	they	pns32	they	they	0
expect	expect	vvi	expect	expect	0
other	other	j-jn	other	other	0
than	than	av	than	then	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
or	or	cc	or	or	0
fall	fall	vvi	fallen	fall	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
ill	ill	j-jn	ill	ill	0
Company	Company	n1	Company	company	0
?	?	?	?	?	1
But	But	p-acp	But	but	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Riders	Riders	n2	Riders	rider	0
are	are	vbr	are	be	0
chang'd	chang'd	vvn	changed	change	0
,	,	,	,	,	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
our	our	po12	our	our	0
heavy	heavy	j	heavy	heavy	0
Burdens	Burdens	n2	Burdens	burden	0
,	,	,	,	,	0
and	and	cc	and	and	0
unrea	unrea	fw-la	unrea	unrea	0
∣	∣	sy	∣	∣	0
sonable	sonable	j	sonable	sonable	0
Loads	Loads	vvz	Loads	load	0
taken	taken	vvn	taken	take	0
off	off	a-acp	off	off	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
chiefly	chiefly	av-jn	chiefly	chief	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
homet	homet	n1	homet	homet	0
made	made	j	made	mad	0
Converts	Converts	vvz	Converts	convert	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Alcoran	Alcoran	np1	Alcoran	Alcoran	0
(	(	(	(	(	0
or	or	cc	or	or	0
Bible	Bible	n1	Bible	bible	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Sword	Sword	n1	Sword	sword	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
motto	motto	n1	motto	motto	0
)	)	)	)	)	0
If	If	cs	If	if	0
one	one	pi	one	one	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
do	do	vdi	do	do	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
shall	shall	vmb	shall	shall	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
Christian	Christian	njp	Christian	christian	0
Turk	Turk	np1	Turk	Turk	0
makes	makes	vvz	makes	make	0
Converts	Converts	vvz	Converts	convert	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Constables	Constables	n2	Constables	constable	0
,	,	,	,	,	0
Hangmen	Hangmen	n2	Hangmen	hangman	0
,	,	,	,	,	0
Jaylors	Jaylors	n2	Jailors	jailer	0
,	,	,	,	,	0
Penal	Penal	j	Penal	penal	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
Tests	Tests	vvz	Tests	test	0
,	,	,	,	,	0
and	and	cc	and	and	0
Troops	Troops	n2	Troops	troop	0
of	of	pp-f	of	of	0
Dragoons	Dragoons	n2	Dragoons	dragoon	0
.	.	.	.	.	1
Will	Will	n1	Will	will	0
the	the	dt	the	the	0
bolder	bolder	jc	bolder	bold	0
English	English	jp	English	english	0
never	never	av	never	never	0
be	be	vbi	be	be	0
wiser	wiser	jc	wiser	wise	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
French-Fashions	French-Fashions	n2	French-Fashions	french-fashion	0
?	?	?	?	?	1
Shall	Shall	vmb	Shall	shall	0
nothing	nothing	pix	nothing	nothing	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
mode	mode	n1	mode	mode	0
here	here	av	here	here	0
,	,	,	,	,	0
(	(	(	(	(	0
no	no	av-dx	no	no	0
,	,	,	,	,	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
neither	neither	av-dx	neither	neither	0
,	,	,	,	,	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
A-la-mode	A-la-mode	n1	Alamode	alamode	0
de	de	fw-fr	de	de	0
Francois	Francois	np1	Francois	Francois	0
?	?	?	?	?	1
Never	Never	av-x	Never	never	0
had	had	vhd	had	have	0
any	any	d	any	any	0
Englishmen	Englishmen	np1	Englishmen	Englishmen	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Trust	Trust	n1	Trust	trust	0
put	put	vvn	put	put	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Power	Power	n1	Power	power	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
than	than	cs	than	than	0
is	is	vbz	is	be	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
yours	yours	po22	yours	your	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
,	,	,	,	,	0
rare	rare	j	rare	rare	0
,	,	,	,	,	0
necessary	necessary	j	necessary	necessary	0
(	(	(	(	(	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
)	)	)	)	)	0
Just	Just	j	Just	just	0
Convention	Convention	n1	Convention	convention	0
.	.	.	.	.	1
You	You	pn22	You	you	0
have	have	vhb	have	have	0
virtually	virtually	av-j	virtually	virtual	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
Kings	Kings	n2	Kings	king	0
and	and	cc	and	and	0
Parliaments	Parliaments	n2	Parliaments	parliament	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
ever	ever	av	ever	ever	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
again	again	av	again	again	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worlds	worlds	n2	world's	world	0
End	End	vvb	End	end	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Breasts	Breasts	n2	Breasts	breast	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
,	,	,	,	,	0
destroy	destroy	vvb	destroy	destroy	0
,	,	,	,	,	0
