May	May	vmb	May	may	0
Hugo	Hugo	np1	Hugo	Hugo	0
Grotius	Grotius	np1	Grotius	Grotius	0
(	(	(	(	(	0
unawares	unawares	av-j	unawares	unaware	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
)	)	)	)	)	0
commended	commended	vvd	commended	commend	0
mee	mee	pno11	me	i	0
and	and	cc	and	and	0
afterwards	afterwards	av	afterwards	afterward	0
carried	carried	vvd	carried	carry	0
me	me	pno11	me	i	0
along	along	a-acp	along	along	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cardinall	Cardinall	n1	Cardinal	cardinal	0
De	De	fw-fr	De	de	0
Richelieu	Richelieu	np1	Richelieu	Richelieu	0
then	then	cs	then	than	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Minister	Minister	n1	Minister	minister	0
d'Estate	d'Estate	j	d'Estate	d'estate	0
de	de	fw-fr	de	de	0
France	France	np1	France	France	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
some	some	d	some	some	0
discourses	discourses	n2	discourses	discourse	0
inviting	inviting	vvg	inviting	invite	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Orient	Orient	j-jn	Orient	orient	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
modest	modest	j	modest	modest	0
refusall	refusall	n1	refusal	refusal	0
alledging	alledging	vvg	alleging	allege	0
my	my	po11	my	my	0
obligations	obligations	n2	obligations	obligation	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
English	English	jp	English	english	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
second	second	ord	second	second	0
and	and	cc	and	and	0
third	third	ord	third	three	0
reply	reply	n1	reply	reply	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
promise	promise	vvi	promise	promise	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
about	about	p-acp	about	about	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hee	hee	pns31	he	he	0
being	being	vbg	being	be	0
unwilling	unwilling	j	unwilling	unwilling	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
do	do	vdi	do	do	0
so	so	av	so	so	0
,	,	,	,	,	0
did	did	vdd	did	do	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
ample	ample	j	ample	ample	0
,	,	,	,	,	0
and	and	cc	and	and	0
large	large	j	large	large	0
commendation	commendation	n1	commendation	commendation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
dismisse	dismisse	vvi	dismiss	dismiss	0
mee	mee	pno11	me	i	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
honorable	honorable	j	honourable	honourable	0
donative	donative	n1	donative	donative	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
nowned	nowned	n1	noun	noun	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
whose	whose	rg-crq	whose	who	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
(	(	(	(	(	0
Anno.	Anno.	np1	Anno.	Anno.	0
1636	1636	crd	1636	1636	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
Courtier	Courtier	n1	Courtier	courtier	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
Sweden	Sweden	np1	Sweden	Sweden	0
,	,	,	,	,	0
)	)	)	)	)	0
had	had	vhd	had	have	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
at	at	p-acp	at	at	0
Stockholme	Stockholme	np1	Stockholme	Stockholme	0
.	.	.	.	.	1
Out	Out	av	Out	out	0
of	of	pp-f	of	of	0
respect	respect	n1	respect	respect	0
also	also	av	also	also	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Pocock	Pocock	np1	Pocock	Pocock	0
.	.	.	.	.	1
Anno.	Anno.	np1	Anno.	Anno.	0
1639.	1639.	crd	1639.	1639.	0
at	at	p-acp	at	at	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
became	became	vvd	became	become	0
very	very	av	very	very	0
active	active	j	active	active	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
behalfe	behalfe	n1	behalf	behalf	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
Lord	Lord	n1	Lord	lord	0
Ambassador	Ambassador	n1	Ambassador	ambassador	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
treasurer	treasurer	n1	treasurer	treasurer	0
his	his	po31	his	his	0
and	and	cc	and	and	0
my	my	po11	my	my	0
host	host	n1	host	host	0
and	and	cc	and	and	0
the	the	dt	the	the	0
consull	consull	n1	consul	consul	0
of	of	pp-f	of	of	0
Smyrna	Smyrna	np1	Smyrna	Smyrna	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Edward	Edward	np1	Edward	Edward	0
Stringer	Stringer	np1	Stringer	Stringer	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
&	&	cc	&	and	0
excellently	excellently	av-j	excellently	excellent	0
learned	learned	j	learned	learned	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
sake	sake	n1	sake	sake	0
were	were	vbdr	were	be	0
never	never	av-x	never	never	0
weary	weary	j	weary	weary	0
of	of	pp-f	of	of	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fording	fording	vvg	fording	ford	0
mee	mee	pno11	me	i	0
all	all	d	all	all	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
testing	testing	vvg	testing	test	0
frequently	frequently	av-j	frequently	frequent	0
this	this	d	this	this	0
humble	humble	j	humble	humble	0
respect	respect	n1	respect	respect	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
;	;	;	;	;	0
And	And	cc	And	and	0
after	after	p-acp	after	after	0
my	my	po11	my	my	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
turne	turne	vvb	turn	turn	0
home	home	av-an	home	home	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
so	so	av	so	so	0
freely	freely	av-j	freely	free	0
and	and	cc	and	and	0
large	large	av-j	large	large	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
of	of	a-acp	of	off	0
your	your	po22	your	your	0
Bounty	Bounty	n1	Bounty	bounty	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
had	had	vhn	had	have	0
all	all	d	all	all	0
along	along	p-acp	along	along	0
an	an	dt	and	a	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
rich	rich	j	rich	rich	0
supply	supply	n1	supply	supply	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
;	;	;	;	;	0
the	the	dt	the	the	0
considerati	considerati	fw-la	considerati	considerati	0
∣	∣	sy	∣	∣	0
on	on	pi	on	one	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
this	this	d	this	this	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
stranger	stranger	n1	stranger	stranger	0
one	one	pi	one	one	0
never	never	av	never	never	0
seene	seene	vvn	seen	see	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
motion	motion	n1	motion	motion	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
Doctor	Doctor	n1	Doctor	doctor	0
Elichman	Elichman	np1	Elichman	Elichman	0
,	,	,	,	,	0
Lud.	Lud.	np1	Lud.	Lud.	0
De	De	fw-fr	De	de	0
Dieu	Dieu	fw-fr	Dieu	dieu	0
,	,	,	,	,	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
Gerhardus	Gerhardus	fw-la	Gerhardus	gerhardus	0
Vossius	Vossius	np1	Vossius	Vossius	0
,	,	,	,	,	0
that	that	cst	that	that	0
such	such	d	such	such	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
paralled	paralled	j-vvn	paralled	paral	0
honour	honour	n1	honour	honour	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
and	and	cc	and	and	0
bounty	bounty	n1	bounty	bounty	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
done	done	vdn	done	do	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
layes	layes	vvz	lays	lay	0
an	an	dt	and	a	0
unpara	unpara	fw-it	unpara	unpara	0
∣	∣	sy	∣	∣	0
lel'd	lel'd	j	leled	leled	0
burthen	burthen	n1	burden	burden	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
shoulders	shoulders	n2	shoulders	shoulder	0
worthily	worthily	av-j	worthily	worthy	0
to	to	pc-acp	to	to	0
testify	testify	vvi	testify	testify	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
also	also	av	also	also	0
prevents	prevents	vvz	prevents	prevent	0
mee	mee	pno11	me	i	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
alone	alone	av-j	alone	alone	0
is	is	vbz	is	be	0
left	left	vvn	left	leave	0
me	me	pno11	me	i	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
to	to	pc-acp	to	to	0
testify	testify	vvi	testify	testify	0
my	my	po11	my	my	0
thankfull	thankfull	j	thankful	thankful	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
favours	favours	n2	favours	favour	0
;	;	;	;	;	0
you	you	pn22	you	you	0
honourably	honourably	av-j	honourably	honourable	0
make	make	vvb	make	make	0
men	men	n2	men	man	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
unknowne	unknowne	j	unknown	unknown	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
most	most	av-ds	most	most	0
learned	learned	j	learned	learned	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
Ger.	Ger.	np1	Ger.	Ger.	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
Vossi	Vossi	np1	Vossi	Vossi	0
∣	∣	sy	∣	∣	0
us	us	pno12	us	we	0
de	de	fw-la	de	de	0
Symbolis	Symbolis	fw-la	Symbolis	symbolis	0
lately	lately	av-j	lately	late	0
setforth	setforth	zz	setforth	setforth	0
,	,	,	,	,	0
calling	calling	vvg	calling	call	0
me	me	pno11	me	i	0
yours	yours	png22	yours	you	0
(	(	(	(	(	0
Noster	Noster	np1	Noster	Noster	0
Ravius	Ravius	np1	Ravius	Ravius	0
)	)	)	)	)	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
so	so	av	so	so	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
;	;	;	;	;	0
I	I	pns11	I	i	0
esteeme	esteeme	vvb	esteem	esteem	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
your	your	po22	your	your	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
gratious	gratious	j	gracious	gracious	0
Father	Father	n1	Father	father	0
that	that	cst	that	that	0
provides	provides	vvz	provides	provide	0
for	for	p-acp	for	for	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
a	a	dt	a	a	0
Father	Father	n1	Father	father	0
;	;	;	;	;	0
A	A	dt	A	a	0
Father	Father	n1	Father	father	0
knowes	knowes	vvz	knows	know	0
his	his	po31	his	his	0
Son	Son	n1	Son	son	0
for	for	p-acp	for	for	0
whom	whom	ro-crq	whom	who	0
hee	hee	pns31	he	he	0
provides	provides	vvz	provides	provide	0
,	,	,	,	,	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
never	never	av-x	never	never	0
saw	saw	vvd	saw	see	0
.	.	.	.	.	1
You	You	pn22	You	you	0
have	have	vhb	have	have	0
still	still	av	still	still	0
the	the	dt	the	the	0
same	same	d	same	same	0
gratious	gratious	j	gracious	gracious	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
mee	mee	pno11	me	i	0
and	and	cc	and	and	0
my	my	po11	my	my	0
lectures	lectures	n2	lectures	lecture	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
is	is	vbz	is	be	0
pleased	pleased	vvn	pleased	please	0
to	to	p-acp	to	to	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
quire	quire	n1	choir	choir	0
the	the	cs	the	than	0
successe	successe	n1	success	success	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
excuse	excuse	vvi	excuse	excuse	0
or	or	cc	or	or	0
deplore	deplore	vvi	deplore	deplore	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
creeping	creeping	j-vvg	creeping	creep	0
and	and	cc	and	and	0
weake	weake	j	weak	weak	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
Vltra	Vltra	fw-la	Vltra	ultra	0
posse	posse	fw-la	posse	posse	0
nemo	nemo	np1	nemo	Nemo	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
ligatur	ligatur	fw-la	ligatur	ligatur	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
speake	speake	vvb	speak	speak	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
tuition	tuition	n1	tuition	tuition	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
small	small	j	small	small	0
offer	offer	n1	offer	offer	0
;	;	;	;	;	0
If	If	cs	If	if	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
teines	teines	vvz	teines	teine	0
bee	bee	vbi	be	be	0
truth	truth	n1	truth	truth	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
learn	learn	vvi	learn	learn	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
fatherly	fatherly	j	fatherly	fatherly	0
care	care	n1	care	care	0
)	)	)	)	)	0
the	the	av	the	then	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fer	fer	fw-fr	fer	fer	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
great	great	j	great	great	0
;	;	;	;	;	0
if	if	cs	if	if	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
false	false	j	false	false	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
conceit	conceit	n1	conceit	conceit	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
heady	heady	j	heady	heady	0
braine	braine	n1	brain	brain	0
,	,	,	,	,	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Booke	Booke	n1	Book	book	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
would	would	vmd	would	will	0
justly	justly	av-j	justly	just	0
bee	bee	vbi	be	be	0
loathsome	loathsome	j	loathsome	loathsome	0
and	and	cc	and	and	0
detest	detest	vvb	detest	detest	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
sight	sight	n1	sighed	sight	0
.	.	.	.	.	1
Eruditi	Eruditi	np1	Eruditi	Eruditi	0
possunt	possunt	fw-la	possunt	possunt	0
judicare	judicare	fw-la	judicare	judicare	0
,	,	,	,	,	0
rudes	rudes	vvz	rudes	rude	0
discere	discere	fw-la	discere	discere	0
,	,	,	,	,	0
scioli	scioli	fw-it	scioli	scioli	0
neu	neu	fw-fr	neu	neu	0
∣	∣	sy	∣	∣	0
trum	trum	n1	trum	trum	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taught	taught	vvn	taught	teach	0
better	better	jc	better	better	0
if	if	cs	if	if	0
here	here	av	here	here	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
amise	amise	av	amiss	amiss	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
written	written	vvn	written	write	0
a	a	dt	a	a	0
truth	truth	n1	truth	truth	0
and	and	cc	and	and	0
a	a	dt	a	a	0
beneficiall	beneficiall	j	beneficial	beneficial	0
one	one	pi	one	one	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
amisse	amisse	av	amiss	amiss	0
.	.	.	.	.	1
I	I	pns11	I	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
fesse	fesse	n1	fesse	fesse	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
part	part	vvi	part	part	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
returne	returne	vvb	return	return	0
more	more	av-dc	more	more	0
learned	learned	j	learned	learned	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
esteeme	esteeme	vvb	esteem	esteem	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
farre	farre	av-j	far	far	0
more	more	av-dc	more	more	0
confirmed	confirmed	vvn	confirmed	confirm	0
,	,	,	,	,	0
and	and	cc	and	and	0
resolved	resolved	vvd	resolved	resolve	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
following	following	vvg	following	follow	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pious	pious	j	pious	pious	0
,	,	,	,	,	0
meeke	meeke	j	meek	meek	0
,	,	,	,	,	0
humble	humble	j	humble	humble	0
,	,	,	,	,	0
sincere	sincere	j	sincere	sincere	0
,	,	,	,	,	0
unfeigned	unfeigned	j	unfeigned	unfeigned	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
versation	versation	n1	versation	versation	0
,	,	,	,	,	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
attain	attain	vvi	attain	attain	0
the	the	dt	the	the	0
learning	learning	n1	learning	learning	0
and	and	cc	and	and	0
exact	exact	j	exact	exact	0
judgement	judgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
endeavour	endeavour	vvi	endeavour	endeavour	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
higher	higher	jc	higher	high	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
and	and	cc	and	and	0
nearer	nearer	jc	nearer	near	0
proportion	proportion	n1	proportion	proportion	0
to	to	p-acp	to	to	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
taine	taine	zz	taine	taine	0
your	your	po22	your	your	0
Christian	Christian	np1	Christian	Christian	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
shewed	shewed	vvd	showed	show	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
unparallel'd	unparallel'd	j	unparalleled	unparalleled	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
outstrips	outstrips	vvz	outstrips	outstrip	0
all	all	d	all	all	0
th	th	dt	that	the	0
Archbishops	Archbishops	ng1	Archbishop's	archbishop	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
truely	truely	av-j	truly	true	0
ready	ready	j	ready	ready	0
