THEMISTOCLES	THEMISTOCLES	npg1	THEMISTOCLES	Themistocles	0
tunge	tunge	n1	tongue	tongue	0
haue	haue	vhb	have	have	0
delited	delited	vvn	delighted	delight	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
priuate	priuate	j	private	private	0
commoditie	commoditie	n1	commodity	commodity	0
,	,	,	,	,	0
or	or	cc	or	or	0
elles	elles	av	else	else	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
eftsones	eftsones	av	eftsoon	eftsoon	0
spoken	spoken	vvn	spoken	speak	0
in	in	p-acp	in	in	0
peece	peece	n1	piece	piece	0
∣	∣	sy	∣	∣	0
meale	meale	n1	meal	meal	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
interpreter	interpreter	n1	interpreter	interpreter	0
to	to	p-acp	to	to	0
suche	suche	d	such	such	0
as	as	c-acp	as	as	0
desired	desired	vvd	desired	desire	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
his	his	po31	his	his	0
mynde	mynde	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
his	his	po31	his	his	0
principles	principles	n2	principles	principle	0
:	:	:	:	:	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
how	how	c-crq	how	how	0
vnperfect	vnperfect	j	unperfect	unperfect	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
The	The	av	The	then	0
▪	▪	▪	▪	▪	0
mystocles	mystocles	n2	mystocles	mystocle	0
and	and	cc	and	and	0
experience	experience	n1	experience	experience	0
teache	teache	vvi	teach	teach	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
nowe	nowe	av	now	now	0
,	,	,	,	,	0
though	though	cs	though	though	0
late	late	av-j	late	late	0
in	in	p-acp	in	in	0
deede	deede	n1	deed	deed	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
al	al	d	all	all	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
,	,	,	,	,	0
beside	beside	p-acp	beside	beside	0
his	his	po31	his	his	0
three	three	crd	three	three	0
principal	principal	j-jn	principal	principal	0
languages	languages	n2	languages	language	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
haunted	haunted	vvn	haunted	haunt	0
all	all	d	all	all	0
the	the	dt	the	the	0
Courtes	Courtes	n2	Courts	court	0
of	of	pp-f	of	of	0
Christendome	Christendome	np1	Christendome	Christendom	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
is	is	vbz	is	be	0
beecome	beecome	vvb	become	become	0
an	an	dt	and	a	0
Englishman	Englishman	np1	Englishman	Englishman	0
[	[	[	[	[	0
whiche	whiche	r-crq	which	which	0
many	many	d	many	many	0
a	a	dt	a	a	0
longe	longe	j	long	long	0
tyme	tyme	n1	time	time	0
haue	haue	vhb	have	have	0
wyshed	wyshed	vvn	wished	wish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
fewe	fewe	d	few	few	0
attempted	attempted	vvn	attempted	attempt	0
and	and	cc	and	and	0
none	none	pix	none	none	0
atchieued	atchieued	vvn	achieved	achieve	0
]	]	]	]	]	0
and	and	cc	and	and	0
welwilling	welwilling	j-u	welwilling	welwilling	0
to	to	pc-acp	to	to	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
plight	plight	n1	plighted	plight	0
to	to	pc-acp	to	to	0
tel	tel	vvi	tell	tell	0
his	his	po31	his	his	0
own	own	d	own	own	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
whose	whose	rg-crq	whose	who	0
commendation	commendation	n1	commendation	commendation	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
neede	neede	vvi	need	need	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
any	any	d	any	any	0
long	long	j	long	long	0
processe	processe	n1	process	process	0
of	of	pp-f	of	of	0
woordes	woordes	n2	words	word	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
so	so	av	so	so	0
well	well	av	well	well	0
speak	speak	vvi	speak	speak	0
for	for	p-acp	for	for	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
answere	answere	vvi	answer	answer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
men	men	n2	men	man	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
conceiued	conceiued	vvn	conceived	conceive	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
I	I	pns11	I	i	0
shoulde	shoulde	vmd	should	shall	0
write	write	vvi	write	write	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
waste	waste	n1	waste	waste	0
,	,	,	,	,	0
and	and	cc	and	and	0
rather	rather	av-c	rather	rather	0
a	a	dt	a	a	0
diminishing	diminishing	n-vvg	diminishing	diminish	0
,	,	,	,	,	0
then	then	cs	then	than	0
a	a	dt	a	a	0
setting	setting	n-vvg	setting	set	0
foorth	foorth	av	forth	forth	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
woorthinesse	woorthinesse	n1	worthiness	worthiness	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
great	great	j	great	great	0
deale	deale	n1	deal	deal	0
better	better	av-jc	better	better	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
it	it	pn31	it	it	0
ouer	ouer	a-acp	over	over	0
with	with	p-acp	with	with	0
silence	silence	n1	silence	silence	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
briefenesse	briefenesse	n1	briefness	briefness	0
.	.	.	.	.	1
Onely	Onely	j	Only	only	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
litle	litle	j	little	little	0
acquaintaunce	acquaintaunce	n1	acquaintance	acquaintance	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
general	general	j	general	general	0
profit	profit	n1	profit	profit	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
my	my	po11	my	my	0
desier	desier	n1	desire	desire	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
nowe	nowe	av	now	now	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
firste	firste	ord	firste	first	0
arriuall	arriuall	n1	arrival	arrival	0
,	,	,	,	,	0
a	a	dt	a	a	0
newe	newe	j	new	new	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
trade	trade	n1	trade	trade	0
,	,	,	,	,	0
be	be	vbb	be	be	0
well	well	av	well	well	0
entertained	entertained	vvn	entertained	entertain	0
and	and	cc	and	and	0
muche	muche	av-d	much	much	0
honoured	honoured	vvn	honoured	honour	0
.	.	.	.	.	1
And	And	np1	And	And	0
forso	forso	fw-la	forso	forso	0
∣	∣	sy	∣	∣	0
muche	muche	av-d	much	much	0
as	as	p-acp	as	as	0
none	none	pix	none	none	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
yonge	yonge	j	young	young	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
and	and	cc	and	and	0
trayned	trayned	vvd	trained	train	0
vp	vp	a-acp	up	up	0
all	all	d	all	all	0
his	his	po31	his	his	0
life	life	n1	life	life	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
worthie	worthie	j	worthy	worthy	0
qualities	qualities	n2	qualities	quality	0
,	,	,	,	,	0
is	is	vbz	is	be	0
meete	meete	j	meet	meet	0
to	to	pc-acp	to	to	0
receiue	receiue	vvi	receive	receive	0
and	and	cc	and	and	0
enterteine	enterteine	vvi	entertain	entertain	0
so	so	av	so	so	0
worthy	worthy	j	worthy	worthy	0
a	a	dt	a	a	0
Courtier	Courtier	n1	Courtier	courtier	0
,	,	,	,	,	0
that	that	cst	that	that	0
like	like	av-j	like	like	0
maye	maye	vmb	may	may	0
felowship	felowship	n1	fellowship	fellowship	0
and	and	cc	and	and	0
gete	gete	vvi	get	get	0
estimation	estimation	n1	estimation	estimation	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
like	like	j	like	like	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
dedicate	dedicate	vvi	dedicate	dedicate	0
him	him	pno31	him	he	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
good	good	j	good	good	0
lorde	lorde	n1	lord	lord	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
that	that	cst	that	that	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
patronage	patronage	n1	patronage	patronage	0
he	he	pns31	he	he	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
commune	commune	j	commune	common	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
meany	meany	zz	meany	meany	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
you	you	pn22	you	you	0
stande	stande	vvi	stand	stand	0
in	in	p-acp	in	in	0
neede	neede	n1	need	need	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
instructions	instructions	n2	instructions	instruction	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
partly	partly	av	partly	partly	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
him	him	pno31	him	he	0
confirme	confirme	vvi	confirm	confirm	0
with	with	p-acp	with	with	0
reason	reason	n1	reason	reason	0
the	the	dt	the	the	0
Courtly	Courtly	j	Courtly	courtly	0
facions	facions	n2	fashions	fashion	0
,	,	,	,	,	0
comely	comely	j	comely	comely	0
exer	exer	n1	exer	exer	0
∣	∣	sy	∣	∣	0
cises	cises	n2	cises	cise	0
,	,	,	,	,	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
that	that	cst	that	that	0
vnawares	vnawares	av-j	unawares	unaware	0
haue	haue	vhb	have	have	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
crept	crept	vvn	crept	creep	0
in	in	p-acp	in	in	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
already	already	av	already	already	0
with	with	p-acp	with	with	0
practise	practise	n1	practice	practice	0
and	and	cc	and	and	0
learning	learning	n1	learning	learning	0
taken	taken	vvn	taken	take	0
custome	custome	n1	custom	custom	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
partly	partly	av	partly	partly	0
to	to	pc-acp	to	to	0
gete	gete	vvi	get	get	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
aucthoritie	aucthoritie	n1	authority	authority	0
and	and	cc	and	and	0
credite	credite	n1	credit	credit	0
throughe	throughe	p-acp	through	through	0
so	so	av	so	so	0
honorable	honorable	j	honourable	honourable	0
a	a	dt	a	a	0
Patrone	Patrone	n1	Patron	patron	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
beseene	beseene	vbi	beseen	be	0
willingly	willingly	av-j	willingly	willing	0
to	to	p-acp	to	to	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
brace	brace	n1	brace	brace	0
him	him	pno31	him	he	0
,	,	,	,	,	0
other	other	n-jn	other	other	0
yonge	yonge	j	young	young	0
and	and	cc	and	and	0
Courtly	Courtly	j	Courtly	courtly	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
shonn	shonn	vvn	shonn	shonn	0
hys	hys	po31	his	his	0
company	company	n1	company	company	0
:	:	:	:	:	0
And	And	cc	And	and	0
so	so	av	so	so	0
both	both	av-d	both	both	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
gete	gete	vvi	get	get	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
reputation	reputation	n1	reputation	reputation	0
now	now	av	now	now	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
Englande	Englande	np1	Englande	England	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
good	good	j	good	good	0
while	while	n1	while	while	0
since	since	c-acp	since	since	0
beyonde	beyonde	p-acp	beyond	beyond	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Italy	Italy	np1	Italy	Italy	0
,	,	,	,	,	0
Spaine	Spaine	np1	Spaine	Spain	0
and	and	cc	and	and	0
Fraunce	Fraunce	np1	Fraunce	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
shal	shal	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
my	my	po11	my	my	0
smal	smal	j	small	small	0
trauayle	trauayle	n1	travail	travail	0
wel	wel	av	well	well	0
imployed	imployed	vvn	employed	employ	0
and	and	cc	and	and	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
recompensed	recompensed	vvn	recompensed	recompense	0
.	.	.	.	.	1
The	The	dt	The	the	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
entertain	entertain	vvi	entertain	entertain	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
that	that	d	that	that	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
Auncestours	Auncestours	n2	Ancestors	ancestor	0
shewed	shewed	vvd	showed	show	0
Castilio	Castilio	np1	Castilio	Castilio	0
the	the	dt	the	the	0
maker	maker	n1	maker	maker	0
,	,	,	,	,	0
whan	whan	c-crq	when	when	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
realme	realme	n1	realm	realm	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
installed	installed	vvn	installed	install	0
knight	knight	n1	knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Order	Order	n1	Order	order	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
his	his	po31	his	his	0
Maister	Maister	n1	Master	master	0
,	,	,	,	,	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
muche	muche	av-d	much	much	0
as	as	c-acp	as	as	0
presently	presently	av-j	presently	present	0
both	both	av-d	both	both	0
he	he	pns31	he	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
his	his	po31	his	his	0
han	han	n1	han	han	0
∣	∣	sy	∣	∣	0
dywoorke	dywoorke	n1	dywoorke	dywoorke	0
shall	shall	vmb	shall	shall	0
receiue	receiue	vvi	receive	receive	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Generally	Generally	np1	Generally	Generally	0
ought	ought	vmd	ought	ought	0
this	this	d	this	this	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
estima	estima	fw-la	estima	estima	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
to	to	p-acp	to	to	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
Greate	Greate	j	Great	great	0
men	men	n2	men	man	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
rule	rule	n1	rule	rule	0
to	to	pc-acp	to	to	0
rule	rule	vvi	rule	rule	0
themselues	themselues	px32	themselves	themselves	0
that	that	cst	that	that	0
rule	rule	n1	rule	rule	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bookes	bookes	n2	books	book	0
that	that	cst	that	that	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
exhorted	exhorted	vvd	exhorted	exhort	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
kyng	kyng	n1	king	king	0
to	to	pc-acp	to	to	0
prouide	prouide	vvi	provide	provide	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
dili	dili	fw-la	dili	dili	0
∣	∣	sy	∣	∣	0
gently	gently	av-jn	gently	gentle	0
to	to	pc-acp	to	to	0
searche	searche	vvi	search	search	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
he	he	pns31	he	he	0
shoulde	shoulde	vmd	should	shall	0
finde	finde	vvi	find	find	0
written	written	vvn	written	write	0
suche	suche	d	such	such	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
that	that	cst	that	that	0
friendes	friendes	n2	friends	friend	0
durst	durst	vvd	durst	dare	0
not	not	xx	not	not	0
vtter	vtter	vvi	utter	utter	0
vnto	vnto	p-acp	unto	unto	0
kinges	kinges	n2	kings	king	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
men	men	n2	men	man	0
growen	growen	vvn	grown	grow	0
in	in	p-acp	in	in	0
yeres	yeres	n2	years	year	0
,	,	,	,	,	0
a	a	dt	a	a	0
pathway	pathway	n1	pathway	pathway	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
behoulding	behoulding	vvg	beholding	behold	0
and	and	cc	and	and	0
musing	musing	vvg	musing	muse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
what	what	r-crq	what	what	0
∣	∣	sy	∣	∣	0
soeuer	soeuer	av	soever	soever	0
elles	elles	av	else	else	0
is	is	vbz	is	be	0
meete	meete	j	meet	meet	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
age	age	n1	age	age	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
yonge	yonge	j	young	young	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
an	an	dt	and	a	0
encoura	encoura	fw-fr	encoura	encoura	0
∣	∣	sy	∣	∣	0
ging	ging	n1	ging	ging	0
to	to	p-acp	to	to	0
garnishe	garnishe	n1	garnish	garnish	0
their	their	po32	their	their	0
minde	minde	n1	mind	mind	0
with	with	p-acp	with	with	0
morall	morall	j	moral	moral	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
bodye	bodye	n1	body	body	0
with	with	p-acp	with	with	0
comely	comely	j	comely	comely	0
exercises	exercises	n2	exercises	exercise	0
,	,	,	,	,	0
and	and	cc	and	and	0
both	both	d	both	both	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
with	with	p-acp	with	with	0
honest	honest	j	honest	honest	0
qualities	qualities	n2	qualities	quality	0
to	to	pc-acp	to	to	0
attaine	attaine	vvi	attain	attain	0
vnto	vnto	p-acp	unto	unto	0
their	their	po32	their	their	0
noble	noble	j	noble	noble	0
ende	ende	n1	end	end	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
Ladyes	Ladyes	n2	Ladies	lady	0
and	and	cc	and	and	0
Gentlewo	Gentlewo	np1	Gentlewo	Gentlewo	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
,	,	,	,	,	0
a	a	dt	a	a	0
mirrour	mirrour	n1	mirror	mirror	0
to	to	pc-acp	to	to	0
decke	decke	vvi	deck	deck	0
and	and	cc	and	and	0
trimme	trimme	j	trim	trim	0
themselues	themselues	px32	themselves	themselves	0
with	with	p-acp	with	with	0
vertuous	vertuous	j	virtuous	virtuous	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
dicions	dicions	n2	dicions	dicion	0
,	,	,	,	,	0
comely	comely	j	comely	comely	0
behauiours	behauiours	n2	behaviours	behaviour	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
enterteinment	enterteinment	n1	entertainment	entertainment	0
toward	toward	p-acp	towards	towards	0
al	al	d	all	all	0
men	men	n2	men	man	0
:	:	:	:	:	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
,	,	,	,	,	0
a	a	dt	a	a	0
storehouse	storehouse	n1	storehouse	storehouse	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
necessary	necessary	j	necessary	necessary	0
implements	implements	n2	implements	implement	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
conuersacion	conuersacion	n1	conversation	conversation	0
,	,	,	,	,	0
vse	vse	n1	use	use	0
,	,	,	,	,	0
and	and	cc	and	and	0
training	training	vvg	training	train	0
vp	vp	a-acp	up	up	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
life	life	n1	life	life	0
with	with	p-acp	with	with	0
Courtly	Courtly	j	Courtly	courtly	0
demeaners	demeaners	n2	demeaners	demeaner	0
.	.	.	.	.	1
VVere	VVere	vbdr	Were	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
that	that	cst	that	that	0
the	the	dt	the	the	0
auncientnesse	auncientnesse	n1	ancientness	ancientness	0
of	of	pp-f	of	of	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
the	the	dt	the	the	0
degree	degree	n1	degree	degree	0
