DIVERS	DIVERS	j	DIVERSE	diverse	0
vnto	vnto	p-acp	unto	unto	0
Thrift	Thrift	n1	Thrift	thrift	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
Wealth	Wealth	n1	Wealth	wealth	0
gotten	gotten	vvn	got	get	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
gouerne	gouerne	vvi	govern	govern	0
&	&	cc	&	and	0
conserue	conserue	vvi	conserve	conserve	0
it	it	pn31	it	it	0
:	:	:	:	:	0
not	not	xx	not	not	0
couetously	couetously	av-j	covetously	covetous	0
,	,	,	,	,	0
aboue	aboue	p-acp	above	above	0
the	the	dt	the	the	0
stynt	stynt	n1	stint	stint	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
conuenient	conuenient	j	convenient	convenient	0
need	need	n1	need	need	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
diuers	diuers	j	diverse	diverse	0
do	do	n1	doe	do	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
temperately	temperately	av-j	temperately	temperate	0
,	,	,	,	,	0
proportionatly	proportionatly	av-j	proportionately	proportionate	0
,	,	,	,	,	0
and	and	cc	and	and	0
decently	decently	av-j	decently	decent	0
:	:	:	:	:	0
since	since	c-acp	since	since	0
Thrift	Thrift	n1	Thrift	thrift	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
Liberality	Liberality	n1	Liberality	liberality	0
and	and	cc	and	and	0
Auarice	Auarice	n1	Avarice	avarice	0
,	,	,	,	,	0
like	like	av-j	like	like	0
as	as	c-acp	as	as	0
Liberality	Liberality	n1	Liberality	liberality	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
Auarice	Auarice	n1	Avarice	avarice	0
and	and	cc	and	and	0
Prodigality	Prodigality	n1	Prodigality	prodigality	0
;	;	;	;	;	0
though	though	cs	though	though	0
yet	yet	av	yet	yet	0
by	by	p-acp	by	by	0
errour	errour	n1	error	error	0
or	or	cc	or	or	0
false	false	j	false	false	0
interpretation	interpretation	n1	interpretation	interpretation	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
is	is	vbz	is	be	0
sometimes	sometimes	av	sometime	sometime	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
the	the	dt	the	the	0
couetous	couetous	j	covetous	covetous	0
Gamester	Gamester	n1	Gamester	gamester	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
continuall	continuall	j	continual	continual	0
loosing	loosing	n-vvg	losing	lose	0
,	,	,	,	,	0
either	either	av-d	either	either	0
at	at	p-acp	at	at	0
Dice	Dice	n1	Dice	dice	0
or	or	cc	or	or	0
Cardes	Cardes	n2	Cards	card	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
prodigall	prodigall	j-jn	prodigal	prodigal	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
:	:	:	:	:	0
And	And	cc	And	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
the	the	dt	the	the	0
thriuing	thriuing	j-vvg	thriving	thrive	0
Merchant	Merchant	n1	Merchant	merchant	0
opressed	opressed	vvn	oppressed	oppress	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
with	with	p-acp	with	with	0
children	children	n2	children	child	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
well	well	av	well	well	0
prouide	prouide	vvi	provide	provide	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
couetous	couetous	j	covetous	covetous	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
:	:	:	:	:	0
Since	Since	c-acp	Since	since	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
old	old	j	old	old	0
Saying	Saying	vvg	Saying	say	0
,	,	,	,	,	0
He	He	pns31	He	he	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
daughter	daughter	n1	daughter	daughter	0
to	to	pc-acp	to	to	0
marry	marry	vvi	marry	marry	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
;	;	;	;	;	0
&	&	cc	&	and	0
he	he	pns31	he	he	0
likewise	likewise	av	likewise	likewise	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
two	two	crd	two	two	0
daughters	daughters	n2	daughters	daughter	0
to	to	pc-acp	to	to	0
mar	mar	vvi	mar	mar	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
more	more	dc	more	more	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
many	many	d	many	many	0
daughters	daughters	n2	daughters	daughter	0
to	to	pc-acp	to	to	0
marry	marry	vvi	marry	marry	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
great	great	j	great	great	0
deale	deale	n1	deal	deal	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
,	,	,	,	,	0
some	some	d	some	some	0
do	do	vdb	do	do	0
vse	vse	vvi	use	use	0
publike	publike	j	public	public	0
violence	violence	n1	violence	violence	0
,	,	,	,	,	0
and	and	cc	and	and	0
these	these	d	these	these	0
are	are	vbr	are	be	0
commonly	commonly	av-j	commonly	common	0
depriued	depriued	vvn	deprived	deprive	0
therof	therof	av	thereof	thereof	0
againe	againe	av	again	again	0
(	(	(	(	(	0
either	either	av-d	either	either	0
they	they	pns32	they	they	0
,	,	,	,	,	0
or	or	cc	or	or	0
theirs	theirs	png32	theirs	they	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
prouidence	prouidence	n1	providence	providence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
and	and	cc	and	and	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
hauing	hauing	vhg	having	have	0
got	got	vvn	god	get	0
their	their	po32	their	their	0
wealth	wealth	n1	wealth	wealth	0
with	with	p-acp	with	with	0
equity	equity	n1	equity	equity	0
and	and	cc	and	and	0
vpright	vpright	av-j	upright	upright	0
dealing	dealing	vvg	dealing	deal	0
,	,	,	,	,	0
do	do	vdb	do	do	0
prudently	prudently	av-j	prudently	prudent	0
conserue	conserue	vvi	conserve	conserve	0
and	and	cc	and	and	0
spend	spend	vvi	spend	spend	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
these	these	d	these	these	0
be	be	vbb	be	be	0
only	only	j	only	only	0
they	they	pns32	they	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
may	may	vmb	may	may	0
truely	truely	av-j	truly	true	0
be	be	vbi	be	be	0
termed	termed	vvn	termed	term	0
Thrifty	Thrifty	j	Thrifty	thrifty	0
.	.	.	.	.	1
Vnto	Vnto	p-acp	Unto	unto	0
which	which	r-crq	which	which	0
sort	sort	n1	sort	sort	0
there	there	a-acp	there	there	0
needeth	needeth	vvz	needs	need	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
Lawes	Lawes	n2	Laws	law	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
Men	Men	n2	Men	man	0
concurring	concurring	vvg	concurring	concur	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
other	other	j-jn	other	other	0
two	two	crd	two	two	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
Getters	Getters	n2	Getters	getter	0
before	before	a-acp	before	before	0
mentioned	mentioned	vvn	mentioned	mention	0
,	,	,	,	,	0
this	this	d	this	this	0
first	first	ord	first	first	0
Booke	Booke	n1	Book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Volume	Volume	n1	Volume	volume	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Relation	Relation	n1	Relation	relation	0
,	,	,	,	,	0
is	is	vbz	is	be	0
only	only	av-j	only	only	0
intended	intended	vvn	intended	intend	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
pretend	pretend	vvb	pretend	pretend	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
followers	followers	n2	followers	follower	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
Thrift	Thrift	n1	Thrift	thrift	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
no	no	xx	not	not	0
thriuing	thriuing	j-vvg	thriving	thrive	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
&	&	cc	&	and	0
conserue	conserue	vvi	conserve	conserve	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
culpable	culpable	j	culpable	culpable	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
assuredly	assuredly	av-vvn	assuredly	assure	0
resteth	resteth	vvz	rests	rest	0
punishable	punishable	j	punishable	punishable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
by	by	p-acp	by	by	0
diuine	diuine	j-jn	divine	divine	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
humane	humane	j	humane	humane	0
Iustice.	Iustice.	n1	Iustice.	justice	0
Qui	Qui	fw-la	Qui	qui	0
nihil	nihil	fw-la	nihil	nihil	0
sperat	sperat	j	sperat	sperat	0
,	,	,	,	,	0
nihil	nihil	fw-la	nihil	nihil	0
desperat	desperat	j	desperate	desperate	0
.	.	.	.	.	1
