AFter	AFter	p-acp	AFter	after	0
by	by	p-acp	by	by	0
mariage	mariage	n1	marriage	marriage	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
vvhile	vvhile	n1	while	while	0
I	I	pns11	I	i	0
perceiued	perceiued	vvd	perceived	perceive	0
that	that	cst	that	that	0
,	,	,	,	,	0
vvanting	vvanting	vvg	wanting	want	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
there	there	a-acp	there	there	0
did	did	vdd	did	do	0
)	)	)	)	)	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
conference	conference	n1	conference	conference	0
,	,	,	,	,	0
it	it	pn31	it	it	0
vvas	vvas	vbds	was	be	0
impossible	impossible	j	impossible	impossible	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
,	,	,	,	,	0
vvithout	vvithout	p-acp	without	without	0
some	some	d	some	some	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cōtinue	cōtinue	vvi	continue	continue	0
,	,	,	,	,	0
or	or	cc	or	or	0
vvith	vvith	p-acp	with	with	0
profite	profite	n1	profit	profit	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
forvvarde	forvvarde	av-j	forward	forward	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
vvhich	vvhich	r-crq	which	which	0
respect	respect	n1	respect	respect	0
,	,	,	,	,	0
I	I	pns11	I	i	0
contented	contented	vvd	contented	content	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
betvvixt	betvvixt	p-acp	betwixt	betwixt	0
vvhiles	vvhiles	cs	whiles	while	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
recreation	recreation	n1	recreation	recreation	0
sake	sake	n1	sake	sake	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
resort	resort	vvi	resort	resort	0
vnto	vnto	p-acp	unto	unto	0
mine	mine	po11	mine	my	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
exercise	exercise	n1	exercise	exercise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
so	so	av	so	so	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
)	)	)	)	)	0
some	some	d	some	some	0
profite	profite	n1	profit	profit	0
might	might	vmd	might	may	0
redound	redound	vvi	redound	redound	0
therof	therof	av	thereof	thereof	0
vnto	vnto	p-acp	unto	unto	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
And	And	np1	And	And	0
happening	happening	vvg	happening	happen	0
by	by	p-acp	by	by	0
good	good	j	good	good	0
lucke	lucke	n1	luck	luck	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
cer	cer	n1	cer	cer	0
∣	∣	sy	∣	∣	0
taine	taine	zz	taine	taine	0
Latine	Latine	jp	Latin	latin	0
booke	booke	n1	book	book	0
intituled	intituled	vvn	entitled	entitle	0
,	,	,	,	,	0
De	De	fw-fr	De	de	0
pueris	pueris	fw-la	pueris	pveris	0
sta	sta	fw-la	sta	sta	0
∣	∣	sy	∣	∣	0
tim	tim	n1	time	time	0
ac	ac	fw-la	ac	ac	0
liberaliter	liberaliter	fw-la	liberaliter	liberaliter	0
instituendis	instituendis	fw-la	instituendis	instituendis	0
,	,	,	,	,	0
I	I	pns11	I	i	0
gathered	gathered	vvd	gathered	gather	0
compendiously	compendiously	av-j	compendiously	compendious	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
to	to	p-acp	to	to	0
allovve	allovve	vvb	allow	allow	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
time	time	n1	time	time	0
enough	enough	av-d	enough	enough	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
said	said	j-vvn	said	say	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
accomplish	accomplish	vvi	accomplish	accomplish	0
the	the	dt	the	the	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Tran	Tran	np1	Tran	Tran	0
∣	∣	sy	∣	∣	0
slatour	slatour	n1	slatour	slatour	0
)	)	)	)	)	0
such	such	d	such	such	0
certaine	certaine	j	certain	certain	0
summary	summary	n1	summary	summary	0
documents	documents	n2	documents	document	0
as	as	c-acp	as	as	0
might	might	vmd	might	may	0
seeme	seeme	vvi	seem	seem	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
frame	frame	vvi	frame	frame	0
an	an	dt	and	a	0
orderly	orderly	j	orderly	orderly	0
and	and	cc	and	and	0
good	good	j	good	good	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
education	education	n1	education	education	0
:	:	:	:	:	0
vvhich	vvhich	r-crq	which	which	0
also	also	av	also	also	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
turned	turned	vvn	turned	turn	0
into	into	p-acp	into	into	0
English	English	jp	English	english	0
meter	meter	jc	meeter	meet	0
and	and	cc	and	and	0
that	that	d	that	that	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
tvvo	tvvo	crd	tvvo	two	0
causes	causes	n2	causes	cause	0
especially	especially	av-j	especially	especial	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
prose	prose	n1	prose	prose	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quireth	quireth	vvz	quireth	quire	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
exact	exact	j	exact	exact	0
labour	labour	n1	labour	labour	0
then	then	av	then	then	0
meeter	meeter	jc	meeter	meet	0
doth	doth	vdz	does	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
haue	haue	vhi	have	have	0
been	been	vbn	been	be	0
enterprised	enterprised	vvn	enterprised	enterprise	0
vvithout	vvithout	p-acp	without	without	0
going	going	vvg	going	go	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
vvhole	vvhole	j-jn	whole	whole	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
vvhervnto	vvhervnto	c-crq	whereunto	whereunto	0
my	my	po11	my	my	0
small	small	j	small	small	0
allovvaunce	allovvaunce	n1	allowance	allowance	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
aforesayde	aforesayde	vvn	aforesaid	aforesay	0
)	)	)	)	)	0
coulde	coulde	vmd	could	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
aunsvverable	aunsvverable	j	answerable	answerable	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
meeter	meeter	jc	meeter	meet	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
vnlearned	vnlearned	j	unlearned	unlearned	0
(	(	(	(	(	0
vvhom	vvhom	r-crq	whom	who	0
I	I	pns11	I	i	0
heartily	heartily	av-j	heartily	hearty	0
vvish	vvish	vvb	wish	wish	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
follovvers	follovvers	n2	followers	follower	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
)	)	)	)	)	0
doth	doth	vdz	does	do	0
seeme	seeme	vvi	seem	seem	0
a	a	dt	a	a	0
great	great	j	great	great	0
deale	deale	n1	deal	deal	0
more	more	av-dc	more	more	0
pleasaunt	pleasaunt	j	pleasant	pleasant	0
then	then	cs	then	than	0
prose	prose	n1	prose	prose	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
mitigate	mitigate	vvi	mitigate	mitigate	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
vvere	vvere	vbdr	were	be	0
)	)	)	)	)	0
the	the	dt	the	the	0
harshnes	harshnes	n1	harshness	harshness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
.	.	.	.	.	1
VVhich	VVhich	r-crq	Which	which	0
litle	litle	j	little	little	0
booke	booke	n1	book	book	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
offer	offer	vvi	offer	offer	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
(	(	(	(	(	0
my	my	po11	my	my	0
approued	approued	j-vvn	approved	approve	0
friend	friend	n1	friend	friend	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
vvyll	vvyll	n1	will	will	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
vvhom	vvhom	ro-crq	whom	who	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
perceiue	perceiue	vvi	perceive	perceive	0
a	a	dt	a	a	0
special	special	j	special	special	0
loue	loue	n1	love	love	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
vnto	vnto	p-acp	unto	unto	0
euery	euery	d	every	every	0
o	o	uh	oh	oh	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
good	good	j	good	good	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
education	education	n1	education	education	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
trained	trained	vvn	trained	train	0
vp	vp	a-acp	up	up	0
(	(	(	(	(	0
together	together	av	together	together	0
vvith	vvith	p-acp	with	with	0
me	me	pno11	me	i	0
your	your	po22	your	your	0
poore	poore	j	poor	poor	0
scholefellow	scholefellow	n1	scholefellow	scholefellow	0
)	)	)	)	)	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
instructions	instructions	n2	instructions	instruction	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
quisite	quisite	j	quisite	quisite	0
teacher	teacher	n1	teacher	teacher	0
,	,	,	,	,	0
Maister	Maister	n1	Master	master	0
Iohn	Iohn	np1	Iohn	John	0
Hopkins	Hopkins	np1	Hopkins	Hopkins	0
,	,	,	,	,	0
that	that	cst	that	that	0
vvorthy	vvorthy	j-jn	worthy	worthy	0
Schoolemaister	Schoolemaister	n1	Schoolmaster	schoolmaster	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
rather	rather	av-c	rather	rather	0
,	,	,	,	,	0
that	that	cst	that	that	0
most	most	av-ds	most	most	0
vvorthy	vvorthy	j	worthy	worthy	0
parent	parent	n1	parent	parent	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
children	children	n2	children	child	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
education	education	n1	education	education	0
:	:	:	:	:	0
Of	Of	pp-f	Of	of	0
vvhose	vvhose	r-crq	whose	who	0
memory	memory	n1	memory	memory	0
if	if	cs	if	if	0
J	J	pns11	J	i	0
should	should	vmd	should	shall	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
an	an	dt	and	a	0
oportunity	oportunity	n1	opportunity	opportunity	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
is	is	vbz	is	be	0
,	,	,	,	,	0
be	be	vbb	be	be	0
forgetful	forgetful	j	forgetful	forgetful	0
,	,	,	,	,	0
J	J	pns11	J	i	0
might	might	vmd	might	may	0
iustly	iustly	av-j	justly	just	0
be	be	vbi	be	be	0
accompted	accompted	vvn	accounted	account	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
vnthankefull	vnthankefull	j	unthankful	unthankful	0
person	person	n1	person	person	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vvorld	vvorld	n1	world	world	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
franckly	franckly	av-j	frankly	frank	0
tasted	tasted	vvn	tasted	taste	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
goodnes	goodnes	n1	goodness	goodness	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
behalfe	behalfe	n1	behalf	behalf	0
:	:	:	:	:	0
that	that	d	that	that	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
vnseemely	vnseemely	j	unseemly	unseemly	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
vvishe	vvishe	vvi	wish	wish	0
)	)	)	)	)	0
vvould	vvould	vmd	would	will	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
J	J	pns11	J	i	0
had	had	vhd	had	have	0
liued	liued	vvn	lived	live	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
feete	feete	n2	feet	foot	0
euen	euen	av-j	even	even	0
dayes	dayes	n2	days	day	0
and	and	cc	and	and	0
yeres	yeres	n2	years	year	0
longer	longer	av-jc	longer	long	0
then	then	cs	then	than	0
J	J	pns11	J	i	0
did	did	vdd	did	do	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
onely	onely	av-j	only	only	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
vvyll	vvyll	n1	will	will	0
and	and	cc	and	and	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
I	I	pns11	I	i	0
send	send	vvb	send	send	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
these	these	d	these	these	0
fevv	fevv	d	few	few	0
quaiers	quaiers	n2	quaiers	quaier	0
,	,	,	,	,	0
pray	pray	vvi	pray	pray	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
equal	equal	j-jn	equal	equal	0
part	part	n1	part	part	0
,	,	,	,	,	0
resor	resor	fw-la	resor	resor	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
indifferentlye	indifferentlye	av-j	indifferently	indifferent	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
common	common	j	common	common	0
affections	affections	n2	affections	affection	0
of	of	pp-f	of	of	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
are	are	vbr	are	be	0
vvont	vvont	j	wont	wont	0
rather	rather	av	rather	rather	0
patiently	patiently	av-j	patiently	patient	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
reproche	reproche	n1	reproach	reproach	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
vvayes	vvayes	n2	ways	way	0
to	to	pc-acp	to	to	0
lye	lye	vvi	lie	lie	0
hyd	hyd	vvd	hid	hide	0
and	and	cc	and	and	0
vnknovven	vnknovven	j	unknown	unknown	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
party	party	n1	party	party	0
so	so	av	so	so	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
loued	loued	vvn	loved	love	0
.	.	.	.	.	1
VVhere	VVhere	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
I	I	zz	I	i	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
