Erected	Erected	vvn	Erected	erect	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humility	humility	n1	humility	humility	0
submits	submits	vvz	submits	submit	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
impartial	impartial	j	impartial	impartial	0
Censure	Censure	n1	Censure	censure	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
who	who	r-crq	who	who	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
fitter	fitter	jc	fitter	fit	0
Judges	Judges	n2	Judges	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
than	than	cs	than	than	0
persons	persons	n2	persons	person	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
so	so	av	so	so	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
rously	rously	av-j	rously	rous	0
engaged	engaged	vvn	engaged	engage	0
themselves	themselves	px32	themselves	themselves	0
to	to	pc-acp	to	to	0
Mantain	Mantain	vvi	Maintain	maintain	0
,	,	,	,	,	0
Encou	Encou	np1	Encou	Encou	0
∣	∣	sy	∣	∣	0
rage	rage	n1	rage	rage	0
,	,	,	,	,	0
and	and	cc	and	and	0
Defend	Defend	vvb	Defend	defend	0
the	the	dt	the	the	0
Usefulness	Usefulness	np1	Usefulness	Usefulness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ART	ART	n1	ART	art	0
whereof	whereof	c-crq	whereof	whereof	0
it	it	pn31	it	it	0
treateth	treateth	vvz	treateth	treat	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
true	true	j	true	true	0
,	,	,	,	,	0
it	it	pn31	it	it	0
treateth	treateth	vvz	treateth	treat	0
chiefly	chiefly	av-jn	chiefly	chief	0
but	but	p-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Second	Second	ord	Second	second	0
Branch	Branch	n1	Branch	branch	0
;	;	;	;	;	0
or	or	cc	or	or	0
Part	Part	n1	Part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Art	Art	n1	Art	art	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Small-sword	Small-sword	n1	Small-sword	small-sword	0
or	or	cc	or	or	0
Rapier	Rapier	n1	Rapier	rapier	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
very	very	av	very	very	0
justly	justly	av-j	justly	just	0
devided	devided	vvn	divided	divide	0
into	into	p-acp	into	into	0
three	three	crd	three	three	0
Parts	Parts	n2	Parts	part	0
,	,	,	,	,	0
or	or	cc	or	or	0
Kinds	Kinds	n2	Kinds	kind	0
of	of	pp-f	of	of	0
Practice	Practice	n1	Practice	practice	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
Practice	Practice	n1	Practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Les	Les	fw-fr	Les	le	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
Master's	Master's	ng1	Master's	master	0
Breast	Breast	n1	Breast	breast	0
.	.	.	.	.	1
The	The	dt	The	the	0
Practice	Practice	n1	Practice	practice	0
of	of	pp-f	of	of	0
School-play	School-play	j	School-play	school-play	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Lessons	Lessons	n2	Lessons	lesson	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
Commerad	Commerad	np1	Commerad	Commerad	0
with	with	p-acp	with	with	0
Blunts	Blunts	np1	Blunts	Blunts	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
Practice	Practice	n1	Practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Abstract	Abstract	n-jn	Abstract	abstract	0
or	or	cc	or	or	0
most	most	av-ds	most	most	0
secure	secure	j	secure	secure	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
very	very	j	very	very	0
same	same	d	same	same	0
Lessons	Lessons	n2	Lessons	lesson	0
at	at	p-acp	at	at	0
Sharps	Sharps	np1	Sharps	Sharps	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Man's	Man's	ng1	Man's	man	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
or	or	cc	or	or	0
Life	Life	n1	Life	life	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
First	First	ord	First	first	0
&	&	cc	&	and	0
Last	Last	ord	Last	last	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
writ	writ	vvn	writ	write	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ready	ready	j	ready	ready	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Scots	Scots	jp	Scots	scots	0
Fencing-Master	Fencing-Master	n1	Fencing-Master	fencing-master	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Last	Last	ord	Last	last	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Sword-Mans	Sword-Mans	n2	Sword-Mans	sword-man	0
Vade-mecum	Vade-mecum	j	Vade-mecum	vade-mecum	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
perfite	perfite	j	perfect	perfect	0
all	all	av-d	all	all	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
say	say	vvi	say	say	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
only	only	av-j	only	only	0
remains	remains	vvz	remains	remain	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
discourse	discourse	vvb	discourse	discourse	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
Second	Second	ord	Second	second	0
Branch	Branch	n1	Branch	branch	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
use	use	n1	use	use	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
means	means	n2	means	mean	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
perfect	perfect	j	perfect	perfect	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Third	Third	ord	Third	three	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
a	a	dt	a	a	0
Scholar	Scholar	n1	Scholar	scholar	0
may	may	vmb	may	may	0
play	play	vvi	play	play	0
his	his	po31	his	his	0
Les	Les	fw-fr	Les	le	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
very	very	av	very	very	0
exactly	exactly	av-j	exactly	exact	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
can	can	vmb	can	can	0
nei	nei	n1	nei	nei	0
∣	∣	sy	∣	∣	0
their	their	po32	their	their	0
perform	perform	vvi	perform	perform	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
Assault	Assault	n1	Assault	assault	0
nor	nor	ccx	nor	nor	0
at	at	p-acp	at	at	0
Sharps	Sharps	np1	Sharps	Sharps	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
somewhat	somewhat	av	somewhat	somewhat	0
rare	rare	j	rare	rare	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
a	a	dt	a	a	0
person	person	n1	person	person	0
dexte	dexte	vvn	dexte	dexte	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
and	and	cc	and	and	0
exact	exact	vvi	exact	exact	0
in	in	p-acp	in	in	0
School	School	n1	School	school	0
play	play	vvi	play	play	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
cannot	cannot	vmbx	cannot	can	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
form	form	n1	from	form	0
something	something	pi	something	something	0
at	at	p-acp	at	at	0
Sharps	Sharps	np1	Sharps	Sharps	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
mean	mean	vvi	mean	mean	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
natural	natural	j	natural	natural	0
Courage	Courage	n1	Courage	courage	0
and	and	cc	and	and	0
Forewardness	Forewardness	n1	Forewardness	forewardness	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
artificial	artificial	j	artificial	artificial	0
Conduct	Conduct	vvb	Conduct	conduct	0
and	and	cc	and	and	0
Practice	Practice	n1	Practice	practice	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Les	Les	fw-fr	Les	le	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
.	.	.	.	.	1
And	And	cc	And	and	0
altho	altho	cs	although	although	0
there	there	pc-acp	there	there	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
Our	Our	po12	Our	our	0
Honourable	Honourable	j	Honourable	honourable	0
Society	Society	n1	Society	society	0
be	be	vbb	be	be	0
some	some	d	some	some	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
know	know	vvb	know	know	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
,	,	,	,	,	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
haps	haps	vvz	haps	hap	0
more	more	dc	more	more	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
belongeth	belongeth	vvz	belongeth	belong	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
,	,	,	,	,	0
than	than	cs	than	than	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
discover	discover	vvi	discover	discover	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
sup	sup	vvi	sup	sup	0
∣	∣	sy	∣	∣	0
posed	posed	vvd	posed	pose	0
that	that	d	that	that	0
any	any	d	any	any	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
admitted	admitted	vvn	admitted	admit	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
understand	understand	vvb	understand	understand	0
how	how	c-crq	how	how	0
School	School	n1	School	school	0
Play	Play	n1	Play	play	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
performed	performed	vvn	performed	perform	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
safely	safely	av-j	safely	safe	0
say	say	vvi	say	say	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Strength	Strength	n1	Strength	strength	0
and	and	cc	and	and	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
droitness	droitness	n1	droitness	droitness	0
;	;	;	;	;	0
and	and	cc	and	and	0
however	however	c-acp	however	however	0
useless	useless	j	useless	useless	0
this	this	d	this	this	0
Peice	Peice	vvb	Piece	piece	0
may	may	vmb	may	may	0
prove	prove	vvi	prove	prove	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
others	others	n2-jn	others	other	0
who	who	r-crq	who	who	0
stand	stand	vvb	stand	stand	0
mightily	mightily	av-j	mightily	mighty	0
in	in	p-acp	in	in	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
in	in	p-acp	in	in	0
Our	Our	po12	Our	our	0
Society	Society	n1	Society	society	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
Schools	Schools	n2	Schools	school	0
throw	throw	vvb	throw	throw	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
:	:	:	:	:	0
And	And	cc	And	and	0
this	this	d	this	this	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Opinion	Opinion	n1	Opinion	opinion	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
a	a	dt	a	a	0
Reflecti	Reflecti	n1	Reflecti	reflecti	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
than	than	cs	than	than	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Corpo	Corpo	fw-it	Corpo	corpo	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
belonging	belonging	vvg	belonging	belong	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
alike	alike	av	alike	alike	0
dexterous	dexterous	j	dexterous	dexterous	0
and	and	cc	and	and	0
expert	expert	j	expert	expert	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Trade	Trade	n1	Trade	trade	0
they	they	pns32	they	they	0
profess	profess	vvb	profess	profess	0
.	.	.	.	.	1
I	I	pns11	I	i	0
expect	expect	vvb	expect	expect	0
therefore	therefore	av	therefore	therefore	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
wo'nt	wo'nt	zz	wo'nt	wo'nt	0
be	be	vbb	be	be	0
dissatisfied	dissatisfied	vvn	dissatisfied	dissatisfy	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
recommending	recommending	vvg	recommending	recommend	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
perusal	perusal	n1	perusal	perusal	0
,	,	,	,	,	0
seing	seing	vvg	sing	sing	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
meer	meer	j	mere	mere	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Encouragement	Encouragement	n1	Encouragement	encouragement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
and	and	cc	and	and	0
Im	Im	p-acp	Im	in	0
∣	∣	sy	∣	∣	0
provement	provement	n1	provement	provement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Youth	Youth	n1	Youth	youth	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
You	You	pn22	You	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
part	part	n1	part	part	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
indu	indu	fw-fr	indu	indu	0
∣	∣	sy	∣	∣	0
ced	ced	vvn	ced	ce	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
Subject	Subject	n-jn	Subject	subject	0
:	:	:	:	:	0
And	And	cc	And	and	0
seing	seing	vvg	sing	sing	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
without	without	p-acp	without	without	0
Vanity	Vanity	n1	Vanity	vanity	0
say	say	vvi	say	say	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
Instruments	Instruments	n2	Instruments	instrument	0
in	in	p-acp	in	in	0
perswading	perswading	vvg	persuading	persuade	0
many	many	d	many	many	0
Gen	Gen	np1	Gen	Gen	0
∣	∣	sy	∣	∣	0
tlemen	tlemen	n2	tlemen	tleman	0
to	to	pc-acp	to	to	0
apply	apply	vvi	apply	apply	0
themselves	themselves	px32	themselves	themselves	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
good	good	j	good	good	0
ef	ef	pp-f	ef	of	0
∣	∣	sy	∣	∣	0
fects	fects	vvz	fects	fect	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Erection	Erection	n1	Erection	erection	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Our	Our	po12	Our	our	0
Society	Society	n1	Society	society	0
;	;	;	;	;	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
satisfied	satisfied	vvn	satisfied	satisfy	0
as	as	p-acp	as	as	0
having	having	vhg	having	have	0
fully	fully	av-j	fully	full	0
accom	accom	vvn	accom	accom	0
∣	∣	sy	∣	∣	0
plished	plished	j	plished	plished	0
my	my	po11	my	my	0
Design	Design	n1	Design	design	0
,	,	,	,	,	0
and	and	cc	and	and	0
contemning	contemning	vvg	contemning	contemn	0
the	the	dt	the	the	0
Cen	Cen	n1	Cen	cen	0
∣	∣	sy	∣	∣	0
sures	sures	vvz	sures	sure	0
of	of	pp-f	of	of	0
Any	Any	d	Any	any	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
may	may	vmb	may	may	0
Reflect	Reflect	vvi	Reflect	reflect	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
as	as	c-acp	as	as	0
medling	medling	vvg	meddling	meddle	0
too	too	av	too	too	0
much	much	av-d	much	much	0
with	with	p-acp	with	with	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
judge	judge	n1	judge	judge	0
does	does	vdz	does	do	0
so	so	av	so	so	0
little	little	av-j	little	little	0
lye	lye	vvi	lie	lie	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
way	way	n1	way	way	0
:	:	:	:	:	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
my	my	po11	my	my	0
self	self	n1	self	self	0
aboun	aboun	n1	aboum	aboum	0
∣	∣	sy	∣	∣	0
dantly	dantly	av-j	dantly	dant	0
recompenced	recompenced	vvn	recompensed	recompense	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Encouragement	Encouragement	n1	Encouragement	encouragement	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
You	You	pn22	You	you	0
give	give	vvb	give	give	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
small	small	j	small	small	0
Trouble	Trouble	n1	Trouble	trouble	0
or	or	cc	or	or	0
Expences	Expences	n2	Expenses	expense	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
at	at	p-acp	at	at	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Countrey-men	Countrey-men	n2	Countrymen	countryman	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
mistaken	mistaken	vvn	mistaken	mistake	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
said	said	vvn	said	say	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
neces	neces	n2	nieces	niece	0
∣	∣	sy	∣	∣	0
sar	sar	av-j	sar	far	0
,	,	,	,	,	0
either	either	av-d	either	either	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Divertisement	Divertisement	n1	Divertisement	divertisement	0
,	,	,	,	,	0
or	or	cc	or	or	0
Defence	Defence	n1	Defence	defence	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Mans	Mans	ng1	men	man	0
Person	Person	n1	Person	person	0
.	.	.	.	.	1
Continue	Continue	vvb	Continue	continue	0
then	then	av	then	then	0
,	,	,	,	,	0
Worthy	Worthy	j	Worthy	worthy	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
Noble	Noble	j	Noble	noble	0
Design	Design	n1	Design	design	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Encouraging	Encouraging	vvg	Encouraging	encourage	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
Your	Your	po22	Your	your	0
Society	Society	n1	Society	society	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sword	Sword	n1	Sword	sword	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
You	You	pn22	You	you	0
have	have	vhb	have	have	0
cast	cast	vvn	cast	cast	0
a	a	dt	a	a	0
generous	generous	j	generous	generous	0
Coppy	Coppy	n1	Copy	copy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
Brittain	Brittain	np1	Brittain	Britain	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
what	what	r-crq	what	what	0
Method	Method	n1	Method	method	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Improvement	Improvement	n1	Improvement	improvement	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Youth	Youth	n1	Youth	youth	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
use	use	vvb	use	use	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
an	an	dt	and	a	0
Art	Art	n1	Art	art	0
;	;	;	;	;	0
so	so	av	so	so	0
let	let	vvb	let	let	0
Your	Your	po22	Your	your	0
Practice	Practice	n1	Practice	practice	0
discover	discover	vvi	discover	discover	0
and	and	cc	and	and	0
demonstrate	demonstrate	vvi	demonstrate	demonstrate	0
