SHEWETH	SHEWETH	vvz	SHOWS	show	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
continuall	continuall	j	continual	continual	0
delays	delays	n2	delays	delay	0
and	and	cc	and	and	0
obstructions	obstructions	n2	obstructions	obstruction	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
prosecution	prosecution	n1	prosecution	prosecution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
laid	laid	vvn	laid	lay	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
Committee	Committee	n1	Committee	committee	0
&c.	&c.	av	etc.	etc	1
Whereupon	Whereupon	c-crq	Whereupon	whereupon	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
27	27	crd	27	27	0
of	of	pp-f	of	of	0
January	January	np1	January	January	0
last	last	vvb	last	last	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nued	nued	vvd	nued	nue	0
their	their	po32	their	their	0
said	said	j-vvn	said	say	0
prosecution	prosecution	n1	prosecution	prosecution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
2500l	2500l	crd	2500l	2500l	0
.	.	.	.	.	0
or	or	cc	or	or	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
,	,	,	,	,	0
and	and	cc	and	and	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
their	their	po32	their	their	0
great	great	j	great	great	0
charge	charge	n1	charge	charge	0
and	and	cc	and	and	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
severall	severall	j	several	several	0
addresses	addresses	n2	addresses	address	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Committee	Committee	n1	Committee	committee	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
)	)	)	)	)	0
can	can	vmb	can	can	0
hitherto	hitherto	av	hitherto	hitherto	0
have	have	vhi	have	have	0
no	no	dx	no	no	0
relief	relief	n1	relief	relief	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
tendeth	tendeth	vvz	tendeth	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
wrong	wrong	n-jn	wrong	wrong	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
and	and	cc	and	and	0
Souldiery	Souldiery	n1	Soldiery	soldiery	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
true	true	j	true	true	0
Narrative	Narrative	np1	Narrative	Narrative	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
and	and	cc	and	and	0
transactions	transactions	n2	transactions	transaction	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
accompt	accompt	n1	account	account	0
ready	ready	j	ready	ready	0
(	(	(	(	(	0
when	when	c-crq	when	when	0
called	called	vvn	called	call	0
for	for	p-acp	for	for	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
humbly	humbly	av-j	humbly	humble	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
And	And	cc	And	and	0
this	this	d	this	this	0
discovery	discovery	n1	discovery	discovery	0
issuing	issuing	vvg	issuing	issue	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
military	military	j	military	military	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
humble	humble	j	humble	humble	0
suit	suit	n1	suit	suit	0
is	is	vbz	is	be	0
,	,	,	,	,	0
That	That	cst	That	that	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
premises	premises	n2	premises	premise	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
pious	pious	j	pious	pious	0
and	and	cc	and	and	0
serious	serious	j	serious	serious	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
sideration	sideration	n1	sideration	sideration	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereupon	thereupon	av	thereupon	thereupon	0
if	if	cs	if	if	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
finde	finde	vvi	find	find	0
it	it	pn31	it	it	0
meet	meet	vvi	meet	meet	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
minate	minate	vvb	minate	minate	0
some	some	d	some	some	0
worthy	worthy	j	worthy	worthy	0
persons	persons	n2	persons	person	0
(	(	(	(	(	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
)	)	)	)	)	0
that	that	d	that	that	0
are	are	vbr	are	be	0
expe	expe	n1	expe	expe	0
∣	∣	sy	∣	∣	0
rienced	rienced	vvd	rienced	rience	0
in	in	p-acp	in	in	0
Military	Military	j	Military	military	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
,	,	,	,	,	0
examine	examine	vvb	examine	examine	0
,	,	,	,	,	0
and	and	cc	and	and	0
determine	determine	vvi	determine	determine	0
the	the	dt	the	the	0
business	business	n1	business	business	0
,	,	,	,	,	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
therein	therein	av	therein	therein	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
grave	grave	n1	grave	grave	0
wis	wis	vvb	wis	wis	0
∣	∣	sy	∣	∣	0
domes	domes	n2	domes	dome	0
shall	shall	vmb	shall	shall	0
seem	seem	vvi	seem	seem	0
most	most	ds	most	most	0
agreeable	agreeable	j	agreeable	agreeable	0
to	to	p-acp	to	to	0
equity	equity	n1	equity	equity	0
and	and	cc	and	and	0
justice	justice	n1	justice	justice	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
procuring	procuring	vvg	procuring	procure	0
an	an	dt	and	a	0
effectuall	effectuall	j	effectual	effectual	0
tryall	tryall	n1	trial	trial	0
and	and	cc	and	and	0
speedy	speedy	j	speedy	speedy	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
disco	disco	n1	disco	disco	0
∣	∣	sy	∣	∣	0
very	very	av	very	very	0
&c.	&c.	av	etc.	etc	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
present	present	j	present	present	0
and	and	cc	and	and	0
future	future	j-jn	future	future	0
good	good	j	good	good	0
and	and	cc	and	and	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
and	and	cc	and	and	0
Souldiery	Souldiery	n1	Soldiery	soldiery	0
&c.	&c.	av	etc.	etc	1
Delivered	Delivered	vvn	Delivered	deliver	0
April	April	np1	April	April	0
17	17	crd	17	17	0
1652	1652	crd	1652	1652	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Generall	Generall	n1	General	general	0
Cromwell	Cromwell	np1	Cromwell	Cromwell	0
.	.	.	.	.	1
And	And	cc	And	and	0
they	they	pns32	they	they	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
duty	duty	n1	duty	duty	0
bound	bound	vvn	bound	bind	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
ever	ever	av	ever	ever	0
pray	pray	vvi	pray	pray	0
&c.	&c.	av	etc.	etc	1
