PLutarch	PLutarch	ng1	PLutarch	plutarch	0
gall	gall	n1	gall	gall	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
sundry	sundry	j	sundry	sundry	0
most	most	av-ds	most	most	0
wholesome	wholesome	j	wholesome	wholesome	0
medicines	medicines	n2	medicines	medicine	0
:	:	:	:	:	0
Yea	Yea	uh	Yea	yea	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
outward	outward	j	outward	outward	0
proportion	proportion	n1	proportion	proportion	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
fearefull	fearefull	j	fearful	fearful	0
shape	shape	n1	shape	shape	0
,	,	,	,	,	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
their	their	po32	their	their	0
skinnes	skinnes	n2	skins	skin	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
before	before	a-acp	before	before	0
had	had	vhd	had	have	0
threat	threat	n1	threat	threat	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
man	man	n1	man	man	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
death	death	n1	death	death	0
,	,	,	,	,	0
he	he	pns31	he	he	0
afterward	afterward	av	afterwards	afterward	0
addressed	addressed	vvd	addressed	address	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
conuenient	conuenient	j	convenient	convenient	0
Armour	Armour	n1	Armour	armour	0
to	to	pc-acp	to	to	0
saue	saue	vvi	save	save	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
harmes	harmes	n2	harms	harm	0
,	,	,	,	,	0
and	and	cc	and	and	0
defend	defend	vvi	defend	defend	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
destruction	destruction	n1	destruction	destruction	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
which	which	r-crq	which	which	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
foregoing	foregoing	vvg	foregoing	forego	0
Ages	Ages	n2	Ages	age	0
seemed	seemed	vvd	seemed	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
miserable	miserable	j	miserable	miserable	0
by	by	p-acp	by	by	0
hauing	hauing	j-vvg	having	have	0
wilde	wilde	j	wild	wild	0
beastes	beastes	n2	beasts	beast	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Posteritie	Posteritie	n1	Posterity	posterity	0
following	following	vvg	following	follow	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
appeared	appeared	vvn	appeared	appear	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
miserable	miserable	j	miserable	miserable	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
wanted	wanted	vvn	wanted	want	0
wilde	wilde	j	wild	wild	0
beastes	beastes	n2	beasts	beast	0
.	.	.	.	.	1
And	And	cc	And	and	0
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
alleageth	alleageth	vvz	allegeth	allege	0
Xeno	Xeno	np1	Xeno	Xeno	0
∣	∣	sy	∣	∣	0
phon	phon	n1	phon	phon	0
to	to	p-acp	to	to	0
haue	haue	vhi	have	have	0
beene	beene	vbn	been	be	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
iudgement	iudgement	n1	judgement	judgement	0
;	;	;	;	;	0
That	That	cst	That	that	0
although	although	cs	although	although	0
some	some	d	some	some	0
man	man	n1	man	man	0
can	can	vmb	can	can	0
content	content	vvi	content	content	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
escape	escape	vvi	escape	escape	0
the	the	dt	the	the	0
iniuries	iniuries	n2	injuries	injury	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
enemies	enemies	n2	enemies	enemy	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
valiant	valiant	j	valiant	valiant	0
min	min	fw-mi	min	min	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
profite	profite	n1	profit	profit	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
malice	malice	n1	malice	malice	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
vsing	vsing	vvg	using	use	0
such	such	d	such	such	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
dustrie	dustrie	n1	dustrie	dustrie	0
in	in	p-acp	in	in	0
attending	attending	vvg	attending	attend	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
marking	marking	vvg	marking	mark	0
his	his	po31	his	his	0
aduersaries	aduersaries	n2	adversaries	adversary	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
life	life	n1	life	life	0
shoulde	shoulde	vmd	should	shall	0
seeme	seeme	vvi	seem	seem	0
nothing	nothing	pix	nothing	nothing	0
so	so	av	so	so	0
happy	happy	j	happy	happy	0
and	and	cc	and	and	0
commendable	commendable	j	commendable	commendable	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
deede	deede	n1	deed	deed	0
that	that	cst	that	that	0
vtterly	vtterly	av-j	utterly	utter	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
none	none	pi	none	none	0
enemies	enemies	n2	enemies	enemy	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
.	.	.	.	.	1
Much	Much	av-d	Much	much	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
(	(	(	(	(	0
my	my	po11	my	my	0
very	very	j	very	very	0
honorable	honorable	j	honourable	honourable	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
fareth	fareth	vvz	fareth	fare	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
Nauigators	Nauigators	n2	Navigators	navigator	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
aduen	aduen	vvn	advent	advent	0
∣	∣	sy	∣	∣	0
tured	tured	j	tur	tur	0
to	to	pc-acp	to	to	0
forsake	forsake	vvi	forsake	forsake	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
land	land	n1	land	land	0
,	,	,	,	,	0
betaking	betaking	vvg	betaking	betake	0
themselues	themselues	px32	themselves	themselves	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wide	wide	j	wide	wide	0
Ocean	Ocean	n1	Ocean	ocean	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
credit	credit	n1	credit	credit	0
and	and	cc	and	and	0
fidelitie	fidelitie	n1	fidelity	fidelity	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
reposed	reposed	vvd	reposed	repose	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Sailing	Sailing	vvg	Sailing	sail	0
Compasse	Compasse	n1	Compass	compass	0
;	;	;	;	;	0
constant	constant	j	constant	constant	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
beleeuing	beleeuing	vvg	believing	believe	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
euery	euery	d	every	every	0
where	where	c-crq	where	where	0
shewed	shewed	vvn	showed	show	0
the	the	dt	the	the	0
true	true	j	true	true	0
North	North	n1	North	north	0
and	and	cc	and	and	0
South	South	n1	South	south	0
,	,	,	,	,	0
and	and	cc	and	and	0
semblably	semblably	av-j	semblably	semblable	0
all	all	d	all	all	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
windes	windes	n2	winds	wind	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
dangerous	dangerous	j	dangerous	dangerous	0
and	and	cc	and	and	0
dolefull	dolefull	j	doleful	doleful	0
experience	experience	n1	experience	experience	0
within	within	p-acp	within	within	0
short	short	j	short	short	0
time	time	n1	time	time	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
plaine	plaine	j	plain	plain	0
and	and	cc	and	and	0
manifest	manifest	j	manifest	manifest	0
,	,	,	,	,	0
that	that	cst	that	that	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
posed	posed	vvn	posed	pose	0
greatest	greatest	js	greatest	great	0
trust	trust	n1	trust	trust	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
some	some	d	some	some	0
treacherie	treacherie	n1	treachery	treachery	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
vpholder	vpholder	n1	upholder	upholder	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
life	life	n1	life	life	0
and	and	cc	and	and	0
safetie	safetie	n1	safety	safety	0
,	,	,	,	,	0
did	did	vdd	did	do	0
sometimes	sometimes	av	sometime	sometime	0
mis	mis	vvi	miss	miss	0
∣	∣	sy	∣	∣	0
leade	leade	vvb	lead	lead	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
destruction	destruction	n1	destruction	destruction	0
,	,	,	,	,	0
and	and	cc	and	and	0
caried	caried	vvd	carried	carry	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
proceeding	proceeding	n-vvg	proceeding	proceed	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
course	course	n1	course	course	0
farre	farre	av-j	far	far	0
distant	distant	j	distant	distant	0
(	(	(	(	(	0
they	they	pns32	they	they	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
whither	whither	c-crq	whither	whither	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
pretended	pretended	vvd	pretended	pretend	0
.	.	.	.	.	1
This	This	d	This	this	0
vncertaintie	vncertaintie	n1	uncertainty	uncertainty	0
therefore	therefore	av	therefore	therefore	0
being	being	vbg	being	be	0
so	so	av	so	so	0
dangerous	dangerous	j	dangerous	dangerous	0
an	an	dt	and	a	0
ene	ene	fw-mi	ene	ene	0
∣	∣	sy	∣	∣	0
mie	mie	po11	my	my	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
new	new	j	new	new	0
practised	practised	j-vvn	practised	practise	0
arte	arte	n1	art	art	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
might	might	n1	might	might	0
and	and	cc	and	and	0
maine	maine	n1	main	main	0
they	they	pns32	they	they	0
encountered	encountered	vvd	encountered	encounter	0
:	:	:	:	:	0
And	And	cc	And	and	0
hauing	hauing	vhg	having	have	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
found	found	vvd	found	find	0
out	out	av	out	out	0
some	some	d	some	some	0
tolerable	tolerable	j	tolerable	tolerable	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
auoide	auoide	vvi	avoid	avoid	0
it	it	pn31	it	it	0
,	,	,	,	,	0
they	they	pns32	they	they	0
thought	thought	vvd	thought	think	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
ynough	ynough	av-d	enough	enough	0
,	,	,	,	,	0
and	and	cc	and	and	0
rested	rested	vvd	rested	rest	0
therewith	therewith	av	therewith	therewith	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
tented	tented	j-vvn	tented	tent	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
pregnant	pregnant	j	pregnant	pregnant	0
Age	Age	n1	Age	age	0
wherein	wherein	c-crq	wherein	wherein	0
we	we	pns12	we	we	0
liue	liue	vvb	live	live	0
,	,	,	,	,	0
the	the	dt	the	the	0
expert	expert	j	expert	expert	0
and	and	cc	and	and	0
skilfull	skilfull	j	skilful	skilful	0
Nauigators	Nauigators	n2	Navigators	navigator	0
haue	haue	vhb	have	have	0
proceeded	proceeded	vvn	proceeded	proceed	0
yet	yet	av	yet	yet	0
further	further	av-jc	further	further	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
venimous	venimous	j	venomous	venomous	0
qua	qua	fw-la	qua	qua	0
∣	∣	sy	∣	∣	0
litie	litie	n1	litie	litie	0
of	of	pp-f	of	of	0
misleading	misleading	vvg	misleading	mislead	0
an	an	dt	and	a	0
Antidote	Antidote	n1	Antidote	antidote	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
they	they	pns32	they	they	0
vse	vse	vvb	use	use	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
steade	steade	n1	stead	stead	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
armour	armour	n1	armour	armour	0
and	and	cc	and	and	0
defence	defence	n1	defence	defence	0
against	against	p-acp	against	against	0
error	error	n1	error	error	0
and	and	cc	and	and	0
perils	perils	n2	perils	peril	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
rude	rude	j	rude	rude	0
beginnings	beginnings	n2	beginnings	beginning	0
of	of	pp-f	of	of	0
former	former	j	former	former	0
times	times	n2	times	time	0
,	,	,	,	,	0
men	men	n2	men	man	0
were	were	vbdr	were	be	0
drawen	drawen	vvn	drawn	draw	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
many	many	d	many	many	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
plexities	plexities	n2	plexities	plexity	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
setled	setled	j-vvn	settled	settle	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
they	they	pns32	they	they	0
reioyce	reioyce	vvb	rejoice	rejoice	0
therein	therein	av	therein	therein	0
(	(	(	(	(	0
being	being	vbg	being	be	0
vsed	vsed	vvn	used	use	0
and	and	cc	and	and	0
ordered	ordered	vvn	ordered	order	0
accor	accor	n1	accor	accor	0
∣	∣	sy	∣	∣	0
dingly	dingly	av-vvg	dingly	ding	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
greatly	greatly	av-j	greatly	great	0
concerning	concerning	vvg	concerning	concern	0
their	their	po32	their	their	0
good	good	j	good	good	0
and	and	cc	and	and	0
welfare	welfare	n1	welfare	welfare	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
principall	principall	j-jn	principal	principal	0
secret	secret	n-jn	secret	secret	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
kno	kno	vvb	know	know	0
∣	∣	sy	∣	∣	0
wen	wen	n1	wen	wen	0
vnto	vnto	p-acp	unto	unto	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
greatest	greatest	js	greatest	great	0
skill	skill	n1	skill	skill	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
.	.	.	.	.	1
A	A	dt	A	a	0
memorable	memorable	j	memorable	memorable	0
example	example	n1	example	example	0
hereof	hereof	av	hereof	hereof	0
fell	fell	vvd	fell	fall	0
out	out	av	out	out	0
Anno	Anno	fw-la	Anno	anno	0
1586.	1586.	crd	1586.	1586.	0
when	when	c-crq	when	when	0
Sir	Sir	n1	Sir	sir	0
Frances	Frances	np1	Frances	Frances	0
Drake	Drake	np1	Drake	Drake	0
,	,	,	,	,	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
famous	famous	j	famous	famous	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
morie	morie	j	morie	moory	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
VVest	VVest	n1	VVest	west	0
Indian	Indian	np1	Indian	Indian	0
victorious	victorious	j	victorious	victorious	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
depar	depar	n1	depar	depar	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
harbour	harbour	n1	harbour	harbour	0
of	of	pp-f	of	of	0
Cartagena	Cartagena	np1	Cartagena	Cartagena	0
,	,	,	,	,	0
arriued	arriued	vvd	arrived	arrive	0
some	some	d	some	some	0
small	small	j	small	small	0
time	time	n1	time	time	0
after	after	a-acp	after	after	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
VVestermost	VVestermost	j	Westermost	westermost	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
,	,	,	,	,	0
called	called	vvd	called	call	0
Cape	Cape	n1	Cape	cape	0
S.	S.	np1	S.	S.	0
Antony	Antony	np1	Antony	Antony	0
,	,	,	,	,	0
and	and	cc	and	and	0
hauing	hauing	vhg	having	have	0
stayed	stayed	vvn	stayed	stay	0
there	there	a-acp	there	there	0
some	some	d	some	some	0
fewe	fewe	d	few	few	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
put	put	vvn	put	put	0
to	to	p-acp	to	to	0
Sea	Sea	n1	Sea	sea	0
for	for	p-acp	for	for	0
Virginia	Virginia	np1	Virginia	Virginia	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
liefe	liefe	av-j	lief	lief	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Countreymen	Countreymen	n2	Countrymen	countryman	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
dan	dan	fw-mi	dan	dan	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
and	and	cc	and	and	0
distresse	distresse	n1	distress	distress	0
:	:	:	:	:	0
Hauing	Hauing	vhg	Having	have	0
continued	continued	vvn	continued	continue	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
six	six	crd	six	six	0
∣	∣	sy	∣	∣	0
teene	teene	crd	teene	ten	0
dayes	dayes	n2	days	day	0
tossed	tossed	vvn	tossed	toss	0
with	with	p-acp	with	with	0
variable	variable	j	variable	variable	0
windes	windes	n2	winds	wind	0
,	,	,	,	,	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
within	within	p-acp	within	within	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
land	land	n1	land	land	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
meanes	meanes	n2	means	mean	0
could	could	vmd	could	can	0
they	they	pns32	they	they	0
discerne	discerne	vvi	discern	discern	0
,	,	,	,	,	0
or	or	cc	or	or	0
giue	giue	vvi	give	give	0
any	any	d	any	any	0
probable	probable	j	probable	probable	0
ghesse	ghesse	vvb	guess	guess	0
what	what	r-crq	what	what	0
lande	lande	n1	land	land	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
.	.	.	.	.	1
So	So	av	So	so	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
Southhampton	Southhampton	np1	Southhampton	Southampton	0
,	,	,	,	,	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
expert	expert	j	expert	expert	0
and	and	cc	and	and	0
skilfull	skilfull	j	skilful	skilful	0
Nauigator	Nauigator	n1	Navigator	navigator	0
(	(	(	(	(	0
though	though	cs	though	though	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
conditions	conditions	n2	conditions	condition	0
not	not	xx	not	not	0
so	so	av	so	so	0
good	good	j	good	good	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
better	better	jc	better	better	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
bin	bin	vbn	been	be	0
wi	wi	zz	wi	wi	0
∣	∣	sy	∣	∣	0
shed	shed	vvn	shed	shed	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
frowardnesse	frowardnesse	n1	frowardness	forwardness	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
receaued	receaued	vvn	received	receive	0
disgrace	disgrace	n1	disgrace	disgrace	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
was	was	vbds	was	be	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
vpon	vpon	p-acp	upon	upon	0
this	this	d	this	this	0
necessitie	necessitie	n1	necessity	necessity	0
cal	cal	vvb	call	call	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
vnto	vnto	p-acp	unto	unto	0
conference	conference	n1	conference	conference	0
:	:	:	:	:	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
Sir	Sir	n1	Sir	sir	0
Francis	Francis	np1	Francis	Francis	0
had	had	vhd	had	have	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
stowed	stowed	vvn	stowed	stow	0
on	on	p-acp	on	on	0
him	him	pno31	him	he	0
some	some	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
eloquent	eloquent	j	eloquent	eloquent	0
perswasions	perswasions	n2	persuasions	persuasion	0
and	and	cc	and	and	0
faire	faire	j	fair	fair	0
promises	promises	n2	promises	promise	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
he	he	pns31	he	he	0
vndertaketh	vndertaketh	vvz	undertaketh	undertake	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
his	his	po31	his	his	0
best	best	js	best	best	0
.	.	.	.	.	1
And	And	cc	And	and	0
hauing	hauing	vhg	having	have	0
made	made	vvn	made	make	0
his	his	po31	his	his	0
obseruations	obseruations	n2	observations	observation	0
according	according	vvg	according	accord	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
Arte	Arte	n1	Art	art	0
,	,	,	,	,	0
he	he	pns31	he	he	0
pronounced	pronounced	vvd	pronounced	pronounce	0
in	in	p-acp	in	in	0
laughing	laughing	vvg	laughing	laugh	0
and	and	cc	and	and	0
disdainefull	disdainefull	j	disdainful	disdainful	0
maner	maner	n1	manner	manner	0
(	(	(	(	(	0
because	because	c-acp	because	because	0
his	his	po31	his	his	0
aduise	aduise	n1	advise	advice	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
setting	setting	n-vvg	setting	set	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
course	course	n1	course	course	0
)	)	)	)	)	0
that	that	cst	that	that	0
looke	looke	vvb	look	look	0
what	what	r-crq	what	what	0
land	land	n1	land	land	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
bin	bin	vbn	been	be	0
at	at	p-acp	at	at	0
sixteene	sixteene	crd	sixteene	sixteen	0
dayes	dayes	n2	days	day	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
the	the	dt	the	the	0
very	very	av	very	very	0
same	same	d	same	same	0
precisely	precisely	av-j	precisely	precise	0
was	was	vbds	was	be	0
