IT	IT	pn31	IT	it	0
if	if	cs	if	if	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
Popish	Popish	j	Popish	popish	0
;	;	;	;	;	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
rule	rule	n1	rule	rule	0
of	of	pp-f	of	of	0
Contraries	Contraries	n2-jn	Contraries	contrary	0
,	,	,	,	,	0
the	the	dt	the	the	0
Papists	Papists	njp2	Papists	papist	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
lately	lately	av-j	lately	late	0
Execu	Execu	n1	Execu	execu	0
∣	∣	sy	∣	∣	0
ted	ted	av	ted	ted	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
Protestants	Protestants	n2	Protestants	protestant	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
zealous	zealous	j	zealous	zealous	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Tole	Tole	n1	Tole	toll	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
:	:	:	:	:	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
declared	declared	vvd	declared	declare	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
Tryall	Tryall	n1	Trial	trial	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
tended	tended	vvn	tended	tend	0
not	not	xx	not	not	0
the	the	dt	the	the	0
introducing	introducing	vvg	introducing	introduce	0
of	of	pp-f	of	of	0
Popery	Popery	n1	Popery	popery	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
death	death	n1	death	death	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Toleration	Toleration	n1	Toleration	toleration	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
Papists	Papists	njp2	Papists	papist	0
were	were	vbdr	were	be	0
onely	onely	av-j	only	only	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Toleration	Toleration	n1	Toleration	toleration	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
own	own	d	own	own	0
ends	ends	n2	ends	end	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
were	were	vbdr	were	be	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
ever	ever	av	ever	ever	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
any	any	d	any	any	0
longer	longer	av-jc	longer	long	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
than	than	cs	than	than	0
till	till	p-acp	till	till	0
their	their	po32	their	their	0
turn	turn	n1	turn	turn	0
were	were	vbdr	were	be	0
served	served	vvn	served	serve	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
.	.	.	.	.	1
They	They	pns32	They	they	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
take	take	vvi	take	take	0
more	more	dc	more	more	0
Liberty	Liberty	n1	Liberty	liberty	0
than	than	cs	than	than	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
lows	lows	zz	lows	lows	0
them	them	pno32	them	they	0
,	,	,	,	,	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
Tolerate	Tolerate	vvi	Tolerate	tolerate	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
late	late	j	late	late	0
times	times	n2	times	time	0
their	their	po32	their	their	0
Lawfull	Lawfull	j	Lawful	lawful	0
King	King	n1	King	king	0
his	his	po31	his	his	0
own	own	d	own	own	0
Chaplains	Chaplains	n2	Chaplains	chaplain	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
his	his	po31	his	his	0
Subjects	Subjects	n2-jn	Subject's	subject	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mon-Prayer	mon-Prayer	n1	mon-Prayer	mon-prayer	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
Clergy	Clergy	n1	Clergy	clergy	0
that	that	cst	that	that	0
read	read	vvb	read	read	0
it	it	pn31	it	it	0
,	,	,	,	,	0
houses	houses	n2	houses	house	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
end	end	n1	end	end	0
the	the	pno32	thee	they	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
pists	pists	vvz	pists	pist	0
proposed	proposed	vvn	proposed	propose	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Toleration	Toleration	n1	Toleration	toleration	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
unlike	unlike	j	unlike	unlike	0
the	the	dt	the	the	0
mean	mean	j	mean	mean	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	crd	one	one	0
Term	Term	n1	Term	term	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Contradiction	Contradiction	n1	Contradiction	contradiction	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
what	what	r-crq	what	what	0
likeness	likeness	n1	likeness	likeness	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Toleration	Toleration	n1	Toleration	toleration	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Popish	Popish	j	Popish	popish	0
Inquisition	Inquisition	n1	Inquisition	inquisition	0
?	?	?	?	?	0
and	and	cc	and	and	0
the	the	dt	the	the	0
cer	cer	n1	cer	cer	0
∣	∣	sy	∣	∣	0
tain	tain	j	tain	tain	0
prospect	prospect	n1	prospect	prospect	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
danger	danger	n1	danger	danger	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Tolerations	Tolerations	n2	Tolerations	toleration	0
ending	ending	vvg	ending	end	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
Inquisition	Inquisition	n1	Inquisition	inquisition	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
fierce	fierce	j	fierce	fierce	0
opposition	opposition	n1	opposition	opposition	0
I	I	pns11	I	i	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
from	from	p-acp	from	from	0
some	some	d	some	some	0
projecting	projecting	vvg	projecting	project	0
Papists	Papists	njp2	Papists	papist	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
zeal	zeal	n1	zeal	zeal	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
behalf	behalf	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
solemly	solemly	av-j	solemny	solemn	0
protest	protest	vvi	protest	protest	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
chief	chief	j-jn	chief	chief	0
motive	motive	n1	motive	motive	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
zeal	zeal	n1	zeal	zeal	0
.	.	.	.	.	1
And	And	cc	And	and	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
opposition	opposition	n1	opposition	opposition	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
argued	argued	vvn	argued	argue	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
produce	produce	vvi	produce	produce	0
considerable	considerable	j	considerable	considerable	0
witnesses	witnesses	n2	witnesses	witness	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
need	need	vvi	need	need	0
any	any	d	any	any	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Popular	Popular	j	Popular	popular	0
objection	objection	n1	objection	objection	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
often	often	av	often	often	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Clergy	Clergy	n2	Clergy	clergy	0
are	are	vbr	are	be	0
onely	onely	j	only	only	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
people	people	n1	people	people	0
to	to	p-acp	to	to	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ever	ever	av	ever	ever	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
Shepherds	Shepherds	ng1	Shepherd's	shepherd	0
work	work	n1	work	work	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
provide	provide	vvi	provide	provide	0
his	his	po31	his	his	0
flock	flock	n1	flock	flock	0
of	of	pp-f	of	of	0
Pasture	Pasture	n1	Pasture	pasture	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
serve	serve	vvi	serve	serve	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
being	being	vbg	being	be	0
devoured	devoured	vvn	devoured	devour	0
of	of	pp-f	of	of	0
Wolves	Wolves	n2	Wolves	wolf	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
his	his	po31	his	his	0
Sheep	Sheep	n1	Sheep	sheep	0
from	from	p-acp	from	from	0
stragling	stragling	vvg	straggling	straggle	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
task	task	n1	task	task	0
of	of	pp-f	of	of	0
Preaching	Preaching	vvg	Preaching	preach	0
people	people	n1	people	people	0
to	to	p-acp	to	to	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
where	where	q-crq	where	where	0
shall	shall	vmb	shall	shall	0
we	we	pns12	we	we	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
?	?	?	?	?	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
neither	neither	av-dx	neither	neither	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
to	to	p-acp	to	to	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
receive	receive	vvi	receive	receive	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
owing	owing	vvg	owing	owe	0
their	their	po32	their	their	0
Pastours	Pastours	ng1	Pastors	pastors	0
into	into	p-acp	into	into	0
their	their	po32	their	their	0
own	own	d	own	own	0
houses	houses	n2	houses	house	0
.	.	.	.	.	1
This	This	np1	This	This	0
puts	puts	vvz	puts	put	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
Archimedes	Archimedes	np1	Archimedes	Archimedes	0
his	his	po31	his	his	0
undertaking	undertaking	n-vvg	undertaking	undertake	0
to	to	pc-acp	to	to	0
remove	remove	vvi	remove	remove	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
do	do	vdi	do	do	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
place	place	n1	place	place	0
to	to	pc-acp	to	to	0
plant	plant	vvi	plant	plant	0
his	his	po31	his	his	0
Engines	Engines	n2	Engines	engine	0
on	on	a-acp	on	on	0
.	.	.	.	.	1
No	No	av-dx	No	no	0
more	more	dc	more	more	0
can	can	vmb	can	can	0
we	we	pns12	we	we	0
preach	preach	vvi	preach	preach	0
people	people	n1	people	people	0
to	to	p-acp	to	to	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
though	though	cs	though	though	0
we	we	pns12	we	we	0
think	think	vvb	think	think	0
it	it	pn31	it	it	0
more	more	dc	more	more	0
practi	practi	fw-la	practi	practi	0
∣	∣	sy	∣	∣	0
cable	cable	n1	cable	cable	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
remove	remove	vvi	remove	remove	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
a	a	dt	a	a	0
place	place	n1	place	place	0
be	be	vbi	be	be	0
assigned	assigned	vvn	assigned	assign	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
preaching	preaching	vvg	preaching	preach	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
publick	publick	j	public	public	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
thought	thought	vvn	thought	think	0
inferiour	inferiour	j-jn	inferior	inferior	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
will	will	vmb	will	will	0
hear	hear	vvi	hear	hear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
what	what	r-crq	what	what	0
Dissenters	Dissenters	n2	Dissenters	dissenter	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
private	private	j	private	private	0
apartments	apartments	n2	apartments	apartment	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
preach	preach	vvi	preach	preach	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
place	place	n1	place	place	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
Common-Prayer	Common-Prayer	n1	Common-Prayer	commonprayer	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
read	read	vvn	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
makes	makes	vvz	makes	make	0
the	the	dt	the	the	0
dull	dull	j	dull	dull	0
Earth	Earth	n1	Earth	earth	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
move	move	vvi	move	move	0
;	;	;	;	;	0
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
coun	coun	vvi	con	con	0
∣	∣	sy	∣	∣	0
sell	sell	vvb	fell	sell	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Clergy	Clergy	n1	Clergy	clergy	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
proper	proper	j	proper	proper	0
,	,	,	,	,	0
Bribe	Bribe	vvi	Bribe	bribe	0
your	your	po22	your	your	0
Consciences	Consciences	n2	Consciences	conscience	0
,	,	,	,	,	0
dispense	dispense	vvb	dispense	dispense	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Subscriptions	Subscriptions	n2	Subscriptions	subscription	0
,	,	,	,	,	0
and	and	cc	and	and	0
Oaths	Oaths	n2	Oaths	oath	0
of	of	pp-f	of	of	0
Canonicall	Canonicall	j	Canonical	canonical	0
Obe	Obe	n1	Obe	obe	0
∣	∣	sy	∣	∣	0
dience	dience	n1	dience	dience	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
do	do	vdi	do	do	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
Pope	Pope	n1	Pope	pope	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
whence	whence	q-crq	whence	whence	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
that	that	cst	that	that	0
Common-Prayer	Common-Prayer	n1	Common-Prayer	commonprayer	0
is	is	vbz	is	be	0
so	so	av	so	so	0
frightfull	frightfull	j	frightful	frightful	0
?	?	?	?	?	1
The	The	dt	The	the	0
thing	thing	n1	thing	thing	0
pretended	pretended	vvn	pretended	pretend	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
Popish	Popish	j	Popish	popish	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
compiled	compiled	vvn	compiled	compile	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
burnt	burnt	vvn	burned	burn	0
for	for	p-acp	for	for	0
Protestants	Protestants	n2	Protestants	protestant	0
;	;	;	;	;	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
they	they	pns32	they	they	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
so	so	av	so	so	0
served	served	vvn	served	serve	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
questioned	questioned	vvn	questioned	question	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
preserved	preserved	vvn	preserved	preserve	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
times	times	n2	times	time	0
,	,	,	,	,	0
the	the	dt	the	the	0
repute	repute	n1	repute	repute	0
for	for	p-acp	for	for	0
Protestants	Protestants	n2	Protestants	protestant	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
Confi	Confi	np1	Confi	Confi	0
∣	∣	sy	∣	∣	0
scation	scation	n1	scation	scation	0
of	of	pp-f	of	of	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
Imprisonment	Imprisonment	n1	Imprisonment	imprisonment	0
,	,	,	,	,	0
Banishment	Banishment	n1	Banishment	banishment	0
,	,	,	,	,	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
satisfie	satisfie	vvi	satisfy	satisfy	0
some	some	d	some	some	0
men	men	n2	men	man	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Clergy	Clergy	n1	Clergy	clergy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Communion	Communion	n1	Communion	communion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
late	late	j	late	late	0
times	times	n2	times	time	0
were	were	vbdr	were	be	0
Protestants	Protestants	n2	Protestants	protestant	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
wanted	wanted	vvd	wanted	want	0
for	for	p-acp	for	for	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
tryals	tryals	n2	trials	trial	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
persisted	persisted	vvn	persisted	persist	0
stedfastly	stedfastly	av-j	steadfastly	steadfast	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
defence	defence	n1	defence	defence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
against	against	p-acp	against	against	0
