THese	THese	d	THese	these	0
Death	Death	n1	Death	death	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Love	Love	n1	Love	love	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
gave	gave	vvd	gave	give	0
Himself	Himself	px31	Himself	himself	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Death	Death	n1	Death	death	0
for	for	p-acp	for	for	0
her	her	pno31	her	she	0
,	,	,	,	,	0
is	is	vbz	is	be	0
proposed	proposed	vvn	proposed	propose	0
to	to	p-acp	to	to	0
Christian	Christian	njp	Christian	christian	0
Husbands	Husbands	n2	Husbands	husband	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Pattern	Pattern	n1	Pattern	pattern	0
of	of	pp-f	of	of	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Wives	Wives	n2	Wives	wife	0
.	.	.	.	.	1
He	He	pns31	He	he	0
lov'd	lov'd	vvd	loved	love	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
Everlasting	Everlasting	j	Everlasting	everlasting	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
must	must	vmb	must	must	0
I	I	pns11	I	i	0
thy	thy	po21	thy	thy	0
Memory	Memory	n1	Memory	memory	0
,	,	,	,	,	0
my	my	po11	my	my	0
Dearest	Dearest	js-jn	Dearest	dear	0
,	,	,	,	,	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
continue	continue	vvb	continue	continue	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
think	think	vvi	think	think	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
possible	possible	j	possible	possible	0
to	to	pc-acp	to	to	0
rob	rob	vvi	rob	rob	0
my	my	po11	my	my	0
Soul	Soul	n1	Soul	soul	0
of	of	pp-f	of	of	0
thine	thine	po21	thine	thy	0
Idea	Idea	n1	Idea	idea	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
deprive	deprive	vvi	deprive	deprive	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
Immortality	Immortality	n1	Immortality	immortality	0
;	;	;	;	;	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
Separation	Separation	n1	Separation	separation	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
our	our	po12	our	our	0
Bodies	Bodies	n2	Bodies	body	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	p-acp	to	to	0
Separate	Separate	j	Separate	separate	0
our	our	po12	our	our	0
Souls	Souls	n2	Souls	soul	0
;	;	;	;	;	0
thou	thou	pns21	thou	thou	0
wast	wast	vbd2s	wast	be	0
lovely	lovely	j	lovely	lovely	0
and	and	cc	and	and	0
pleasant	pleasant	j	pleasant	pleasant	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
can'st	can'st	vm2	canst	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
divided	divided	vvn	divided	divide	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
Death	Death	n1	Death	death	0
;	;	;	;	;	0
though	though	cs	though	though	0
the	the	dt	the	the	0
unspeakable	unspeakable	j	unspeakable	unspeakable	0
Joys	Joys	n2	Joys	joy	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
now	now	av	now	now	0
made	made	vvn	made	make	0
Partaker	Partaker	n1	Partaker	partaker	0
,	,	,	,	,	0
make	make	vvb	make	make	0
thee	thee	pno21	thee	thou	0
ig	ig	j	ig	ig	0
∣	∣	sy	∣	∣	0
norant	norant	j	norant	norant	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
wholly	wholly	av-jn	wholly	whole	0
taken	taken	vvn	taken	take	0
up	up	a-acp	up	up	0
with	with	p-acp	with	with	0
Transports	Transports	vvz	Transports	transport	0
of	of	pp-f	of	of	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Love	Love	n1	Love	love	0
.	.	.	.	.	1
If	If	cs	If	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
thy	thy	po21	thy	thy	0
Happiness	Happiness	n1	Happiness	happiness	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
compleat	compleat	j	complete	complete	0
'till	'till	p-acp	till	till	0
thy	thy	po21	thy	thy	0
other	other	j-jn	other	other	0
half	half	n-jn	half	half	0
were	were	vbdr	were	be	0
also	also	av	also	also	0
Transported	Transported	vvn	Transported	transport	0
into	into	p-acp	into	into	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
I	I	pns11	I	i	0
don't	don't	vdn|pn31	don't	do|it	0
envy	envy	vvi	envy	envy	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
groan	groan	vvb	groan	groan	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
Earthly	Earthly	j	Earthly	earthly	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hinders	hinders	vvz	hinders	hinder	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
partaking	partaking	vvg	partaking	partake	0
of	of	pp-f	of	of	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Society	Society	n1	Society	society	0
with	with	p-acp	with	with	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
so	so	av	so	so	0
,	,	,	,	,	0
makes	makes	vvz	makes	make	0
Heaven	Heaven	n1	Heaven	heaven	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
desirable	desirable	j	desirable	desirable	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
stay	stay	vvi	stay	stay	0
'till	'till	p-acp	till	till	0
the	the	dt	the	the	0
Decree	Decree	n1	Decree	decree	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Eternal	Eternal	j	Eternal	eternal	0
take	take	vvi	take	take	0
effect	effect	n1	effect	effect	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
seeing	seeing	vvg	seeing	see	0
thy	thy	po21	thy	thy	0
place	place	n1	place	place	0
here	here	av	here	here	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
knows	knows	vvz	knows	know	0
thee	thee	pno21	thee	thou	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
enjoy	enjoy	vvi	enjoy	enjoy	0
sweet	sweet	j	sweet	sweet	0
Communion	Communion	n1	Communion	communion	0
with	with	p-acp	with	with	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
'till	'till	p-acp	till	till	0
we	we	pns12	we	we	0
meet	meet	vvb	meet	meet	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
Relief	Relief	n1	Relief	relief	0
at	at	p-acp	at	at	0
present	present	j	present	present	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
refresh	refresh	vvi	refresh	refresh	0
and	and	cc	and	and	0
torment	torment	vvi	torment	torment	0
my	my	po11	my	my	0
self	self	n1	self	self	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brance	brance	n1	brance	brance	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Virtues	Virtues	n2	Virtues	virtue	0
.	.	.	.	.	1
Did	Did	vdd	Did	do	0
Religion	Religion	n1	Religion	religion	0
allow	allow	vvi	allow	allow	0
any	any	d	any	any	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
Shrine	Shrine	n1	Shrine	shrine	0
,	,	,	,	,	0
or	or	cc	or	or	0
Adoration	Adoration	n1	Adoration	adoration	0
at	at	p-acp	at	at	0
thy	thy	po21	thy	thy	0
Tomb	Tomb	n1	Tomb	tomb	0
,	,	,	,	,	0
my	my	po11	my	my	0
head-strong	head-strong	j	headstrong	headstrong	0
Affection	Affection	n1	Affection	affection	0
would	would	vmd	would	will	0
push	push	vvi	push	push	0
me	me	pno11	me	i	0
on	on	a-acp	on	on	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
isWe	isWe	av	isWe	iswe	0
are	are	vbr	are	be	0
sure	sure	j	sure	sure	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
neither	neither	dx	neither	neither	0
Com	Com	np1	Com	Com	0
∣	∣	sy	∣	∣	0
mand	mand	vvn	manned	man	0
,	,	,	,	,	0
Exam	Exam	np1	Exam	Exam	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
,	,	,	,	,	0
or	or	cc	or	or	0
Promise	Promise	vvb	Promise	promise	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
Scri	Scri	np1	Scri	Scri	0
∣	∣	sy	∣	∣	0
pture	pture	n1	pture	pture	0
to	to	p-acp	to	to	0
encou	encou	n1	encou	encou	0
∣	∣	sy	∣	∣	0
rage	rage	vvb	rage	rage	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
our	our	po12	our	our	0
Application	Application	n1	Application	application	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
departed	departed	vvd	departed	depart	0
.	.	.	.	.	1
Mr.	Mr.	n1	Mr.	mr.	0
Rogers's	Rogers's	ng1	Rogers's	rogers	0
Dis	Dis	zf	Dis	this	0
∣	∣	sy	∣	∣	0
courses	courses	n2	courses	course	0
of	of	pp-f	of	of	0
Sick	Sick	np1	Sick	Sick	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
and	and	cc	and	and	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
covery	covery	n1	covery	covery	0
,	,	,	,	,	0
p.	p.	n1	p.	p.	0
79.	79.	crd	79.	79.	0
reserv'd	reserv'd	vvn	reserved	reserve	0
for	for	p-acp	for	for	0
Him	Him	pno31	Him	he	0
alone	alone	av-j	alone	alone	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Being	Being	vbg	Being	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
blessed	blessed	vvn	blessed	bless	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
Meet-help	Meet-help	j	Meet-help	meet-help	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
thee	thee	pno21	thee	thou	0
always	always	av	always	always	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
the	the	dt	the	the	0
arrival	arrival	n1	arrival	arrival	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
fatal	fatal	j	fatal	fatal	0
Moment	Moment	n1	Moment	moment	0
which	which	r-crq	which	which	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
cruel	cruel	j	cruel	cruel	0
Separation	Separation	n1	Separation	separation	0
.	.	.	.	.	1
I	I	pns11	I	i	0
call	call	vvb	call	call	0
it	it	pn31	it	it	0
so	so	av	so	so	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
'twas	'twas	pn31|vbds	'twas	it|be	0
my	my	po11	my	my	0
frequent	frequent	j	frequent	frequent	0
Wish	Wish	n1	Wish	wish	0
,	,	,	,	,	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
expire	expire	vvi	expire	expire	0
in	in	p-acp	in	in	0
each	each	d	each	each	0
others	others	n2-jn	others	other	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
imitate	imitate	vvi	imitate	imitate	0
herein	herein	av	herein	herein	0
the	the	dt	the	the	0
Mayor	Mayor	n1	Mayor	mayor	0
of	of	pp-f	of	of	0
Litomentias's	Litomentias's	npg1	Litomentias's	litomentias	0
Daughter	Daughter	n1	Daughter	daughter	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
leaping	leaping	vvg	leaping	leap	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
River	River	n1	River	river	0
where	where	c-crq	where	where	0
her	her	po31	her	her	0
Husband	Husband	n1	Husband	husband	0
was	was	vbds	was	be	0
drown'd	drown'd	vvn	drowned	drown	0
,	,	,	,	,	0
she	she	pns31	she	she	0
clasped	clasped	vvd	clasped	clasp	0
him	him	pno31	him	he	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Middle	Middle	n-jn	Middle	middle	0
,	,	,	,	,	0
and	and	cc	and	and	0
expires	expires	vvz	expires	expire	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
Arms	Arms	n2	Arms	arm	0
;	;	;	;	;	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
very	very	av	very	very	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
markable	markable	j	markable	markable	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
found	found	vvn	found	find	0
the	the	dt	the	the	0
next	next	ord	next	next	0
day	day	n1	day	day	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
bracing	bracing	vvg	bracing	brace	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
The	The	dt	The	the	0
same	same	d	same	same	0
Instance	Instance	n1	Instance	instance	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Captain	Captain	n1	Captain	captain	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Wife	Wife	n1	Wife	wife	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
last	last	ord	last	last	0
Week	Week	n1	Week	week	0
cast	cast	vvd	cast	cast	0
away	away	av	away	away	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Tilt-boat	Tilt-boat	n1	Tilt-boat	tilt-boat	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
taken	taken	vvn	taken	take	0
up	up	a-acp	up	up	0
so	so	av	so	so	0
closely	closely	av-j	closely	close	0
Lock'd	Lock'd	vvn	Locked	lock	0
in	in	p-acp	in	in	0
each	each	d	each	each	0
others	others	n2-jn	others	other	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
that	that	cst	that	that	0
'twas	'twas	pn31|vbds	'twas	it|be	0
hard	hard	j	hard	hard	0
to	to	pc-acp	to	to	0
part	part	vvi	part	part	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
had	had	vhd	had	have	0
Heaven	Heaven	n1	Heaven	heaven	0
seen	seen	vvn	seen	see	0
it	it	pn31	it	it	0
meet	meet	vvi	meet	meet	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
Vnited	Vnited	vvn	United	unite	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shou'd	shou'd	vvd	should	shove	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
Divided	Divided	vvn	Divided	divide	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Death	Death	n1	Death	death	0
;	;	;	;	;	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fum'd	fum'd	j-vvn	fumed	fume	0
the	the	dt	the	the	0
Arrow	Arrow	n1	Arrow	arrow	0
of	of	pp-f	of	of	0
Mortality	Mortality	n1	Mortality	mortality	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
that	that	cst	that	that	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Terrors	Terrors	n2	Terrors	terror	0
a	a	dt	a	a	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Pleasures	Pleasures	n2	Pleasures	pleasure	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
thou	thou	pns21	thou	thou	0
wast	wast	vbd2s	wast	be	0
Riper	Riper	jc	Riper	ripe	0
for	for	p-acp	for	for	0
Everlasting	Everlasting	j	Everlasting	everlasting	0
Joy	Joy	n1	Joy	joy	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
sooner	sooner	av-c	sooner	soon	0
transported	transported	vvd	transported	transport	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
repine	repine	vvi	repine	repine	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
those	those	d	those	those	0
whom	whom	r-crq	whom	who	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
joyn'd	joyn'd	vvn	joined	join	0
together	together	av	together	together	0
,	,	,	,	,	0
no	no	dx	no	no	0
Man	Man	n1	Man	man	0
must	must	vmb	must	must	0
put	put	vvi	put	put	0
asunder	asunder	av	asunder	asunder	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
Union	Union	n1	Union	union	0
makes	makes	vvz	makes	make	0
the	the	dt	the	the	0
Separation	Separation	n1	Separation	separation	0
,	,	,	,	,	0
there's	there's	pc-acp|vbz	there's	there|be	0
no	no	dx	no	no	0
saying	saying	vvg	saying	say	0
What	What	q-crq	What	what	0
doest	doest	vd2	dost	do	0
Thou	Thou	pns21	Thou	thou	0
?	?	?	?	?	1
Yet	Yet	av	Yet	yet	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Spirit	Spirit	n1	Spirit	spirit	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
taught	taught	vvn	taught	teach	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Righteous	Righteous	j	Righteous	righteous	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
Everlasting	Everlasting	j	Everlasting	everlasting	0
Remembrance	Remembrance	n1	Remembrance	remembrance	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
offended	offended	vvn	offended	offend	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
perpe	perpe	vvi	perpe	perpe	0
∣	∣	sy	∣	∣	0
tuate	tuate	vvb	tuate	tuate	0
thy	thy	po21	thy	thy	0
Memory	Memory	n1	Memory	memory	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
carry	carry	vvi	carry	carry	0
the	the	dt	the	the	0
Idea	Idea	n1	Idea	idea	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Vertues	Vertues	n2	Virtues	virtue	0
constantly	constantly	av-j	constantly	constant	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Mind	Mind	n1	Mind	mind	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
nothing	nothing	pix	nothing	nothing	0
unworthy	unworthy	j-u	unworthy	worthy	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
better	better	j	better	better	0
half	half	n-jn	half	half	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
read	read	vvn	read	read	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Practise	Practise	n1	practice	practice	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
certain	certain	j	certain	certain	0
Great	Great	j	Great	great	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
constantly	constantly	av-j	constantly	constant	0
carried	carried	vvd	carried	carry	0
his	his	po31	his	his	0
Father's	Father's	ng1	Father's	father	0
Picture	Picture	n1	Picture	picture	0
about	about	p-acp	about	about	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
do	do	vdi	do	do	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
unworthy	unworthy	j	unworthy	unworthy	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
Progenitor	Progenitor	n1	Progenitor	progenitor	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
imitate	imitate	vvi	imitate	imitate	0
