RYght	RYght	av-jn	Right	right	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
Euen	Euen	np1	Euen	Even	0
so	so	av	so	so	0
I	I	pns11	I	i	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
made	made	vvn	made	make	0
thys	thys	d	this	this	0
lytle	lytle	j	little	little	0
boke	boke	n1	book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
set	set	vvd	set	set	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
good	good	j	good	good	0
order	order	n1	order	order	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
coulde	coulde	vmd	could	can	0
,	,	,	,	,	0
fearyng	fearyng	vvg	fearing	fear	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
ra	ra	uh	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
precyslye	precyslye	j	precyslye	precyslye	0
knowynge	knowynge	vvg	knowing	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
shall	shall	vmb	shall	shall	0
many	many	d	many	many	0
aryse	aryse	vvi	arise	arise	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
wyl	wyl	vmb	will	will	0
either	either	d	either	either	0
slaunder	slaunder	vvi	slander	slander	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
blame	blame	vvi	blame	blame	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
els	els	av	else	else	0
wyl	wyl	vmb	will	will	0
condemne	condemne	vvi	condemn	condemn	0
it	it	pn31	it	it	0
and	and	cc	and	and	0
burne	burne	vvb	burn	burn	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
an	an	cs	and	an	0
he	he	pns31	he	he	0
∣	∣	sy	∣	∣	0
reticall	reticall	j	reticall	reticall	0
and	and	cc	and	and	0
seditius	seditius	j	seditious	seditious	0
booke	booke	n1	book	book	0
:	:	:	:	:	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
caste	caste	vvn	cast	cast	0
and	and	cc	and	and	0
reproued	reproued	vvd	reproved	reprove	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
sufficient	sufficient	j	sufficient	sufficient	0
wytnesses	wytnesses	n2	witnesses	witness	0
,	,	,	,	,	0
ether	ether	d	either	either	0
of	of	pp-f	of	of	0
scripture	scripture	n1	scripture	scripture	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
amonge	amonge	p-acp	among	among	0
all	all	d	all	all	0
the	the	dt	the	the	0
hole	hole	n1	hold	hole	0
nobilite	nobilite	n1	nobility	nobility	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
compelled	compelled	vvn	compelled	compel	0
by	by	p-acp	by	by	0
great	great	j	great	great	0
nede	nede	n1	need	need	0
to	to	pc-acp	to	to	0
chuse	chuse	vvi	choose	choose	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
desyre	desyre	vvi	desire	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
patrones	patrones	n1	patroness	patroness	0
,	,	,	,	,	0
and	and	cc	and	and	0
defenders	defenders	n2	defenders	defender	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
lytle	lytle	j	little	little	0
boke	boke	n1	book	book	0
onely	onely	av-j	only	only	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
agreeth	agreeth	vvz	agreeth	agree	0
with	with	p-acp	with	with	0
na	na	fw-la	na	na	0
¦	¦	sy	¦	¦	0
tural	tural	j	tural	tural	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
and	and	cc	and	and	0
wyth	wyth	p-acp	with	with	0
the	the	dt	the	the	0
wrytten	wrytten	vvn	written	write	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Yf	Yf	cs	If	if	0
that	that	cst	that	that	0
any	any	d	any	any	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
man	man	n1	man	man	0
can	can	vmb	can	can	0
reproue	reproue	vvi	reprove	reprove	0
and	and	cc	and	and	0
iustly	iustly	av-j	justly	just	0
ouercome	ouercome	vvn	overcome	overcome	0
any	any	d	any	any	0
thynge	thynge	n1	thing	thing	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
wrytten	wrytten	vvn	written	write	0
in	in	p-acp	in	in	0
thys	thys	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
wyth	wyth	p-acp	with	with	0
reason	reason	n1	reason	reason	0
and	and	cc	and	and	0
scripture	scripture	n1	scripture	scripture	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wyll	wyll	vmb	will	will	0
amende	amende	vvi	amend	amend	0
it	it	pn31	it	it	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
amysse	amysse	av	amiss	amiss	0
:	:	:	:	:	0
and	and	cc	and	and	0
recant	recant	vvb	recant	recant	0
it	it	pn31	it	it	0
whyche	whyche	r-crq	which	which	0
is	is	vbz	is	be	0
wrytten	wrytten	vvn	written	write	0
agaynst	agaynst	p-acp	against	against	0
the	the	dt	the	the	0
scripture	scripture	n1	scripture	scripture	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yf	yf	cs	if	if	0
no	no	dx	no	no	0
suche	suche	d	such	such	0
thynge	thynge	n1	thing	thing	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
founde	founde	vvn	found	find	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
:	:	:	:	:	0
I	I	pns11	I	i	0
beseche	beseche	vvb	beseech	beseech	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
Goddes	Goddes	npg1	Goddes	God	0
mini	mini	fw-la	mini	mini	0
∣	∣	sy	∣	∣	0
sters	sters	n1	sters	sters	0
,	,	,	,	,	0
and	and	cc	and	and	0
officers	officers	n2	officers	officer	0
vnder	vnder	p-acp	under	under	0
hym	hym	pno31	him	he	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
fende	fende	n1	fend	fiend	0
it	it	pn31	it	it	0
so	so	av	so	so	0
longe	longe	av-j	long	long	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
founde	founde	vvn	found	find	0
reasonable	reasonable	j	reasonable	reasonable	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
leste	leste	ds	lest	least	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shuld	shuld	vmd	should	shall	0
put	put	vvi	put	put	0
you	you	pn22	you	you	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
to	to	p-acp	to	to	0
muche	muche	d	much	much	0
paine	paine	n1	pain	pain	0
:	:	:	:	:	0
I	I	pns11	I	i	0
wyll	wyll	vmb	will	will	0
aunswere	aunswere	vvi	answer	answer	0
aforehand	aforehand	av	aforehand	aforehand	0
to	to	p-acp	to	to	0
sum	sum	n1	sum	sum	0
obiections	obiections	n2	objections	objection	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
I	I	pns11	I	i	0
reken	reken	vvb	reckon	reckon	0
wyll	wyll	vmb	will	will	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
agaynst	agaynst	p-acp	against	against	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
who	who	r-crq	who	who	0
wold	wold	vmd	would	will	0
be	be	vbi	be	be	0
loth	loth	j	loath	loath	0
that	that	cst	that	that	0
theyr	theyr	po32	their	their	0
sores	sores	n2	sores	sore	0
shulde	shulde	vmd	should	shall	0
be	be	vbi	be	be	0
tou	tou	pns21	tou	thou	0
¦	¦	sy	¦	¦	0
ched	ched	pns31|vmb	ched	she|will	0
:	:	:	:	:	0
wyll	wyll	vmb	will	will	0
saye	saye	vvi	say	say	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
do	do	vdb	do	do	0
ye	ye	pn22	you	you	0
not	not	xx	not	not	0
go	go	vvi	go	go	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
boute	boute	n1	bout	bout	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
to	to	pc-acp	to	to	0
heale	heale	vvi	heal	heal	0
the	the	dt	the	the	0
clergye	clergye	n1	clergy	clergy	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
cōmones	cōmones	n2	commons	commons	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ye	ye	pn22	you	you	0
go	go	vvb	go	go	0
aboute	aboute	p-acp	about	about	0
nowe	nowe	av	now	now	0
to	to	pc-acp	to	to	0
correcte	correcte	vvi	correct	correct	0
vs	vs	pno12	us	we	0
?	?	?	?	?	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
neither	neither	av-dx	neither	neither	0
of	of	pp-f	of	of	0
bothe	bothe	d	both	both	0
those	those	d	those	those	0
orders	orders	n2	order	order	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
hadde	hadde	vhd	had	have	0
as	as	p-acp	as	as	0
muche	muche	d	much	much	0
nede	nede	n1	need	need	0
of	of	pp-f	of	of	0
Physike	Physike	n1	Physic	physic	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
nobi	nobi	n1	nobi	nobi	0
¦	¦	sy	¦	¦	0
lite	lite	vvi	lite	light	0
hath	hath	vhz	hath	have	0
.	.	.	.	.	1
I	I	pns11	I	i	0
aunswere	aunswere	vvb	answer	answer	0
that	that	cst	that	that	0
yf	yf	cs	if	if	0
the	the	dt	the	the	0
clergye	clergye	n1	clergy	clergy	0
be	be	vbb	be	be	0
sik	sik	n1	sik	sik	0
,	,	,	,	,	0
the	the	dt	the	the	0
nobilite	nobilite	n1	nobility	nobility	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
their	their	po32	their	their	0
phisicianes	phisicianes	n2	phisicianes	phisiciane	0
and	and	cc	and	and	0
healers	healers	n2	healers	healer	0
.	.	.	.	.	1
Howe	Howe	np1	Howe	Howe	0
can	can	vmb	can	can	0
the	the	dt	the	the	0
nobilite	nobilite	n1	nobility	nobility	0
heale	heale	vvi	heal	heal	0
them	them	pno32	them	they	0
:	:	:	:	:	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
sik	sik	n1	sik	sik	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
?	?	?	?	?	1
Howe	Howe	np1	Howe	Howe	0
shall	shall	vmb	shall	shall	0
the	the	dt	the	the	0
cōmones	cōmones	n2	commons	commons	0
be	be	vbb	be	be	0
healed	healed	vvn	healed	heal	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
as	as	p-acp	as	as	0
their	their	po32	their	their	0
physicians	physicians	n2	physicians	physician	0
in	in	p-acp	in	in	0
politike	politike	j	politic	politic	0
thynges	thynges	n2	things	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
men	men	n2	men	man	0
:	:	:	:	:	0
and	and	cc	and	and	0
theyr	theyr	po32	their	their	0
physicianes	physicianes	n2	physicians	physician	0
in	in	p-acp	in	in	0
spirituall	spirituall	j	spiritual	spiritual	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
the	the	dt	the	the	0
shepherdes	shepherdes	n1	shepherdess	shepherdess	0
are	are	vbr	are	be	0
bothe	bothe	av-d	both	both	0
so	so	av	so	so	0
sik	sik	n1	sik	sik	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
theyr	theyr	po32	their	their	0
owne	owne	d	own	own	0
duties	duties	n2	duties	duty	0
?	?	?	?	?	1
Therfore	Therfore	av	Therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
possible	possible	j	possible	possible	0
to	to	pc-acp	to	to	0
heale	heale	vvi	heal	heal	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
two	two	crd	two	two	0
orders	orders	n2	order	order	0
,	,	,	,	,	0
excepte	excepte	c-acp	except	except	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
gentylmen	gentylmen	n2	gentlemen	gentleman	0
be	be	vbb	be	be	0
fyrst	fyrst	ord	fyrst	first	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
led	led	vvn	led	lead	0
.	.	.	.	.	1
Forthermore	Forthermore	np1	Forthermore	Forthermore	0
,	,	,	,	,	0
whē	whē	c-crq	when	when	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
intende	intende	vvb	intend	intend	0
to	to	pc-acp	to	to	0
intreate	intreate	vvi	entreat	entreat	0
of	of	pp-f	of	of	0
diuerse	diuerse	j	diverse	diverse	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
physike	physike	n1	physic	physic	0
:	:	:	:	:	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
foolyshe	foolyshe	j	foolish	foolish	0
Physician	Physician	n1	Physician	physician	0
shulde	shulde	vmd	should	shall	0
I	I	pns11	I	i	0
haue	haue	vhi	have	have	0
bene	bene	vbn	be	be	0
,	,	,	,	,	0
yf	yf	cs	if	if	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shulde	shulde	vmd	should	shall	0
beselye	beselye	av-j	beselye	beselye	0
haue	haue	vhi	have	have	0
gone	gone	vvn	gone	go	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
boute	boute	n1	bout	bout	0
to	to	p-acp	to	to	0
heale	heale	vvi	heal	heal	0
the	the	dt	the	the	0
legges	legges	n2	legs	leg	0
and	and	cc	and	and	0
the	the	dt	the	the	0
thyghes	thyghes	n2	thighs	thigh	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
offered	offered	vvn	offered	offer	0
any	any	d	any	any	0
reme	reme	j-jn	reme	reme	0
∣	∣	sy	∣	∣	0
dye	dye	vvb	die	die	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
harte	harte	n1	heart	heart	0
,	,	,	,	,	0
the	the	dt	the	the	0
lyuer	lyuer	n1	liver	liver	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
hede	hede	n1	heed	heed	0
?	?	?	?	?	1
When	When	c-crq	When	when	0
as	as	p-acp	as	as	0
all	all	d	all	all	0
phy	phy	uh	phy	phy	0
∣	∣	sy	∣	∣	0
sik	sik	n1	sik	sik	0
wolde	wolde	vmd	would	will	0
that	that	d	that	that	0
the	the	dt	the	the	0
principall	principall	j-jn	principal	principal	0
partes	partes	n2	parts	part	0
shulde	shulde	vmd	should	shall	0
be	be	vbi	be	be	0
fyrst	fyrst	ord	fyrst	first	0
loked	loked	vvn	looked	look	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
and	and	cc	and	and	0
healed	healed	vvn	healed	heal	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
all	all	d	all	all	0
the	the	dt	the	the	0
prosperite	prosperite	n1	prosperity	prosperity	0
and	and	cc	and	and	0
health	health	n1	health	health	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lower	lower	jc	lower	low	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
hange	hange	vvi	hang	hang	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
health	health	n1	health	health	0
and	and	cc	and	and	0
welfare	welfare	n1	welfare	welfare	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ouer	ouer	a-acp	over	over	0
and	and	cc	and	and	0
principall	principall	j-jn	principal	principal	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
nether	nether	j	neither	nether	0
partes	partes	n2	parts	part	0
muste	muste	vmb	must	must	0
nedes	nedes	av	needs	needs	0
be	be	vbi	be	be	0
sike	sike	d	sike	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
ouer	ouer	a-acp	over	over	0
partes	partes	n2	parts	part	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
perfytlye	perfytlye	av-j	perfectly	perfect	0
healed	healed	vvn	healed	heal	0
.	.	.	.	.	1
Thys	Thys	d	This	this	0
matter	matter	n1	matter	matter	0
is	is	vbz	is	be	0
proued	proued	vvn	proved	prove	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
true	true	j	true	true	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
by	by	p-acp	by	by	0
physik	physik	n1	physik	physik	0
and	and	cc	and	and	0
na	na	fw-mi	na	na	0
∣	∣	sy	∣	∣	0
turall	turall	j	turall	turall	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
Eccl.	Eccl.	np1	Eccl.	Eccl.	1
10.	10.	crd	10.	10.	0
but	but	p-acp	but	but	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
scri	scri	fw-la	scri	scri	0
∣	∣	sy	∣	∣	0
pture	pture	n1	pture	pture	0
whyche	whyche	r-crq	which	which	0
sayeth	sayeth	vvz	sayeth	say	0
.	.	.	.	.	1
Eccle	Eccle	n1	Eccle	eccle	0
,	,	,	,	,	0
10.	10.	crd	10.	10.	1
As	As	p-acp	As	as	0
the	the	dt	the	the	0
gouerner	gouerner	n1	governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cytie	cytie	n1	city	city	0
is	is	vbz	is	be	0
:	:	:	:	:	0
so	so	av	so	so	0
are	are	vbr	are	be	0
also	also	av	also	also	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
dwell	dwell	vvb	dwell	dwell	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
se	se	vvi	see	see	0
∣	∣	sy	∣	∣	0
ynge	ynge	zz	ynge	ynge	0
that	that	d	that	that	0
these	these	d	these	these	0
gentylmen	gentylmen	n2	gentlemen	gentleman	0
wyll	wyll	vmb	will	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
principall	principall	j-jn	principal	principal	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
hede	hede	n1	heed	heed	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
:	:	:	:	:	0
acording	acording	vvg	according	accord	0
vn	vn	fw-it	vn	un	0
¦	¦	sy	¦	¦	0
to	to	p-acp	to	to	0
reason	reason	n1	reason	reason	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
they	they	pns32	they	they	0
muste	muste	vmb	must	must	0
go	go	vvi	go	go	0
before	before	p-acp	before	before	0
all	all	d	all	all	0
the	the	dt	the	the	0
reste	reste	n1	rest	rest	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cōmon	cōmon	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
thinge	thinge	n1	thing	thing	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
do	do	vdi	do	do	0
,	,	,	,	,	0
yf	yf	cs	if	if	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
healed	healed	vvn	healed	heal	0
before	before	a-acp	before	before	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
necessary	necessary	j	necessary	necessary	0
that	that	cst	that	that	0
the	the	dt	the	the	0
gēt	gēt	n1	gent	gent	0
¦	¦	sy	¦	¦	0
lemen	lemen	n2	lemen	leman	0
be	be	vbi	be	be	0
fyrste	fyrste	ord	fyrste	first	0
healed	healed	vvn	healed	heal	0
.	.	.	.	.	1
Where	Where	q-crq	Where	where	0
in	in	n1	in	inn	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
as	as	c-acp	as	as	0
muche	muche	d	much	much	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
parte	parte	n1	part	part	0
:	:	:	:	:	0
I	I	pns11	I	i	0
wyll	wyll	vmb	will	will	0
offer	offer	vvi	offer	offer	0
some	some	d	some	some	0
physike	physike	n1	physic	physic	0
both	both	av-d	both	both	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
clergye	clergye	n1	clergy	clergy	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
yemanry	yemanry	n1	yemanry	yemanry	0
of	of	pp-f	of	of	0
thys	thys	d	this	this	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
leste	leste	cs	lest	lest	0
I	I	pns11	I	i	0
shulde	shulde	vmd	should	shall	0
seme	seme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
fauour	fauour	vvi	favour	favour	0
one	one	crd	one	one	0
kynde	kynde	n1	kind	kind	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
an	an	dt	and	a	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
Yf	Yf	cs	If	if	0
any	any	d	any	any	0
man	man	n1	man	man	0
thynke	thynke	vvb	think	think	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
dishonor	dishonor	vvb	dishonour	dishonour	0
your	your	po22	your	your	0
lordshippes	lordshippes	n2	lordships	lordship	0
in	in	p-acp	in	in	0
dedicatyng	dedicatyng	j-vvg	dedicating	dedicate	0
my	my	po11	my	my	0
boke	boke	n1	book	book	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
speakynge	speakynge	vvg	speaking	speak	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
lordes	lordes	n2	lords	lord	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
ma	ma	fw-fr	ma	ma	0
¦	¦	sy	¦	¦	0
ny	ny	av	nigh	nigh	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
thoughe	thoughe	cs	though	though	0
ye	ye	pn22	you	you	0
were	were	vbdr	were	be	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
sik	sik	n1	sik	sik	0
men	men	n2	men	man	0
