MAnet	MAnet	np1	MAnet	MAnet	0
stand	stand	vvi	stand	stand	0
before	before	a-acp	before	before	0
your	your	po22	your	your	0
honourable	honourable	j	honourable	honourable	0
father	father	n1	father	father	0
,	,	,	,	,	0
so	so	av	so	so	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
full	full	j	full	full	0
proofe	proofe	n1	proof	proof	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
insufficiency	insufficiency	n1	insufficiency	insufficiency	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
toward	toward	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
euen	euen	av	even	even	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
present	present	j	present	present	0
day	day	n1	day	day	0
.	.	.	.	.	1
Thinking	Thinking	vvg	Thinking	think	0
it	it	pn31	it	it	0
all	all	d	all	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
well	well	av	well	well	0
performe	performe	vvi	perform	perform	0
,	,	,	,	,	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
possible	possible	j	possible	possible	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
any	any	d	any	any	0
requitall	requitall	n1	requital	requital	0
or	or	cc	or	or	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
amends	amends	n2	amends	amends	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
bountifull	bountifull	j	bountiful	bountiful	0
liberalitie	liberalitie	n1	liberality	liberality	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
more	more	dc	more	more	0
then	then	cs	then	than	0
common	common	j	common	common	0
curte	curte	n1	curtain	curtain	0
∣	∣	sy	∣	∣	0
sie	sie	uh	sie	fie	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
my	my	po11	my	my	0
hartie	hartie	j	hearty	hearty	0
praiers	praiers	n2	prayers	prayer	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
prosperitie	prosperitie	n1	prosperity	prosperity	0
and	and	cc	and	and	0
good	good	j	good	good	0
estate	estate	n1	estate	estate	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
rise	rise	vvi	rise	rise	0
from	from	p-acp	from	from	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
worship	worship	vvi	worship	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
princely	princely	j	princely	princely	0
fauour	fauour	n1	favour	favour	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
match	match	vvi	match	match	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
lest	lest	ds	lest	least	0
wise	wise	j	wise	wise	0
come	come	vvn	come	come	0
as	as	c-acp	as	as	0
neare	neare	av-j	near	near	0
as	as	c-acp	as	as	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
high	high	j	high	high	0
degree	degree	n1	degree	degree	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
father	father	n1	father	father	0
possessed	possessed	vvn	possessed	possess	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
that	that	cst	that	that	0
sufficient	sufficient	j	sufficient	sufficient	0
,	,	,	,	,	0
vnlesse	vnlesse	cs	unless	unless	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
shew	shew	vvi	show	show	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
some	some	d	some	some	0
fruit	fruit	n1	fruit	fruit	0
and	and	cc	and	and	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
studie	studie	n1	study	study	0
and	and	cc	and	and	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
so	so	av	so	so	0
greatly	greatly	av-j	greatly	great	0
mainteined	mainteined	vvn	maintained	maintain	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
honourable	honourable	j	honourable	honourable	0
fathers	fathers	ng1	father's	father	0
liberalitie	liberalitie	n1	liberality	liberality	0
,	,	,	,	,	0
and	and	cc	and	and	0
furthered	furthered	vvd	furthered	further	0
also	also	av	also	also	0
,	,	,	,	,	0
not	not	xx	not	not	0
meane	meane	j	mean	mean	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
fauour	fauour	n1	favour	favour	0
and	and	cc	and	and	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
remembred	remembred	vvn	remembered	remember	0
of	of	pp-f	of	of	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
part	part	n1	part	part	0
,	,	,	,	,	0
vndeserued	vndeserued	j	undeserved	undeserved	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
vnlooked	vnlooked	vvn	unlooked	unlooked	0
for	for	p-acp	for	for	0
.	.	.	.	.	1
This	This	d	This	this	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presently	presently	av-j	presently	present	0
dedicated	dedicated	vvn	dedicated	dedicate	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worships	worships	ng1	worships	worship	0
view	view	n1	view	view	0
and	and	cc	and	and	0
patronage	patronage	n1	patronage	patronage	0
,	,	,	,	,	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
read	read	vvn	read	read	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
and	and	cc	and	and	0
somewhat	somewhat	av	somewhat	somewhat	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
my	my	po11	my	my	0
painfulnesse	painfulnesse	n1	painfulness	painfulness	0
and	and	cc	and	and	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
though	though	cs	though	though	0
otherwise	otherwise	av	otherwise	otherwise	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
mean	mean	j	mean	mean	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
so	so	av	so	so	0
worthie	worthie	j	worthy	worthy	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
wish	wish	vvi	wish	wish	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
laboured	laboured	vvd	laboured	labour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Romanes	Romanes	njp2	Romans	roman	0
consisting	consisting	vvg	consisting	consist	0
on	on	p-acp	on	on	0
Iustification	Iustification	n1	Justification	justification	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
so	so	av	so	so	0
bolde	bolde	j	bold	bold	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
thinking	thinking	vvg	thinking	think	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
my	my	po11	my	my	0
best	best	js	best	best	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Epistle	Epistle	n1	Epistle	epistle	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
Gods	Gods	n2	Gods	god	0
eternall	eternall	j	eternal	eternal	0
predesti	predesti	n1	peredesti	peredesti	0
∣	∣	sy	∣	∣	0
nation	nation	n1	nation	nation	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
helpe	helpe	n1	help	help	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
finished	finished	vvn	finished	finish	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
so	so	av	so	so	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
shoulders	shoulders	n2	shoulders	shoulder	0
were	were	vbdr	were	be	0
eased	eased	vvn	eased	ease	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
burden	burden	n1	burden	burden	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
ligh	ligh	j	ligh	ligh	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
vppon	vppon	p-acp	upon	upon	0
a	a	dt	a	a	0
treatise	treatise	n1	treatise	treatise	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
famous	famous	j	famous	famous	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
man	man	n1	man	man	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Theodore	Theodore	np1	Theodore	Theodore	0
Beza	Beza	np1	Beza	Beza	0
,	,	,	,	,	0
(	(	(	(	(	0
farre	farre	av-j	far	far	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
either	either	d	either	either	0
deuise	deuise	n1	devise	device	0
or	or	cc	or	or	0
frame	frame	n1	frame	frame	0
)	)	)	)	)	0
glad	glad	av-j	glad	glad	0
was	was	vbds	was	be	0
I	I	pns11	I	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
studie	studie	n1	study	study	0
and	and	cc	and	and	0
searching	searching	vvg	searching	search	0
was	was	vbds	was	be	0
so	so	av	so	so	0
well	well	av	well	well	0
preuented	preuented	vvn	prevented	prevent	0
.	.	.	.	.	1
The	The	dt	The	the	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
scripture	scripture	n1	scripture	scripture	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
added	added	vvn	added	add	0
to	to	pc-acp	to	to	0
prooue	prooue	vvi	prove	prove	0
euery	euery	d	every	every	0
waightie	waightie	j	weighty	weighty	0
point	point	n1	point	point	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
confusedly	confusedly	av-vvn	confusedly	confuse	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
wearied	wearied	vvn	wearied	weary	0
the	the	dt	the	the	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
der	der	fw-mi	der	der	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
directed	directed	vvn	directed	direct	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
perceiued	perceiued	vvd	perceived	perceive	0
,	,	,	,	,	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
some	some	d	some	some	0
paines	paines	n2	pains	pain	0
though	though	c-acp	though	though	0
small	small	j	small	small	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
behalfe	behalfe	n1	behalf	behalf	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
euerie	euerie	d	every	every	0
reader	reader	n1	reader	reader	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
like	like	j	like	like	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
this	this	d	this	this	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
religion	religion	n1	religion	religion	0
seemeth	seemeth	vvz	seems	seem	0
hard	hard	av-j	hard	hard	0
to	to	pc-acp	to	to	0
conceiue	conceiue	vvi	conceive	conceive	0
,	,	,	,	,	0
(	(	(	(	(	0
especi	especi	fw-la	especi	especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
whose	whose	r-crq	whose	who	0
wittes	wittes	n2	wits	wit	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
exercised	exercised	vvn	exercised	exercise	0
in	in	p-acp	in	in	0
searching	searching	vvg	searching	search	0
such	such	d	such	such	0
matters	matters	n2	matters	matter	0
)	)	)	)	)	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
chapter	chapter	n1	chapter	chapter	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
out	out	av	out	out	0
the	the	dt	the	the	0
principall	principall	j-jn	principal	principal	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
ioyne	ioyne	vvi	join	join	0
thē	thē	pno32	them	they	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
proofes	proofes	n2	proofs	proof	0
,	,	,	,	,	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
al	al	d	all	all	0
as	as	c-acp	as	as	0
plain	plain	j	plain	plain	0
&	&	cc	&	and	0
as	as	p-acp	as	as	0
easie	easie	j	easy	easy	0
as	as	c-acp	as	as	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
possible	possible	j	possible	possible	0
.	.	.	.	.	1
All	All	av-d	All	all	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
request	request	vvb	request	request	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
offered	offered	vvn	offered	offer	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
mean	mean	j	mean	mean	0
to	to	pc-acp	to	to	0
encourage	encourage	vvi	encourage	encourage	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
labor	labor	vvi	labour	labour	0
further	further	av-jc	further	further	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
like	like	vvb	like	like	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
to	to	pc-acp	to	to	0
trouble	trouble	vvi	trouble	trouble	0
you	you	pn22	you	you	0
any	any	d	any	any	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
only	only	av-j	only	only	0
wishing	wishing	vvg	wishing	wish	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
name	name	n1	name	name	0
and	and	cc	and	and	0
credit	credit	n1	credit	credit	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
was	was	vbds	was	be	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Right	Right	j-jn	Right	right	0
honourable	honourable	j	honourable	honourable	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Bedford	Bedford	np1	Bedford	Bedford	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
deseruedly	deseruedly	av-vvn	deservedly	deserve	0
gotten	gotten	vvn	got	get	0
this	this	d	this	this	0
title	title	n1	title	title	0
,	,	,	,	,	0
The	The	dt	The	the	0
good	good	j	good	good	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Bedford	Bedford	np1	Bedford	Bedford	0
.	.	.	.	.	1
That	That	cst	That	that	0
in	in	p-acp	in	in	0
religion	religion	n1	religion	religion	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
loialtie	loialtie	n1	loyalty	loyalty	0
and	and	cc	and	and	0
faithfulnesse	faithfulnesse	n1	faithfulness	faithfulness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
liberalitie	liberalitie	n1	liberality	liberality	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
learning	learning	n1	learning	learning	0
and	and	cc	and	and	0
poore	poore	j	poor	poor	0
schollers	schollers	n2	scholars	scholar	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
care	care	n1	care	care	0
and	and	cc	and	and	0
boun	boun	fw-fr	boun	boun	0
∣	∣	sy	∣	∣	0
tifulnesse	tifulnesse	n1	tifulnesse	tifulnesse	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
and	and	cc	and	and	0
needie	needie	j	needy	needy	0
;	;	;	;	;	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
deserts	deserts	n2	deserts	desert	0
,	,	,	,	,	0
carrie	carrie	vvb	carry	carry	0
this	this	d	this	this	0
godlie	godlie	j	godly	godly	0
and	and	cc	and	and	0
honourable	honourable	j	honourable	honourable	0
title	title	n1	title	title	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mouthes	mouthes	n2	mouths	mouth	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
name	name	vvb	name	name	0
you	you	pn22	you	you	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
so	so	av	so	so	0
report	report	vvi	report	report	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
good	good	j	good	good	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Henry	Henry	np1	Henry	Henry	0
Bromley	Bromley	np1	Bromley	Bromley	0
.	.	.	.	.	1
