FOrsmuch	FOrsmuch	av	FOrsmuch	forsmuch	0
terprise	terprise	n1	terprise	terprise	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
gone	gone	vvn	gone	go	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
false	false	j	false	false	0
detraction	detraction	n1	detraction	detraction	0
and	and	cc	and	and	0
enuie	enuie	n1	envy	envy	0
is	is	vbz	is	be	0
like	like	av-j	like	like	0
to	to	pc-acp	to	to	0
ouerthrowe	ouerthrowe	vvi	overthrown	overthrow	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
mooued	mooued	vvn	moved	move	0
mee	mee	pno11	me	i	0
for	for	p-acp	for	for	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
man	man	n1	man	man	0
,	,	,	,	,	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
my	my	po11	my	my	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
uailes	uailes	n2	vails	vail	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
my	my	po11	my	my	0
aide	aide	n1	aid	aid	0
and	and	cc	and	and	0
succour	succour	vvi	succour	succour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
defending	defending	n-vvg	defending	defend	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
small	small	j	small	small	0
trauaile	trauaile	n1	travail	travail	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
for	for	p-acp	for	for	0
vaine	vaine	j	vain	vain	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
anie	anie	d	any	any	0
worldlie	worldlie	j	worldly	worldly	0
profit	profit	n1	profit	profit	0
or	or	cc	or	or	0
gaine	gaine	vvi	gain	gain	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
first	first	ord	first	first	0
time	time	n1	time	time	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
beganne	beganne	vvd	began	begin	0
to	to	pc-acp	to	to	0
sette	sette	vvi	set	set	0
out	out	av	out	out	0
anie	anie	d	any	any	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
arte	arte	n1	art	art	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
English	English	jp	English	english	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
both	both	av-d	both	both	0
susteined	susteined	vvn	sustained	sustain	0
great	great	j	great	great	0
displeasure	displeasure	n1	displeasure	displeasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
lost	lost	vvd	lost	lose	0
manie	manie	d	many	many	0
profites	profites	n2	profits	profit	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
past	past	p-acp	passed	past	0
my	my	po11	my	my	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
ciall	ciall	j	ciall	ciall	0
friendes	friendes	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
matter	matter	n1	matter	matter	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
saie	saie	vvi	say	say	0
against	against	p-acp	against	against	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
is	is	vbz	is	be	0
onelie	onelie	j	only	only	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
goe	goe	vvb	go	go	0
about	about	a-acp	about	about	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
euerie	euerie	d	every	every	0
bodie	bodie	n1	body	body	0
cunning	cunning	j-jn	cunning	cunning	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
arte	arte	n1	art	art	0
of	of	pp-f	of	of	0
medicine	medicine	n1	medicine	medicine	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
setting	setting	vvg	setting	set	0
foorth	foorth	av	forth	forth	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
my	my	po11	my	my	0
workes	workes	n2	works	work	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
English	English	jp	English	english	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
good	good	j	good	good	0
Lordshippe	Lordshippe	n1	Lordship	lordship	0
to	to	pc-acp	to	to	0
vnderstand	vnderstand	vvi	understand	understand	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
almightie	almightie	j-jn	almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
the	the	dt	the	the	0
talent	talent	n1	talon	talon	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
naturall	naturall	j	natural	natural	0
Countrie	Countrie	n1	Country	country	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
profite	profite	vvi	profit	profit	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
talent	talent	n1	talon	talon	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
saying	saying	n-vvg	saying	say	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sauiour	sauiour	n1	saviour	saviour	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
He	He	pns31	He	he	0
that	that	cst	that	that	0
hideth	hideth	vvz	hideth	hide	0
his	his	po31	his	his	0
talent	talent	n1	talon	talon	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
and	and	cc	and	and	0
vseth	vseth	vvz	uses	use	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
profit	profit	n1	profit	profit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
neighbour	neighbour	n1	neighbour	neighbour	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
againe	againe	av	again	again	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
foorth	foorth	av	forth	forth	0
these	these	d	these	these	0
thinges	thinges	n2	things	thing	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Countrie	Countrie	n1	Country	country	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
greater	greater	jc	greater	great	0
profite	profite	n1	profit	profit	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
vnto	vnto	p-acp	unto	unto	0
any	any	d	any	any	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
neede	neede	n1	need	need	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
cure	cure	vvi	cure	cure	0
his	his	po31	his	his	0
grieuous	grieuous	j	grievous	grievous	0
woundes	woundes	n2	wounds	wound	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
hee	hee	pns31	he	he	0
should	should	vmd	should	shall	0
presentlie	presentlie	av-j	presently	present	0
die	die	vvi	die	die	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
cure	cure	vvi	cure	cure	0
his	his	po31	his	his	0
grieuous	grieuous	j	grievous	grievous	0
sores	sores	n2	sores	sore	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
dooth	dooth	vdz	doth	do	0
not	not	xx	not	not	0
onelie	onelie	av-j	only	only	0
eate	eate	vvi	eat	eat	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
fretteth	fretteth	vvz	fretteth	fret	0
and	and	cc	and	and	0
rotteth	rotteth	vvz	rotteth	rot	0
in	in	p-acp	in	in	0
sunder	sunder	av	sunder	sunder	0
the	the	dt	the	the	0
great	great	j	great	great	0
bones	bones	n2	bones	bone	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
most	most	ds	most	most	0
vehement	vehement	j	vehement	vehement	0
griefe	griefe	n1	grief	grief	0
and	and	cc	and	and	0
paine	paine	n1	pain	pain	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
great	great	j	great	great	0
inflammati	inflammati	n1	inflammati	inflammati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
,	,	,	,	,	0
and	and	cc	and	and	0
tumours	tumours	n2	tumours	tumour	0
against	against	p-acp	against	against	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
taketh	taketh	vvz	takes	take	0
awaie	awaie	av	away	away	0
the	the	dt	the	the	0
na	na	fw-mi	na	na	0
∣	∣	sy	∣	∣	0
turall	turall	j-u	turall	turall	0
actions	actions	n2	actions	action	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
molesteth	molesteth	vvz	molests	molest	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
most	most	ds	most	most	0
vehe	vehe	fw-ge	vehe	vehe	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
and	and	cc	and	and	0
continuall	continuall	j	continual	continual	0
paine	paine	n1	pain	pain	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
curing	curing	vvg	curing	cure	0
of	of	pp-f	of	of	0
broken	broken	j-vvn	broken	break	0
bones	bones	n2	bones	bone	0
,	,	,	,	,	0
and	and	cc	and	and	0
bones	bones	n2	bones	bone	0
beeing	beeing	vbg	being	be	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
ioynt	ioynt	n1	joint	joint	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
restore	restore	vvi	restore	restore	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
their	their	po32	their	their	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
turall	turall	j-u	turall	turall	0
places	places	n2	places	place	0
againe	againe	av	again	again	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
griefes	griefes	n2	griefs	grief	0
appertaining	appertaining	vvg	appertaining	appertain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
arte	arte	n1	art	art	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
heere	heere	av	here	here	0
to	to	p-acp	to	to	0
long	long	j	long	long	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
recited	recited	vvn	recited	recite	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
manie	manie	d	many	many	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
vppon	vppon	p-acp	upon	upon	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
curation	curation	n1	curation	curation	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
diseases	diseases	n2	diseases	disease	0
aboue	aboue	a-acp	above	above	0
sayde	sayde	vvd	said	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvd	mitted	mit	0
many	many	d	many	many	0
great	great	j	great	great	0
errors	errors	n2	errors	error	0
for	for	p-acp	for	for	0
lacke	lacke	n1	lack	lack	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
small	small	j	small	small	0
daunger	daunger	n1	danger	danger	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
people	people	n1	people	people	0
,	,	,	,	,	0
&	&	cc	&	and	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
hurt	hurt	n1	hurt	hurt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cōmō	cōmō	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
therefore	therefore	av	therefore	therefore	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
foorth	foorth	av	forth	forth	0
my	my	po11	my	my	0
onelie	onelie	j	only	only	0
one	one	crd	one	one	0
talent	talent	n1	talon	talon	0
in	in	p-acp	in	in	0
furthering	furthering	j-vvg	furthering	further	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
euen	euen	av	even	even	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
widow	widow	n1	widow	widow	0
did	did	vdd	did	do	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
but	but	cc-acp	but	but	0
onelie	onelie	av-j	only	only	0
one	one	crd	one	one	0
farthing	farthing	n1	farthing	farthing	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
the	the	dt	the	the	0
same	same	d	same	same	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
treasure	treasure	n1	treasure	treasure	0
,	,	,	,	,	0
&	&	cc	&	and	0
like	like	av-j	like	like	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
same	same	d	same	same	0
was	was	vbds	was	be	0
accepted	accepted	vvn	accepted	accept	0
with	with	p-acp	with	with	0
almightie	almightie	j-jn	almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
he	he	pns31	he	he	0
wil	wil	vmb	will	will	0
accept	accept	vvi	accept	accept	0
this	this	d	this	this	0
my	my	po11	my	my	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
daie	daie	n1	day	day	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
saie	saie	vvi	say	say	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
hidde	hidde	vvn	hid	hide	0
thy	thy	po21	thy	thy	0
talent	talent	n1	talon	talon	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
profited	profited	vvn	profited	profit	0
therewith	therewith	av	therewith	therewith	0
as	as	c-acp	as	as	0
thou	thou	pns21	thou	thou	0
shouldest	shouldest	vmd2	shouldst	shall	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
.	.	.	.	.	1
And	And	cc	And	and	0
also	also	av	also	also	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
that	that	cst	that	that	0
good	good	j	good	good	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Countrie	Countrie	n1	Country	country	0
shal	shal	vmb	shall	shall	0
haue	haue	vhi	have	have	0
no	no	dx	no	no	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
an	an	dt	and	a	0
euill	euill	j-jn	evil	evil	0
opinion	opinion	n1	opinion	opinion	0
in	in	p-acp	in	in	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
either	either	av-d	either	either	0
through	through	p-acp	through	through	0
negli	negli	j	negli	negli	0
∣	∣	sy	∣	∣	0
gence	gence	n1	gence	gence	0
or	or	cc	or	or	0
idlenesse	idlenesse	n1	idleness	idleness	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
well	well	av	well	well	0
perceiue	perceiue	vvi	perceive	perceive	0
that	that	cst	that	that	0
these	these	d	these	these	0
trauailes	trauailes	n2	travails	travail	0
do	do	vdb	do	do	0
both	both	d	both	both	0
require	require	vvi	require	require	0
studie	studie	n1	study	study	0
and	and	cc	and	and	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
setting	setting	vvg	setting	set	0
foorth	foorth	av	forth	forth	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
my	my	po11	my	my	0
singuler	singuler	j	singular	singular	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
saie	saie	vvi	say	say	0
it	it	pn31	it	it	0
