{	{	{	{	{	0
our	our	po12	our	our	0
second	second	ord	second	second	0
Adam	Adam	np1	Adam	Adam	0
had	had	vhd	had	have	0
his	his	po31	his	his	0
restlesse	restlesse	j	restless	restless	0
habitation	habitation	n1	habitation	habitation	0
.	.	.	.	.	1
The	The	dt	The	the	0
sweet	sweet	j	sweet	sweet	0
incense	incense	n1	incense	incense	0
,	,	,	,	,	0
balsums	balsums	n2	balsums	balsum	0
,	,	,	,	,	0
odours	odours	n2	odours	odour	0
,	,	,	,	,	0
and	and	cc	and	and	0
gummes	gummes	n2	gums	gum	0
that	that	cst	that	that	0
flowes	flowes	vvz	flows	flow	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
beautifull	beautifull	j	beautiful	beautiful	0
tree	tree	n1	tree	tree	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
sprung	sprung	vvn	sprung	spring	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
roote	roote	n1	root	root	0
of	of	pp-f	of	of	0
Iessie	Iessie	np1	Iessie	Iessie	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
super-excellent	super-excellent	j	superexcellent	superexcellent	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
giueth	giueth	vvz	gives	give	0
grace	grace	n1	grace	grace	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
&	&	cc	&	and	0
most	most	av-ds	most	most	0
vnworthy	vnworthy	j	unworthy	unworthy	0
hand	hand	n1	hand	hand	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
vndertake	vndertake	vvi	undertake	undertake	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
thereof	thereof	av	thereof	thereof	0
;	;	;	;	;	0
neither	neither	dx	neither	neither	0
can	can	vmb	can	can	0
it	it	pn31	it	it	0
receiue	receiue	vvi	receive	receive	0
any	any	d	any	any	0
blemish	blemish	n1	blemish	blemish	0
thereby	thereby	av	thereby	thereby	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
diamond	diamond	n1	diamond	diamond	0
can	can	vmb	can	can	0
loose	loose	vvi	lose	loose	0
no	no	dx	no	no	0
whit	whit	n1	whit	whit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
beautie	beautie	n1	beauty	beauty	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
blacke	blacke	j-jn	black	black	0
foyle	foyle	n1	foil	foil	0
vnderneath	vnderneath	p-acp	underneath	underneath	0
it	it	pn31	it	it	0
,	,	,	,	,	0
nei	nei	fw-la	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
by	by	p-acp	by	by	0
beeing	beeing	vbg	being	be	0
placed	placed	vvn	placed	place	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
darke	darke	j	dark	dark	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
retaines	retaines	vvz	retains	retain	0
his	his	po31	his	his	0
naturall	naturall	j	natural	natural	0
beauty	beauty	n1	beauty	beauty	0
and	and	cc	and	and	0
brightnesse	brightnesse	n1	brightness	brightness	0
shining	shining	vvg	shining	shine	0
in	in	p-acp	in	in	0
greater	greater	jc	greater	great	0
perfection	perfection	n1	perfection	perfection	0
than	than	cs	than	than	0
before	before	a-acp	before	before	0
;	;	;	;	;	0
so	so	av	so	so	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
pretious	pretious	j	precious	precious	0
diamond	diamond	n1	diamond	diamond	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
beauty	beauty	n1	beauty	beauty	0
and	and	cc	and	and	0
riches	riches	n2	riches	riches	0
exceeding	exceeding	vvg	exceeding	exceed	0
all	all	d	all	all	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
pretious	pretious	j	precious	precious	0
diamonds	diamonds	n2	diamonds	diamond	0
and	and	cc	and	and	0
rich	rich	j	rich	rich	0
jewels	jewels	n2	jewels	jewel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
can	can	vmb	can	can	0
receiue	receiue	vvi	receive	receive	0
no	no	dx	no	no	0
blemish	blemish	n1	blemish	blemish	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
impeachment	impeachment	n1	impeachment	impeachment	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
vnworthy	vnworthy	j	unworthy	unworthy	0
hand	hand	n1	hand	hand	0
writing	writing	vvg	writing	write	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
wil	wil	vmb	will	will	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
retaine	retaine	vvb	retain	retain	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
brightnesse	brightnesse	n1	brightness	brightness	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
glorious	glorious	j	glorious	glorious	0
lustre	lustre	n1	lustre	lustre	0
,	,	,	,	,	0
though	though	cs	though	though	0
ne	ne	ccx	ne	ne	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
so	so	av	so	so	0
many	many	d	many	many	0
blind	blind	j	blind	blind	0
eyes	eyes	n2	eyes	eye	0
looke	looke	vvb	look	look	0
vpon	vpon	p-acp	upon	upon	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
good	good	j	good	good	0
Madame	Madame	n1	Madame	madam	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
perfect	perfect	j	perfect	perfect	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
I	I	pns11	I	i	0
deliuer	deliuer	vvb	deliver	deliver	0
the	the	dt	the	the	0
inestinable	inestinable	j	inestinable	inestinable	0
treasure	treasure	n1	treasure	treasure	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
elected	elected	j-vvn	elected	elect	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
perused	perused	vvn	perused	peruse	0
at	at	p-acp	at	at	0
conuenient	conuenient	j	convenient	convenient	0
times	times	n2	times	time	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
,	,	,	,	,	0
the	the	dt	the	the	0
mirrour	mirrour	n1	mirror	mirror	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
remaine	remaine	vvi	remain	remain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
yeares	yeares	n2	years	year	0
longer	longer	av-jc	longer	long	0
than	than	cs	than	than	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
or	or	cc	or	or	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
can	can	vmb	can	can	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
light	light	n1	light	light	0
vnto	vnto	p-acp	unto	unto	0
those	those	d	those	those	0
that	that	cst	that	that	0
come	come	vvb	come	come	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
to	to	pc-acp	to	to	0
tread	tread	vvi	tread	tread	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
narrow	narrow	j	narrow	narrow	0
path	path	n1	path	path	0
of	of	pp-f	of	of	0
virtue	virtue	n1	virtue	virtue	0
,	,	,	,	,	0
that	that	cst	that	that	0
leads	leads	vvz	leads	lead	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
way	way	n1	way	way	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
send	send	vvi	send	send	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
long	long	av-j	long	long	0
to	to	pc-acp	to	to	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nue	nue	n1	nue	nue	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
light	light	n1	light	light	0
may	may	vmb	may	may	0
so	so	av	so	so	0
shine	shine	vvi	shine	shine	0
before	before	p-acp	before	before	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
glorifie	glorifie	vvi	glorify	glorify	0
your	your	po22	your	your	0
father	father	n1	father	father	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Heauen	Heauen	n1	Heaven	heaven	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
and	and	cc	and	and	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
others	others	n2-jn	others	other	0
may	may	vmb	may	may	0
follow	follow	vvi	follow	follow	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
tracke	tracke	n1	track	track	0
.	.	.	.	.	1
So	So	np1	So	So	0
wishing	wishing	vvg	wishing	wish	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
all	all	d	all	all	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
health	health	n1	health	health	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
life	life	n1	life	life	0
euerlasting	euerlasting	j	everlasting	everlasting	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
.	.	.	.	.	1
