MOST	MOST	av-ds	MOST	most	0
long	long	j	long	long	0
;	;	;	;	;	0
being	being	vbg	being	be	0
Pious	Pious	j	Pious	pious	0
,	,	,	,	,	0
not	not	xx	not	not	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
vert	vert	fw-fr	vert	vert	0
you	you	pn22	you	you	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
.	.	.	.	.	1
J	J	pns11	J	i	0
so	so	av	so	so	0
much	much	av-d	much	much	0
honour	honour	vvi	honour	honour	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
publicke	publicke	j	public	public	0
ver	ver	p-acp	for	for	0
∣	∣	sy	∣	∣	0
tues	tues	n2	tues	tue	0
;	;	;	;	;	0
so	so	av	so	so	0
much	much	av-d	much	much	0
am	am	vbm	am	be	0
bound	bound	vvd	bound	bind	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
private	private	j	private	private	0
;	;	;	;	;	0
that	that	cst	that	that	0
J	J	pns11	J	i	0
cannot	cannot	vmbx	cannot	can	0
forbeare	forbeare	vvi	forbear	forbear	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
something	something	pi	something	something	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
service	service	n1	service	service	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
:	:	:	:	:	0
and	and	cc	and	and	0
a	a	dt	a	a	0
richer	richer	jc	richer	rich	0
present	present	n1	present	present	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
thinke	thinke	vvi	think	think	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
than	than	cs	than	than	0
Meditations	Meditations	n2	Meditations	meditation	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
Psalme	Psalme	n1	Psalm	psalm	0
of	of	pp-f	of	of	0
David	David	np1	David	David	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
indeede	indeede	av	indeed	indeed	0
,	,	,	,	,	0
the	the	dt	the	the	0
Master-piece	Master-piece	n1	Masterpiece	masterpiece	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Repentance	Repentance	n1	Repentance	repentance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
Repentance	Repentance	n1	Repentance	repentance	0
the	the	dt	the	the	0
Master-piece	Master-piece	n1	Masterpiece	masterpiece	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
Vertues	Vertues	n2	Virtues	virtue	0
.	.	.	.	.	1
The	The	dt	The	the	0
Jewell	Jewell	n1	Jewel	jewel	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
David	David	np1	David	David	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
Case	Case	n1	Case	case	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
the	the	dt	the	the	0
Jewell	Jewell	n1	Jewel	jewel	0
deserve	deserve	vvb	deserve	deserve	0
a	a	dt	a	a	0
more	more	n1	more	moor	0
Illustri	Illustri	fw-la	Illustri	illustri	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
Case	Case	n1	Case	case	0
;	;	;	;	;	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Person	Person	n1	Person	person	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
Jllustrious	Jllustrious	j	Jllustrious	jllustrious	0
present	present	n1	present	present	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
colour	colour	n1	colour	colour	0
to	to	pc-acp	to	to	0
hope	hope	vvi	hope	hope	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
pardoned	pardoned	vvn	pardoned	pardon	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
;	;	;	;	;	0
seeing	seeing	vvg	seeing	see	0
,	,	,	,	,	0
the	the	dt	the	the	0
Jewels	Jewels	n2	Jewels	jewel	0
splendour	splendour	n1	splendour	splendour	0
,	,	,	,	,	0
gives	gives	vvz	gives	give	0
a	a	dt	a	a	0
lustre	lustre	n1	lustre	lustre	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
case	case	n1	case	case	0
;	;	;	;	;	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
present	present	n1	present	present	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
presented	presented	vvn	presented	present	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
better	better	jc	better	better	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
better	better	jc	better	better	0
heart	heart	n1	heart	heart	0
;	;	;	;	;	0
seeing	seeing	vvg	seeing	see	0
he	he	pns31	he	he	0
presents	presents	vvz	presents	present	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
Your	Your	po22	Your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
devoted	devoted	j-vvn	devoted	devote	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
RICHARD	RICHARD	np1	RICHARD	Richard	0
BAKER	BAKER	np1	BAKER	Baker	0
.	.	.	.	.	1
