MAnifold	MAnifold	j	MAnifold	manifold	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
resist	resist	vvi	resist	resist	0
,	,	,	,	,	0
much	much	av-d	much	much	0
lesse	lesse	av-dc	less	less	0
of	of	pp-f	of	of	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
ouercome	ouercome	vvi	overcome	overcome	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
manifest	manifest	j	manifest	manifest	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
affliction	affliction	n1	affliction	affliction	0
haue	haue	vhb	have	have	0
through	through	p-acp	through	through	0
impaciēcie	impaciēcie	n1	impaciencie	impaciencie	0
murmured	murmured	vvd	murmured	murmur	0
against	against	p-acp	against	against	0
God	God	np1	God	God	0
,	,	,	,	,	0
albeit	albeit	cs	albeit	albeit	0
there	there	a-acp	there	there	0
both	both	d	both	both	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
many	many	d	many	many	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
but	but	p-acp	but	but	0
by	by	p-acp	by	by	0
other	other	j-jn	other	other	0
meanes	meanes	n2	means	mean	0
supported	supported	vvn	supported	support	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
patiently	patiently	av-j	patiently	patient	0
sustained	sustained	vvn	sustained	sustain	0
many	many	d	many	many	0
troubles	troubles	n2	troubles	trouble	0
and	and	cc	and	and	0
miseries	miseries	n2	misery's	misery	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
that	that	cst	that	that	0
my	my	po11	my	my	0
labor	labor	n1	labour	labour	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
ill	ill	av-jn	ill	ill	0
bestowed	bestowed	vvn	bestowed	bestow	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
profitably	profitably	av-j	profitably	profitable	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
ploied	ploied	vvn	ploied	ploy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
translating	translating	n-vvg	translating	translate	0
this	this	d	this	this	0
trea	trea	n1	trea	trea	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Englishe	Englishe	jp	English	english	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
tendeth	tendeth	vvz	tendeth	tend	0
chiefly	chiefly	av-jn	chiefly	chief	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
consolation	consolation	n1	consolation	consolation	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
afflicti	afflicti	n1	affliction	affliction	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
and	and	cc	and	and	0
distresse	distresse	n1	distress	distress	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
title	title	n1	title	title	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
portendeth	portendeth	vvz	portendeth	portend	0
,	,	,	,	,	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
thereof	thereof	av	thereof	thereof	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
proueth	proueth	vvz	proves	prove	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
containeth	containeth	vvz	containeth	contain	0
consolations	consolations	n2	consolations	consolation	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
that	that	d	that	that	0
labor	labor	n1	labour	labour	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
laden	laden	vvn	laden	lade	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
suf	suf	n1	suf	suf	0
∣	∣	sy	∣	∣	0
fer	fer	p-acp	fer	for	0
afflictions	afflictions	n2	afflictions	affliction	0
and	and	cc	and	and	0
troubles	troubles	n2	troubles	trouble	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
diligently	diligently	av-j	diligently	diligent	0
read	read	vvi	read	read	0
and	and	cc	and	and	0
peruse	peruse	vvi	peruse	peruse	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
so	so	av	so	so	0
confirmed	confirmed	vvn	confirmed	confirm	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
troubled	troubled	vvn	troubled	trouble	0
with	with	p-acp	with	with	0
hardnes	hardnes	n1	hardness	hardness	0
of	of	pp-f	of	of	0
aduersitie	aduersitie	n1	adversity	adversity	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
ouercome	ouercome	vvn	overcome	overcome	0
or	or	cc	or	or	0
throwne	throwne	vvn	thrown	throw	0
downe	downe	a-acp	down	down	0
therewith	therewith	av	therewith	therewith	0
:	:	:	:	:	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
molested	molested	vvn	molested	molest	0
with	with	p-acp	with	with	0
griefe	griefe	n1	grief	grief	0
&	&	cc	&	and	0
sorrow	sorrow	n1	sorrow	sorrow	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
also	also	av	also	also	0
delited	delited	vvn	delighted	delight	0
with	with	p-acp	with	with	0
spirituall	spirituall	j	spiritual	spiritual	0
ioy	ioy	n1	joy	joy	0
:	:	:	:	:	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
uen	uen	j	uen	uen	0
distressed	distressed	vvn	distressed	distress	0
with	with	p-acp	with	with	0
troubles	troubles	n2	troubles	trouble	0
and	and	cc	and	and	0
afflictions	afflictions	n2	afflictions	affliction	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
receiue	receiue	vvi	receive	receive	0
courage	courage	n1	courage	courage	0
againe	againe	av	again	again	0
,	,	,	,	,	0
being	being	vbg	being	be	0
cheared	cheared	vvn	cheered	cheer	0
with	with	p-acp	with	with	0
sundry	sundry	j	sundry	sundry	0
consolations	consolations	n2	consolations	consolation	0
,	,	,	,	,	0
&	&	cc	&	and	0
so	so	av	so	so	0
patiently	patiently	av-j	patiently	patient	0
suffer	suffer	vvi	suffer	suffer	0
accor	accor	n1	accor	accor	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
to	to	p-acp	to	to	0
Gods	Gods	n2	Gods	god	0
will	will	vmb	will	will	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
vpon	vpon	p-acp	upon	upon	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Howe	Howe	np1	Howe	Howe	0
great	great	j	great	great	0
this	this	d	this	this	0
commoditie	commoditie	n1	commodity	commodity	0
is	is	vbz	is	be	0
,	,	,	,	,	0
it	it	pn31	it	it	0
plainely	plainely	av-j	plainly	plain	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peareth	peareth	vvz	peareth	pear	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
feelinge	feelinge	n-vvg	feeling	feel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
affliction	affliction	n1	affliction	affliction	0
is	is	vbz	is	be	0
thereby	thereby	av	thereby	thereby	0
asswaged	asswaged	vvn	assuaged	assuage	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
also	also	av	also	also	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
meane	meane	j	mean	mean	0
to	to	pc-acp	to	to	0
moue	moue	vvi	move	move	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
vs	vs	pno12	us	we	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
Gods	Gods	npg1	Gods	God	0
will	will	n1	will	will	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
otherwise	otherwise	av	otherwise	otherwise	0
we	we	pns12	we	we	0
woulde	woulde	vmd	would	will	0
be	be	vbi	be	be	0
readye	readye	j	ready	ready	0
to	to	pc-acp	to	to	0
resist	resist	vvi	resist	resist	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
patient	patient	n1	patient	patient	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
otherwise	otherwise	av	otherwise	otherwise	0
we	we	pns12	we	we	0
woulde	woulde	vmd	would	will	0
by	by	p-acp	by	by	0
impatien	impatien	n1	impatien	impatien	0
∣	∣	sy	∣	∣	0
cie	cie	n1	cie	eye	0
be	be	vbi	be	be	0
stubborne	stubborne	j	stubborn	stubborn	0
agaynste	agaynste	p-acp	against	against	0
the	the	dt	the	the	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
forasmuche	forasmuche	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
ignoraunt	ignoraunt	j	ignorant	ignorant	0
that	that	cst	that	that	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
is	is	vbz	is	be	0
vsually	vsually	av-j	usually	usual	0
incident	incident	j	incident	incident	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
through	through	p-acp	through	through	0
many	many	d	many	many	0
afflictions	afflictions	n2	afflictions	affliction	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bolde	bolde	j	bold	bold	0
to	to	pc-acp	to	to	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mende	mende	vvi	mend	mend	0
this	this	d	this	this	0
treatise	treatise	n1	treatise	treatise	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
in	in	p-acp	in	in	0
generall	generall	n1	general	general	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
read	read	vvn	read	read	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
singular	singular	j	singular	singular	0
commoditie	commoditie	n1	commodity	commodity	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
worshippe	worshippe	n1	worship	worship	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
godly	godly	j	godly	godly	0
conuersation	conuersation	n1	conversation	conversation	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
longe	longe	av-j	long	long	0
tyme	tyme	n1	time	time	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
dayly	dayly	av-j	daily	daily	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
euident	euident	j	evident	evident	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
syncere	syncere	j	sincere	sincere	0
and	and	cc	and	and	0
vnfeyned	vnfeyned	j	unfeigned	unfeigned	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
Christe	Christe	np1	Christe	Christe	0
his	his	po31	his	his	0
religion	religion	n1	religion	religion	0
:	:	:	:	:	0
desiringe	desiringe	vvg	desiring	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
esteeme	esteeme	vvi	esteem	esteem	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
not	not	xx	not	not	0
accordinge	accordinge	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
quantitye	quantitye	n1	quantity	quantity	0
or	or	cc	or	or	0
outward	outward	j	outward	outward	0
appearance	appearance	n1	appearance	appearance	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
then	then	av	then	then	0
shall	shall	vmb	shall	shall	0
you	you	pn22	you	you	0
make	make	vvi	make	make	0
but	but	p-acp	but	but	0
small	small	j	small	small	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
being	being	vbg	being	be	0
both	both	av-d	both	both	0
litle	litle	j	little	little	0
in	in	p-acp	in	in	0
quantitie	quantitie	n1	quantity	quantity	0
,	,	,	,	,	0
&	&	cc	&	and	0
adorned	adorned	vvn	adorned	adorn	0
with	with	p-acp	with	with	0
no	no	dx	no	no	0
eloquent	eloquent	j	eloquent	eloquent	0
tearmes	tearmes	n2	terms	term	0
or	or	cc	or	or	0
glorious	glorious	j	glorious	glorious	0
wordes	wordes	n2	words	word	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
frute	frute	n1	fruit	fruit	0
that	that	cst	that	that	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
shall	shall	vmb	shall	shall	0
reape	reape	vvi	reap	reap	0
by	by	p-acp	by	by	0
diligent	diligent	j	diligent	diligent	0
reading	reading	n-vvg	reading	read	0
therof	therof	av	thereof	thereof	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
pearles	pearles	n2	pearls	pearl	0
and	and	cc	and	and	0
precious	precious	j	precious	precious	0
stones	stones	n2	stones	stone	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
quan	quan	fw-mi	quan	quan	0
∣	∣	sy	∣	∣	0
titie	titie	n1	titie	titie	0
but	but	p-acp	but	but	0
small	small	j	small	small	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
outward	outward	j	outward	outward	0
appearance	appearance	n1	appearance	appearance	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
value	value	n1	valve	value	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
are	are	vbr	are	be	0
great	great	j	great	great	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
vertue	vertue	n1	virtue	virtue	0
excellent	excellent	j	excellent	excellent	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
being	being	vbg	being	be	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swaded	swaded	vvd	swaded	swade	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
well	well	av	well	well	0
