FOrasmuch	FOrasmuch	av	FOrasmuch	forasmuch	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
with	with	p-acp	with	with	0
worthi	worthi	j	worthy	worthy	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
and	and	cc	and	and	0
greatnesse	greatnesse	n1	greatness	greatness	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Instrument	Instrument	n1	Instrument	instrument	0
and	and	cc	and	and	0
meane	meane	j	mean	mean	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
worthy	worthy	av-j	worthy	worthy	0
haue	haue	vhi	have	have	0
gotten	gotten	vvn	got	get	0
great	great	j	great	great	0
Titles	Titles	n2	Titles	title	0
,	,	,	,	,	0
and	and	cc	and	and	0
fame	fame	n1	fame	fame	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
past	past	vvn	passed	pass	0
haue	haue	vhb	have	have	0
attayned	attayned	vvd	attained	attain	0
vnto	vnto	p-acp	unto	unto	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Predecssors	Predecssors	n2	Predecssors	predecssor	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
excellencie	excellencie	n1	excellency	excellency	0
with	with	p-acp	with	with	0
theyr	theyr	po32	their	their	0
noble	noble	j	noble	noble	0
mindes	mindes	n2	minds	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
strong	strong	j	strong	strong	0
armes	armes	n2	arms	arm	0
,	,	,	,	,	0
the	the	dt	the	the	0
Seare	Seare	np1	Seare	Seare	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fist	fist	n1	fist	fist	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sworde	sworde	n1	sword	sword	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hande	hande	n1	hand	hand	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
uercomming	uercomming	n-vvg	uercomming	uercom	0
battels	battels	n2	battles	battle	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
getting	getting	vvg	getting	get	0
townes	townes	n2	towns	town	0
and	and	cc	and	and	0
places	places	n2	places	place	0
,	,	,	,	,	0
the	the	dt	the	the	0
name	name	n1	name	name	0
and	and	cc	and	and	0
fame	fame	n1	fame	fame	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
haue	haue	vhb	have	have	0
byn	byn	vbn	been	be	0
immortall	immortall	j	immortal	immortal	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
day	day	n1	day	day	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	c-acp	for	for	0
to	to	pc-acp	to	to	0
augment	augment	vvi	augment	augment	0
and	and	cc	and	and	0
increase	increase	vvi	increase	increase	0
this	this	d	this	this	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
geue	geue	vvi	give	give	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
excellencie	excellencie	n1	excellency	excellency	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
chidn	chidn	n1	chidn	chidn	0
and	and	cc	and	and	0
suc	suc	fw-la	suc	suc	0
∣	∣	sy	∣	∣	0
cessours	cessours	ng1	cessours	cessours	0
,	,	,	,	,	0
geater	geater	jc	geater	geat	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
you	you	pn22	you	you	0
tooke	tooke	vvd	took	take	0
to	to	p-acp	to	to	0
wise	wise	j	wise	wise	0
the	the	dt	the	the	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	np1	lent	Lent	0
Duches	Duches	n1	Duchess	duchess	0
the	the	dt	the	the	0
Ladie	Ladie	n1	Lady	lady	0
Iuna	Iuna	np1	Iuna	Iuna	0
Curtes	Curtes	np1	Curtes	Curtes	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
doeh	doeh	vvi	doeh	doeh	0
beautifi	beautifi	n2	beautifi	beautifi	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
er	er	zz	er	er	0
woorthi	woorthi	j	woorthi	woorthi	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
etimation	etimation	n1	etimation	etimation	0
,	,	,	,	,	0
qualitie	qualitie	n1	quality	quality	0
,	,	,	,	,	0
and	and	cc	and	and	0
gratesse	gratesse	n1	gratesse	gratesse	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
valiaunt	valiaunt	j	valiant	valiant	0
and	and	cc	and	and	0
reowmed	reowmed	j-vvn	reowmed	reowm	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
Don	Don	n1	DONE	don	0
ernando	ernando	fw-la	ernando	ernando	0
Curtes	Curtes	np1	Curtes	Curtes	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
greatnsse	greatnsse	n1	greatnsse	greatnsse	0
and	and	cc	and	and	0
infinite	infinite	j	infinite	infinite	0
Labours	Labours	n2	Labours	labour	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
shorter	shorter	jc	shorter	short	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
fewe	fewe	d	few	few	0
people	people	n1	people	people	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
It	It	pn31	It	it	0
seemeth	seemeth	vvz	seems	seem	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
greate	greate	j	great	great	0
hall	hall	n1	hall	hall	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
treasurie	treasurie	n1	treasury	treasury	0
house	house	n1	house	house	0
is	is	vbz	is	be	0
sutt	sutt	n1	sutt	sutt	0
:	:	:	:	:	0
t	t	sy	tO	t	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
that	that	d	that	that	0
whiles	whiles	n1	while	while	0
I	I	pns11	I	i	0
go	go	vvb	go	go	0
vp	vp	a-acp	up	up	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
sicke	sicke	j	sick	sick	0
person	person	n1	person	person	0
,	,	,	,	,	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
open	open	vvi	open	open	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Burgus	Burgus	np1	Burgus	Burgus	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
worship	worship	n1	worship	worship	0
may	may	vmb	may	may	0
go	go	vvi	go	go	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
name	name	n1	name	name	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
tarrye	tarrye	vvi	tarry	tarry	0
here	here	av	here	here	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
great	great	j	great	great	0
hall	hall	n1	hall	hall	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
opened	opened	vvn	opened	open	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
sitt	sitt	vvi	sit	sit	0
downe	downe	a-acp	down	down	0
vppon	vppon	p-acp	upon	upon	0
the	the	dt	the	the	0
benche	benche	n1	bench	bench	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
see	see	vvi	see	see	0
what	what	r-crq	what	what	0
doeth	doeth	vdz	doth	do	0
passe	passe	vvi	pass	pass	0
vntill	vntill	c-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
.	.	.	.	.	1
Doctour	Doctour	n1	Doctor	doctor	0
.	.	.	.	.	1
Master	Master	n1	Master	master	0
Burgus	Burgus	np1	Burgus	Burgus	0
,	,	,	,	,	0
I	I	pns11	I	i	0
praye	praye	vvb	pray	pray	0
you	you	pn22	you	you	0
pardon	pardon	vvb	pardon	pardon	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
tarryed	tarryed	vvn	tarried	tarry	0
long	long	av-j	long	long	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
qualitie	qualitie	n1	quality	quality	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
hath	hath	vhz	hath	have	0
cau	cau	vvn	caused	cause	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
tarry	tarry	vvi	tarry	tarry	0
.	.	.	.	.	1
Burgus	Burgus	np1	Burgus	Burgus	0
.	.	.	.	.	1
Rather	Rather	av-c	Rather	rather	0
I	I	pns11	I	i	0
woulde	woulde	vmd	would	will	0
haue	haue	vhi	have	have	0
beene	beene	vbn	been	be	0
glad	glad	j	glad	glad	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
tarryed	tarryed	vvn	tarried	tarry	0
longer	longer	av-jc	longer	long	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
seene	seene	vvn	seen	see	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
Doctour	Doctour	n1	Doctor	doctor	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
haue	haue	vhb	have	have	0
you	you	pn22	you	you	0
seene	seene	vvn	seen	see	0
whiles	whiles	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
absent	absent	j	absent	absent	0
?	?	?	?	?	1
Burgus	Burgus	np1	Burgus	Burgus	0
.	.	.	.	.	1
The	The	dt	The	the	0
great	great	j	great	great	0
hall	hall	n1	hall	hall	0
being	being	vbg	being	be	0
shutt	shutt	vvi	shut	shut	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
parde	parde	vvn	parde	pare	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
looking	looking	vvg	looking	look	0
vppon	vppon	p-acp	upon	upon	0
them	them	pno32	them	they	0
earnestly	earnestly	av-j	earnestly	earnest	0
,	,	,	,	,	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
estimation	estimation	n1	estimation	estimation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
iudgement	iudgement	n1	judgement	judgement	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
cares	cares	n2	cares	care	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
so	so	av	so	so	0
va	va	fw-fr	va	va	0
∣	∣	sy	∣	∣	0
riable	riable	j	riable	riable	0
and	and	cc	and	and	0
diuerse	diuerse	j	diverse	diverse	0
likenesses	likenesses	n2	likenesses	likeness	0
of	of	pp-f	of	of	0
countenance	countenance	n1	countenance	countenance	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
maruel	maruel	vvb	marvel	marvel	0
at	at	p-acp	at	at	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
talking	talking	vvg	talking	talk	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
:	:	:	:	:	0
others	others	ng2-jn	others	other	0
being	being	vbg	being	be	0
alone	alone	av-j	alone	alone	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
hanging	hanging	vvg	hanging	hang	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
imagination	imagination	n1	imagination	imagination	0
:	:	:	:	:	0
Others	Others	n2-jn	Others	other	0
talking	talking	vvg	talking	talk	0
by	by	p-acp	by	by	0
two	two	crd	two	two	0
and	and	cc	and	and	0
two	two	crd	two	two	0
together	together	av	together	together	0
:	:	:	:	:	0
Others	Others	n2-jn	Others	other	0
in	in	p-acp	in	in	0
clusters	clusters	n2	clusters	cluster	0
treating	treating	vvg	treating	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sales	sales	n2	sales	sale	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
merchaun	merchaun	n1	merchaun	merchaun	0
∣	∣	sy	∣	∣	0
dize	dize	n1	dize	dize	0
:	:	:	:	:	0
Maryners	Maryners	n2	Mariners	mariner	0
and	and	cc	and	and	0
souldiours	souldiours	n2	soldiers	soldier	0
carrying	carrying	vvg	carrying	carry	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
pay	pay	n1	pay	pay	0
∣	∣	sy	∣	∣	0
mentes	mentes	n1	mentes	mentes	0
:	:	:	:	:	0
Others	Others	ng2-jn	Others	other	0
carrying	carrying	vvg	carrying	carry	0
away	away	av	away	away	0
their	their	po32	their	their	0
porcions	porcions	n2	portions	portion	0
of	of	pp-f	of	of	0
siluer	siluer	n1	silver	silver	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
,	,	,	,	,	0
running	running	vvg	running	run	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
stolen	stolen	vvn	stolen	steal	0
it	it	pn31	it	it	0
:	:	:	:	:	0
Others	Others	ng2-jn	Others	other	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Notaries	Notaries	n2	Notaries	notary	0
about	about	p-acp	about	about	0
their	their	po32	their	their	0
suites	suites	n2	suits	suit	0
:	:	:	:	:	0
Others	Others	n2-jn	Others	other	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
treasourer	treasourer	n1	treasurer	treasurer	0
amongest	amongest	p-acp	amongst	amongst	0
the	the	dt	the	the	0
Registers	Registers	n2	Registers	register	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
was	was	vbds	was	be	0
also	also	av	also	also	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
noyse	noyse	n1	noise	noise	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
people	people	n1	people	people	0
,	,	,	,	,	0
deliuering	deliuering	vvg	delivering	deliver	0
and	and	cc	and	and	0
receiuing	receiuing	vvg	receiving	receive	0
parcels	parcels	n2	parcels	parcel	0
of	of	pp-f	of	of	0
siluer	siluer	n1	silver	silver	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
great	great	j	great	great	0
strife	strife	n1	strife	strife	0
therevppon	therevppon	av	thereupon	thereupon	0
.	.	.	.	.	1
The	The	dt	The	the	0
Iudges	Iudges	n2	Judges	judge	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
counsell	counsell	n1	counsel	counsel	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
people	people	n1	people	people	0
tarrying	tarrying	vvg	tarrying	tarry	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
greate	greate	j	great	great	0
admiration	admiration	n1	admiration	admiration	0
:	:	:	:	:	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
there	there	a-acp	there	there	0
onely	onely	j	only	only	0
to	to	pc-acp	to	to	0
beholde	beholde	vvi	behold	behold	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
their	their	po32	their	their	0
businesse	businesse	n1	business	business	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
as	as	p-acp	as	as	0
one	one	pi	one	one	0
that	that	cst	that	that	0
did	did	vdd	did	do	0
beholde	beholde	vvi	behold	behold	0
them	them	pno32	them	they	0
without	without	p-acp	without	without	0
greefe	greefe	n1	grief	grief	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
comedye	comedye	n1	comedy	comedy	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
Pageants	Pageants	n2	Pageants	pageant	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
did	did	vdd	did	do	0
make	make	vvi	make	make	0
mee	mee	pno11	me	i	0
maruell	maruell	vvi	marvel	marvel	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
that	that	cst	that	that	0
none	none	pix	none	none	0
were	were	vbdr	were	be	0
merrye	merrye	j	merry	merry	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
content	content	n1	content	content	0
:	:	:	:	:	0
rather	rather	av-c	rather	rather	0
they	they	pns32	they	they	0
seemed	seemed	vvd	seemed	seem	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
great	great	j	great	great	0
care	care	n1	care	care	0
and	and	cc	and	and	0
troubles	troubles	n2	troubles	trouble	0
.	.	.	.	.	1
Doctour	Doctour	n1	Doctor	doctor	0
.	.	.	.	.	1
Master	Master	n1	Master	master	0
Burgus	Burgus	np1	Burgus	Burgus	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
glad	glad	j	glad	glad	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
what	what	r-crq	what	what	0
doeth	doeth	vdz	doth	do	0
passe	passe	vvi	pass	pass	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
house	house	n1	house	house	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
attention	attention	n1	attention	attention	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
Gold	Gold	n1	Gold	gold	0
and	and	cc	and	and	0
siluer	siluer	n1	silver	silver	0
is	is	vbz	is	be	0
cause	cause	n1	cause	cause	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
great	great	j	great	great	0
good	good	j	good	good	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
troubles	troubles	n2	troubles	trouble	0
,	,	,	,	,	0
and	and	cc	and	and	0
cares	cares	n2	cares	care	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
it	it	pn31	it	it	0
bringeth	bringeth	vvz	brings	bring	0
such	such	d	such	such	0
as	as	p-acp	as	as	0
you	you	pn22	you	you	0
sawe	sawe	vvd	saw	see	0
there	there	a-acp	there	there	0
amazed	amazed	vvn	amazed	amaze	0
and	and	cc	and	and	0
astonied	astonied	vvn	astonished	astonish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
daye	daye	n1	day	day	0
the	the	dt	the	the	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
strument	strument	n1	strument	strument	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
these	these	d	these	these	0
things	things	n2	things	thing	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
they	they	pns32	they	they	0
put	put	vvd	put	put	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
they	they	pns32	they	they	0
rayse	rayse	vvi	raise	raise	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
rule	rule	n1	rule	rule	0
,	,	,	,	,	0
and	and	cc	and	and	0
dominion	dominion	n1	dominion	dominion	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
mortall	mortall	j-jn	mortal	mortal	0
men	men	n2	men	man	0
haue	haue	vhb	have	have	0
put	put	vvn	put	put	0
so	so	av	so	so	0
much	much	d	much	much	0
felicitie	felicitie	n1	felicity	felicity	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
procure	procure	vvi	procure	procure	0
them	them	pno32	them	they	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
lyues	lyues	n2	lives	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
shedding	shedding	vvg	shedding	shed	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
bloud	bloud	n1	blood	blood	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
them	them	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
conserue	conserue	vvi	conserve	conserve	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
grea	grea	zz	grea	grea	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
care	care	n1	care	care	0
keepe	keepe	vvi	keep	keep	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
misery	misery	n1	misery	misery	0
they	they	pns32	they	they	0
spend	spend	vvb	spend	spend	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
euill	euill	j-jn	evil	evil	0
fortune	fortune	n1	fortune	fortune	0
they	they	pns32	they	they	0
lose	lose	vvb	loose	lose	0
them	them	pno32	them	they	0
.	.	.	.	.	1
These	These	d	These	these	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
