HOw	HOw	q-crq	HOw	how	0
yeelding	yeelding	vvg	yielding	yield	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
things	things	n2	things	thing	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
ver	ver	fw-la	ver	ver	0
appointed	appointed	vvn	appointed	appoint	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
and	and	cc	and	and	0
notoriously	notoriously	av-j	notoriously	notorious	0
tending	tending	vvg	tending	tend	0
to	to	p-acp	to	to	0
superstition	superstition	n1	superstition	superstition	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
faithfull	faithfull	j	faithful	faithful	0
dealing	dealing	n-vvg	dealing	deal	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
soules	soules	n2	souls	soul	0
in	in	p-acp	in	in	0
labouring	labouring	vvg	labouring	labour	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
them	them	pno32	them	they	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
vaine	vaine	j	vain	vain	0
confidence	confidence	n1	confidence	confidence	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
to	to	pc-acp	to	to	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
Jesus	Jesus	np1	Jesus	Jesus	0
.	.	.	.	.	1
Hope	Hope	n1	Hope	hope	0
somewhat	somewhat	av	somewhat	somewhat	0
to	to	pc-acp	to	to	0
abate	abate	vvi	abate	abate	0
this	this	d	this	this	0
fire	fire	n1	fire	fire	0
of	of	pp-f	of	of	0
rage	rage	n1	rage	rage	0
,	,	,	,	,	0
moved	moved	vvd	moved	move	0
me	me	pno11	me	i	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
this	this	d	this	this	0
bucket	bucket	n1	bucket	bucket	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
to	to	pc-acp	to	to	0
quench	quench	vvi	quench	quench	0
it	it	pn31	it	it	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
happens	happens	vvz	happens	happen	0
often	often	av	often	often	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
water	water	n1	water	water	0
quencheth	quencheth	vvz	quenches	quench	0
not	not	xx	not	not	0
a	a	dt	a	a	0
fire	fire	n1	fire	fire	0
,	,	,	,	,	0
it	it	pn31	it	it	0
flames	flames	vvz	flames	flame	0
out	out	av	out	out	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
by	by	p-acp	by	by	0
casting	casting	vvg	casting	cast	0
water	water	n1	water	water	0
on	on	p-acp	on	on	0
it	it	pn31	it	it	0
:	:	:	:	:	0
so	so	av	so	so	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
fell	fell	vvn	fell	fall	0
me	me	pno11	me	i	0
:	:	:	:	:	0
the	the	dt	the	the	0
barbarous	barbarous	j	barbarous	barbarous	0
rage	rage	n1	rage	rage	0
and	and	cc	and	and	0
impetuous	impetuous	j	impetuous	impetuous	0
violence	violence	n1	violence	violence	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
so	so	av	so	so	0
increased	increased	vvn	increased	increase	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
no	no	dx	no	no	0
safety	safety	n1	safety	safety	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
proper	proper	j	proper	proper	0
station	station	n1	station	station	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
was	was	vbds	was	be	0
enforced	enforced	vvn	inforced	enforce	0
to	to	p-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
move	move	vvb	move	move	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
Wife	Wife	n1	Wife	wife	0
and	and	cc	and	and	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
since	since	a-acp	since	since	0
have	have	vhb	have	have	0
suffered	suffered	vvn	suffered	suffer	0
the	the	dt	the	the	0
spoyling	spoyling	vvg	spoiling	spoil	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dwelling	dwelling	n-vvg	dwelling	dwell	0
house	house	n1	house	house	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
o	o	fw-fr	o	o	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
injuries	injuries	n2	injuries	injury	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
much	much	d	much	much	0
tossing	tossing	vvg	tossing	toss	0
up	up	a-acp	up	up	0
and	and	cc	and	and	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
J	J	pns11	J	i	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
Your	Your	po22	Your	your	0
City	City	n1	City	city	0
cast	cast	vvd	cast	cast	0
anchor	anchor	n1	anchor	anchor	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
either	either	d	either	either	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
storme	storme	n1	storm	storm	0
enforce	enforce	vvb	enforce	enforce	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Maine	Maine	j	Main	main	0
againe	againe	av	again	again	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
favourable	favourable	j	favourable	favourable	0
gale	gale	n1	gale	gale	0
bring	bring	vvb	bring	bring	0
me	me	pno11	me	i	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
Harbour	Harbour	n1	Harbour	harbour	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
J	J	pns11	J	i	0
may	may	vmb	may	may	0
testifie	testifie	vvi	testify	testify	0
my	my	po11	my	my	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
gratitude	gratitude	n1	gratitude	gratitude	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
present	present	j	present	present	0
entertainment	entertainment	n1	entertainment	entertainment	0
,	,	,	,	,	0
and	and	cc	and	and	0
withall	withall	av	withal	withal	0
aiming	aiming	vvg	aiming	aim	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
edification	edification	n1	edification	edification	0
,	,	,	,	,	0
J	J	pns11	J	i	0
have	have	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
in	in	p-acp	in	in	0
publishing	publishing	vvg	publishing	publish	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prefixe	prefixe	vvi	prefix	prefix	0
your	your	po22	your	your	0
Names	Names	n2	Names	name	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
J	J	pns11	J	i	0
humbly	humbly	av-j	humbly	humble	0
present	present	vvb	present	present	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
use	use	n1	use	use	0
and	and	cc	and	and	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fesse	fesse	vvi	fesse	fesse	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	1
