Righ	Righ	j-jn	Righ	right	0
short	short	j	short	short	0
a	a	dt	a	a	0
time	time	n1	time	time	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
plainly	plainly	av-j	plainly	plain	0
demonstrates	demonstrates	vvz	demonstrates	demonstrate	0
the	the	dt	the	the	0
work	work	n1	work	work	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
and	and	cc	and	and	0
ought	ought	vmd	ought	ought	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
upon	upon	p-acp	upon	upon	0
well	well	av	well	well	0
grounded	grounded	j-vvn	grounded	ground	0
reason	reason	n1	reason	reason	0
own	own	d	own	own	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
,	,	,	,	,	0
as	as	p-acp	as	as	0
Gods	Gods	npg1	Gods	God	0
instruments	instruments	n2	instruments	instrument	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
three	three	crd	three	three	0
chief	chief	j-jn	chief	chief	0
worthyes	worthyes	n2-j	worthies	worthy	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
blessed	blessed	j-vvn	blessed	bless	0
work	work	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
gallant	gallant	j-jn	gallant	gallant	0
spirits	spirits	n2	spirits	spirit	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
land	land	n1	land	land	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
acted	acted	vvn	acted	act	0
their	their	po32	their	their	0
severall	severall	j	several	several	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
none	none	pix	none	none	0
have	have	vhb	have	have	0
attained	attained	vvn	attained	attain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Honor	Honor	n1	Honour	honour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
three	three	crd	three	three	0
.	.	.	.	.	1
I	I	pns11	I	i	0
therefore	therefore	av	therefore	therefore	0
humbly	humbly	av-j	humbly	humble	0
beg	beg	vvi	beg	beg	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
my	my	po11	my	my	0
service	service	n1	service	service	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
,	,	,	,	,	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
dues	dues	n2-jn	dues	due	0
and	and	cc	and	and	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
.	.	.	.	.	1
First	First	ord	First	first	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
your	your	po22	your	your	0
earnest	earnest	j	earnest	earnest	0
care	care	n1	care	care	0
and	and	cc	and	and	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
deavours	deavours	n2	deavours	deavour	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
defence	defence	n1	defence	defence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
protestant	protestant	n1	protestant	protestant	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
law	law	n1	law	law	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
liberties	liberties	n2	liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
have	have	vhb	have	have	0
manifestly	manifestly	av-j	manifestly	manifest	0
appeared	appeared	vvn	appeared	appear	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
hereby	hereby	av	hereby	hereby	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
thankfullnesse	thankfullnesse	n1	thankfulness	thankfulness	0
First	First	ord	First	first	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
the	the	dt	the	the	0
author	author	n1	author	author	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
good	good	j	good	good	0
,	,	,	,	,	0
Secondly	Secondly	ord	Secondly	second	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honors	Honors	n2	Honours	honour	0
in	in	p-acp	in	in	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
sharer	sharer	n1	sharer	sharer	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
mercy	mercy	n1	mercy	mercy	0
of	of	pp-f	of	of	0
delive	delive	av	delive	delive	0
∣	∣	sy	∣	∣	0
rance	rance	n1	rance	rance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
sad	sad	j	sad	sad	0
share	share	n1	share	share	0
in	in	p-acp	in	in	0
suffering	suffering	vvg	suffering	suffer	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
their	their	po32	their	their	0
tyranny	tyranny	n1	tyranny	tyranny	0
and	and	cc	and	and	0
wickedness	wickedness	n1	wickedness	wickedness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
beg	beg	vvb	beg	beg	0
pardon	pardon	n1	pardon	pardon	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
presump	presump	n1	presump	presump	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
humble	humble	j	humble	humble	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
every	every	d	every	every	0
evill	evill	j-jn	evil	evil	0
way	way	n1	way	way	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
he	he	pns31	he	he	0
bring	bring	vvb	bring	bring	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
.	.	.	.	.	1
February	February	np1	February	February	0
.	.	.	.	.	1
1659.	1659.	crd	1659.	1659.	1
