Worthie	Worthie	j	Worthy	worthy	0
keepe	keepe	vvi	keep	keep	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
leade	leade	vvi	lead	lead	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
direct	direct	vvi	direct	direct	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
passa	passa	fw-la	passa	passa	0
∣	∣	sy	∣	∣	0
ges	ges	n1	ges	guess	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
Onely	Onely	j	Only	only	0
it	it	pn31	it	it	0
concer	concer	fw-fr	concer	concer	0
∣	∣	sy	∣	∣	0
neth	neth	vvz	neth	n	0
vs	vs	pno12	us	we	0
to	to	pc-acp	to	to	0
aske	aske	vvi	ask	ask	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
importunitie	importunitie	n1	importunity	importunity	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
attend	attend	vvi	attend	attend	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
directi	directi	n1	directi	directi	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&	&	cc	&	and	0
apply	apply	vvi	apply	apply	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
suffer	suffer	vvi	suffer	suffer	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
disposed	disposed	vvn	disposed	dispose	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
right	right	vvi	right	right	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
eyes	eyes	n2	eyes	eye	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
saluation	saluation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
wee	wee	pns12	we	we	0
must	must	vmb	must	must	0
looke	looke	vvi	look	look	0
to	to	p-acp	to	to	0
three	three	crd	three	three	0
things	things	n2	things	thing	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
shew	shew	vvb	show	show	0
vs	vs	pno12	us	we	0
that	that	d	that	that	0
mercy	mercy	n1	mercy	mercy	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
take	take	vvi	take	take	0
heede	heede	n1	heed	heed	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
neglect	neglect	vvb	neglect	neglect	0
not	not	xx	not	not	0
,	,	,	,	,	0
or	or	cc	or	or	0
despise	despise	vvi	despise	despise	0
notthe	notthe	j	notthe	notthe	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
walking	walking	vvg	walking	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
.	.	.	.	.	1
Second	Second	np1	Second	Second	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
diligence	diligence	n1	diligence	diligence	0
we	we	pns12	we	we	0
auoide	auoide	vvi	avoid	avoid	0
going	going	vvg	going	go	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
straight	straight	av	straight	straight	0
stops	stops	vvz	stops	stop	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
feet	feet	n2	feet	foot	0
.	.	.	.	.	1
And	And	cc	And	and	0
thirdly	thirdly	ord	thirdly	three	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
feare	feare	n1	fear	fear	0
watch	watch	vvb	watch	watch	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
fal	fal	vvi	fall	fall	0
not	not	xx	not	not	0
off	off	p-acp	off	off	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
errors	errors	n2	errors	error	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
good	good	j	good	good	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
our	our	po12	our	our	0
latter	latter	d	latter	latter	0
end	end	n1	end	end	0
be	be	vbi	be	be	0
worse	worse	jc	worse	worse	0
then	then	cs	then	than	0
our	our	po12	our	our	0
beginning	beginning	n1	beginning	beginning	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
vndertaken	vndertaken	vvn	undertaken	undertake	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
assistance	assistance	n1	assistance	assistance	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
direction	direction	n1	direction	direction	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
,	,	,	,	,	0
blessed	blessed	j-vvn	blessed	bless	0
word	word	n1	word	word	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
single	single	j	single	single	0
out	out	av	out	out	0
the	the	dt	the	the	0
choi	choi	n1	choi	choi	0
∣	∣	sy	∣	∣	0
sest	sest	zz	sest	sest	0
things	things	n2	things	thing	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
finde	finde	vvi	find	find	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
first	first	ord	first	first	0
path	path	n1	path	path	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
Holy	Holy	j	Holy	holy	0
.	.	.	.	.	1
Th	Th	dt	That	the	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
directi	directi	n1	directi	directi	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
digested	digested	vvn	digested	digest	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Treatise	Treatise	n1	Treatise	treatise	0
following	following	vvg	following	follow	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
dedicate	dedicate	vvb	dedicate	dedicate	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Ladi	Ladi	n1	Ladi	lady	0
∣	∣	sy	∣	∣	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
shewed	shewed	vvn	showed	show	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
Ministerie	Ministerie	n1	Ministry	ministry	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
constant	constant	j	constant	constant	0
resort	resort	n1	resort	resort	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
weeke	weeke	n1	week	week	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
while	while	cs	while	while	0
you	you	pn22	you	you	0
li	li	zz	li	li	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
neighbour	neighbour	n1	neighbour	neighbour	0
Parish	Parish	n1	Parish	parish	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
two	two	crd	two	two	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
amongst	amongst	p-acp	among	among	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
are	are	vbr	are	be	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
come	come	vvi	come	come	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
charge	charge	n1	charge	charge	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
my	my	po11	my	my	0
obseruance	obseruance	n1	observance	observance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Ladiships	Ladiships	n2	Ladyships	ladyship	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
report	report	n1	report	report	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
feigned	feigned	n1	feigned	feigned	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
.	.	.	.	.	1
Beseeching	Beseeching	vvg	Beseeching	beseech	0
your	your	po22	your	your	0
Acceptation	Acceptation	n1	Acceptation	acceptation	0
,	,	,	,	,	0
Perusall	Perusall	n1	Perusal	perusal	0
,	,	,	,	,	0
and	and	cc	and	and	0
Patronage	Patronage	n1	Patronage	patronage	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leaue	leaue	n1	leave	leave	0
,	,	,	,	,	0
and	and	cc	and	and	0
commend	commend	vvb	commend	commend	0
your	your	po22	your	your	0
Ladiships	Ladiships	n2	Ladyships	ladyship	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Mercie	Mercie	n1	Mercy	mercy	0
and	and	cc	and	and	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
guide	guide	n1	guide	guide	0
,	,	,	,	,	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
deliuer	deliuer	vvb	deliver	deliver	0
,	,	,	,	,	0
sanctifie	sanctifie	vvb	sanctify	sanctify	0
,	,	,	,	,	0
and	and	cc	and	and	0
preserue	preserue	vvi	preserve	preserve	0
you	you	pn22	you	you	0
all	all	d	all	all	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
Febr.	Febr.	np1	Febr.	Febr.	0
12.	12.	crd	12.	12.	0
1619.	1619.	crd	1619.	1619.	1
