THough	THough	cs	THough	though	0
be	be	vbb	be	be	0
so	so	av	so	so	0
indifferent	indifferent	j	indifferent	indifferent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
good	good	j	good	good	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
desire	desire	vvi	desire	desire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
well	well	n1	well	well	0
thought	thought	vvd	thought	think	0
on	on	a-acp	on	on	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
resolv'd	resolv'd	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
sit	sit	vvi	fit	sit	0
and	and	cc	and	and	0
smile	smile	vvi	smile	smile	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
sufferings	sufferings	n2	sufferings	suffering	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
purchase	purchase	vvi	purchase	purchase	0
the	the	dt	the	the	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
beloved	beloved	j-vvn	beloved	belove	0
obscurity	obscurity	n1	obscurity	obscurity	0
and	and	cc	and	and	0
repose	repose	n1	repose	repose	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
a	a	dt	a	a	0
lawful	lawful	j	lawful	lawful	0
means	means	n2	means	mean	0
;	;	;	;	;	0
even	even	av	even	even	0
the	the	dt	the	the	0
burying	burying	vvg	burying	bury	0
my	my	po11	my	my	0
self	self	n1	self	self	0
amongst	amongst	p-acp	among	among	0
my	my	po11	my	my	0
books	books	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
living	living	vvg	living	live	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
passive	passive	j	passive	passive	0
si	si	zz	si	si	0
∣	∣	sy	∣	∣	0
lence	lence	n1	lence	lence	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
having	having	vhg	having	have	0
put	put	vvn	put	put	0
my	my	po11	my	my	0
Judgement	Judgement	n1	Judgement	judgement	0
into	into	p-acp	into	into	0
other	other	j-jn	other	other	0
mens	mens	ng2	men's	man	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
into	into	p-acp	into	into	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
perfectly	perfectly	av-j	perfectly	perfect	0
conquer'd	conquer'd	vvn	conquered	conquer	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
this	this	d	this	this	0
weeks	weeks	n2	weeks	week	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
but	but	p-acp	but	but	0
disor	disor	n1	disor	disor	0
∣	∣	sy	∣	∣	0
der'd	der'd	n1	dered	dered	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
last	last	ord	last	last	0
,	,	,	,	,	0
(	(	(	(	(	0
against	against	p-acp	against	against	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confesse	confesse	vvi	confess	confess	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
ra	ra	zz	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
stand	stand	zz	stand	stand	0
out	out	av	out	out	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
affected	affected	j-vvn	affected	affect	0
deafnesse	deafnesse	n1	deafness	deafness	0
,	,	,	,	,	0
then	then	cs	then	than	0
any	any	d	any	any	0
real	real	j	real	real	0
dissent	dissent	n1	dissent	dissent	0
)	)	)	)	)	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
now	now	av	now	now	0
no	no	av-dx	no	no	0
longer	longer	av-jc	longer	long	0
threatned	threatned	vvn	threatened	threaten	0
by	by	p-acp	by	by	0
bare	bare	j	bore	bare	0
report	report	n1	report	report	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
who	who	r-crq	who	who	0
professeth	professeth	vvz	professes	profess	0
(	(	(	(	(	0
under	under	p-acp	under	under	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
Seal	Seal	n1	Seal	seal	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
writing	writing	vvg	writing	write	0
against	against	p-acp	against	against	0
papers	papers	n2	papers	paper	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
cals	cals	vvz	calls	call	0
mine	mine	n1	mine	mine	0
,	,	,	,	,	0
(	(	(	(	(	0
adding	adding	vvg	adding	add	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
intends	intends	vvz	intends	intend	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
publick	publick	j	public	public	0
)	)	)	)	)	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
my	my	po11	my	my	0
self	self	n1	self	self	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
an	an	dt	and	a	0
unfortunate	unfortunate	j	unfortunate	unfortunate	0
Dilemma	Dilemma	n1	Dilemma	dilemma	0
,	,	,	,	,	0
(	(	(	(	(	0
either	either	av-d	either	either	0
of	of	pp-f	of	of	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
a	a	dt	a	a	0
false	false	j	false	false	0
copy	copy	n1	copy	copy	0
printed	printed	vvn	printed	print	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
of	of	pp-f	of	of	0
printing	printing	vvg	printing	print	0
a	a	dt	a	a	0
true	true	j	true	true	0
copy	copy	n1	copy	copy	0
to	to	pc-acp	to	to	0
discountenance	discountenance	vvi	discountenance	discountenance	0
the	the	dt	the	the	0
false	false	j	false	false	0
,	,	,	,	,	0
)	)	)	)	)	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
pitch	pitch	vvi	pitch	pitch	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
latter	latter	d	latter	latter	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
lesser	lesser	jc	lesser	lesser	0
evil	evil	n-jn	evil	evil	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
your	your	po22	your	your	0
wishes	wishes	n2	wishes	wish	0
and	and	cc	and	and	0
my	my	po11	my	my	0
fears	fears	n2	fears	fear	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
;	;	;	;	;	0
whilest	whilest	cs	whilst	while	0
I	I	pns11	I	i	0
lie	lie	vvb	lie	lie	0
under	under	p-acp	under	under	0
a	a	dt	a	a	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
go	go	vvb	go	go	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
abroad	abroad	av	abroad	abroad	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
meerly	meerly	av-j	merely	mere	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
very	very	j	very	very	0
privacy	privacy	n1	privacy	privacy	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
very	very	j	very	very	0
same	same	d	same	same	0
Letter	Letter	n1	Letter	letter	0
which	which	r-crq	which	which	0
threatens	threatens	vvz	threatens	threaten	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
papers	papers	n2	papers	paper	0
falsly	falsly	av-j	falsely	false	0
bearing	bearing	vvg	bearing	bear	0
my	my	po11	my	my	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
cals	cals	vvz	calls	call	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
Grandchilde	Grandchilde	n1	Grandchild	grandchild	0
of	of	pp-f	of	of	0
Pelagius	Pelagius	np1	Pelagius	Pelagius	0
,	,	,	,	,	0
the	the	dt	the	the	0
Enemy	Enemy	n1	Enemy	enemy	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
such	such	d	such	such	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
ever	ever	av	ever	ever	0
repay	repay	vvi	repay	repay	0
in	in	p-acp	in	in	0
kinde	kinde	n1	kind	kind	0
.	.	.	.	.	1
The	The	dt	The	the	0
greatest	greatest	js	greatest	great	0
revenge	revenge	n1	revenge	revenge	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
seek	seek	vvi	seek	seek	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
person	person	n1	person	person	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
conceal	conceal	vvi	conceal	conceal	0
his	his	po31	his	his	0
Name	Name	n1	Name	name	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
my	my	po11	my	my	0
Soul	Soul	n1	Soul	soul	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
dieted	dieted	vvn	dieted	diet	0
with	with	p-acp	with	with	0
cleaner	cleaner	jc	cleaner	clean	0
food	food	n1	food	food	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
break	break	vvi	break	break	0
out	out	av	out	out	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
into	into	p-acp	into	into	0
such	such	d	such	such	0
exulcerate	exulcerate	vvi	exulcerate	exulcerate	0
Erysipelas	Erysipelas	np1	Erysipelas	Erysipelas	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
get	get	vvi	get	get	0
moderation	moderation	n1	moderation	moderation	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
very	very	j	very	very	0
means	means	n2	means	mean	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
some	some	d	some	some	0
men	men	n2	men	man	0
have	have	vhb	have	have	0
lost	lost	vvn	lost	lose	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
lie	lie	vvi	lie	lie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
infect	infect	vvi	infect	infect	0
my	my	po11	my	my	0
Name	Name	n1	Name	name	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
Leprosie	Leprosie	n1	Leprosy	leprosy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
loathsome	loathsome	j	loathsome	loathsome	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
persons	persons	n2	persons	person	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
proved	proved	vvd	proved	prove	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
hated	hated	vvn	hated	hate	0
the	the	dt	the	the	0
publication	publication	n1	publication	publication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
scribling	scribling	n-vvg	scribbling	scribble	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
fear	fear	n1	fear	fear	0
some	some	d	some	some	0
young	young	j	young	young	0
or	or	cc	or	or	0
old	old	j	old	old	0
Trojan	Trojan	jp	Trojan	trojan	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
an	an	dt	and	a	0
Apple	Apple	n1	Apple	apple	0
of	of	pp-f	of	of	0
Altercation	Altercation	n1	Altercation	altercation	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
this	this	d	this	this	0
Age	Age	n1	Age	age	0
is	is	vbz	is	be	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
Salamanders	Salamanders	n2	Salamanders	salamander	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
never	never	av-x	never	never	0
live	live	vvb	live	live	0
so	so	av	so	so	0
pleasantly	pleasantly	av-j	pleasantly	pleasant	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fire	Fire	n1	Fire	fire	0
of	of	pp-f	of	of	0
Contention	Contention	n1	Contention	contention	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
hopes	hopes	n2	hope's	hope	0
to	to	pc-acp	to	to	0
expire	expire	vvi	expire	expire	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
buried	buried	vvn	buried	bury	0
(	(	(	(	(	0
like	like	av-j	like	like	0
some	some	d	some	some	0
Pausanias	Pausanias	np1	Pausanias	Pausanias	0
or	or	cc	or	or	0
Herostratus	Herostratus	np1	Herostratus	Herostratus	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Armes	Armes	n2	Arms	arm	0
of	of	pp-f	of	of	0
Fame	Fame	n1	Fame	fame	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
.	.	.	.	.	1
And	And	cc	And	and	0
truly	truly	av-j	truly	true	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
suffer'd	suffer'd	vvn	suffered	suffer	0
so	so	av	so	so	0
long	long	av-j	long	long	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
deep	deep	j-jn	deep	deep	0
a	a	dt	a	a	0
silence	silence	n1	silence	silence	0
;	;	;	;	;	0
even	even	av	even	even	0
hating	hating	vvg	hating	hate	0
the	the	dt	the	the	0
means	means	n2	means	mean	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
abhorring	abhorring	vvg	abhorring	abhor	0
the	the	dt	the	the	0
effects	effects	n2	effects	effect	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Vindication	Vindication	n1	Vindication	vindication	0
;	;	;	;	;	0
and	and	cc	and	and	0
desiring	desiring	vvg	desiring	desire	0
that	that	d	that	that	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
built	built	vvd	built	build	0
upon	upon	p-acp	upon	upon	0
such	such	d	such	such	0
controverted	controverted	vvn	controverted	controvert	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
(	(	(	(	(	0
like	like	j	like	like	0
Solomons	Solomons	np1	Solomons	Solomons	0
Tem	Tem	fw-la	Tem	tem	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
)	)	)	)	)	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
least	least	ds	least	least	0
noise	noise	n1	noise	noise	0
of	of	pp-f	of	of	0
Axe	Axe	n1	Axe	axe	0
or	or	cc	or	or	0
Hammer	Hammer	n1	Hammer	hammer	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
lookt	lookt	vvn	looked	look	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
self	self	n1	self	self	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
reverence	reverence	n1	reverence	reverence	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
made	made	vvn	made	make	0
my	my	po11	my	my	0
self	self	n1	self	self	0
beleeve	beleeve	vvb	believe	believe	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
publckly	publckly	av-j	publckly	publck	0
useful	useful	j	useful	useful	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
fasten'd	fasten'd	vvn	fastened	fasten	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
subject	subject	n-jn	subject	subject	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
fitter	fitter	jc	fitter	fit	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
easie	easie	j	easy	easy	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
profitable	profitable	j	profitable	profitable	0
and	and	cc	and	and	0
pleasant	pleasant	j	pleasant	pleasant	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
way	way	n1	way	way	0
more	more	av-dc	more	more	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
very	very	av	very	very	0
attentive	attentive	j	attentive	attentive	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
Siracides	Siracides	n2	Siracides	siracide	0
,	,	,	,	,	0
Search	Search	vvb	Search	search	0
not	not	xx	not	not	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
above	above	p-acp	above	above	0
thy	thy	po21	thy	thy	0
strength	strength	n1	strength	strength	0
,	,	,	,	,	0
butEcclesiasticus	butEcclesiasticus	fw-la	butEcclesiasticus	butecclesiasticus	0
3	3	crd	3	3	0
,	,	,	,	,	0
21	21	crd	21	21	0
,	,	,	,	,	0
22	22	crd	22	22	0
,	,	,	,	,	0
23.	23.	crd	23.	23.	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
commanded	commanded	vvn	commanded	command	0
thee	thee	pno21	thee	thou	0
think	think	vvi	think	think	0
thereupon	thereupon	av	thereupon	thereupon	0
with	with	p-acp	with	with	0
reve	reve	vvi	reve	reve	0
∣	∣	sy	∣	∣	0
rence	rence	vvi	rence	rinse	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
And	And	cc	And	and	0
whilest	whilest	cs	whilst	while	0
I	I	pns11	I	i	0
consider	consider	vvb	consider	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
will	will	n1	will	will	0
ren	ren	fw-it	ren	ren	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
man	man	n1	man	man	0
(	(	(	(	(	0
not	not	xx	not	not	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
opinions	opinions	n2	opinions	opinion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
)	)	)	)	)	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
works	works	n2	works	work	0
;	;	;	;	;	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
it	it	pn31	it	it	0
so	so	av	so	so	0
good	good	j	good	good	0
a	a	dt	a	a	0
task	task	n1	task	task	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
2.	2.	crd	2.	2.	0
6.	6.	crd	6.	6.	0
to	to	p-acp	to	to	0
make	make	vvi	make	make	0
men	men	n2	men	man	0
orthodox	orthodox	n1	orthodox	orthodox	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
nest	nest	n1	nest	nest	0
and	and	cc	and	and	0
sincere	sincere	j	sincere	sincere	0
ones	ones	pi2	ones	one	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
prefer	prefer	vvb	prefer	prefer	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
of	of	pp-f	of	of	0
opinion	opinion	n1	opinion	opinion	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
of	of	pp-f	of	of	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
and	and	cc	and	and	0
hate	hate	vvb	hate	hate	0
a	a	dt	a	a	0
man	man	n1	man	man	0
more	more	av-dc	more	more	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
least	least	ds	least	least	0
Error	Error	n1	Error	error	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Judge	Judge	n1	Judge	judge	0
∣	∣	sy	∣	∣	0
