WHosoeuer	WHosoeuer	r-crq	Whosoever	whosoever	0
Lorde	Lorde	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
serue	serue	vvb	serve	serve	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
blessed	blessed	vvn	blessed	bless	0
for	for	p-acp	for	for	0
euermore	euermore	av	evermore	evermore	0
,	,	,	,	,	0
knoweth	knoweth	vvz	knoweth	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
lie	lie	vvb	lie	lie	0
not	not	xx	not	not	0
.	.	.	.	.	1
And	And	np1	And	And	0
,	,	,	,	,	0
howbeit	howbeit	a-acp	howbeit	howbeit	0
,	,	,	,	,	0
the	the	dt	the	the	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
is	is	vbz	is	be	0
foolishnesse	foolishnesse	n1	foolishness	foolishness	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
perish	perish	vvb	perish	perish	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
foolishnesse	foolishnesse	n1	foolishness	foolishness	0
of	of	pp-f	of	of	0
prea	prea	vvb	prea	pray	0
∣	∣	sy	∣	∣	0
ching	ching	j	ching	ching	0
to	to	pc-acp	to	to	0
saue	saue	vvi	save	save	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
beleeue	beleeue	vvb	believe	believe	0
,	,	,	,	,	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
suffer	suffer	vvi	suffer	suffer	0
a	a	dt	a	a	0
little	little	j	little	little	0
this	this	d	this	this	0
my	my	po11	my	my	0
foolishnesse	foolishnesse	n1	foolishness	foolishness	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
am	am	vbr	am	be	0
gealous	gealous	j	jealous	jealous	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
gealosy	gealosy	n1	jealousy	jealousy	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
!	!	!	!	!	0
charge	charge	vvb	charge	charge	0
you	you	pn22	you	you	0
before	before	p-acp	before	before	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
L.	L.	n1	L.	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
iudge	iudge	vvi	judge	judge	0
the	the	dt	the	the	0
quicke	quicke	j	quick	quick	0
and	and	cc	and	and	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
appea	appea	n1	appea	appea	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
decline	decline	vvb	decline	decline	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hād	hād	n1	hand	hand	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
left	left	j	left	left	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
to	to	p-acp	to	to	0
schism	schism	n1	schism	schism	0
nor	nor	ccx	nor	nor	0
poperie	poperie	n1	popery	popery	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hate	hate	vvb	hate	hate	0
them	them	pno32	them	they	0
both	both	d	both	both	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hitherto	hitherto	av	hitherto	hitherto	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
hatred	hatred	n1	hatred	hatred	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
yong	yong	j	young	young	0
in	in	p-acp	in	in	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
child	child	n1	child	child	0
in	in	p-acp	in	in	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
derstanding	derstanding	n1	derstanding	derstanding	0
,	,	,	,	,	0
carried	carried	vvd	carried	carry	0
about	about	a-acp	about	about	0
with	with	p-acp	with	with	0
euery	euery	d	every	every	0
wind	wind	n1	wind	wind	0
of	of	pp-f	of	of	0
doctrine	doctrine	n1	doctrine	doctrine	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
deceit	deceit	n1	deceit	deceit	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
crafti	crafti	n1	crafti	crafti	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
lay	lay	vvd	lay	lie	0
in	in	p-acp	in	in	0
wait	wait	n1	wait	wait	0
to	to	pc-acp	to	to	0
deceiue	deceiue	vvi	deceive	deceive	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
fo	fo	n1	foe	foe	0
∣	∣	sy	∣	∣	0
low	low	j	low	low	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
in	in	p-acp	in	in	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
things	things	n2	things	thing	0
grow	grow	vvb	grow	grow	0
vp	vp	a-acp	up	up	0
into	into	p-acp	into	into	0
him	him	pno31	him	he	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
head	head	n1	head	head	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
doing	doing	vdg	doing	do	0
,	,	,	,	,	0
assure	assure	vvb	assure	assure	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
begun	begun	vvn	begun	begin	0
this	this	d	this	this	0
good	good	j	good	good	0
worke	worke	n1	work	work	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
will	will	vmb	will	will	0
performe	performe	vvi	perform	perform	0
it	it	pn31	it	it	0
,	,	,	,	,	0
vntill	vntill	c-acp	until	until	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
God	God	np1	God	God	0
the	the	dt	the	the	0
father	father	n1	father	father	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
a	a	zz	a	a	0
∣	∣	sy	∣	∣	0
bundant	bundant	j	bundant	bundant	0
mercie	mercie	n1	mercy	mercy	0
hath	hath	vhz	hath	have	0
begotten	begotten	vvn	begotten	beget	0
you	you	pn22	you	you	0
againe	againe	av	again	again	0
vnto	vnto	p-acp	unto	unto	0
a	a	dt	a	a	0
liuely	liuely	j	lively	lively	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
resurrection	resurrection	n1	resurrection	resurrection	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
inheritance	inheritance	n1	inheritance	inheritance	0
immortall	immortall	j	immortal	immortal	0
and	and	cc	and	and	0
vndefiled	vndefiled	j	undefiled	undefiled	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
fadeth	fadeth	vvz	fades	fade	0
not	not	xx	not	not	0
away	away	av	away	away	0
,	,	,	,	,	0
reserued	reserued	vvn	reserved	reserve	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
blesse	blesse	vvb	bless	bless	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
guide	guide	vvb	guide	guide	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
increase	increase	vvi	increase	increase	0
in	in	p-acp	in	in	0
wisdom	wisdom	n1	wisdom	wisdom	0
in	in	p-acp	in	in	0
stature	stature	n1	stature	stature	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
fauor	fauor	n1	favour	favour	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
multiply	multiply	vvb	multiply	multiply	0
his	his	po31	his	his	0
graces	graces	n2	graces	grace	0
vpon	vpon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
goe	goe	vvi	go	go	0
forward	forward	av-j	forward	forward	0
from	from	p-acp	from	from	0
vertue	vertue	n1	virtue	virtue	0
to	to	p-acp	to	to	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
grace	grace	n1	grace	grace	0
to	to	pc-acp	to	to	0
grace	grace	vvi	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
grant	grant	vvb	grant	grant	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
length	length	n1	length	length	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
meet	meet	vvi	meet	meet	0
together	together	av	together	together	0
vnto	vnto	p-acp	unto	unto	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fulnesse	fulnesse	n1	fullness	fullness	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
