WHEN	WHEN	c-crq	WHEN	when	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
beeing	beeing	vbg	being	be	0
in	in	p-acp	in	in	0
learning	learning	n1	learning	learning	0
ignoraunt	ignoraunt	j	ignorant	ignorant	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
wisdome	wisdome	n1	wisdom	wisdom	0
weke	weke	uh	week	weke	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
experiēce	experiēce	n1	experience	experience	0
vnskilful	vnskilful	j	unskilful	unskilful	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
respect	respect	n1	respect	respect	0
very	very	av	very	very	0
vnfit	vnfit	j	unfit	unfit	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
an	an	dt	and	a	0
honorable	honorable	j	honourable	honourable	0
assembly	assembly	n1	assembly	assembly	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
chosen	chosen	vvn	chosen	choose	0
and	and	cc	and	and	0
admitted	admitted	vvn	admitted	admit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
orders	orders	n2	order	order	0
and	and	cc	and	and	0
prescribed	prescribed	j-vvn	prescribed	prescribe	0
lawes	lawes	n2	laws	law	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
land	land	n1	land	land	0
:	:	:	:	:	0
onely	onely	av-j	only	only	0
such	such	d	such	such	0
are	are	vbr	are	be	0
tobe	tobe	n1	tobe	tobe	0
elected	elected	vvn	elected	elect	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
place	place	n1	place	place	0
there	there	a-acp	there	there	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
grauitie	grauitie	n1	gravity	gravity	0
,	,	,	,	,	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
know	know	vvi	know	know	0
¦	¦	sy	¦	¦	0
ledge	ledge	n1	ledge	ledge	0
and	and	cc	and	and	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
are	are	vbr	are	be	0
reputed	reputed	vvn	reputed	repute	0
and	and	cc	and	and	0
knowen	knowen	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
chosen	chosen	vvn	chosen	choose	0
and	and	cc	and	and	0
principall	principall	j-jn	principal	principal	0
persona	persona	fw-la	persona	persona	0
∣	∣	sy	∣	∣	0
ges	ges	n1	ges	guess	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
land	land	n1	land	land	0
and	and	cc	and	and	0
Realme	Realme	n1	Realm	realm	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
court	court	n1	court	court	0
beeing	beeing	vbg	being	be	0
in	in	p-acp	in	in	0
authoritie	authoritie	n1	authority	authority	0
highest	highest	js	highest	high	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
power	power	n1	power	power	0
cheefest	cheefest	js-jn	chiefest	chief	0
:	:	:	:	:	0
none	none	pix	none	none	0
should	should	vmd	should	shall	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
thorderers	thorderers	n2	thorderers	thorderer	0
,	,	,	,	,	0
Iudges	Iudges	n2	Judges	judge	0
and	and	cc	and	and	0
councellers	councellers	n2	councillors	councillor	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
vertues	vertues	n2	virtues	virtue	0
and	and	cc	and	and	0
good	good	j	good	good	0
conditions	conditions	n2	conditions	condition	0
are	are	vbr	are	be	0
answerable	answerable	j	answerable	answerable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
The	The	dt	The	the	0
order	order	n1	order	order	0
(	(	(	(	(	0
therfore	therfore	av	therefore	therefore	0
)	)	)	)	)	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Romains	Romains	njp2	Romans	roman	0
was	was	vbds	was	be	0
that	that	d	that	that	0
none	none	pi	none	none	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
receiued	receiued	vvn	received	receive	0
or	or	cc	or	or	0
allowed	allowed	vvn	allowed	allow	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Senate	Senate	n1	Senate	senate	0
house	house	n1	house	house	0
:	:	:	:	:	0
vnlesse	vnlesse	cs	unless	unless	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
graue	graue	j	graven	grave	0
in	in	p-acp	in	in	0
yeeres	yeeres	n2	years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
wel	wel	av	well	well	0
experienced	experienced	vvn	experienced	experience	0
in	in	p-acp	in	in	0
common	common	j	common	common	0
affaires	affaires	n2	affairs	affair	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
welth	welth	n1	wealth	wealth	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lacedemonians	Lacedemonians	njp2	Lacedæmonians	lacedaemonian	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvd	mitted	mit	0
none	none	pix	none	none	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
Ephorus	Ephorus	np1	Ephorus	Ephorus	0
amōgst	amōgst	p-acp	amongst	among	0
them	them	pno32	them	they	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
tryed	tryed	j-vvn	tried	try	0
man	man	n1	man	man	0
for	for	p-acp	for	for	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
perience	perience	n1	perience	perience	0
.	.	.	.	.	1
The	The	dt	The	the	0
Athenians	Athenians	njp2	Athenians	athenian	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
assured	assured	vvn	assured	assure	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
lerned	lerned	j	learned	learned	0
,	,	,	,	,	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
counsail	counsail	n1	counsel	counsel	0
.	.	.	.	.	1
The	The	dt	The	the	0
like	like	j	like	like	0
order	order	n1	order	order	0
also	also	av	also	also	0
was	was	vbds	was	be	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
within	within	p-acp	within	within	0
this	this	d	this	this	0
Realm	Realm	n1	Realm	realm	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
being	being	vbg	being	be	0
deriued	deriued	vvn	derived	derive	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
cheef	cheef	j-jn	chief	chief	0
¦	¦	sy	¦	¦	0
ly	ly	vvb	lie	lie	0
from	from	p-acp	from	from	0
emong	emong	p-acp	among	among	0
the	the	dt	the	the	0
Romains	Romains	njp2	Romans	roman	0
,	,	,	,	,	0
emong	emong	p-acp	among	among	0
and	and	cc	and	and	0
vnder	vnder	p-acp	under	under	0
whome	whome	ro-crq	whom	who	0
:	:	:	:	:	0
diuers	diuers	j	diverse	diverse	0
of	of	pp-f	of	of	0
tholde	tholde	vvb	tholde	tholde	0
and	and	cc	and	and	0
ancient	ancient	j	ancient	ancient	0
Kings	Kings	n2	Kings	king	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realm	Realm	n1	Realm	realm	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
ben	ben	vbn	been	be	0
bred	bred	vvn	bred	breed	0
and	and	cc	and	and	0
brought	brought	vvn	brought	bring	0
vp	vp	a-acp	up	up	0
.	.	.	.	.	1
And	And	cc	And	and	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
learning	learning	n1	learning	learning	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
learned	learned	vvn	learned	learn	0
emong	emong	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
attained	attained	vvn	attained	attain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Septer	Septer	n1	Scepter	sceptre	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
realme	realme	n1	realm	realm	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
monarches	monarches	n2	monarchs	monarch	0
and	and	cc	and	and	0
Emperours	Emperours	n2	Emperors	emperor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
good	good	j	good	good	0
Kings	Kings	n2	Kings	king	0
and	and	cc	and	and	0
Princes	Princes	n2	Princes	prince	0
(	(	(	(	(	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
finding	finding	vvg	finding	find	0
this	this	d	this	this	0
land	land	n1	land	land	0
by	by	p-acp	by	by	0
disordered	disordered	j-vvn	disordered	disorder	0
life	life	n1	life	life	0
,	,	,	,	,	0
lawles	lawles	j	lawless	lawless	0
liber	liber	fw-la	liber	libre	0
¦	¦	sy	¦	¦	0
tie	tie	n1	tie	tie	0
,	,	,	,	,	0
and	and	cc	and	and	0
lose	lose	vvi	loose	lose	0
behauior	behauior	n1	behaviour	behaviour	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
vtter	vtter	j	utter	utter	0
ruin	ruin	n1	ruin	ruin	0
,	,	,	,	,	0
decay	decay	n1	decay	decay	0
and	and	cc	and	and	0
desolation	desolation	n1	desolation	desolation	0
,	,	,	,	,	0
no	no	dx	no	no	0
reason	reason	n1	reason	reason	0
longer	longer	jc	longer	long	0
ru	ru	n2	ru	ru	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
good	good	j	good	good	0
order	order	n1	order	order	0
allowed	allowed	vvn	allowed	allow	0
,	,	,	,	,	0
then	then	av	then	then	0
as	as	c-acp	as	as	0
priuat	priuat	j	private	private	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ffections	ffections	n2	ffections	ffection	0
and	and	cc	and	and	0
selfwil	selfwil	n1	selfwil	selfwil	0
would	would	vmd	would	will	0
allow	allow	vvi	allow	allow	0
and	and	cc	and	and	0
like	like	vvi	like	like	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
after	after	c-acp	after	after	0
many	many	d	many	many	0
deuises	deuises	n2	devises	devise	0
,	,	,	,	,	0
consultations	consultations	n2	consultations	consultation	0
and	and	cc	and	and	0
attempts	attempts	n2	attempts	attempt	0
for	for	p-acp	for	for	0
redresse	redresse	n1	redress	redress	0
,	,	,	,	,	0
no	no	dx	no	no	0
way	way	n1	way	way	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
so	so	av	so	so	0
good	good	j	good	good	0
,	,	,	,	,	0
no	no	dx	no	no	0
remedie	remedie	n1	remedy	remedy	0
so	so	av	so	so	0
present	present	j	present	present	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
help	help	vvi	help	help	0
so	so	av	so	so	0
speedy	speedy	j	speedy	speedy	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
to	to	a-acp	to	to	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
rect	rect	j	rect	rect	0
and	and	cc	and	and	0
establish	establish	vvi	establish	establish	0
a	a	dt	a	a	0
Senate	Senate	n1	Senate	senate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
graue	graue	j	graven	grave	0
,	,	,	,	,	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
expert	expert	j	expert	expert	0
personages	personages	n2	personages	personage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Rea	Rea	fw-la	Rea	rea	0
∣	∣	sy	∣	∣	0
lme	lme	pns11|vbm	lme	I|be	0
,	,	,	,	,	0
called	called	vvn	called	call	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Parlement	Parlement	n1	Parliament	parliament	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	c-acp	as	as	0
Patricius	Patricius	np1	Patricius	Patricius	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
third	third	ord	third	three	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
De	De	fw-fr	De	de	0
institutione	institutione	n1	institution	institution	0
Reipub	Reipub	fw-la	Reipub	reipub	0
▪	▪	▪	▪	▪	0
saith	saith	vvz	says	say	0
.	.	.	.	.	1
The	The	dt	The	the	0
best	best	js	best	best	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
gouernmēt	gouernmēt	n1	government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
welth	welth	n1	wealth	wealth	0
:	:	:	:	:	0
procedeth	procedeth	vvz	proceedeth	proceed	0
alwais	alwais	av	always	always	0
frō	frō	p-acp	from	from	0
tholde	tholde	vvb	tholde	tholde	0
and	and	cc	and	and	0
anci	anci	fw-la	anci	anci	0
¦	¦	sy	¦	¦	0
ent	ent	n1	ent	ent	0
Senators	Senators	np1	Senators	Senators	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
reputed	reputed	vvn	reputed	repute	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
fathers	fathers	n2	father's	father	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common	common	j	common	common	0
welth	welth	n1	wealth	wealth	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	p-acp	as	as	0
fathers	fathers	n2	father's	father	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Children	Children	n2	Children	child	0
:	:	:	:	:	0
so	so	av	so	so	0
these	these	d	these	these	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
cōmon	cōmon	j	common	common	0
welth	welth	n1	wealth	wealth	0
are	are	vbr	are	be	0
moste	moste	av-ds	most	most	0
careful	careful	j	careful	careful	0
and	and	cc	and	and	0
tender	tender	j	tender	tender	0
.	.	.	.	.	1
And	And	cc	And	and	0
albeit	albeit	cs	albeit	albeit	0
the	the	dt	the	the	0
King	King	n1	King	king	0
or	or	cc	or	or	0
prince	prince	n1	prince	prince	0
be	be	vbb	be	be	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
expert	expert	j	expert	expert	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
impossible	impossible	j	impossible	impossible	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
one	one	pi	one	one	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
exact	exact	j	exact	exact	0
and	and	cc	and	and	0
perfit	perfit	j	perfect	perfect	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
Senate	Senate	n1	Senate	senate	0
of	of	pp-f	of	of	0
wise	wise	n1	wise	wise	0
,	,	,	,	,	0
graue	graue	j	graven	grave	0
,	,	,	,	,	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
expert	expert	j	expert	expert	0
men	men	n2	men	man	0
,	,	,	,	,	0
beeing	beeing	vbg	being	be	0
assembled	assembled	vvn	assembled	assemble	0
in	in	p-acp	in	in	0
councel	councel	n1	council	council	0
togither	togither	av	together	together	0
:	:	:	:	:	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
as	as	p-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
one	one	crd	one	one	0
body	body	n1	body	body	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
many	many	d	many	many	0
eyes	eyes	n2	eyes	eye	0
to	to	pc-acp	to	to	0
se	se	vvi	see	see	0
,	,	,	,	,	0
many	many	d	many	many	0
feet	feet	n2	feet	foot	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
hands	hands	n2	hands	hand	0
to	to	pc-acp	to	to	0
labour	labour	vvi	labour	labour	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
all	all	av-d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
sircum	sircum	fw-la	sircum	sircum	0
spect	spect	vvn	specked	speck	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
gouern	gouern	vvi	govern	govern	0
¦	¦	sy	¦	¦	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
commōwelth	commōwelth	n1	commonwealth	commonwealth	0
:	:	:	:	:	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
se	se	vvb	see	see	0
all	all	d	all	all	0
thīgs	thīgs	n2	things	thing	0
,	,	,	,	,	0
nothing	nothing	pix	nothing	nothing	0
is	is	vbz	is	be	0
hid	hid	vvn	hid	hide	0
or	or	cc	or	or	0
secret	secret	j-jn	secret	secret	0
,	,	,	,	,	0
nothing	nothing	pix	nothing	nothing	0
is	is	vbz	is	be	0
straunge	straunge	j	strange	strange	0
or	or	cc	or	or	0
new	new	j	new	new	0
,	,	,	,	,	0
nothing	nothing	pix	nothing	nothing	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
great	great	j	great	great	0
or	or	cc	or	or	0
weightie	weightie	j	weighty	weighty	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
whether	whether	cs	whither	whether	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
causes	causes	n2	causes	cause	0
of	of	pp-f	of	of	0
war	war	n1	war	war	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
:	:	:	:	:	0
they	they	pns32	they	they	0
wilbe	wilbe	vmb|vbi	will	will|be	0
wel	wel	av	well	well	0
aduised	aduised	vvn	advised	advise	0
,	,	,	,	,	0
and	and	cc	and	and	0
measure	measure	vvb	measure	measure	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
circumspection	circumspection	n1	circumspection	circumspection	0
and	and	cc	and	and	0
policie	policie	n1	policy	policy	0
.	.	.	.	.	1
Moyses	Moyses	np1	Moyses	Moses	0
therfore	therfore	av	therefore	therefore	0
,	,	,	,	,	0
although	although	cs	although	although	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
talked	talked	vvn	talked	talk	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
face	face	n1	face	face	0
to	to	p-acp	to	to	0
face	face	n1	face	face	0
,	,	,	,	,	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
most	most	av-ds	most	most	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
discreet	discreet	j	discreet	discreet	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
trusting	trusting	vvg	trusting	trust	0
all	all	d	all	all	0
togither	togither	av	together	together	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
wittes	wittes	n2	wits	wit	0
:	:	:	:	:	0
made	made	vvd	made	make	0
choice	choice	n1	choice	choice	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
thelders	thelders	n2	thelders	thelder	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
councel	councel	n1	council	council	0
did	did	vdd	did	do	0
or	or	cc	or	or	0
¦	¦	sy	¦	¦	0
der	der	zf	der	there	0
and	and	cc	and	and	0
direct	direct	j	direct	direct	0
the	the	dt	the	the	0
publque	publque	j	public	public	0
state	state	n1	state	state	0
&	&	cc	&	and	0
cōmon	cōmon	j	common	common	0
welth	welth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
beeing	beeing	vbg	being	be	0
councelled	councelled	vvd	counseled	counsel	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
father	father	n1	father	father	0
in	in	p-acp	in	in	0
law	law	n1	law	law	0
Iethro	Iethro	np1	Iethro	Iethro	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prouide	prouide	vvi	provide	provide	0
emong	emong	p-acp	among	among	0
all	all	d	all	all	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
strong	strong	j	strong	strong	0
,	,	,	,	,	0
couragiouse	couragiouse	j	couragiouse	couragiouse	0
and	and	cc	and	and	0
valeāt	valeāt	fw-la	valeāt	valeāt	0
men	men	n2	men	man	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
feared	feared	vvd	feared	fear	0
God	God	np1	God	God	0
,	,	,	,	,	0
dealed	dealed	vvd	dealed	deal	0
truely	truely	av-j	truly	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
hated	hated	j-vvn	hated	hate	0
couetousnes	couetousnes	n1	covetousness	covetousness	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rulers	rulers	n2	rulers	ruler	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
gouern	gouern	vvi	govern	govern	0
and	and	cc	and	and	0
iudge	iudge	vvi	judge	judge	0
them	them	pno32	them	they	0
,	,	,	,	,	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
so	so	av	so	so	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
and	and	cc	and	and	0
weightiest	weightiest	js	weightiest	weighty	0
matters	matters	n2	matters	matter	0
whiche	whiche	r-crq	which	which	0
tou	tou	pns21	tou	thou	0
∣	∣	sy	∣	∣	0
ched	ched	pns31|vmb	ched	she|will	0
God	God	uh-np	God	god	0
:	:	:	:	:	0
were	were	vbdr	were	be	0
brought	brought	vvn	brought	bring	0
before	before	p-acp	before	before	0
him	him	pno31	him	he	0
alone	alone	av-j	alone	alone	0
.	.	.	.	.	1
Wherfore	Wherfore	c-crq	Wherefore	wherefore	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
good	good	j	good	good	0
profitable	profitable	j	profitable	profitable	0
and	and	cc	and	and	0
ancient	ancient	j	ancient	ancient	0
orders	orders	n2	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Romaīs	Romaīs	njp2	Romans	romans	0
and	and	cc	and	and	0
Israelits	Israelits	np2	Israelits	israelit	0
:	:	:	:	:	0
these	these	d	these	these	0
good	good	j	good	good	0
Kings	Kings	n2	Kings	king	0
doo	doo	vdb	do	do	0
erect	erect	vvi	erect	erect	0
a	a	dt	a	a	0
Senate	Senate	n1	Senate	senate	0
or	or	cc	or	or	0
Par	Par	fw-fr	Par	par	0
∣	∣	sy	∣	∣	0
lemēt	lemēt	n1	lement	lement	0
.	.	.	.	.	1
Lawes	Lawes	ng1	Laws	law	0
are	are	vbr	are	be	0
prescribed	prescribed	vvn	prescribed	prescribe	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
same	same	d	same	same	0
shuld	shuld	vmd	should	shall	0
be	be	vbi	be	be	0
kept	kept	vvn	kept	keep	0
,	,	,	,	,	0
orders	orders	n2	order	order	0
made	made	vvd	made	make	0
what	what	r-crq	what	what	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
elected	elected	vvn	elected	elect	0
