DEre	DEre	j-jn	Dear	dear	0
naked	naked	j	naked	naked	0
,	,	,	,	,	0
vnarmed	vnarmed	j-vvn-u	unarmed	arm	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
crying	crying	vvg	crying	cry	0
the	the	dt	the	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
and	and	cc	and	and	0
neuer	neuer	av-x	never	never	0
laughing	laughing	vvg	laughing	laugh	0
til	til	c-acp	till	till	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
40.	40.	crd	40.	40.	0
dayes	dayes	n2	days	day	0
old	old	j	old	old	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Pliny	Pliny	np1	Pliny	Pliny	0
writeth	writeth	vvz	writeth	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Prologue	Prologue	n1	Prologue	prologue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
7	7	crd	7	7	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Nat.	Nat.	np1	Nat.	Nat.	0
Hist.	Hist.	np1	Hist.	Hist.	0
)	)	)	)	)	1
Is	Is	vbz	Is	be	0
man	man	n1	man	man	0
therfore	therfore	av	therefore	therefore	0
inferiour	inferiour	j-jn	inferior	inferior	0
to	to	p-acp	to	to	0
beasts	beasts	n2	beasts	beast	0
?	?	?	?	?	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
nakednes	nakednes	n1	nakedness	nakedness	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
argue	argue	vvi	argue	argue	0
his	his	po31	his	his	0
vnworthinesse	vnworthinesse	n1	unworthiness	unworthiness	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
his	his	po31	his	his	0
noblenesse	noblenesse	n1	nobleness	nobleness	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
within	within	a-acp	within	within	0
,	,	,	,	,	0
hinders	hinders	vvz	hinders	hinder	0
not	not	xx	not	not	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
without	without	p-acp	without	without	0
.	.	.	.	.	1
Hence	Hence	av	Hence	hence	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
,	,	,	,	,	0
(	(	(	(	(	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
)	)	)	)	)	0
that	that	cst	that	that	0
those	those	d	those	those	0
animals	animals	n2	animals	animal	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
arts	arts	n2	arts	art	0
naturally	naturally	av-j	naturally	natural	0
,	,	,	,	,	0
can	can	vmb	can	can	0
doe	doe	vdi	do	do	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
naturall	naturall	j	natural	natural	0
Art.	Art.	n1	Art.	art	1
But	But	p-acp	But	but	0
man	man	n1	man	man	0
wanteth	wanteth	vvz	wants	want	0
all	all	d	all	all	0
Arts	Arts	n2	Arts	art	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
proued	proued	vvn	proved	prove	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
desire	desire	n1	desire	desire	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
to	to	p-acp	to	to	0
knowledge	knowledge	n1	knowledge	knowledge	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
Arts	Arts	n2	Arts	art	0
are	are	vbr	are	be	0
desired	desired	vvn	desired	desire	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
,	,	,	,	,	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
bought	bought	vvn	bought	buy	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
;	;	;	;	;	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
praised	praised	vvn	praised	praise	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
,	,	,	,	,	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
searched	searched	vvn	searched	search	0
after	after	a-acp	after	after	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
.	.	.	.	.	1
The	The	dt	The	the	0
hindrance	hindrance	n1	hindrance	hindrance	0
is	is	vbz	is	be	0
sloath	sloath	n1	sloth	sloth	0
,	,	,	,	,	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
vnorderly	vnorderly	av-j	unorderly	unorderly	0
teaching	teaching	vvg	teaching	teach	0
,	,	,	,	,	0
and	and	cc	and	and	0
pouerty	pouerty	n1	poverty	poverty	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
naturally	naturally	av-j	naturally	natural	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Arts	Arts	n2	Arts	art	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
desire	desire	vvi	desire	desire	0
and	and	cc	and	and	0
loue	loue	vvi	love	love	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Singing	Singing	vvg	Singing	sing	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
that	that	cst	that	that	0
doth	doth	vdz	does	do	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
tise	tise	vvb	tise	tise	0
all	all	d	all	all	0
liuing	liuing	j-vvg	living	live	0
things	things	n2	things	thing	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sweetnes	sweetnes	n1	sweetness	sweetness	0
;	;	;	;	;	0
draw	draw	vvb	draw	draw	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
profit	profit	n1	profit	profit	0
;	;	;	;	;	0
and	and	cc	and	and	0
ouercome	ouercome	vvi	overcome	overcome	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
:	:	:	:	:	0
whose	whose	rg-crq	whose	who	0
parts	parts	n2	parts	part	0
(	(	(	(	(	0
thogh	thogh	cs	though	though	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
al	al	d	all	all	0
both	both	d	both	both	0
sacred	sacred	j	sacred	sacred	0
&	&	cc	&	and	0
diuine	diuine	j-jn	divine	divine	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
cal	cal	vvb	call	call	0
the	the	dt	the	the	0
Counter-point	Counter-point	n1	Counterpoint	counterpoint	0
,	,	,	,	,	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
sweet	sweet	j	sweet	sweet	0
,	,	,	,	,	0
worthy	worthy	j	worthy	worthy	0
,	,	,	,	,	0
&	&	cc	&	and	0
noble	noble	j	noble	noble	0
,	,	,	,	,	0
than	than	cs	than	than	0
al	al	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
dwelling	dwelling	j-vvg	dwelling	dwell	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
not	not	xx	not	not	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
cōtains	cōtains	vvz	contains	contain	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
al	al	d	all	all	0
the	the	dt	the	the	0
difficulties	difficulties	n2	difficulties	difficulty	0
of	of	pp-f	of	of	0
Musicke	Musicke	n1	Music	music	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
,	,	,	,	,	0
it	it	pn31	it	it	0
requires	requires	vvz	requires	require	0
a	a	dt	a	a	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
perfect	perfect	j	perfect	perfect	0
Musitian	Musitian	n1	Musician	musician	0
.	.	.	.	.	1
Wherfore	Wherfore	c-crq	Wherefore	wherefore	0
hauing	hauing	vhg	having	have	0
discussed	discussed	vvn	discussed	discuss	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
our	our	po12	our	our	0
Office	Office	n1	Office	office	0
be	be	vbi	be	be	0
fayling	fayling	vvg	failing	fail	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
last	last	ord	last	last	0
point	point	n1	point	point	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
handle	handle	vvi	handle	handle	0
the	the	dt	the	the	0
Counter-point	Counter-point	n1	Counterpoint	counterpoint	0
,	,	,	,	,	0
placing	placing	vvg	placing	place	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
last	last	ord	last	last	0
place	place	n1	place	place	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
treasury	treasury	n1	treasury	treasury	0
)	)	)	)	)	0
wherin	wherin	c-crq	wherein	wherein	0
al	al	d	all	all	0
the	the	dt	the	the	0
secrets	secrets	n2-jn	secrets	secret	0
of	of	pp-f	of	of	0
Musick	Musick	n1	Music	music	0
are	are	vbr	are	be	0
laid	laid	vvn	laid	lay	0
vp	vp	a-acp	up	up	0
:	:	:	:	:	0
not	not	xx	not	not	0
that	that	cst	that	that	0
hereby	hereby	av	hereby	hereby	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
nature	nature	n1	nature	nature	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
seruiceable	seruiceable	j	serviceable	serviceable	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
fall	fall	vvi	fallen	fall	0
to	to	p-acp	to	to	0
composition	composition	n1	composition	composition	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
all	all	d	all	all	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
iudge	iudge	vvi	judge	judge	0
whether	whether	cs	whither	whether	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
composed	composed	vvn	composed	compose	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
be	be	vbb	be	be	0
good	good	j	good	good	0
or	or	cc	or	or	0
bad	bad	j	bad	bad	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
who	who	q-crq	who	who	0
so	so	av	so	so	0
can	can	vmb	can	can	0
,	,	,	,	,	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
compose	compose	vvi	compose	compose	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
writings	writings	n2-vvg	writings	write	0
:	:	:	:	:	0
they	they	pns32	they	they	0
which	which	r-crq	which	which	0
cannot	cannot	vmbx	cannot	can	0
,	,	,	,	,	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
proceed	proceed	vvi	proceed	proceed	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
digresse	digresse	vvi	digress	digress	0
too	too	av	too	too	0
wide	wide	av-j	wide	wide	0
,	,	,	,	,	0
(	(	(	(	(	0
worthy	worthy	j	worthy	worthy	0
Sir	Sir	n1	Sir	sir	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
last	last	ord	last	last	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
collected	collected	vvn	collected	collect	0
the	the	dt	the	the	0
Rules	Rules	n2	Rules	rule	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counter-point	Counter-point	n1	Counterpoint	counterpoint	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
places	places	n2	places	place	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
common	common	j	common	common	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
bring	bring	vvb	bring	bring	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
weighed	weighed	vvn	weighed	weigh	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
your	your	po22	your	your	0
censure	censure	n1	censure	censure	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
subie	subie	n1	subie	subie	0
∣	∣	sy	∣	∣	0
cted	cted	n1	cted	cted	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
carps	carps	n2	carps	carp	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
malicious	malicious	j	malicious	malicious	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
sentence	sentence	n1	sentence	sentence	0
no	no	dx	no	no	0
man	man	n1	man	man	0
will	will	vmb	will	will	0
euer	euer	av	ever	ever	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peale	peale	n1	peal	peal	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
man	man	n1	man	man	0
either	either	av-d	either	either	0
learneder	learneder	n1	learneder	learneder	0
,	,	,	,	,	0
or	or	cc	or	or	0
subtiler	subtiler	jc	subtler	subtle	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
than	than	cs	than	than	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
hast	hast	vvb	hast	haste	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
eloquence	eloquence	n1	eloquence	eloquence	0
,	,	,	,	,	0
gentlenesse	gentlenesse	n1	gentleness	gentleness	0
,	,	,	,	,	0
quicknesse	quicknesse	n1	quickness	quickness	0
of	of	pp-f	of	of	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
kinds	kinds	n2	kinds	kind	0
of	of	pp-f	of	of	0
Musick	Musick	n1	Music	music	0
a	a	dt	a	a	0
diuine	diuine	j-jn	divine	divine	0
industry	industry	n1	industry	industry	0
,	,	,	,	,	0
and	and	cc	and	and	0
further	further	av-jc	further	further	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
other	other	j-jn	other	other	0
sciences	sciences	n2	sciences	science	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
wantest	wantest	vv2	wantest	want	0
the	the	dt	the	the	0
bodily	bodily	j	bodily	bodily	0
lamp	lamp	n1	lamp	lamp	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
mind	mind	n1	mind	mind	0
shineth	shineth	vvz	shines	shine	0
that	that	d	that	that	0
gol	gol	n1	gol	gol	0
∣	∣	sy	∣	∣	0
den	den	n1	den	den	0
light	light	n1	light	light	0
:	:	:	:	:	0
thou	thou	pns21	thou	thou	0
seest	seest	vv2	seest	see	0
nothing	nothing	pix	nothing	nothing	0
without	without	p-acp	without	without	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
within	within	p-acp	within	within	0
thee	thee	pno21	thee	thou	0
thou	thou	pns21	thou	thou	0
seest	seest	vv2	seest	see	0
al	al	d	all	all	0
things	things	n2	things	thing	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
wantest	wantest	vv2	wantest	want	0
the	the	dt	the	the	0
cleerenesse	cleerenesse	n1	clearness	clearness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
the	the	dt	the	the	0
admirable	admirable	j	admirable	admirable	0
quicknes	quicknes	n1	quickness	quickness	0
of	of	pp-f	of	of	0
wit	wit	n1	wit	wit	0
:	:	:	:	:	0
thy	thy	po21	thy	thy	0
sight	sight	n1	sighed	sight	0
is	is	vbz	is	be	0
weak	weak	j	weak	weak	0
,	,	,	,	,	0
thy	thy	po21	thy	thy	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
strong	strong	j	strong	strong	0
;	;	;	;	;	0
Wherfore	Wherfore	q-crq	Wherefore	wherefore	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
princes	princes	n2	princes	prince	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
euen	euen	av	even	even	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
(	(	(	(	(	0
like	like	j	like	like	0
Orpheus	Orpheus	np1	Orpheus	Orpheus	0
and	and	cc	and	and	0
Amphion	Amphion	np1	Amphion	Amphion	0
)	)	)	)	)	0
art	art	vb2r	art	be	0
thou	thou	pns21	thou	thou	0
loued	loued	vvn	loved	love	0
.	.	.	.	.	1
Farewell	Farewell	n1	Farewell	farewell	0
,	,	,	,	,	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
delight	delight	n1	delight	delight	0
of	of	pp-f	of	of	0
Musicke	Musicke	n1	Music	music	0
,	,	,	,	,	0
and	and	cc	and	and	0
protect	protect	vvb	protect	protect	0
thy	thy	po21	thy	thy	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
draeas	draeas	fw-la	draeas	draeas	0
from	from	p-acp	from	from	0
Zoilisses	Zoilisses	np1	Zoilisses	Zoilisses	0
and	and	cc	and	and	0
Thersitisses	Thersitisses	n2	Thersitisses	thersitiss	0
.	.	.	.	.	1
