THou	THou	pns21	THou	thou	0
and	and	cc	and	and	0
amongst	amongst	p-acp	among	among	0
those	those	d	those	those	0
revelations	revelations	n2	revelations	revelation	0
this	this	d	this	this	0
was	was	vbds	was	be	0
one	one	pi	one	one	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
common	common	j	common	common	0
Treasury	Treasury	n1	Treasury	treasury	0
of	of	pp-f	of	of	0
livelihood	livelihood	n1	livelihood	livelihood	0
to	to	p-acp	to	to	0
whole	whole	j-jn	whole	whole	0
mankind	mankind	n1	mankind	mankind	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
voice	voice	n1	voice	voice	0
within	within	p-acp	within	within	0
me	me	pno11	me	i	0
bad	bad	vvd	bade	bid	0
me	me	pno11	me	i	0
declare	declare	vvi	declare	declare	0
it	it	pn31	it	it	0
all	all	d	all	all	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
obey	obey	vvi	obey	obey	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
declared	declared	vvd	declared	declare	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
mouth	mouth	n1	mouth	mouth	0
wheresoever	wheresoever	c-crq	wheresoever	wheresoever	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
a	a	dt	a	a	0
little	little	j	little	little	0
book	book	n1	book	book	0
called	called	vvn	called	call	0
,	,	,	,	,	0
The	The	dt	The	the	0
new	new	j	new	new	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
righteous	righteous	j	righteous	righteous	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
I	I	pns11	I	i	0
declared	declared	vvd	declared	declare	0
it	it	pn31	it	it	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
nothing	nothing	pix	nothing	nothing	0
was	was	vbds	was	be	0
acted	acted	vvn	acted	act	0
,	,	,	,	,	0
and	and	cc	and	and	0
thoughts	thoughts	n2	thoughts	thought	0
run	run	vvn	run	run	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
words	words	n2	words	word	0
and	and	cc	and	and	0
writings	writings	n2-vvg	writings	write	0
were	were	vbdr	were	be	0
all	all	d	all	all	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
must	must	vmb	must	must	0
die	die	vvi	die	die	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
action	action	n1	actium	action	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
dost	dost	vd2	dost	do	0
not	not	xx	not	not	0
act	act	vvi	act	act	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
dost	dost	vd2	dost	do	0
nothing	nothing	pix	nothing	nothing	0
.	.	.	.	.	1
Within	Within	p-acp	Within	within	0
a	a	dt	a	a	0
little	little	j	little	little	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
obedient	obedient	j	obedient	obedient	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
word	word	n1	word	word	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
particular	particular	j	particular	particular	0
likewise	likewise	av	likewise	likewise	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
my	my	po11	my	my	0
spade	spade	n1	spade	spade	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
and	and	cc	and	and	0
broke	broke	vvd	broke	break	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
upon	upon	p-acp	upon	upon	0
George-hill	George-hill	n1	George-hill	george-hill	0
in	in	p-acp	in	in	0
Surrey	Surrey	np1	Surrey	Surrey	0
,	,	,	,	,	0
thereby	thereby	av	thereby	thereby	0
declaring	declaring	vvg	declaring	declare	0
freedome	freedome	n1	freedom	freedom	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Creation	Creation	n1	Creation	creation	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
free	free	j	free	free	0
from	from	p-acp	from	from	0
intanglements	intanglements	n2	entanglements	entanglement	0
of	of	pp-f	of	of	0
Lords	Lords	n2	Lords	lord	0
and	and	cc	and	and	0
Landlords	Landlords	n2	Landlords	landlord	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
become	become	vvi	become	become	0
a	a	dt	a	a	0
common	common	j	common	common	0
Treasury	Treasury	n1	Treasury	treasury	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
which	which	r-crq	which	which	0
doing	doing	vdg	doing	do	0
the	the	dt	the	the	0
Dragon	Dragon	n1	Dragon	dragon	0
presently	presently	av-j	presently	present	0
casts	casts	vvz	casts	cast	0
a	a	dt	a	a	0
flood	flood	n1	flood	flood	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
to	to	pc-acp	to	to	0
drown	drown	vvi	drown	drown	0
the	the	dt	the	the	0
manchild	manchild	n1	manchild	manchild	0
,	,	,	,	,	0
even	even	av	even	even	0
that	that	d	that	that	0
freedom	freedom	n1	freedom	freedom	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
clared	clared	vvn	clared	clare	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
old	old	j	old	old	0
Norman	Norman	jp	Norman	norman	0
Prerogative	Prerogative	n1	Prerogative	prerogative	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Mannour	Mannour	n1	Manor	manor	0
M	M	sy	M	m	0
Drake	Drake	n1	Drake	drake	0
,	,	,	,	,	0
cau	cau	vvn	caused	cause	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
arrested	arrested	vvn	arrested	arrest	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
trespasse	trespasse	n1	trespass	trespass	0
against	against	p-acp	against	against	0
him	him	pno31	him	he	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
digging	digging	vvg	digging	dig	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
barren	barren	j	barren	barren	0
Heath	Heath	n1	Heath	heath	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
unrighteous	unrighteous	j	unrighteous	unrighteous	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
of	of	pp-f	of	of	0
Kingstone	Kingstone	np1	Kingstone	Kingston	0
Court	Court	n1	Court	court	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
businesse	businesse	n1	business	business	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
declared	declared	vvn	declared	declare	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
land	land	n1	land	land	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
case	case	n1	case	case	0
that	that	cst	that	that	0
England	England	np1	England	England	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
;	;	;	;	;	0
all	all	d	all	all	0
men	men	n2	men	man	0
have	have	vhb	have	have	0
stood	stood	vvn	stood	stand	0
for	for	p-acp	for	for	0
freedom	freedom	n1	freedom	freedom	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
kept	kept	vvn	kept	keep	0
fasting	fasting	vvg	fasting	fast	0
daies	daies	n2	days	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
prayed	prayed	vvd	prayed	pray	0
in	in	p-acp	in	in	0
morning	morning	n1	morning	morning	0
exercises	exercises	n2	exercises	exercise	0
for	for	p-acp	for	for	0
freedom	freedom	n1	freedom	freedom	0
;	;	;	;	;	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
given	given	vvn	given	give	0
thanks	thanks	n2	thanks	thank	0
for	for	p-acp	for	for	0
victories	victories	n2	victories	victory	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
hopes	hopes	n2	hope's	hope	0
of	of	pp-f	of	of	0
freedome	freedome	n1	freedom	freedom	0
;	;	;	;	;	0
plentie	plentie	n1	plenty	plenty	0
of	of	pp-f	of	of	0
Petitions	Petitions	n2	Petitions	petition	0
and	and	cc	and	and	1
