GRatious	GRatious	j	Gracious	gracious	0
that	that	cst	that	that	0
hereafter	hereafter	av	hereafter	hereafter	0
HIERVSALEM	HIERVSALEM	np1	HIERVSALEM	HIERVSALEM	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
walled	walled	j-vvn	walled	wall	0
towne	towne	n1	town	town	0
and	and	cc	and	and	0
fenced	fenced	vvd	fenced	fence	0
citty	citty	n1	city	city	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
vnitie	vnitie	n1	unity	unity	0
within	within	p-acp	within	within	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
IVDGES	IVDGES	n2	IVDGES	ivdge	0
,	,	,	,	,	0
all	all	d	all	all	0
ISRAEL	ISRAEL	np1	ISRAEL	Israel	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
gathered	gathered	vvn	gathered	gather	0
together	together	av	together	together	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	crd	one	one	0
man	man	n1	man	man	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
DAN	DAN	n1	DAN	dan	0
to	to	p-acp	to	to	0
BEERSHEBA	BEERSHEBA	np1	BEERSHEBA	Beersheba	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
MISHPAH	MISHPAH	np1	MISHPAH	MISHPAH	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
guide	guide	vvb	guide	guide	0
and	and	cc	and	and	0
prosper	prosper	vvb	prosper	prosper	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
establish	establish	vvb	establish	establish	0
your	your	po22	your	your	0
house	house	n1	house	house	0
and	and	cc	and	and	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
blesse	blesse	vvb	bless	bless	0
you	you	pn22	you	you	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
SION	SION	np1	SION	Zion	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
HIERVSALEM	HIERVSALEM	np1	HIERVSALEM	HIERVSALEM	0
all	all	d	all	all	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
life	life	n1	life	life	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
your	your	po22	your	your	0
Childrens	Childrens	ng2	Children's	child	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
in	in	p-acp	in	in	0
SION	SION	np1	SION	Zion	0
.	.	.	.	.	1
