Encrease	Encrease	n1	Increase	increase	0
vvill	vvill	vmb	will	will	0
neuer	neuer	av-x	never	never	0
displease	displease	vvi	displease	displease	0
our	our	po12	our	our	0
maker	maker	n1	maker	maker	0
)	)	)	)	)	0
neither	neither	dx	neither	neither	0
vvill	vvill	n1	will	will	0
he	he	pns31	he	he	0
grudge	grudge	vvi	grudge	grudge	0
,	,	,	,	,	0
or	or	cc	or	or	0
repin	repin	n1	repin	repin	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
ioy	ioy	n1	joy	joy	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
framed	framed	vvn	framed	frame	0
certayne	certayne	j	certain	certain	0
hymns	hymns	n2	hymns	hymn	0
for	for	p-acp	for	for	0
th	th	dt	that	the	0
priuat	priuat	j	private	private	0
solace	solace	n1	solace	solace	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
take	take	vvi	take	take	0
delight	delight	n1	delight	delight	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
One	One	crd	One	one	0
portion	portion	n1	portion	portion	0
vvhereof	vvhereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
consecrated	consecrated	vvn	consecrated	consecrate	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
▪	▪	▪	▪	▪	0
Let	Let	vvb	Let	let	0
yt	yt	pn31	that	it	0
haue	haue	vhi	have	have	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
practice	practice	n1	practice	practice	0
of	of	pp-f	of	of	0
yt	yt	pn31	that	it	0
▪	▪	▪	▪	▪	0
I	I	pns11	I	i	0
expect	expect	vvb	expect	expect	0
other	other	j-jn	other	other	0
guerdon	guerdon	n1	guerdon	guerdon	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
paines	paines	n2	pains	pain	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
knovves	knovves	vvz	knows	know	0
vvith	vvith	p-acp	with	with	0
vvhat	vvhat	r-crq	what	what	0
an	an	dt	and	a	0
honest	honest	j	honest	honest	0
hart	hart	n1	heart	hart	0
I	I	pns11	I	i	0
composed	composed	vvd	composed	compose	0
this	this	d	this	this	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
&	&	cc	&	and	0
vvhat	vvhat	q-crq	what	what	0
a	a	dt	a	a	0
desire	desire	n1	desire	desire	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
framing	framing	vvg	framing	frame	0
thereof	thereof	av	thereof	thereof	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
euer	euer	av	ever	ever	0
hated	hated	vvn	hated	hate	0
epi	epi	fw-la	epi	epi	0
∣	∣	sy	∣	∣	0
curean	curean	n1	curean	curean	0
resolution	resolution	n1	resolution	resolution	0
▪	▪	▪	▪	▪	0
Let	Let	vvb	Let	let	0
vs	vs	pno12	us	we	0
eate	eate	vvi	eat	eat	0
,	,	,	,	,	0
&	&	cc	&	and	0
drinke	drinke	vvi	drink	drink	0
to	to	p-acp	to	to	0
morrovve	morrovve	n1	morrow	morrow	0
vve	vve	pns12	we	we	0
shall	shall	vmb	shall	shall	0
dye	dye	vvi	die	dye	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
euer	euer	av	ever	ever	0
loued	loued	vvn	loved	love	0
entyre	entyre	j	entire	entire	0
exhortacion	exhortacion	n1	exhortation	exhortation	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
vs	vs	pno12	us	we	0
pray	pray	vvi	pray	pray	0
,	,	,	,	,	0
&	&	cc	&	and	0
praise	praise	vvi	praise	praise	0
god	god	n1	god	god	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
mor	mor	zz	mor	mor	0
∣	∣	sy	∣	∣	0
rovve	rovve	vvb	row	row	0
vve	vve	pns12	we	we	0
shall	shall	vmb	shall	shall	0
liue	liue	vvi	live	live	0
For	For	c-acp	For	for	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
&	&	cc	&	and	0
vvhere	vvhere	c-crq	where	where	0
vve	vve	pns12	we	we	0
loue	loue	vvb	love	love	0
,	,	,	,	,	0
thee	thee	pno21	thee	thou	0
vve	vve	pns12	we	we	0
liue	liue	vvb	live	live	0
▪	▪	▪	▪	▪	0
If	If	cs	If	if	0
vve	vve	pns12	we	we	0
loue	loue	vvb	love	love	0
god	god	n1	god	god	0
,	,	,	,	,	0
vve	vve	pns12	we	we	0
shall	shall	vmb	shall	shall	0
liue	liue	vvi	live	live	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
prayers	prayers	n2	prayers	prayer	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
prayses	prayses	n2	praises	praise	0
,	,	,	,	,	0
&	&	cc	&	and	0
all	all	d	all	all	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
spirit	spirit	n1	spirit	spirit	0
.	.	.	.	.	1
O	O	sy	O	o	0
then	then	av	then	then	0
let	let	vvb	let	let	0
vs	vs	pno12	us	we	0
so	so	av	so	so	0
loue	loue	vvi	love	love	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
vve	vve	pns12	we	we	0
may	may	vmb	may	may	0
liue	liue	vvi	live	live	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
daylie	daylie	j	daily	daily	0
voices	voices	n2	voices	voice	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
hard	hard	j	hard	hard	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
our	our	po12	our	our	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
&	&	cc	&	and	0
good	good	j	good	good	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
brethren	brethren	n2	brothers	brethren	0
.	.	.	.	.	1
The	The	dt	The	the	0
god	god	n1	god	god	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
ioy	ioy	vvb	joy	joy	0
your	your	po22	your	your	0
art	art	n1	art	art	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
life	life	n1	life	life	0
,	,	,	,	,	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
death	death	n1	death	death	0
that	that	cst	that	that	0
vve	vve	pns12	we	we	0
may	may	vmb	may	may	0
all	all	d	all	all	0
meete	meete	vvi	meet	meet	0
to	to	pc-acp	to	to	0
sing	sing	vvi	sing	sing	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
quire	quire	n1	choir	choir	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
angells	angells	n2	angels	angel	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sauing	sauing	vvg	saving	save	0
mercies	mercies	n2	mercies	mercy	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
