VPon	VPon	p-acp	Upon	upon	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
(	(	(	(	(	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
vale	vale	n1	vale	vale	0
of	of	pp-f	of	of	0
teares	teares	n2	tears	tear	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Diuell	Diuell	n1	Devil	devil	0
is	is	vbz	is	be	0
come	come	vvn	come	come	0
downe	downe	a-acp	down	down	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
wrath	wrath	n1	wrath	wrath	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
short	short	j	short	short	0
time	time	n1	time	time	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
voice	voice	n1	voice	voice	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
things	things	n2	things	thing	0
affirmed	affirmed	vvn	affirmed	affirm	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
Satans	Satans	npg1	Satans	Satan	0
▪	▪	▪	▪	▪	0
first	first	ord	first	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
his	his	po31	his	his	0
casting	casting	vvg	casting	cast	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
is	is	vbz	is	be	0
ioifull	ioifull	j	joyful	joyful	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
;	;	;	;	;	0
next	next	ord	next	next	0
that	that	cst	that	that	0
his	his	po31	his	his	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
ming	ming	j	ming	ming	0
downe	downe	a-acp	down	down	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
is	is	vbz	is	be	0
wofull	wofull	j	woeful	woeful	0
vnto	vnto	p-acp	unto	unto	0
men	men	n2	men	man	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
woe	woe	n1	woe	woe	0
,	,	,	,	,	0
ioy	ioy	vvb	joy	joy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
?	?	?	?	?	1
Nothing	Nothing	pix	Nothing	nothing	0
lesse	lesse	av-dc	less	less	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Diuell	Diuell	n1	Devil	devil	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
knowen	knowen	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
euill	euill	j-jn	evil	evil	0
guest	guest	n1	guest	guest	0
where	where	c-crq	where	where	0
euer	euer	av	ever	ever	0
he	he	pns31	he	he	0
comes	comes	vvz	comes	come	0
,	,	,	,	,	0
the	the	dt	the	the	0
heauens	heauens	n2	heavens	heaven	0
doe	doe	vdb	do	do	0
reioice	reioice	vvi	rejoice	rejoice	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
departure	departure	n1	departure	departure	0
,	,	,	,	,	0
and	and	cc	and	and	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
earth	earth	n1	earth	earth	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
mourne	mourne	vvi	mourn	mourn	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
approaching	approaching	vvg	approaching	approach	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
leastwise	leastwise	av	leastwise	leastwise	0
ought	ought	vmd	ought	ought	0
to	to	p-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
no	no	xx	not	not	0
where	where	c-crq	where	where	0
welcome	welcome	j-jn	welcome	welcome	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
hell	hell	n1	hell	hell	0
;	;	;	;	;	0
and	and	cc	and	and	0
all	all	d	all	all	0
such	such	d	such	such	0
persons	persons	n2	persons	person	0
may	may	vmb	may	may	0
well	well	av	well	well	0
perceiue	perceiue	vvi	perceive	perceive	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
not	not	xx	not	not	0
heauenlie	heauenlie	j	heavenly	heavenly	0
but	but	cc-acp	but	but	0
plainly	plainly	av-j	plainly	plain	0
hellish	hellish	j	hellish	hellish	0
min	min	fw-mi	min	min	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
giue	giue	vvb	give	give	0
more	more	dc	more	more	0
kinde	kinde	n1	kind	kind	0
welcome	welcome	j-jn	welcome	welcome	0
vnto	vnto	p-acp	unto	unto	0
Satan	Satan	np1	Satan	Satan	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
cheerefull	cheerefull	j	cheerful	cheerful	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
works	works	n2	works	work	0
of	of	pp-f	of	of	0
darkenesse	darkenesse	n1	darkness	darkness	0
,	,	,	,	,	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
vnto	vnto	p-acp	unto	unto	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
whoReuel	whoReuel	vvb	whoReuel	whoreuel	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
20.	20.	crd	20.	20.	0
knockes	knockes	vvz	knocks	knock	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
doore	doore	n1	door	door	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
promising	promising	vvg	promising	promise	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
suppe	suppe	vvi	sup	sup	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
heare	heare	vvi	hear	hear	0
his	his	po31	his	his	0
voice	voice	n1	voice	voice	0
and	and	cc	and	and	0
open	open	vvi	open	open	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
what	what	q-crq	what	what	0
do	do	vdb	do	do	0
the	the	dt	the	the	0
heauens	heauens	ng1	heavens	heaven	0
gaine	gaine	n1	gain	gain	0
by	by	p-acp	by	by	0
Satans	Satans	npg1	Satans	Satan	0
casting	casting	vvg	casting	cast	0
downe	downe	a-acp	down	down	0
?	?	?	?	?	1
And	And	cc	And	and	0
how	how	q-crq	how	how	0
doth	doth	vdz	does	do	0
his	his	po31	his	his	0
descending	descending	vvg	descending	descend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
work	work	vvb	work	work	0
man	man	n1	man	man	0
such	such	d	such	such	0
wo	wo	n1	woe	woe	0
?	?	?	?	?	1
Ans.	Ans.	np1	Ans.	Ans.	0
For	For	p-acp	For	for	0
heauens	heauens	ng1	heavens	heaven	0
gain	gain	n1	gain	gain	0
,	,	,	,	,	0
Reu.	Reu.	np1	Reu.	Reu.	1
12.	12.	crd	12.	12.	0
12.	12.	crd	12.	12.	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
wel	wel	av	well	well	0
rid	rid	vvn	rid	rid	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
malitious	malitious	j	malicious	malicious	0
accuser	accuser	n1	accuser	accuser	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
brethrē	brethrē	n2	brothers	brethren	0
.	.	.	.	.	1
Who	Who	q-crq	Who	who	0
would	would	vmd	would	will	0
know	know	vvi	know	know	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
must	must	vmb	must	must	0
striue	striue	vvi	strive	strive	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
more	more	n1	more	moor	0
be	be	vbb	be	be	0
needfull	needfull	j	needful	needful	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
his	his	po31	his	his	0
information	information	n1	information	information	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
certaine	certaine	j	certain	certain	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
mans	mans	ng1	men	man	0
woe	woe	n1	woe	woe	0
by	by	p-acp	by	by	0
Satans	Satans	npg1	Satans	Satan	0
company	company	n1	company	company	0
here	here	av	here	here	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
so	so	av	so	so	0
doubts	doubts	vvz	doubts	doubt	0
heerof	heerof	av	hereof	hereof	0
,	,	,	,	,	0
may	may	vmb	may	may	0
well	well	av	well	well	0
suspect	suspect	vvi	suspect	suspect	0
himselfe	himselfe	px31	himself	himself	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
already	already	av	already	already	0
receiued	receiued	vvn	received	receive	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
deadly	deadly	j	deadly	deadly	0
hurt	hurt	n1	hurt	hurt	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
blindnesse	blindnesse	n1	blindness	blindness	0
of	of	pp-f	of	of	0
minde	minde	n1	mind	mind	0
and	and	cc	and	and	0
hardnesse	hardnesse	n1	hardness	hardness	0
of	of	pp-f	of	of	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
none	none	pix	none	none	0
saue	saue	p-acp	save	save	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
the	the	dt	the	the	0
good	good	j	good	good	0
Physitian	Physitian	n1	Physician	physician	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
theReu	theReu	np1	theReu	theReu	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
18.	18.	crd	18.	18.	0
eie-salue	eie-salue	j	eyesalve	eyesalve	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iob.	Iob.	zz	Iob.	iob.	0
2.	2.	crd	2.	2.	0
27.	27.	crd	27.	27.	0
anointing	anointing	vvg	anointing	anoint	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
can	can	vmb	can	can	0
worke	worke	vvi	work	work	0
the	the	dt	the	the	0
cure	cure	n1	cure	cure	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
wofull	wofull	j	woeful	woeful	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
flockes	flockes	n2	flocks	flock	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
heards	heards	n2	heards	herd	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
rauenous	rauenous	j	ravenous	ravenous	0
beasts	beasts	n2	beasts	beast	0
do	do	vdb	do	do	0
frequent	frequent	vvi	frequent	frequent	0
their	their	po32	their	their	0
pastures	pastures	n2	pastures	pasture	0
?	?	?	?	?	0
then	then	av	then	then	0
wo	wo	n1	woe	woe	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
Satan	Satan	np1	Satan	Satan	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
perill	perill	n1	peril	peril	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lambe	lambe	n1	lamb	lamb	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
woolfe	woolfe	n1	wolf	wolf	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kid	kid	n1	kid	kid	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
leo	leo	fw-la	leo	leo	0
∣	∣	sy	∣	∣	0
pard	pard	n1	pard	pard	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fat	fat	j	fat	fat	0
beast	beast	n1	beast	beast	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Lion	Lion	n1	Lion	lion	0
;	;	;	;	;	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sucking	sucking	j-vvg	sucking	suck	0
child	child	n1	child	child	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Aspe	Aspe	n1	Asp	asp	0
,	,	,	,	,	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
comparable	comparable	j	comparable	comparable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
olde	olde	j	old	old	0
serpent	serpent	n1	serpent	serpent	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
in	in	p-acp	in	in	0
craft	craft	n1	craft	craft	0
and	and	cc	and	and	0
cruelty	cruelty	n1	cruelty	cruelty	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
hurtfull	hurtfull	j	hurtful	hurtful	0
property	property	n1	property	property	0
goes	goes	vvz	goes	go	0
beyond	beyond	p-acp	beyond	beyond	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
O	O	sy	O	o	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
deuouring	deuouring	j-vvg	devouring	devour	0
creatures	creatures	n2	creatures	creature	0
keepe	keepe	vvb	keep	keep	0
their	their	po32	their	their	0
circuites	circuites	n2	circuits	circuit	0
and	and	cc	and	and	0
obserue	obserue	vvi	observe	observe	0
their	their	po32	their	their	0
times	times	n2	times	time	0
;	;	;	;	;	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
sometime	sometime	av	sometime	sometime	0
weary	weary	j	weary	weary	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
alwaies	alwaies	av	always	always	0
hungry	hungry	j	hungry	hungry	0
;	;	;	;	;	0
some	some	d	some	some	0
are	are	vbr	are	be	0
vnfit	vnfit	j	unfit	unfit	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
darke	darke	j	dark	dark	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
afraid	afraid	j	afraid	afraid	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
light	light	n1	light	light	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
their	their	po32	their	their	0
sillie	sillie	j	silly	silly	0
pray	pray	n1	prey	prey	0
gets	gets	vvz	gets	get	0
some	some	d	some	some	0
respite	respite	n1	respite	respite	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
Satan	Satan	np1	Satan	Satan	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
princeEphes	princeEphes	np1	princeEphes	princeEphes	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	0
12.	12.	crd	12.	12.	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
darknesse	darknesse	n1	darkness	darkness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
aduantage	aduantage	n1	advantage	advantage	0
2.	2.	crd	2.	2.	1
Cor.	Cor.	np1	Cor.	Cor.	0
11.	11.	crd	11.	11.	0
14	14	crd	14	14	0
.	.	.	.	.	0
can	can	vmb	can	can	0
transforme	transforme	vvi	transform	transform	0
himselfe	himselfe	px31	himself	himself	0
into	into	p-acp	into	into	0
an	an	dt	and	a	0
Angel	Angel	n1	Angel	angel	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
both	both	d	both	both	0
alike	alike	av-j	alike	alike	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
working	working	n-vvg	working	work	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
woe	woe	n1	woe	woe	0
:	:	:	:	:	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
euer	euer	av	ever	ever	0
greedy	greedy	j	greedy	greedy	0
,	,	,	,	,	0
and	and	cc	and	and	0
neuer	neuer	av-x	never	never	0
weary	weary	j	weary	weary	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
alwaies	alwaies	av	always	always	0
seeking	seeking	vvg	seeking	seek	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
dreame	dreame	vvb	dream	dream	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
restraint	restraint	n1	restraint	restraint	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
time	time	n1	time	time	0
or	or	cc	or	or	0
place	place	n1	place	place	0
we	we	pns12	we	we	0
deceiue	deceiue	vvb	deceive	deceive	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
aIoh	aIoh	np1	aIoh	aIoh	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	0
4.	4.	crd	4.	4.	0
murtherer	murtherer	n1	murderer	murderer	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
will	will	vmb	will	will	0
continue	continue	vvi	continue	continue	0
till	till	p-acp	till	till	0
time	time	n1	time	time	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
;	;	;	;	;	0
and	and	cc	and	and	0
heIob	heIob	np1	heIob	heIob	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
7.	7.	crd	7.	7.	0
compasseth	compasseth	vvz	compasseth	compass	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
earth	earth	n1	earth	earth	0
walking	walking	vvg	walking	walk	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
fro	fro	av	from	fro	0
,	,	,	,	,	0
euen1	euen1	n1	euen1	euen1	0
.	.	.	.	.	1
Pet.	Pet.	np1	Pet.	Pet.	0
5.	5.	crd	5.	5.	0
8.	8.	crd	8.	8.	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
roaring	roaring	j-vvg	roaring	roar	0
Lion	Lion	n1	Lion	lion	0
,	,	,	,	,	0
seeking	seeking	vvg	seeking	seek	0
whom	whom	r-crq	whom	who	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
deuoure	deuoure	vvi	devour	devour	0
.	.	.	.	.	1
With	With	p-acp	With	with	0
other	other	j-jn	other	other	0
creatures	creatures	n2	creatures	creature	0
wo	wo	n1	woe	woe	0
is	is	vbz	is	be	0
ended	ended	vvn	ended	end	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
pray	pray	vvb	pray	pray	0
is	is	vbz	is	be	0
once	once	a-acp	once	once	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
uoured	uoured	vvn	uoured	uour	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
Satans	Satans	npg1	Satans	Satan	0
pray	pray	vvb	pray	pray	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
vnlesse	vnlesse	cs	unless	unless	0
his	his	po31	his	his	0
snare	snare	n1	snare	snare	0
be	be	vbi	be	be	0
broken	broken	vvn	broken	break	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
deliuered	deliuered	vvd	delivered	deliver	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
their	their	po32	their	their	0
woe	woe	n1	woe	woe	0
continues	continues	vvz	continues	continue	0
easelesse	easelesse	j	easeless	easeless	0
,	,	,	,	,	0
endlesse	endlesse	j	endless	endless	0
and	and	cc	and	and	0
remedilesse	remedilesse	j	remediless	remediless	0
after	after	p-acp	after	after	0
naturall	naturall	j	natural	natural	0
death	death	n1	death	death	0
.	.	.	.	.	1
Indeed	Indeed	np1	Indeed	Indeed	0
the	the	dt	the	the	0
naturall	naturall	j	natural	natural	0
man	man	n1	man	man	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
perceiue	perceiue	vvi	perceive	perceive	0
that	that	d	that	that	0
working	working	n-vvg	working	work	0
of	of	pp-f	of	of	0
Satan	Satan	np1	Satan	Satan	0
which	which	r-crq	which	which	0
doth	doth	vdz	does	do	0
procure	procure	vvi	procure	procure	0
his	his	po31	his	his	0
woe	woe	n1	woe	woe	0
;	;	;	;	;	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
seene	seene	vvn	seen	see	0
the	the	dt	the	the	0
plaiers	plaiers	n2	players	player	0
and	and	cc	and	and	0
the	the	dt	the	the	0
painters	painters	ng1	painters	painter	0
Diuels	Diuels	n2	Devils	devil	0
,	,	,	,	,	0
some	some	d	some	some	0
blacke	blacke	j-jn	black	black	0
horned	horned	j-vvn	horned	horn	0
monster	monster	n1	monster	monster	0
with	with	p-acp	with	with	0
broad	broad	j	broad	broad	0
eies	eies	n2	eyes	eye	0
,	,	,	,	,	0
crooked	crooked	j	crooked	crooked	0
clawes	clawes	n2	claws	claw	0
or	or	cc	or	or	0
clouen	clouen	vvn	cloven	cleave	0
feet	feet	n2	feet	foot	0
;	;	;	;	;	0
and	and	cc	and	and	0
till	till	c-acp	till	till	0
some	some	d	some	some	0
such	such	d	such	such	0
thing	thing	n1	thing	thing	0
appeare	appeare	vvi	appear	appear	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
neuer	neuer	av-x	never	never	0
feareth	feareth	vvz	fears	fear	0
hurt	hurt	n1	hurt	hurt	0
by	by	p-acp	by	by	0
Satan	Satan	np1	Satan	Satan	0
:	:	:	:	:	0
little	little	av-j	little	little	0
doth	doth	vdz	does	do	0
he	he	pns31	he	he	0
thinke	thinke	vvi	think	think	0
that	that	d	that	that	0
ignorance	ignorance	n1	ignorance	ignorance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
scriptures	scriptures	n2	scriptures	scripture	0
,	,	,	,	,	0
neglect	neglect	n1	neglect	neglect	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
profaning	profaning	vvg	profaning	profane	0
Gods	Gods	npg1	Gods	God	0
sabbaths	sabbaths	n2	sabbaths	sabbath	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
greedy	greedy	j	greedy	greedy	0
affecting	affecting	vvg	affecting	affect	0
the	the	dt	the	the	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
pompe	pompe	n1	pomp	pomp	0
,	,	,	,	,	0
and	and	cc	and	and	0
pleasures	pleasures	n2	pleasures	pleasure	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
doe	doe	vdb	do	do	0
giue	giue	vvi	give	give	0
aduantage	aduantage	n1	advantage	advantage	0
vnto	vnto	p-acp	unto	unto	0
Satan	Satan	np1	Satan	Satan	0
against	against	p-acp	against	against	0
his	his	po31	his	his	0
soule	soule	n1	soul	soul	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
while	while	cs	while	while	0
the	the	dt	the	the	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
