Deare	Deare	n1	Dear	deer	0
and	and	cc	and	and	0
grace	grace	n1	grace	grace	0
that	that	cst	that	that	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
so	so	av	so	so	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
mutual	mutual	j	mutual	mutual	0
comfort	comfort	n1	comfort	comfort	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
me	me	pno11	me	i	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
do	do	vdi	do	do	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
or	or	cc	or	or	0
say	say	vvi	say	say	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self,2	self,2	n1	self,2	self,2	0
.	.	.	.	.	1
Cor.	Cor.	np1	Cor.	Cor.	0
3.5	3.5	crd	3.5	3.5	0
but	but	p-acp	but	but	0
my	my	po11	my	my	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
no	no	dx	no	no	0
other	other	n-jn	other	other	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
through	through	p-acp	through	through	0
Christ	Christ	np1	Christ	Christ	0
who	who	r-crq	who	who	0
strengthens	strengthens	vvz	strengthens	strengthen	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Phil.	Phil.	np1	Phil.	Phil.	0
4.13	4.13	crd	4.13	4.13	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
rect	rect	n1	rect	rect	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
queath	queath	vvb	queath	queath	0
these	these	d	these	these	0
insuing	insuing	j-vvg	ensuing	ensue	0
Discourses	Discourses	n2	Discourses	discourse	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
Ear-witnesses	Ear-witnesses	n2	Ear-witnesses	ear-witness	0
unto	unto	p-acp	unto	unto	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
door	door	n1	door	door	0
of	of	pp-f	of	of	0
utterance	utterance	n1	utterance	utterance	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Je	Je	fw-fr	Je	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
papers	papers	n2	papers	paper	0
or	or	cc	or	or	0
table-books	table-books	n2	table-books	table-book	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fleshly	fleshly	j	fleshly	fleshly	0
Tables	Tables	n2	Tables	table	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Hearts	Hearts	n2	Hearts	heart	0
;	;	;	;	;	0
2	2	crd	2	2	0
Cor.	Cor.	np1	Cor.	Cor.	1
3.3	3.3	crd	3.3	3.3	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
finger	finger	n1	finger	finger	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	np1	And	And	0
being	being	vbg	being	be	0
requested	requested	vvn	requested	request	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
publick	publick	j	public	public	0
;	;	;	;	;	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
led	led	vvd	led	lead	0
me	me	pno11	me	i	0
unto	unto	p-acp	unto	unto	0
a	a	dt	a	a	0
willingnesse	willingnesse	n1	willingness	willingness	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
these	these	d	these	these	0
Reasons	Reasons	n2	Reasons	reason	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
now	now	av	now	now	0
declare	declare	vvi	declare	declare	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
That	That	cst	That	that	0
you	you	pn22	you	you	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
God	God	np1	God	God	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
mea	mea	n1	meam	measure	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
endued	endued	vvn	endued	endue	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
discer	discer	n1	discer	discer	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
the	the	dt	the	the	0
voice	voice	n1	voice	voice	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
the	the	dt	the	the	0
voice	voice	n1	voice	voice	0
of	of	pp-f	of	of	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
Joh.	Joh.	np1	Joh.	Joh.	1
10.3	10.3	crd	10.3	10.3	0
,	,	,	,	,	0
4.5	4.5	crd	4.5	4.5	0
.	.	.	.	.	0
may	may	vmb	may	may	0
judge	judge	vvi	judge	judge	0
and	and	cc	and	and	0
beare	beare	vvi	bear	bear	0
witness	witness	n1	witness	witness	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
princi	princi	fw-la	princi	princi	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
these	these	d	these	these	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
they	they	pns32	they	they	0
proceed	proceed	vvb	proceed	proceed	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
wisdom	wisdom	n1	wisdom	wisdom	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bove	bove	p-acp	above	above	0
,	,	,	,	,	0
Jam.	Jam.	np1	Jam.	Jam.	1
3.15.17	3.15.17	crd	3.15.17	3.15.17	0
.	.	.	.	.	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
first	first	ord	first	first	0
pure	pure	j	pure	pure	0
,	,	,	,	,	0
then	then	av	then	then	0
peaceable	peaceable	j	peaceable	peaceable	0
;	;	;	;	;	0
or	or	cc	or	or	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
beneath	beneath	a-acp	beneath	beneath	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
earthly	earthly	j	earthly	earthly	0
,	,	,	,	,	0
sensual	sensual	j	sensual	sensual	0
,	,	,	,	,	0
and	and	cc	and	and	0
devilish	devilish	j	devilish	devilish	0
;	;	;	;	;	0
Mat.	Mat.	np1	Mat.	Mat	1
11.19	11.19	crd	11.19	11.19	0
for	for	p-acp	for	for	0
wise	wise	j	wise	wise	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
is	is	vbz	is	be	0
only	only	av-j	only	only	0
justified	justified	vvn	justified	justify	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
glorie	glorie	n1	glory	glory	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
that	that	d	that	that	0
quickning	quickning	j-vvg	quickening	quicken	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
Col.	Col.	np1	Col.	Col.	1
1.27	1.27	crd	1.27	1.27	0
.	.	.	.	.	0
or	or	cc	or	or	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
ritual	ritual	j	ritual	ritual	0
man	man	n1	man	man	0
that	that	cst	that	that	0
judgeth	judgeth	vvz	judgeth	judge	0
all	all	d	all	all	0
things,1	things,1	n1	things,1	things,1	0
Cor.	Cor.	np1	Cor.	Cor.	1
2.15	2.15	crd	2.15	2.15	0
.	.	.	.	.	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
himself	himself	px31	himself	himself	0
is	is	vbz	is	be	0
judged	judged	vvn	judged	judge	0
of	of	pp-f	of	of	0
none	none	pix	none	none	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
That	That	cst	That	that	0
those	those	d	those	those	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
alienated	alienated	vvn	alienated	alienate	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
Eph.	Eph.	np1	Eph.	Eph.	1
4.18	4.18	crd	4.18	4.18	0
.	.	.	.	.	0
through	through	p-acp	through	through	0
that	that	d	that	that	0
ignorance	ignorance	n1	ignorance	ignorance	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
The	The	dt	The	the	0
JEW	JEW	np1	JEW	Jew	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
My	My	po11	My	my	0
∣	∣	sy	∣	∣	0
sterie	sterie	n1	sterie	sterie	0
,	,	,	,	,	0
that	that	cst	that	that	0
alwaies	alwaies	av	always	always	0
resists	resists	vvz	resists	resist	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
their	their	po32	their	their	0
Fathers	Fathers	n2	Father's	father	0
did	did	vdd	did	do	0
so	so	av	so	so	0
do	do	vdb	do	do	0
they	they	pns32	they	they	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
8.54	8.54	crd	8.54	8.54	0
,	,	,	,	,	0
55	55	crd	55	55	0
,	,	,	,	,	0
56	56	crd	56	56	0
,	,	,	,	,	0
57.	57.	crd	57.	57	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
gnash	gnash	vvi	gnash	gnash	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
teeth	teeth	n2	teeth	tooth	0
,	,	,	,	,	0
cry	cry	vvb	cry	cry	0
out	out	av	out	out	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
loud	loud	j	loud	loud	0
voice	voice	n1	voice	voice	0
,	,	,	,	,	0
stop	stop	vvb	stop	stop	0
their	their	po32	their	their	0
ears	ears	n2	ears	ear	0
,	,	,	,	,	0
run	run	vvn	run	run	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
accord	accord	n1	accord	accord	0
,	,	,	,	,	0
cast	cast	vvd	cast	cast	0
them	them	pno32	them	they	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
stone	stone	n1	stone	stone	0
them	them	pno32	them	they	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
do	do	vdb	do	do	0
those	those	d	those	those	0
holy	holy	j	holy	holy	0
ones	ones	pi2	ones	one	0
of	of	pp-f	of	of	0
God	God	n1	God	god	0
look	look	vvb	look	look	0
up	up	a-acp	up	up	0
steadfastly	steadfastly	av-j	steadfastly	steadfast	0
into	into	p-acp	into	into	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
behold	behold	vvb	behold	behold	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Heavens	Heavens	n2	Heavens	heaven	0
opened	opened	vvd	opened	open	0
,	,	,	,	,	0
and	and	cc	and	and	0
Jesus	Jesus	np1	Jesus	Jesus	0
standing	standing	vvg	standing	stand	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
freely	freely	av-j	freely	free	0
cry	cry	vvi	cry	cry	0
aloud	aloud	av	aloud	aloud	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
lay	lay	vvi	lay	lay	0
this	this	d	this	this	0
sin	sin	n1	since	sin	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
charge	charge	n1	charge	charge	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
That	That	cst	That	that	0
those	those	d	those	those	0
poor	poor	j	poor	poor	0
creatures	creatures	n2	creatures	creature	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
wise	wise	j	wise	wise	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
think	think	vvb	think	think	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
someting	someting	pi	something	something	0
,	,	,	,	,	0
Pro.	Pro.	np1	Pro.	Pro.	1
3.7	3.7	crd	3.7	3.7	0
.	.	.	.	.	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
nothing	nothing	pix	nothing	nothing	0
as	as	p-acp	as	as	0
they	they	pns32	they	they	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
;	;	;	;	;	0
may	may	vmb	may	may	0
behold	behold	vvi	behold	behold	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
stone	stone	n1	stone	stone	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
rejected	rejected	vvn	rejected	reject	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
at	at	p-acp	at	at	0
naught	naught	pix	nought	nought	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
think	think	vvb	think	think	0
,	,	,	,	,	0
and	and	cc	and	and	0
call	call	vvi	call	call	0
themselves	themselves	px32	themselves	themselves	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ster-builders	ster-builders	n2	ster-builders	ster-builder	0
,	,	,	,	,	0
and	and	cc	and	and	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
also	also	av	also	also	0
so	so	av	so	so	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
21.42	21.42	crd	21.42	21.42	0
is	is	vbz	is	be	0
becom'd	becom'd	vvn	becomed	become	0
the	the	dt	the	the	0
head	head	n1	head	head	0
stone	stone	n1	stone	stone	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
corner	corner	n1	corner	corner	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
doing	doing	vdg	doing	do	0
,	,	,	,	,	0
though	though	cs	though	though	0
wonderful	wonderful	j	wondered	wonderful	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	1
That	That	cst	That	that	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
spoken	spoken	vvn	spoken	speak	0
evil	evil	j-jn	evil	evil	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Truths	Truths	n2	Truths	truth	0
,	,	,	,	,	0
accounting	accounting	vvg	accounting	account	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
blaspe	blaspe	vvi	blaspe	blaspe	0
∣	∣	sy	∣	∣	0
mous	mous	n1	mous	mous	0
,	,	,	,	,	0
erroneous	erroneous	j	erroneous	erroneous	0
,	,	,	,	,	0
and	and	cc	and	and	0
heretical	heretical	j	heretical	heretical	0
,	,	,	,	,	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
way	way	n1	way	way	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
Heresie	Heresie	n1	Heresy	heresy	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
24.14	24.14	crd	24.14	24.14	0
I	I	pns11	I	i	0
worship	worship	vvb	worship	worship	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Fathers	Fathers	n2	Father's	father	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
Discour	Discour	n1	Discour	discour	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
that	that	cst	that	that	0
the	the	dt	the	the	0
wisdom	wisdom	n1	wisdom	wisdom	0
,	,	,	,	,	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
or	or	cc	or	or	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
can	can	vmb	can	can	0
overthrow	overthrow	vvi	overthrow	overthrow	0
,	,	,	,	,	0
then	then	cs	then	than	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
15.13	15.13	crd	15.13	15.13	0
.	.	.	.	.	0
every	every	d	every	every	0
plant	plant	n1	plant	plant	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Father	Father	n1	Father	father	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
planted	planted	vvn	planted	plant	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
rooted	rooted	vvn	rooted	root	0
out	out	av	out	out	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
must	must	vmb	must	must	0
stand	stand	vvi	stand	stand	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
wisdom	wisdom	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Serpent	Serpent	n1	Serpent	serpent	0
hath	hath	vhz	hath	have	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
against	against	p-acp	against	against	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
herein	herein	av	herein	herein	0
conteined	conteined	vvn	contained	contain	0
,	,	,	,	,	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
forth	forth	av	forth	forth	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
and	and	cc	and	and	0
know	know	vvi	know	know	0
that	that	d	that	that	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	av-d	all	all	0
his	his	png31	his	he	0
,	,	,	,	,	0
will	will	n1	will	will	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
fend	fend	vvb	fend	fend	0
his	his	po31	his	his	0
own	own	d	own	own	0
truth	truth	n1	truth	truth	0
