Right-noble	Right-noble	j	Right-noble	right-noble	0
any	any	d	any	any	0
private	private	j	private	private	0
or	or	cc	or	or	0
particular	particular	j	particular	particular	0
service	service	n1	service	service	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
rendred	rendred	vvn	rendered	render	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
single	single	j	single	single	0
person	person	n1	person	person	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
onely	onely	av-j	only	only	0
say	say	vvi	say	say	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
omitted	omitted	vvn	omitted	omit	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
instrumental	instrumental	j	instrumental	instrumental	0
to	to	pc-acp	to	to	0
promote	promote	vvi	promote	promote	0
that	that	d	that	that	0
service	service	n1	service	service	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
boldly	boldly	av-j	boldly	bold	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
Wars	Wars	n2	Wars	war	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
or	or	cc	or	or	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
'twas	'twas	pn31|vbds	'twas	it|be	0
never	never	av-x	never	never	0
heard	heard	vvn	herd	hear	0
or	or	cc	or	or	0
seen	seen	vvn	seen	see	0
that	that	d	that	that	0
ever	ever	av	ever	ever	0
such	such	d	such	such	0
vast	vast	j	vast	vast	0
charges	charges	n2	charges	charge	0
were	were	vbdr	were	be	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
short	short	j	short	short	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
expended	expended	vvd	expended	expend	0
on	on	a-acp	on	on	0
so	so	av	so	so	0
few	few	d	few	few	0
people	people	n1	people	people	0
:	:	:	:	:	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
Lands	Lands	n2	Lands	land	0
were	were	vbdr	were	be	0
vacant	vacant	j	vacant	vacant	0
or	or	cc	or	or	0
without	without	p-acp	without	without	0
Proprietors	Proprietors	n2	Proprietors	proprietor	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
divided	divided	vvn	divided	divide	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
ju	ju	n1	ju	ju	0
∣	∣	sy	∣	∣	0
stice	stice	n1	stice	stice	0
and	and	cc	and	and	0
equality	equality	n1	equality	equality	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
able	able	j	able	able	0
;	;	;	;	;	0
with	with	p-acp	with	with	0
consideration	consideration	n1	consideration	consideration	0
both	both	d	both	both	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
man's	man's	ng1	man's	man	0
merit	merit	n1	merit	merit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
and	and	cc	and	and	0
standard	standard	n1	standard	standard	0
upon	upon	p-acp	upon	upon	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
proceeded	proceeded	vvn	proceeded	proceed	0
;	;	;	;	;	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
ever	ever	av	ever	ever	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
rule	rule	n1	rule	rule	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
stay	stay	vvb	stay	stay	0
in	in	p-acp	in	in	0
Peru	Peru	np1	Peru	Peru	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
divide	divide	vvi	divide	divide	0
and	and	cc	and	and	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
pense	pense	fw-fr	pense	pense	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
onely	onely	j	only	only	0
his	his	po31	his	his	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
loyal	loyal	j	loyal	loyal	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
services	services	n2	services	service	0
and	and	cc	and	and	0
loyalty	loyalty	n1	loyalty	loyalty	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
,	,	,	,	,	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
remains	remains	vvz	remains	remain	0
undisposed	undisposed	j	undisposed	undisposed	0
with	with	p-acp	with	with	0
exclusion	exclusion	n1	exclusion	exclusion	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
fully	fully	av-j	fully	full	0
satisfied	satisfied	vvn	satisfied	satisfy	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
sole	sole	j	sole	sole	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
rich	rich	j	rich	rich	0
Countrey	Countrey	n1	Country	country	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
endeavour	endeavour	vvi	endeavour	endeavour	0
to	to	pc-acp	to	to	0
banish	banish	vvi	banish	banish	0
those	those	d	those	those	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
actually	actually	av-j	actually	actual	0
in	in	p-acp	in	in	0
rebellion	rebellion	n1	rebellion	rebellion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
also	also	av	also	also	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
stood	stood	vvn	stood	stand	0
Neuters	Neuters	n2	Neuters	neuter	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
acted	acted	vvn	acted	act	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	d	that	that	0
untill	untill	c-acp	until	until	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
fully	fully	av-j	fully	full	0
repaired	repaired	vvn	repaired	repair	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
easie	easie	j	easy	easy	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
fortunes	fortunes	n2	fortune's	fortune	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
suffer	suffer	vvi	suffer	suffer	0
any	any	d	any	any	0
new	new	j	new	new	0
Guests	Guests	n2	Guests	guest	0
either	either	av-d	either	either	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Spain	Spain	np1	Spain	Spain	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Continent	Continent	n1	Continent	continent	0
,	,	,	,	,	0
or	or	cc	or	or	0
from	from	p-acp	from	from	0
Nicaragua	Nicaragua	np1	Nicaragua	Nicaragua	0
,	,	,	,	,	0
Guatimala	Guatimala	np1	Guatimala	Guatimala	0
or	or	cc	or	or	0
New-spain	New-spain	np1	New-spain	New-spain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
possess	possess	vvi	possess	possess	0
any	any	d	any	any	0
part	part	n1	part	part	0
or	or	cc	or	or	0
share	share	vvi	share	share	0
thereof	thereof	av	thereof	thereof	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
prejudice	prejudice	n1	prejudice	prejudice	0
or	or	cc	or	or	0
disadvantage	disadvantage	n1	disadvantage	disadvantage	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
that	that	cst	that	that	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
is	is	vbz	is	be	0
true	true	j	true	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
more	more	av-dc	more	more	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
service	service	n1	service	service	0
and	and	cc	and	and	0
advantage	advantage	n1	advantage	advantage	0
,	,	,	,	,	0
than	than	cs	than	than	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
already	already	av	already	already	0
done	done	vdn	done	do	0
,	,	,	,	,	0
I	I	pns11	I	i	0
earnestly	earnestly	av-j	earnestly	earnest	0
entreat	entreat	vvb	entreat	entreat	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
himself	himself	px31	himself	himself	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
real	real	j	real	real	0
endeavours	endeavours	n2	endeavours	endeavour	0
and	and	cc	and	and	0
good-will	good-will	n1	goodwill	goodwill	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
person	person	n1	person	person	0
:	:	:	:	:	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
consideration	consideration	n1	consideration	consideration	0
let	let	vvb	let	let	0
every	every	d	every	every	0
one	one	crd	one	one	0
satisfie	satisfie	vvi	satisfy	satisfy	0
himself	himself	px31	himself	himself	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
lot	lot	n1	lot	lot	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
not	not	xx	not	not	0
so	so	av	so	so	0
large	large	j	large	large	0
perhaps	perhaps	av	perhaps	perhaps	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
expected	expected	vvd	expected	expect	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
division	division	n1	division	division	0
and	and	cc	and	and	0
thing	thing	n1	thing	thing	0
would	would	vmd	would	will	0
bear	bear	vvi	bear	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
less	less	av-dc	less	less	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Distributor	Distributor	n1	Distributor	distributor	0
desired	desired	vvd	desired	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
increase	increase	vvi	increase	increase	0
when	when	c-crq	when	when	0
enabled	enabled	vvd	enabled	enable	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
fortunate	fortunate	j	fortunate	fortunate	0
opportunity	opportunity	n1	opportunity	opportunity	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
after	after	p-acp	after	after	0
all	all	d	all	all	0
my	my	po11	my	my	0
travels	travels	n2	travels	travel	0
and	and	cc	and	and	0
labours	labours	vvz	labours	labour	0
both	both	d	both	both	0
by	by	p-acp	by	by	0
Sea	Sea	n1	Sea	sea	0
and	and	cc	and	and	0
Land	Land	n1	Land	land	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sustained	sustained	vvn	sustained	sustain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
last	last	ord	last	last	0
period	period	n1	perjod	period	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
life	life	n1	life	life	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pretend	pretend	vvb	pretend	pretend	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
reward	reward	n1	reward	reward	0
than	than	cs	than	than	0
the	the	dt	the	the	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
of	of	pp-f	of	of	0
having	having	vhg	having	have	0
acted	acted	vvn	acted	act	0
according	according	p-acp	according	according	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
Talent	Talent	n1	Talon	talon	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
discharged	discharged	vvn	discharged	discharge	0
my	my	po11	my	my	0
conscience	conscience	n1	conscience	conscience	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
King	King	n1	King	king	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
faithfull	faithfull	j	faithful	faithful	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
as	as	c-acp	as	as	0
became	became	vvd	became	become	0
a	a	dt	a	a	0
good	good	j	good	good	0
neighbour	neighbour	n1	neighbour	neighbour	0
and	and	cc	and	and	0
a	a	dt	a	a	0
true	true	j	true	true	0
servant	servant	n1	servant	servant	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
deed	deed	n1	deed	deed	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
take	take	vvb	take	take	0
not	not	xx	not	not	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
understand	understand	vvi	understand	understand	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
you	you	pn22	you	you	0
ill	ill	av-jn	ill	ill	0
requite	requite	vvi	requite	requite	0
the	the	dt	the	the	0
love	love	n1	love	love	0
and	and	cc	and	and	0
affection	affection	n1	affection	affection	0
I	I	pns11	I	i	0
bear	bear	vvb	bear	bear	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
care	care	n1	care	care	0
and	and	cc	and	and	0
labours	labours	n2	labours	labour	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sustained	sustained	vvn	sustained	sustain	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
interest	interest	n1	interest	interest	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
part	part	n1	part	part	0
there	there	a-acp	there	there	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
no	no	dx	no	no	0
failure	failure	n1	failure	failure	0
or	or	cc	or	or	0
omission	omission	n1	omission	omission	0
to	to	pc-acp	to	to	0
advance	advance	vvi	advance	advance	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
settlement	settlement	n1	settlement	settlement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
Judicature	Judicature	n1	Judicature	judicature	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Affairs	Affairs	n2	Affairs	affair	0
of	of	pp-f	of	of	0
Lima	Lima	np1	Lima	Lima	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
ne	ne	fw-la	ne	ne	0
∣	∣	sy	∣	∣	0
cessary	cessary	j-jn	cessary	cessary	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
present	present	j	present	present	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
desired	desired	vvn	desired	desire	0
the	the	dt	the	the	0
most	most	ds	most	most	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Arch-bishop	Arch-bishop	n1	Archbishop	archbishop	0
to	to	pc-acp	to	to	0
supply	supply	vvi	supply	supply	0
my	my	po11	my	my	0
presence	presence	n1	presence	presence	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
name	name	n1	name	name	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
doe	doe	vdi	do	do	0
at	at	p-acp	at	at	0
present	present	vvi	present	present	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
future	future	j-jn	future	future	0
.	.	.	.	.	1
And	And	cc	And	and	0
having	having	vhg	having	have	0
not	not	xx	not	not	0
farther	farther	jc	farther	far	0
to	to	pc-acp	to	to	0
add	add	vvi	add	add	0
;	;	;	;	;	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
live	live	vvi	live	live	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
you	you	pn22	you	you	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
prosperity	prosperity	n1	prosperity	prosperity	0
and	and	cc	and	and	0
plenty	plenty	n1	plenty	plenty	0
,	,	,	,	,	0
and	and	cc	and	and	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
ployed	ployed	vvn	ployed	ploy	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
service	service	n1	service	service	0
as	as	c-acp	as	as	0
fully	fully	av-j	fully	full	0
and	and	cc	and	and	0
as	as	a-acp	as	as	0
happily	happily	av-j	happily	happy	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
desire	desire	vvb	desire	desire	0
,	,	,	,	,	0
Given	Given	vvn	Given	give	0
at	at	p-acp	at	at	0
Guaynarima	Guaynarima	np1	Guaynarima	Guaynarima	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
18th	18th	ord	18th	18th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
1548.	1548.	crd	1548.	1548.	1
Subscribed	Subscribed	vvn	Subscribed	subscribe	0
,	,	,	,	,	0
Besides	Besides	p-acp	Beside	beside	0
this	this	d	this	this	0
Letter	Letter	n1	Letter	letter	0
and	and	cc	and	and	0
Instructions	Instructions	n2	Instructions	instruction	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
,	,	,	,	,	0
he	he	pns31	he	he	0
gave	gave	vvd	gave	give	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
charge	charge	n1	charge	charge	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
Provincial	Provincial	j-jn	Provincial	provincial	0
,	,	,	,	,	0
Frier	Frier	n1	Friar	friar	0
Thomas	Thomas	np1	Thomas	Thomas	0
de	de	fw-fr	de	de	0
San	San	np1	San	San	0
Martin	Martin	np1	Martin	Martin	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
Sermon	Sermon	n1	Sermon	sermon	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Publication	Publication	n1	Publication	publication	0
,	,	,	,	,	0
and	and	cc	and	and	0
therein	therein	av	therein	therein	0
exhort	exhort	vvb	exhort	exhort	0
the	the	dt	the	the	0
Pretenders	Pretenders	n2	Pretenders	pretender	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
contented	contented	vvn	contented	content	0
every	every	d	every	every	0
man	man	n1	man	man	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
portion	portion	n1	portion	portion	0
allotted	allotted	vvn	allotted	allot	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
deal	deal	vvi	deal	deal	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
private	private	j	private	private	0
,	,	,	,	,	0
and	and	cc	and	and	0
persuade	persuade	vvi	persuade	persuade	0
them	them	pno32	them	they	0
