Honour'd	Honour'd	j-vvn	Honoured	honour	0
beauties	beauties	n2	beauty's	beauty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Vegeta	Vegeta	np1	Vegeta	Vegeta	0
∣	∣	sy	∣	∣	0
bles	bles	n1	bles	bles	0
,	,	,	,	,	0
that	that	cst	that	that	0
do	do	vdb	do	do	0
adorn	adorn	vvi	adorn	adorn	0
that	that	d	that	that	0
place	place	n1	place	place	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
high	high	j	high	high	0
∣	∣	sy	∣	∣	0
est	est	zz	est	est	0
perfection	perfection	n1	perfection	perfection	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
presently	presently	av-j	presently	present	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
being	being	vbg	being	be	0
cast	cast	vvn	cast	cast	0
into	into	p-acp	into	into	0
Prison	Prison	n1	Prison	prison	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
deprived	deprived	vvn	deprived	deprive	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
and	and	cc	and	and	0
lonelinesse	lonelinesse	n1	loneliness	loneliness	0
,	,	,	,	,	0
two	two	crd	two	two	0
main	main	j	main	main	0
helpers	helpers	n2	helpers	helper	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Art	Art	n1	Art	art	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
being	being	vbg	being	be	0
disabled	disabled	vvn	disabled	disable	0
to	to	p-acp	to	to	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
cern	cern	n1	cern	cern	0
or	or	cc	or	or	0
judge	judge	n1	judge	judge	0
of	of	pp-f	of	of	0
Colours	Colours	n2	Colours	colour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
compelled	compelled	vvn	compelled	compel	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
my	my	po11	my	my	0
designes	designes	n2	designs	design	0
in	in	p-acp	in	in	0
Black	Black	j-jn	Black	black	0
and	and	cc	and	and	0
White	White	j-jn	White	white	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
now	now	av	now	now	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
finde	finde	vvi	find	find	0
expo	expo	n1	expo	expo	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
view	view	n1	view	view	0
,	,	,	,	,	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
wild	wild	j	wild	wild	0
Grotesco	Grotesco	np1	Grotesco	Grotesco	0
,	,	,	,	,	0
or	or	cc	or	or	0
loose	loose	vvi	lose	loose	0
extravagant	extravagant	j	extravagant	extravagant	0
Drolorie	Drolorie	n1	Drolorie	drolorie	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
a	a	dt	a	a	0
Regular	Regular	j	Regular	regular	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
Story	Story	n1	Story	story	0
or	or	cc	or	or	0
Landscape	Landscape	n1	Landscape	landscape	0
.	.	.	.	.	1
Rough	Rough	j	Rough	rough	0
drawn	drawn	vvn	drawn	draw	0
,	,	,	,	,	0
and	and	cc	and	and	0
unproportionably	unproportionably	av-j	unproportionably	unproportionable	0
stell'd	stell'd	j	stelled	stelled	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
here	here	av	here	here	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Drop	Drop	n1	Drop	drop	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ocean	Ocean	n1	Ocean	ocean	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
Mite	Mite	n1	Mite	mite	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
treasury	treasury	n1	treasury	treasury	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Know	Know	vvb	Know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
commands	commands	n2	commands	command	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
powerfull	powerfull	j	powerful	powerful	0
operation	operation	n1	operation	operation	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
do	do	vdi	do	do	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
then	then	cs	then	than	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
an	an	dt	and	a	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
howweak	howweak	j	howweak	howweak	0
and	and	cc	and	and	0
unperfect	unperfect	j-u	unperfect	perfect	0
soever	soever	av	soever	soever	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
begging	begging	vvg	begging	beg	0
pardon	pardon	n1	pardon	pardon	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
faults	faults	n2	faults	fault	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Language	Language	n1	Language	language	0
,	,	,	,	,	0
and	and	cc	and	and	0
ill	ill	j-jn	ill	ill	0
contrivance	contrivance	n1	contrivance	contrivance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leave	leave	n1	leave	leave	0
,	,	,	,	,	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
Honoured	Honoured	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
Upper	Upper	j	Upper	upper	0
Bench	Bench	n1	Bench	bench	0
Prison	Prison	n1	Prison	prison	0
,	,	,	,	,	0
July	July	np1	July	July	0
12th	12th	ord	12th	12th	0
1653.	1653.	crd	1653.	1653.	1
