AMongest	AMongest	p-acp	Amongst	amongst	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
good	good	j	good	good	0
measure	measure	n1	measure	measure	0
endued	endued	vvn	endued	endue	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
sundry	sundry	j	sundry	sundry	0
good	good	j	good	good	0
giftes	giftes	n2	gifts	gift	0
and	and	cc	and	and	0
graces	graces	n2	graces	grace	0
form	form	n1	from	form	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
tinuall	tinuall	j	tinuall	tinuall	0
spurres	spurres	n2	spurs	spur	0
and	and	cc	and	and	0
prouocations	prouocations	n2	provocations	provocation	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
imploy	imploy	vvi	employ	employ	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vttermost	vttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
powers	powers	n2	powers	power	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
obedience	obedience	n1	obedience	obedience	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
will	will	n1	will	will	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
corruption	corruption	n1	corruption	corruption	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
stumbling	stumbling	j-vvg	stumbling	stumble	0
blockes	blockes	n2	blocks	block	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Sathan	Sathan	np1	Sathan	Satan	0
our	our	po12	our	our	0
common	common	j	common	common	0
aduersarie	aduersarie	n1	adversary	adversary	0
ca	ca	zz	ca	ca	0
∣	∣	sy	∣	∣	0
steth	steth	vvz	steth	st	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
way	way	n1	way	way	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hinder	hinder	vvi	hinder	hinder	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
rase	rase	n1	raze	race	0
and	and	cc	and	and	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
godlinesse	godlinesse	n1	godliness	godliness	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
all	all	d	all	all	0
Gods	Gods	ng1	Gods	god	0
children	children	n2	children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
you	you	pn22	you	you	0
amongest	amongest	p-acp	amongst	amongst	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
neede	neede	n1	need	need	0
of	of	pp-f	of	of	0
continuall	continuall	j	continual	continual	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brancers	brancers	n2	brancers	brancer	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
prouoke	prouoke	vvi	provoke	provoke	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pilgri	pilgri	n2	pilgri	pilgri	0
∣	∣	sy	∣	∣	0
mage	mage	n1	mage	mage	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
reuerent	reuerent	j	reverent	reverent	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
great	great	j	great	great	0
Maiestie	Maiestie	n1	Majesty	majesty	0
:	:	:	:	:	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
sound	sound	j	found	sound	0
in	in	p-acp	in	in	0
zeale	zeale	n1	zeal	zeal	0
,	,	,	,	,	0
sincere	sincere	j	sincere	sincere	0
in	in	p-acp	in	in	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
carefull	carefull	j	careful	careful	0
in	in	p-acp	in	in	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
finish	finish	vvi	finish	finish	0
your	your	po22	your	your	0
course	course	n1	course	course	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
fayth	fayth	n1	faith	faith	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
thorough	thorough	p-acp	through	through	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
partakers	partakers	n2	partakers	partaker	0
of	of	pp-f	of	of	0
eterrall	eterrall	j	eterrall	eterrall	0
salua	salua	fw-la	salua	salua	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
hope	hope	n1	hope	hope	0
a	a	dt	a	a	0
d	d	jc	worser	worse	0
fayth	fayth	n1	faith	faith	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
good	good	j	good	good	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
should	should	vmd	should	shall	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
ploy	ploy	vvb	ploy	ploy	0
our	our	po12	our	our	0
whole	whole	j-jn	whole	whole	0
life	life	n1	life	life	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
continuall	continuall	j	continual	continual	0
vse	vse	n1	use	use	0
&	&	cc	&	and	0
practise	practise	vvi	practise	practise	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
deined	deined	vvd	deined	dein	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
better	better	jc	better	better	0
attayning	attayning	vvg	attaining	attain	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
namely	namely	av	namely	namely	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
often	often	av	often	often	0
and	and	cc	and	and	0
earnest	earnest	j	earnest	earnest	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
prayer	prayer	n1	prayer	prayer	0
:	:	:	:	:	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
delight	delight	vvi	delight	delight	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
to	to	pc-acp	to	to	0
profite	profite	vvi	profit	profit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
daily	daily	j	daily	daily	0
hearing	hearing	n-vvg	hearing	hear	0
,	,	,	,	,	0
reading	reading	vvg	reading	read	0
,	,	,	,	,	0
meditating	meditating	vvg	meditating	meditate	0
,	,	,	,	,	0
and	and	cc	and	and	0
conference	conference	n1	conference	conference	0
of	of	pp-f	of	of	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
word	word	n1	word	word	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
should	should	vmd	should	shall	0
frequent	frequent	vvi	frequent	frequent	0
the	the	dt	the	the	0
reuerent	reuerent	j	reverent	reverent	0
and	and	cc	and	and	0
ordinarie	ordinarie	j	ordinary	ordinary	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Sacramentes	Sacramentes	n2	Sacraments	sacrament	0
,	,	,	,	,	0
appoynted	appoynted	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
strengthening	strengthening	vvg	strengthening	strengthen	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
fayth	fayth	n1	faith	faith	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
promises	promises	n2	promises	promise	0
,	,	,	,	,	0
growing	growing	vvg	growing	grow	0
,	,	,	,	,	0
euen	euen	av-j	even	even	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
narrownesse	narrownesse	n1	narrowness	narrowness	0
and	and	cc	and	and	0
streightnesse	streightnesse	n1	straightness	straightness	0
of	of	pp-f	of	of	0
onscience	onscience	n1	onscience	conscience	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
thinke	thinke	vvi	think	think	0
euery	euery	d	every	every	0
day	day	n1	day	day	0
and	and	cc	and	and	0
eue	eue	av-j	eve	even	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
hower	hower	n1	hour	hour	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
day	day	n1	day	day	0
ill	ill	av-jn	ill	ill	0
spent	spent	vvn	spent	spend	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
profited	profited	vvn	profited	profit	0
somewhat	somewhat	av	somewhat	somewhat	0
towardes	towardes	p-acp	towards	towards	0
godlinesse	godlinesse	n1	godliness	godliness	0
and	and	cc	and	and	0
hone	hone	uh	hone	hone	0
∣	∣	sy	∣	∣	0
stie	stie	n1	sty	sty	0
.	.	.	.	.	1
True	True	j	True	true	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
here	here	av	here	here	0
is	is	vbz	is	be	0
handled	handled	vvn	handled	handle	0
but	but	p-acp	but	but	0
onely	onely	av-j	only	only	0
one	one	crd	one	one	0
poynt	poynt	n1	point	point	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Reli	Reli	j	Reli	reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
seech	seech	vvi	seech	seech	0
your	your	po22	your	your	0
Worshippes	Worshippes	n2	Worships	worship	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
to	to	pc-acp	to	to	0
gather	gather	vvi	gather	gather	0
the	the	dt	the	the	0
readie	readie	j	ready	ready	0
good	good	j	good	good	0
will	will	n1	will	will	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
in	in	p-acp	in	in	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
Gods	Gods	ng1	Gods	god	0
goodnesse	goodnesse	n1	goodness	goodness	0
:	:	:	:	:	0
further	further	av-jc	further	further	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
or	or	cc	or	or	0
speake	speake	vvi	speak	speak	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
your	your	po22	your	your	0
knowledge	knowledge	n1	knowledge	knowledge	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
increased	increased	vvn	increased	increase	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
fayth	fayth	n1	faith	faith	0
strengthened	strengthened	vvn	strengthened	strengthen	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
eternall	eternall	j	eternal	eternal	0
Word	Word	n1	Word	word	0
and	and	cc	and	and	0
Promises	Promises	vvz	Promises	promise	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
further	further	av-jc	further	further	0
request	request	vvi	request	request	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
all	all	d	all	all	0
those	those	d	those	those	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
read	read	vvi	read	read	0
this	this	d	this	this	0
little	little	j	little	little	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
,	,	,	,	,	0
not	not	xx	not	not	0
the	the	dt	the	the	0
smalnesse	smalnesse	n1	smallness	smallness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Treatie	Treatie	n1	Treaty	treaty	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
waightinesse	waightinesse	n1	waightinesse	waightinesse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
propounded	propounded	vvn	propounded	propound	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
principles	principles	n2	principles	principle	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
wee	wee	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
ig	ig	j	ig	ig	0
∣	∣	sy	∣	∣	0
noraunt	noraunt	j	noraunt	noraunt	0
without	without	p-acp	without	without	0
our	our	po12	our	our	0
great	great	j	great	great	0
hurt	hurt	n1	hurt	hurt	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
vnwor	vnwor	n1	vnwor	vnwor	0
∣	∣	sy	∣	∣	0
thily	thily	av-j	thily	thy	0
repaire	repaire	n1	repair	repair	0
(	(	(	(	(	0
a	a	dt	a	a	0
fault	fault	n1	fault	fault	0
ouer	ouer	p-acp	over	over	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
)	)	)	)	)	0
without	without	p-acp	without	without	0
iudgement	iudgement	n1	judgement	judgement	0
and	and	cc	and	and	0
condemnation	condemnation	n1	condemnation	condemnation	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
soules	soules	n2	souls	soul	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
annex	annex	vvi	annex	annex	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
sundry	sundry	j	sundry	sundry	0
short	short	j	short	short	0
medi	medi	fw-la	medi	medi	0
∣	∣	sy	∣	∣	0
tations	tations	n2	tations	tation	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
direction	direction	n1	direction	direction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ignoraunt	ignoraunt	j	ignorant	ignorant	0
and	and	cc	and	and	0
vnskilfull	vnskilfull	j	unskilful	unskilful	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
behalfe	behalfe	n1	behalf	behalf	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
all	all	d	all	all	0
this	this	d	this	this	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
write	write	vvb	write	write	0
,	,	,	,	,	0
whatso	whatso	n1	whatso	whatso	0
∣	∣	sy	∣	∣	0
euer	euer	av	ever	ever	0
it	it	pn31	it	it	0
bee	bee	vbb	be	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
deale	deale	vvb	deal	deal	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
that	that	d	that	that	0
be	be	vbb	be	be	0
both	both	d	both	both	0
charitable	charitable	j	charitable	charitable	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
inough	inough	av-d	enough	enough	0
to	to	pc-acp	to	to	0
conceaue	conceaue	vvi	conceive	conceive	0
my	my	po11	my	my	0
mea	mea	n1	meam	measure	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
;	;	;	;	;	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
neede	neede	vvi	need	need	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
many	many	d	many	many	0
words	words	n2	words	word	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
that	that	d	that	that	0
,	,	,	,	,	0
wherevnto	wherevnto	c-crq	whereunto	whereunto	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
bee	bee	vbb	be	be	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
thorough	thorough	p-acp	through	through	0
Gods	Gods	ng1	Gods	god	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
inclined	inclined	vvn	inclined	incline	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
perfourmaunce	perfourmaunce	n1	performance	performance	0
whereof	whereof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
great	great	j	great	great	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
calling	calling	n-vvg	calling	call	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
same	same	d	same	same	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
mercie	mercie	n1	mercy	mercy	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
.	.	.	.	.	1
This	This	np1	This	This	0
onely	onely	av-j	only	only	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
pray	pray	vvi	pray	pray	0
or	or	cc	or	or	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
life	life	n1	life	life	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
whatso	whatso	n1	whatso	whatso	0
∣	∣	sy	∣	∣	0
euer	euer	av	ever	ever	0
other	other	j-jn	other	other	0
thing	thing	n1	thing	thing	0
else	else	av	else	else	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
him	him	pno31	him	he	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
to	to	p-acp	to	to	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lish	lish	uh	lish	lish	0
,	,	,	,	,	0
either	either	av-d	either	either	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
good	good	j	good	good	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Saintes	Saintes	n2	Saints	saint	0
wheresoeuer	wheresoeuer	c-crq	wheresoever	wheresoever	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
profitable	profitable	j	profitable	profitable	0
,	,	,	,	,	0
not	not	xx	not	not	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
onely	onely	av-j	only	only	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
his	his	po31	his	his	0
elect	elect	j-vvn	elect	elect	0
and	and	cc	and	and	0
chosen	chosen	j-vvn	chosen	choose	0
children	children	n2	children	child	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
faythfull	faythfull	j	faithful	faithful	0
being	being	vbg	being	be	0
accomplished	accomplished	vvn	accomplished	accomplish	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
sinne	sinne	n1	sin	sin	0
vtterly	vtterly	av-j	utterly	utter	0
cut	cut	vvn	cut	cut	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
gathered	gathered	vvn	gathered	gather	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
eternall	eternall	j	eternal	eternal	0
and	and	cc	and	and	0
heauenly	heauenly	j	heavenly	heavenly	0
Tabernacles	Tabernacles	n2	Tabernacles	tabernacle	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
our	our	po12	our	our	0
sauiour	sauiour	n1	saviour	saviour	0
hath	hath	vhz	hath	have	0
purchased	purchased	vvn	purchased	purchase	0
and	and	cc	and	and	0
prepared	prepared	vvn	prepared	prepare	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
better	better	av-jc	better	better	0
assured	assured	vvn	assured	assure	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
