I	I	pns11	I	i	0
shine	shine	vvi	shine	shine	0
much	much	d	much	much	0
more	more	dc	more	more	0
cleerely	cleerely	av-j	clearly	clear	0
among	among	p-acp	among	among	0
those	those	d	those	those	0
bright	bright	j	bright	bright	0
Stars	Stars	n2	Stars	star	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
upon	upon	p-acp	upon	upon	0
earth	earth	n1	earth	earth	0
of	of	pp-f	of	of	0
enlightning	enlightning	n1	enlightening	enlightening	0
and	and	cc	and	and	0
converting	converting	vvg	converting	convert	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
little	little	j	little	little	0
glympse	glympse	n1	glimpse	glimpse	0
hath	hath	vhz	hath	have	0
hee	hee	pns31	he	he	0
left	left	vvn	left	leave	0
behind	behind	p-acp	behind	behind	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
greater	greater	jc	greater	great	0
light	light	n1	light	light	0
(	(	(	(	(	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
rayes	rayes	n2	rays	ray	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
skie	skie	n1	sky	sky	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
setting	setting	vvg	setting	set	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
his	his	po31	his	his	0
labours	labours	n2	labours	labour	0
penned	penned	vvn	penned	pen	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
use	use	n1	use	use	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
wan	wan	vvd	won	win	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
the	the	dt	the	the	0
gracefulnesse	gracefulnesse	n1	gracefulness	gracefulness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
elocution	elocution	n1	elocution	elocution	0
,	,	,	,	,	0
and	and	cc	and	and	0
powerfull	powerfull	j	powerful	powerful	0
spirit	spirit	n1	spirit	spirit	0
to	to	pc-acp	to	to	0
enlive	enlive	vvi	enlive	enlive	0
them	them	pno32	them	they	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
excelled	excelled	vvd	excelled	excel	0
;	;	;	;	;	0
are	are	vbr	are	be	0
but	but	cc-acp	but	but	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
na	na	fw-fr	na	na	0
∣	∣	sy	∣	∣	0
ked	ked	j	ked	ked	0
body	body	n1	body	body	0
stripped	stripped	vvn	stripped	strip	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
ornaments	ornaments	n2	ornaments	ornament	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
dead	dead	j	dead	dead	0
picture	picture	n1	picture	picture	0
compared	compared	vvn	compared	compare	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
living	living	j-vvg	living	live	0
body	body	n1	body	body	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
picture	picture	n1	picture	picture	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
short	short	j	short	short	0
in	in	p-acp	in	in	0
beautie	beautie	n1	beauty	beauty	0
and	and	cc	and	and	0
likenesse	likenesse	n1	likeness	likeness	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
beene	beene	vbn	been	be	0
,	,	,	,	,	0
if	if	cs	if	if	0
himselfe	himselfe	px31	himself	himself	0
had	had	vhn	had	have	0
li	li	wd	li	li	0
∣	∣	sy	∣	∣	0
ved	ved	vvn	ved	ve	0
to	to	pc-acp	to	to	0
perfect	perfect	vvi	perfect	perfect	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
pensill	pensill	n1	pencil	pencil	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
picture	picture	n1	picture	picture	0
taken	taken	vvn	taken	take	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
dead	dead	j	dead	dead	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
comparison	comparison	n1	comparison	comparison	0
of	of	pp-f	of	of	0
one	one	pi	one	one	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
drawen	drawen	vvn	drawn	draw	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
life	life	n1	life	life	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
supposed	supposed	vvd	supposed	suppose	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
dimmer	dimmer	jc	dimmer	dim	0
candle-light	candle-light	n1	candlelight	candlelight	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fruit	fruit	n1	fruit	fruit	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
was	was	vbds	was	be	0
too	too	av	too	too	0
usefull	usefull	j	useful	useful	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fitable	fitable	j	fitable	fitable	0
to	to	pc-acp	to	to	0
lye	lye	vvi	lie	lie	0
any	any	d	any	any	0
longer	longer	av-jc	longer	long	0
hid	hid	vvn	hid	hide	0
under	under	p-acp	under	under	0
a	a	dt	a	a	0
bushell	bushell	n1	bushel	bushel	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
sacrilege	sacrilege	n1	sacrilege	sacrilege	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
rob	rob	vvi	rob	rob	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
talents	talents	n2	talents	talent	0
after	after	c-acp	after	after	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
trading	trading	n-vvg	trading	trade	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
hide	hide	vvi	hide	hide	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
manuscript	manuscript	n1	manuscript	manuscript	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
nap	nap	n1	nap	nap	0
∣	∣	sy	∣	∣	0
kin	kin	n1	kin	kin	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
published	published	vvn	published	publish	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
come	come	vvb	come	come	0
profitable	profitable	j	profitable	profitable	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
inriching	inriching	vvg	enriching	enrich	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
that	that	cst	that	that	0
God	God	np1	God	God	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
yet	yet	av	yet	yet	0
more	more	av-dc	more	more	0
glorified	glorified	vvn	glorified	glorify	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
fruitfull	fruitfull	j	fruitful	fruitful	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
faithfull	faithfull	j	faithful	faithful	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
thereby	thereby	av	thereby	thereby	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
also	also	av	also	also	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
edified	edified	vvn	edified	edify	0
,	,	,	,	,	0
J	J	pns11	J	i	0
have	have	vhb	have	have	0
caused	caused	vvn	caused	cause	0
them	them	pno32	them	they	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
being	being	vbg	being	be	0
imprinted	imprinted	vvn	imprinted	imprint	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
laid	laid	vvn	laid	lay	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
especi	especi	fw-la	especi	especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
having	having	vhg	having	have	0
beene	beene	vbn	been	be	0
his	his	po31	his	his	0
ordi	ordi	fw-it	ordi	ordi	0
∣	∣	sy	∣	∣	0
narie	narie	n1	nary	nary	0
hearers	hearers	n2	hearers	hearer	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
much	much	av-d	much	much	0
addicted	addicted	vvn	addicted	addict	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Ministerie	Ministerie	n1	Ministry	ministry	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
highly	highly	av-j	highly	high	0
esteem	esteem	vvi	esteem	esteem	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Authors	Authors	ng1	Authors	author	0
sake	sake	n1	sake	sake	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
present	present	j	present	present	0
and	and	cc	and	and	0
dedicate	dedicate	vvi	dedicate	dedicate	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honors	Honors	ng1	Honours	honour	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
being	being	vbg	being	be	0
emboldened	emboldened	vvn	emboldened	embolden	0
hereunto	hereunto	av	hereunto	hereunto	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
fervent	fervent	j	fervent	fervent	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
zealous	zealous	j	zealous	zealous	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
cold	cold	j-jn	cold	cold	0
and	and	cc	and	and	0
declining	declining	j-vvg	declining	decline	0
times	times	n2	times	time	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
honourable	honourable	j	honourable	honourable	0
respect	respect	n1	respect	respect	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
served	served	vvn	served	serve	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
poore	poore	j	poor	poor	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
cheere	cheere	n1	cheer	cheer	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
receiving	receiving	n-vvg	receiving	receive	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
their	their	po32	their	their	0
mes	mes	fw-fr	mes	mes	0
∣	∣	sy	∣	∣	0
sage	sage	j-jn	sage	sage	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
their	their	po32	their	their	0
Masters	Masters	ng1	Master's	master	0
sake	sake	n1	sake	sake	0
:	:	:	:	:	0
and	and	cc	and	and	0
finally	finally	av-j	finally	final	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
take	take	vvi	take	take	0
occasion	occasion	n1	occasion	occasion	0
hereby	hereby	av	hereby	hereby	0
of	of	pp-f	of	of	0
preserving	preserving	vvg	preserving	preserve	0
and	and	cc	and	and	0
continuing	continuing	vvg	continuing	continue	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Servants	Servants	n2	Servants	servant	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
J	J	pns11	J	i	0
highly	highly	av-j	highly	high	0
esteeme	esteeme	vvb	esteem	esteem	0
,	,	,	,	,	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
worldly	worldly	j	worldly	worldly	0
respects	respects	n2	respects	respect	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
J	J	pns11	J	i	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
still	still	av	still	still	0
honou	honou	j	honou	honou	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
Christian	Christian	np1	Christian	Christian	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
bee	bee	vbb	be	be	0
alwayes	alwayes	av	always	always	0
ready	ready	j	ready	ready	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
best	best	js	best	best	0
services	services	n2	services	service	0
to	to	pc-acp	to	to	0
honour	honour	vvi	honour	honour	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
more	more	av-dc	more	more	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
multiply	multiply	vvi	multiply	multiply	0
all	all	d	all	all	0
his	his	po31	his	his	0
graces	graces	n2	graces	grace	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
long	long	av-j	long	long	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
maine	maine	n1	main	main	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Noble	Noble	j	Noble	noble	0
Peere	Peere	n1	Peer	peer	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
so	so	av	so	so	0
a	a	dt	a	a	0
firme	firme	j	firm	firm	0
Pillar	Pillar	n1	Pillar	pillar	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
adorning	adorning	vvg	adorning	adorn	0
your	your	po22	your	your	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
best	best	js	best	best	0
ornament	ornament	n1	ornament	ornament	0
chiefly	chiefly	av-jn	chiefly	chief	0
adorneth	adorneth	vvz	adorneth	adorn	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
gracing	gracing	vvg	gracing	grace	0
that	that	d	that	that	0
truth	truth	n1	truth	truth	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
holy	holy	j	holy	holy	0
profession	profession	n1	profession	profession	0
and	and	cc	and	and	0
practice	practice	n1	practice	practice	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
titles	titles	n2	titles	title	0
will	will	vmb	will	will	0
most	most	ds	most	most	0
enoble	enoble	vvi	ennoble	ennoble	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvb	make	make	0
you	you	pn22	you	you	0
truly	truly	av-j	truly	true	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
noured	noured	vvn	noured	nour	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
all	all	d	all	all	0
good	good	j	good	good	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
eternize	eternize	vvi	eternise	eternize	0
your	your	po22	your	your	0
glorie	glorie	n1	glory	glory	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
life	life	n1	life	life	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
heartie	heartie	j	hearty	hearty	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
Minister	Minister	n1	Minister	minister	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
shall	shall	vmb	shall	shall	0
ever	ever	av	ever	ever	0
remaine	remaine	vvi	remain	remain	0
much	much	d	much	much	0
devo	devo	n1	devo	devo	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Christian	Christian	njp	Christian	christian	0
dutie	dutie	n1	duty	duty	0
and	and	cc	and	and	0
service	service	n1	service	service	0
,	,	,	,	,	1
