RIGHT	RIGHT	av-jn	RIGHT	right	0
.	.	.	.	.	1
VVhich	VVhich	r-crq	Which	which	0
both	both	d	both	both	0
clame	clame	n1	claim	claim	0
in	in	p-acp	in	in	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
chalenge	chalenge	vvi	challenge	challenge	0
in	in	p-acp	in	in	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
did	did	vdd	did	do	0
concur	concur	vvi	concur	concur	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
aspect	aspect	n1	aspect	aspect	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
offered	offered	vvd	offered	offer	0
hir	hir	pno31	his	she	0
my	my	po11	my	my	0
book	book	n1	book	book	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
purpos	purpos	vvb	purpose	purpose	0
was	was	vbds	was	be	0
to	to	p-acp	to	to	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nor	nor	ccx	nor	nor	0
hir	hir	png31	his	he	0
place	place	n1	place	place	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labor	labor	n1	labour	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
book	book	n1	book	book	0
pretended	pretended	vvd	pretended	pretend	0
to	to	pc-acp	to	to	0
benefit	benefit	vvi	benefit	benefit	0
hir	hir	png31	his	he	0
charge	charge	n1	charge	charge	0
with	with	p-acp	with	with	0
som	som	d	some	some	0
generall	generall	j	general	general	0
profit	profit	n1	profit	profit	0
.	.	.	.	.	1
Again	Again	av	Again	again	0
being	being	vbg	being	be	0
desirous	desirous	j	desirous	desirous	0
both	both	av-d	both	both	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
my	my	po11	my	my	0
book	book	n1	book	book	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
thorough	thorough	p-acp	through	through	0
hir	hir	png31	his	he	0
maie	maie	vmb	may	may	0
∣	∣	sy	∣	∣	0
sties	sties	ng1	sties	sties	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
laie	laie	vvi	lay	lay	0
som	som	d	some	some	0
ground	ground	n1	ground	ground	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
fountain	fountain	n1	fountain	fountain	0
,	,	,	,	,	0
how	how	q-crq	how	how	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
haue	haue	vhi	have	have	0
obtained	obtained	vvn	obtained	obtain	0
either	either	d	either	either	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
hir	hir	png31	his	he	0
suffe	suffe	n1	suff	suff	0
∣	∣	sy	∣	∣	0
rance	rance	n1	rance	rance	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
last	last	ord	last	last	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
hir	hir	png31	his	he	0
countenance	countenance	n1	countenance	countenance	0
?	?	?	?	?	1
VVhose	VVhose	rg-crq	Whose	who	0
considerate	considerate	j	considerate	considerate	0
iudgement	iudgement	n1	judgement	judgement	0
if	if	cs	if	if	0
my	my	po11	my	my	0
book	book	n1	book	book	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
please	please	vvi	please	please	0
,	,	,	,	,	0
my	my	po11	my	my	0
credit	credit	n1	credit	credit	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
whose	whose	r-crq	whose	who	0
gra	gra	uh	gram	gra	0
∣	∣	sy	∣	∣	0
cious	cious	j	cious	cious	0
permission	permission	n1	permission	permission	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
denyed	denyed	vvn	denied	deny	0
,	,	,	,	,	0
my	my	po11	my	my	0
successe	successe	n1	success	success	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
despare	despare	n1	despair	despair	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
both	both	d	both	both	0
my	my	po11	my	my	0
dewtie	dewtie	n1	duty	duty	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
hir	hir	png31	his	he	0
maiestie	maiestie	n1	majesty	majesty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
souerain	souerain	j-jn	sovereign	sovereign	0
prince	prince	n1	prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
furtherance	furtherance	n1	furtherance	furtherance	0
by	by	p-acp	by	by	0
hir	hir	png31	his	he	0
maiestie	maiestie	n1	majesty	majesty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
surest	surest	js	surest	sure	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
compelled	compelled	vvd	compelled	compel	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
force	force	n1	force	force	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
gin	gin	vvb	gin	gin	0
with	with	p-acp	with	with	0
hir	hir	png31	his	he	0
highnesse	highnesse	n1	highness	highness	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
satisfying	satisfying	vvg	satisfying	satisfy	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dew	dew	n1	due	dew	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
com	com	vvi	come	come	0
in	in	p-acp	in	in	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
offred	offred	vvd	offered	offer	0
should	should	vmd	should	shall	0
deserue	deserue	vvi	deserve	deserve	0
liking	liking	vvg	liking	like	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
course	course	n1	course	course	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
took	took	vvd	took	take	0
shewed	shewed	vvd	showed	show	0
desire	desire	vvi	desire	desire	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
my	my	po11	my	my	0
dewtie	dewtie	n1	duty	duty	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
behalf	behalf	n1	behalf	behalf	0
towards	towards	p-acp	towards	towards	0
hir	hir	png31	his	he	0
ma	ma	n1	ma	man	0
∣	∣	sy	∣	∣	0
iestie	iestie	n1	iestie	iestie	0
being	being	vbg	being	be	0
so	so	av	so	so	0
discharged	discharged	vvn	discharged	discharge	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
presenting	presenting	vvg	presenting	present	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
book	book	n1	book	book	0
makes	makes	vvz	makes	make	0
priuie	priuie	j	privy	privy	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
purpos	purpos	vvb	purpose	purpose	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
stream	stream	n1	stream	stream	0
of	of	pp-f	of	of	0
dewtie	dewtie	n1	duty	duty	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
de	de	dt	the	the	0
sert	sert	n1	sert	sert	0
carie	carie	vvb	carry	carry	0
me	me	pno11	me	i	0
streight	streight	av-j	straight	straight	0
frō	frō	p-acp	from	from	0
hir	hir	png31	his	he	0
highnesse	highnesse	n1	highness	highness	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
eie	eie	n1	eye	eye	0
your	your	po22	your	your	0
general	general	n1	general	general	0
good	good	j	good	good	0
nesse	nesse	n1	ness	ness	0
towards	towards	p-acp	towards	towards	0
all	all	d	all	all	0
them	them	pno32	them	they	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
learned	learned	vvn	learned	learn	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
your	your	po22	your	your	0
particular	particular	j	particular	particular	0
fauor	fauor	n1	favour	favour	0
towards	towards	p-acp	towards	towards	0
my	my	po11	my	my	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
uell	uell	uh-av	well	well	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
teach	teach	vvb	teach	teach	0
others	others	ng2-jn	others	other	0
to	to	pc-acp	to	to	0
learn	learn	vvi	learn	learn	0
?	?	?	?	?	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
iudgement	iudgement	n1	judgement	judgement	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
he	he	pns31	he	he	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
place	place	n1	place	place	0
next	next	ord	next	next	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
the	the	dt	the	the	0
prince	prince	n1	prince	prince	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
honor	honor	n1	honour	honour	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
waie	waie	n1	way	way	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
prince	prince	n1	prince	prince	0
most	most	av-ds	most	most	0
preferreth	preferreth	vvz	preferreth	prefer	0
learning	learning	n1	learning	learning	0
?	?	?	?	?	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
se	se	vvi	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
anie	anie	d	any	any	0
one	one	pi	one	one	0
about	about	p-acp	about	about	0
hir	hir	png31	his	he	0
maiestie	maiestie	n1	majesty	majesty	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
offence	offence	n1	offence	offence	0
be	be	vbi	be	be	0
it	it	pn31	it	it	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
either	either	av-d	either	either	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
desire	desire	vvb	desire	desire	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
nie	nie	zz	nie	nie	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
deserues	deserues	vvz	deserves	deserve	0
well	well	av	well	well	0
that	that	d	that	that	0
waie	waie	n1	way	way	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
either	either	d	either	either	0
iustlie	iustlie	av-j	justly	just	0
can	can	vmb	can	can	0
,	,	,	,	,	0
or	or	cc	or	or	0
vniustlie	vniustlie	av-j	unjustly	unjust	0
will	will	vmb	will	will	0
cōpare	cōpare	vvi	compare	compare	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
either	either	av-d	either	either	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
encouraging	encouraging	n-vvg	encouraging	encourage	0
of	of	pp-f	of	of	0
students	students	n2	students	student	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
attainmēt	attainmēt	n1	attainment	attainment	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
hel	hel	n1	hell	hell	0
∣	∣	sy	∣	∣	0
ping	ping	j	ping	ping	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
to	to	p-acp	to	to	0
aduancement	aduancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
liuing	liuing	vvg	living	live	0
.	.	.	.	.	1
VVhich	VVhich	r-crq	Which	which	0
two	two	crd	two	two	0
points	points	n2	points	point	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
euident	euident	j	evident	evident	0
proufs	proufs	n2	proufs	prouf	0
of	of	pp-f	of	of	0
generall	generall	j	general	general	0
patronage	patronage	n1	patronage	patronage	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
nurish	nurish	vvi	nourish	nourish	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
grene	grene	j-jn	green	green	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cherish	cherish	vvi	cherish	cherish	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
grown	grown	vvn	grown	grow	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
honors	honors	n2	honours	honour	0
both	both	d	both	both	0
first	first	ord	first	first	0
nurishing	nurishing	j-vvg	nourishing	nourish	0
,	,	,	,	,	0
and	and	cc	and	and	0
last	last	ord	last	last	0
cherishing	cherishing	vvg	cherishing	cherish	0
of	of	pp-f	of	of	0
ech	ech	d	each	each	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
one	one	pi	one	one	0
corner	corner	n1	corner	corner	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
cuntrie	cuntrie	n1	country	country	0
but	but	p-acp	but	but	0
it	it	pn31	it	it	0
feleth	feleth	vvz	feeleth	feel	0
the	the	dt	the	the	0
frute	frute	n1	fruit	fruit	0
,	,	,	,	,	0
and	and	cc	and	and	0
thriues	thriues	vvz	thrives	thrive	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
how	how	c-crq	how	how	0
manie	manie	d	many	many	0
singular	singular	j	singular	singular	0
men	men	n2	men	man	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
worthilie	worthilie	av-j	worthily	worthy	0
pla	pla	zz	pla	pla	0
∣	∣	sy	∣	∣	0
ced	ced	vvn	ced	ce	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
manie	manie	d	many	many	0
nedefull	nedefull	j	needful	needful	0
places	places	n2	places	place	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
sin	sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
gularlie	gularlie	av-j	gularlie	gularlie	0
appointed	appointed	vvn	appointed	appoint	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
either	either	d	either	either	0
onelie	onelie	j	only	only	0
or	or	cc	or	or	0
most	most	av-ds	most	most	0
honorable	honorable	j	honourable	honourable	0
means	means	n2	means	mean	0
?	?	?	?	?	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
generall	generall	n1	general	general	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
sideration	sideration	n1	sideration	sideration	0
whereby	whereby	c-crq	whereby	whereby	0
all	all	d	all	all	0
men	men	n2	men	man	0
ar	ar	vbr	are	be	0
bound	bound	vvn	bound	bind	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
in	in	p-acp	in	in	0
dewtie	dewtie	n1	duty	duty	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
either	either	d	either	either	0
like	like	j	like	like	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
or	or	cc	or	or	0
liue	liue	vvi	live	live	0
by	by	p-acp	by	by	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
particular	particular	j	particular	particular	0
doth	doth	vdz	does	do	0
ioyn	ioyn	vvi	join	join	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
officiousnesse	officiousnesse	n1	officiousness	officiousness	0
,	,	,	,	,	0
and	and	cc	and	and	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
found	found	vvn	found	find	0
fauor	fauor	n1	favour	favour	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
find	find	vvi	find	find	0
my	my	po11	my	my	0
self	self	n1	self	self	0
excedinglie	excedinglie	av-vvg	exceedingly	exceed	0
indetted	indetted	vvn	indebted	indebt	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
speciall	speciall	j	special	special	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
fauora	fauora	fw-es	fauora	fauora	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
countenance	countenance	n1	countenance	countenance	0
these	these	d	these	these	0
manie	manie	d	many	many	0
years	years	n2	years	year	0
.	.	.	.	.	1
VVhereby	VVhereby	c-crq	Whereby	whereby	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
the	the	dt	the	the	0
vow	vow	n1	vow	vow	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
seruice	seruice	n1	service	service	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
offering	offering	n-vvg	offering	offer	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
petie	petie	j	petie	petty	0
boke	boke	n1	book	book	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
is	is	vbz	is	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
tendring	tendring	vvg	tendering	tender	0
what	what	r-crq	what	what	0
∣	∣	sy	∣	∣	0
soeuer	soeuer	av	soever	soever	0
a	a	av	a	a	0
thankfull	thankfull	j	thankful	thankful	0
minde	minde	n1	mind	mind	0
can	can	vmb	can	can	0
deuise	deuise	vvi	devise	devise	0
in	in	p-acp	in	in	0
extremi	extremi	fw-fr	extremi	extremi	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
of	of	pp-f	of	of	0
power	power	n1	power	power	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
a	a	dt	a	a	0
patron	patron	n1	patron	patron	0
.	.	.	.	.	1
And	And	cc	And	and	0
tho	tho	cs	though	though	0
I	I	pns11	I	i	0
begin	begin	vvb	begin	begin	0
the	the	dt	the	the	0
shew	shew	n1	show	show	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
deuotion	deuotion	n1	devotion	devotion	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
verie	verie	j	very	very	0
mean	mean	j	mean	mean	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
saint	saint	n1	saint	saint	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
simple	simple	j	simple	simple	0
present	present	n1	present	present	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Elementarie	Elementarie	j	Elementary	elementary	0
,	,	,	,	,	0
or	or	cc	or	or	0
an	an	dt	and	a	0
English	English	jp	English	english	0
ortografie	ortografie	j	ortografie	ortografie	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
person	person	n1	person	person	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
good	good	j	good	good	0
a	a	dt	a	a	0
patron	patron	n1	patron	patron	0
?	?	?	?	?	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
in	in	p-acp	in	in	0
verie	verie	av	very	very	0
good	good	j	good	good	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
will	will	vmb	will	will	0
accept	accept	vvi	accept	accept	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
measur	measur	vvb	measure	measure	0
my	my	po11	my	my	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
valew	valew	n1	value	value	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
wont	wont	j	wont	wont	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
goodnesse	goodnesse	n1	goodness	goodness	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
dewtie	dewtie	n1	duty	duty	0
will	will	vmb	will	will	0
break	break	vvi	break	break	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
ishew	ishew	n1	ishew	ishew	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
tho	tho	cs	though	though	0
it	it	pn31	it	it	0
stream	stream	vvb	stream	stream	0
not	not	xx	not	not	0
great	great	j	great	great	0
