NOt	NOt	xx	NOt	not	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
be	be	vbb	be	be	0
falsely	falsely	av-j	falsely	false	0
constituted	constituted	vvn	constituted	constitute	0
,	,	,	,	,	0
ther	ther	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
false	false	j	false	false	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
&	&	cc	&	and	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
true	true	j	true	true	0
spowse	spowse	n1	spouse	spouse	0
ef	ef	pp-f	ef	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
Herein	Herein	av	Herein	herein	0
therfor	therfor	av	therefore	therefore	0
especially	especially	av-j	especially	especial	0
are	are	vbr	are	be	0
those	those	d	those	those	0
auncient	auncient	j-jn	ancient	ancient	0
bre	bre	vvn	bre	breed	0
∣	∣	sy	∣	∣	0
thren	thren	j	thren	thren	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
honoured	honoured	vvn	honoured	honour	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
reduced	reduced	vvn	reduced	reduce	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
Primitive	Primitive	j	Primitive	primitive	0
&	&	cc	&	and	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
postolique	postolique	j	postolique	postolique	0
constitution	constitution	n1	constitution	constitution	0
which	which	r-crq	which	which	0
consisteth	consisteth	vvz	consisteth	consist	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
three	three	crd	three	three	0
things	things	n2	things	thing	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
The	The	dt	The	the	0
true	true	j	true	true	0
matter	matter	n1	matter	matter	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
sayntes	sayntes	n2	saints	saint	0
only	only	av-j	only	only	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
The	The	dt	The	the	0
true	true	j	true	true	0
forme	forme	n1	form	form	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
vniting	vniting	n-vvg	uniting	unite	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cove	cove	n1	cove	cove	0
∣	∣	sy	∣	∣	0
nant	nant	n1	nant	nant	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
The	The	dt	The	the	0
true	true	j	true	true	0
propertie	propertie	n1	property	property	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
communion	communion	n1	communion	communion	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
things	things	n2	things	thing	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
powre	powre	n1	pour	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
L.	L.	n1	L.	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
maintayning	maintayning	vvg	maintaining	maintain	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
communion	communion	n1	communion	communion	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
blessed	blessed	j-vvn	blessed	bless	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
L.	L.	n1	L.	lord	0
wherin	wherin	c-crq	wherein	wherein	0
those	those	d	those	those	0
auncient	auncient	j-jn	ancient	ancient	0
brethten	brethten	vvi	brethten	brethten	0
have	have	vhb	have	have	0
labored	labored	vvn	laboured	labour	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
may	may	vmb	may	may	0
more	more	n1	more	moor	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
:	:	:	:	:	0
I	I	pns11	I	i	0
thincke	thincke	vvb	think	think	0
rather	rather	av-c	rather	rather	0
ther	ther	pc-acp	there	there	0
can	can	vmb	can	can	0
nothing	nothing	pix	nothing	nothing	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
now	now	av	now	now	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
is	is	vbz	is	be	0
perfectly	perfectly	av-j	perfectly	perfect	0
both	both	d	both	both	0
disco	disco	n1	disco	disco	0
∣	∣	sy	∣	∣	0
vered	vered	j-vvn	vered	vex	0
&	&	cc	&	and	0
consumed	consumed	vvn	consumed	consume	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
constitution	constitution	n1	constitution	constitution	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
evidence	evidence	n1	evidence	evidence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
brightnes	brightnes	n1	brightness	brightness	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
comming	comming	n-vvg	coming	come	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
al	al	d	all	all	0
though	though	c-acp	though	though	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
also	also	av	also	also	0
verie	verie	av	very	very	0
worthelie	worthelie	av-j	worthily	worthy	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
ployed	ployed	vvn	ployed	ploy	0
them	them	pno32	them	they	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Leitourgie	Leitourgie	n1	Liturgy	liturgy	0
,	,	,	,	,	0
Ministerie	Ministerie	n1	Ministry	ministry	0
,	,	,	,	,	0
&	&	cc	&	and	0
Treasurie	Treasurie	n1	Treasury	treasury	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
dis	dis	fw-fr	dis	dis	0
∣	∣	sy	∣	∣	0
covering	covering	n-vvg	covering	cover	0
the	the	dt	the	the	0
forgeries	forgeries	n2	forgeries	forgery	0
&	&	cc	&	and	0
corruptions	corruptions	n2	corruptions	corruption	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
syune	syune	n1	syune	syune	0
had	had	vhd	had	have	0
intermingled	intermingled	vvn	intermingled	intermingle	0
,	,	,	,	,	0
&	&	cc	&	and	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
good	good	j	good	good	0
degree	degree	n1	degree	degree	0
reducing	reducing	vvg	reducing	reduce	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
ther	ther	po32	their	their	0
primitive	primitive	j	primitive	primitive	0
puritie	puritie	n1	purity	purity	0
wherin	wherin	c-crq	wherein	wherein	0
they	they	pns32	they	they	0
weere	weere	vbdr	were	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
left	left	vvn	left	leave	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
that	that	cst	that	that	0
herein	herein	av	herein	herein	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
vtterlie	vtterlie	av-j	utterly	utter	0
eythet	eythet	n1	eythet	eythet	0
revealed	revealed	vvn	revealed	reveal	0
or	or	cc	or	or	0
abolished	abolished	vvn	abolished	abolish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
verie	verie	j	very	very	0
high	high	j	high	high	0
degree	degree	n1	degree	degree	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
exalted	exalted	vvn	exalted	exalt	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
true	true	j	true	true	0
constituted	constituted	vvn	constituted	constitute	0
Churches	Churches	n2	Churches	church	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
regard	regard	n1	regard	regard	0
wherof	wherof	c-crq	whereof	whereof	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
being	being	vbg	being	be	0
enforced	enforced	vvn	inforced	enforce	0
vppon	vppon	p-acp	upon	upon	0
some	some	d	some	some	0
courgie	courgie	n1	courgie	courgie	0
&	&	cc	&	and	0
ministrie	ministrie	n1	ministry	ministry	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
The	The	dt	The	the	0
Ministerie	Ministerie	n1	Ministry	ministry	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
consisting	consisting	vvg	consisting	consist	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Presbytery	Presbytery	n1	Presbytery	presbytery	0
&	&	cc	&	and	0
Deacons	Deacons	n2	Deacons	deacon	0
office	office	n1	office	office	0
,	,	,	,	,	0
wherto	wherto	q-crq	whereto	whereto	0
apertyneth	apertyneth	vvz	apertyneth	apertyne	0
the	the	dt	the	the	0
Treasurie	Treasurie	n1	Treasury	treasury	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
ends	ends	n2	ends	end	0
:	:	:	:	:	0
partly	partly	av	partly	partly	0
that	that	cst	that	that	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
wee	wee	pns12	we	we	0
walk	walk	vvb	walk	walk	0
in	in	p-acp	in	in	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
manifested	manifested	vvn	manifested	manifest	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
whome	whome	ro-crq	whom	who	0
our	our	po12	our	our	0
opinion	opinion	n1	opinion	opinion	0
and	and	cc	and	and	0
practise	practise	n1	practice	practice	0
is	is	vbz	is	be	0
so	so	av	so	so	0
straungely	straungely	av-j	strangely	strange	0
&	&	cc	&	and	0
falsely	falsely	av-j	falsely	false	0
traduced	traduced	vvn	traduced	traduce	0
:	:	:	:	:	0
partly	partly	av	partly	partly	0
that	that	cst	that	that	0
the	the	dt	the	the	0
differences	differences	n2	differences	difference	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
vs	vs	pno12	us	we	0
&	&	cc	&	and	0
the	the	dt	the	the	0
auncienter	auncienter	jc	ancienter	ancient	0
brethren	brethren	n2	brothers	brethren	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seperation	seperation	n1	separation	separation	0
may	may	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
&	&	cc	&	and	0
therby	therby	av	thereby	thereby	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
occasioned	occasioned	vvn	occasioned	occasion	0
to	to	pc-acp	to	to	0
trye	trye	vvi	try	try	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
from	from	p-acp	from	from	0
error	error	n1	error	error	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
it	it	pn31	it	it	0
fast	fast	av-j	fast	fast	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
writing	writing	vvg	writing	write	0
somthing	somthing	pi	something	something	0
ther	ther	pc-acp	there	there	0
is	is	vbz	is	be	0
which	which	r-crq	which	which	0
overtwharteth	overtwharteth	vvz	overtwharteth	overtwhart	0
my	my	po11	my	my	0
former	former	j	former	former	0
judgmēt	judgmēt	n1	judgement	judgement	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
treatises	treatises	n2	treatises	treatise	0
by	by	p-acp	by	by	0
mee	mee	pno11	me	i	0
formerly	formerly	av-j	formerly	former	0
published	published	vvn	published	publish	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
intreat	intreat	vvi	entreat	entreat	0
the	the	dt	the	the	0
teader	teader	n1	teader	teader	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
impute	impute	vvi	impute	impute	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
fault	fault	n1	fault	fault	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
:	:	:	:	:	0
rather	rather	av	rather	rather	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
a	a	dt	a	a	0
vertue	vertue	n1	virtue	virtue	0
to	to	pc-acp	to	to	0
retract	retract	vvi	retract	retract	0
erroers	erroers	n2	erroers	erroer	0
:	:	:	:	:	0
Know	Know	vvb	Know	know	0
therfor	therfor	av	therefore	therefore	0
that	that	cst	that	that	0
latter	latter	d	latter	latter	0
thoughs	thoughs	n2	thoughs	thought	0
oft	oft	av	oft	oft	0
tymes	tymes	n2	times	time	0
are	are	vbr	are	be	0
better	better	jc	better	better	0
then	then	cs	then	than	0
the	the	dt	the	the	0
former	former	j	former	former	0
:	:	:	:	:	0
&	&	cc	&	and	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
professe	professe	vvi	profess	profess	0
this	this	d	this	this	0
(	(	(	(	(	0
that	that	d	that	that	0
no	no	dx	no	no	0
man	man	n1	man	man	0
account	account	vvi	account	account	0
it	it	pn31	it	it	0
straunge	straunge	j	strange	strange	0
)	)	)	)	)	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
every	every	d	every	every	0
day	day	n1	day	day	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
erroers	erroers	n2	erroers	erroer	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
dscovered	dscovered	vvn	dscovered	dscover	0
confesse	confesse	vvi	confess	confess	0
them	them	pno32	them	they	0
&	&	cc	&	and	0
renounce	renounce	vvb	renounce	renounce	0
them	them	pno32	them	they	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
covenant	covenant	n1	covenant	covenant	0
made	made	vvn	made	make	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
God	God	n1	God	god	0
to	to	pc-acp	to	to	0
forsake	forsake	vvi	forsake	forsake	0
every	every	d	every	every	0
evill	evill	j-jn	evil	evil	0
way	way	n1	way	way	0
whither	whither	c-crq	whither	whither	0
in	in	p-acp	in	in	0
opinion	opinion	n1	opinion	opinion	0
or	or	cc	or	or	0
practise	practise	n1	practice	practice	0
that	that	cst	that	that	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
manifested	manifested	vvn	manifested	manifest	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
tyme	tyme	n1	time	time	0
:	:	:	:	:	0
&	&	cc	&	and	0
therfor	therfor	av	therefore	therefore	0
lett	lett	vvb	let	let	0
no	no	dx	no	no	0
man	man	n1	man	man	0
plead	plead	vvi	plead	plead	0
now	now	av	now	now	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
have	have	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
done	done	vdn	done	do	0
,	,	,	,	,	0
these	these	d	these	these	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
inconstant	inconstant	j	inconstant	inconstant	0
:	:	:	:	:	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
they	they	pno32	they	they	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
:	:	:	:	:	0
They	They	pns32	They	they	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
&	&	cc	&	and	0
the	the	dt	the	the	0
like	like	j	like	like	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
wee	wee	pns12	we	we	0
professe	professe	vvb	profess	profess	0
even	even	av	even	even	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
object	object	n1	object	object	0
:	:	:	:	:	0
That	That	cst	That	that	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
inconstant	inconstant	j	inconstant	inconstant	0
in	in	p-acp	in	in	0
erroer	erroer	fw-mi	erroer	erroer	0
:	:	:	:	:	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
particulars	particulars	n2-jn	particulars	particular	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
:	:	:	:	:	0
Wee	Wee	pns12	we	we	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
in	in	p-acp	in	in	0
endevoring	endevoring	vvg	endeavouring	endeavour	0
to	to	pc-acp	to	to	0
reduce	reduce	vvi	reduce	reduce	0
the	the	dt	the	the	0
worship	worship	n1	worship	worship	0
and	and	cc	and	and	0
ministery	ministery	n1	ministry	ministry	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
primitive	primitive	j	primitive	primitive	0
Apostolique	Apostolique	jp	Apostolic	apostolic	0
institu	institu	fw-la	institu	institu	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
from	from	p-acp	from	from	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
farr	farr	av-j	far	far	0
distant	distant	j	distant	distant	0
:	:	:	:	:	0
VVherfor	VVherfor	c-crq	Wherefore	wherefore	0
my	my	po11	my	my	0
earnest	earnest	j	earnest	earnest	0
desire	desire	n1	desire	desire	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
last	last	ord	last	last	0
writing	writing	n1	writing	writing	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
present	present	j	present	present	0
judgment	judgment	n1	judgement	judgement	0
&	&	cc	&	and	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
forth	forth	av	forth	forth	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
overthwarteth	overthwarteth	vvz	overthwarteth	overthwart	0
any	any	d	any	any	0
former	former	j	former	former	0
writing	writing	n-vvg	writing	write	0
of	of	pp-f	of	of	0
myne	myne	po11	mine	my	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
a	a	dt	a	a	0
voluntary	voluntary	j-jn	voluntary	voluntary	0
retractation	retractation	n1	retractation	retractation	0
&	&	cc	&	and	0
vnseyned	vnseyned	vvd	vnseyned	vnseyn	0
repē	repē	av-j	repen	repen	0
¦	¦	sy	¦	¦	0
tance	tance	n1	tance	tance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
former	former	j	former	former	0
errors	errors	n2	errors	error	0
&	&	cc	&	and	0
evil	evil	j-jn	evil	evil	0
wayes	wayes	n2	ways	way	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
earth	earth	n1	earth	earth	0
.	.	.	.	.	1
And	And	cc	And	and	0
lett	lett	vvb	let	let	0
no	no	dx	no	no	0
man	man	n1	man	man	0
bee	bee	vbi	be	be	0
of	of	pp-f	of	of	0
¦	¦	sy	¦	¦	0
fended	fended	vvn	fended	fend	0
at	at	p-acp	at	at	0
vs	vs	pno12	us	we	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
wee	wee	pns12	we	we	0
differ	differ	vvb	differ	differ	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
auncient	auncient	j-jn	ancient	ancient	0
brethren	brethren	n2	brothers	brethren	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seperation	seperation	n1	separation	separation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Leitourgie	Leitourgie	n1	Liturgy	liturgy	0
Presbyterie	Presbyterie	n1	Presbytery	presbytery	0
&	&	cc	&	and	0
Treasurie	Treasurie	n1	Treasury	treasury	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
wee	wee	pns12	we	we	0
hold	hold	vvb	hold	hold	0
not	not	xx	not	not	0
our	our	po12	our	our	0
sayth	sayth	vvz	say	say	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
mans	mans	ng1	men	man	0
pleasure	pleasure	n1	pleasure	pleasure	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
neyther	neyther	av-dx	neither	neither	0
doe	doe	vdb	do	do	0
wee	wee	pns12	we	we	0
bynd	bynd	vvi	bind	bind	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
to	to	pc-acp	to	to	0
walk	walk	vvi	walk	walk	0
accor	accor	n1	accor	accor	0
¦	¦	sy	¦	¦	0
ding	ding	uh	ding	ding	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
mens	mens	ng2	men's	man	0
lynes	lynes	n2	lines	line	0
further	further	jc	further	further	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
walk	walk	vvb	walk	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
:	:	:	:	:	0
neyther	neyther	av-dx	neither	neither	0
lett	lett	vvd	let	let	0
the	the	dt	the	the	0
world	world	n1	world	world	0
think	think	vvb	think	think	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
approve	approve	vvb	approve	approve	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
their	their	po32	their	their	0
practises	practises	n2	practises	practise	0
:	:	:	:	:	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
justifie	justifie	vvi	justify	justify	0
their	their	po32	their	their	0
proceedinges	proceedinges	n2-vvg	proceedings	proceed	0
or	or	cc	or	or	0
repēt	repēt	vvi	repent	repent	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
:	:	:	:	:	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
(	(	(	(	(	0
wee	wee	pns12	we	we	0
willingly	willingly	av-j	willingly	willing	0
&	&	cc	&	and	0
thankfully	thankfully	av-j	thankfully	thankful	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
)	)	)	)	)	0
receaved	receaved	vvd	received	receive	0
much	much	d	much	much	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
writinges	writinges	n2-vvg	writings	write	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
mercy	mercy	n1	mercy	mercy	0
we	we	pns12	we	we	0
alwayes	alwayes	av	always	always	0
blesse	blesse	vvb	bless	bless	0
our	our	po12	our	our	0
God	God	n1	God	god	0
:	:	:	:	:	0
&	&	cc	&	and	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
help	help	n1	help	help	0
wee	wee	pns12	we	we	0
