HE	HE	pns31	HE	he	0
there	there	a-acp	there	there	0
some	some	d	some	some	0
thynge	thynge	n1	thing	thing	0
that	that	cst	that	that	0
lacked	lacked	vvd	lacked	lack	0
,	,	,	,	,	0
I	I	pns11	I	i	0
toke	toke	vvd	took	take	0
my	my	po11	my	my	0
penne	penne	n1	pen	pen	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
stede	stede	n1	stead	stead	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
truelle	truelle	n1	truelle	truelle	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mended	mended	vvd	mended	mend	0
the	the	dt	the	the	0
faultes	faultes	n2	faults	fault	0
,	,	,	,	,	0
and	and	cc	and	and	0
added	added	vvd	added	add	0
somwhat	somwhat	av	somewhat	somewhat	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
thoughte	thoughte	vvd	thought	think	0
it	it	pn31	it	it	0
conuenyent	conuenyent	j	convenient	convenient	0
:	:	:	:	:	0
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
chance	chance	n1	chance	chance	0
some	some	d	some	some	0
thynges	thynges	n2	things	thing	0
mought	mought	vmd	might	may	0
happen	happen	vvi	happen	happen	0
to	to	pc-acp	to	to	0
escape	escape	vvi	escape	escape	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
as	as	p-acp	as	as	0
nedeful	nedeful	j	needful	needful	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
corrected	corrected	vvn	corrected	correct	0
:	:	:	:	:	0
myne	myne	po11	mine	my	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tendence	tendence	n1	tendence	tendence	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
parlyament	parlyament	n1	parliament	parliament	0
,	,	,	,	,	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lower	lower	jc	lower	low	0
house	house	n1	house	house	0
,	,	,	,	,	0
withdrawyng	withdrawyng	vvg	withdrawing	withdraw	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
ley	ley	zz	ley	ley	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
conuenyente	conuenyente	j	conuenyente	conuenyente	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fynde	fynde	vvi	find	find	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
warke	warke	n1	work	work	0
all	all	d	all	all	0
the	the	dt	the	the	0
faultes	faultes	n2	faults	fault	0
,	,	,	,	,	0
whithe	whithe	uh	whithe	whithe	0
moughte	moughte	vmd	mought	mought	0
be	be	vbi	be	be	0
amended	amended	vvn	amended	amend	0
.	.	.	.	.	1
Maye	Maye	np1	Maye	Maye	0
nowe	nowe	av	now	now	0
lyke	lyke	av-j	like	like	0
your	your	po22	your	your	0
good	good	j	good	good	0
lordshyppe	lordshyppe	n1	lordship	lordship	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
not	not	xx	not	not	0
eftesones	eftesones	av	eftsoons	eftsoons	0
the	the	dt	the	the	0
caslle	caslle	vvb	caslle	caslle	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
I	I	pns11	I	i	0
all	all	d	all	all	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ye	ye	dt	the	the	0
haue	haue	vhb	have	have	0
gyuen	gyuen	vvn	given	give	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
my	my	po11	my	my	0
good	good	j	good	good	0
wyll	wyll	n1	will	will	0
and	and	cc	and	and	0
dy	dy	zz	dy	dy	0
∣	∣	sy	∣	∣	0
lygente	lygente	n1	lygente	lygente	0
in	in	p-acp	in	in	0
amendynge	amendynge	vvg	amending	amend	0
or	or	cc	or	or	0
repayrynge	repayrynge	vvg	repairing	repair	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
is	is	vbz	is	be	0
also	also	av	also	also	0
prynted	prynted	vvn	printed	print	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
moche	moche	d	much	much	0
better	better	jc	better	better	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
consyderynge	consyderynge	vvg	considering	consider	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
no	no	dx	no	no	0
lasse	lasse	n1	lass	lass	0
do	do	vdb	do	do	0
beholde	beholde	vvi	behold	behold	0
you	you	pn22	you	you	0
cō	cō	vvi	con	con	0
∣	∣	sy	∣	∣	0
tynually	tynually	av-j	tynually	tynual	0
with	with	p-acp	with	with	0
myne	myne	po11	mine	my	0
eye	eye	n1	eye	eye	0
of	of	pp-f	of	of	0
remembrance	remembrance	n1	remembrance	remembrance	0
,	,	,	,	,	0
than	than	cs	than	than	0
they	they	pns32	they	they	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
at	at	p-acp	at	at	0
dyner	dyner	n1	dinner	dinner	0
and	and	cc	and	and	0
supper	supper	n1	supper	supper	0
do	do	vdb	do	do	0
dayly	dayly	av-j	daily	daily	0
loke	loke	vvi	look	look	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
I	I	pns11	I	i	0
wyll	wyll	vmb	will	will	0
not	not	xx	not	not	0
repete	repete	fw-it	repete	repete	0
for	for	c-acp	for	for	0
suspition	suspition	n1	suspicion	suspicion	0
of	of	pp-f	of	of	0
flattery	flattery	n1	flattery	flattery	0
.	.	.	.	.	1
Frendeshyp	Frendeshyp	n1	Friendship	friendship	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
men	men	n2	men	man	0
saye	saye	vvb	say	say	0
)	)	)	)	)	0
shulde	shulde	vmd	should	shall	0
be	be	vbi	be	be	0
requyted	requyted	vvn	requited	requit	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
craue	craue	vvb	crave	crave	0
I	I	pns11	I	i	0
none	none	pi	none	none	0
other	other	j-jn	other	other	0
thyng	thyng	n1	thing	thing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
equall	equall	j-jn	equal	equal	0
beneuolence	beneuolence	n1	benevolence	benevolence	0
,	,	,	,	,	0
and	and	cc	and	and	0
fayth	fayth	n1	faith	faith	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
suspition	suspition	n1	suspicion	suspicion	0
:	:	:	:	:	0
wherevnto	wherevnto	c-crq	whereunto	whereunto	0
actuall	actuall	j	actual	actual	0
demonstration	demonstration	n1	demonstration	demonstration	0
is	is	vbz	is	be	0
so	so	av	so	so	0
moche	moche	d	much	much	0
requisite	requisite	j	requisite	requisite	0
,	,	,	,	,	0
that	that	cst	that	that	0
without	without	a-acp	without	without	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
both	both	d	both	both	0
,	,	,	,	,	0
seeme	seeme	vvb	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
sens	sens	a-acp	since	since	0
amonge	amonge	p-acp	among	among	0
vs	vs	pno12	us	we	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
mortall	mortall	j-jn	mortal	mortal	0
,	,	,	,	,	0
thynges	thynges	n2	things	thing	0
are	are	vbr	are	be	0
moste	moste	av-ds	most	most	0
iudged	iudged	vvn	judged	judge	0
by	by	p-acp	by	by	0
outwarde	outwarde	j	outward	outward	0
tokens	tokens	n2	tokens	token	0
.	.	.	.	.	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
men	men	n2	men	man	0
be	be	vbb	be	be	0
sometyme	sometyme	av	sometime	sometime	0
deceyued	deceyued	vvn	deceived	deceive	0
,	,	,	,	,	0
Hypocry	Hypocry	np1	Hypocry	Hypocry	0
hauynge	hauynge	vhg	having	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
worlde	worlde	n1	world	world	0
soo	soo	av	so	so	0
greate	greate	j	great	great	0
a	a	dt	a	a	0
preemynence	preemynence	n1	preeminence	preeminence	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
amitie	amitie	n1	amity	amity	0
is	is	vbz	is	be	0
one	one	crd	one	one	0
rule	rule	n1	rule	rule	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
seldom	seldom	av	seldom	seldom	0
faileth	faileth	vvz	faileth	fail	0
.	.	.	.	.	1
He	He	pns31	He	he	0
that	that	cst	that	that	0
lyueth	lyueth	vvz	liveth	live	0
moderatly	moderatly	av-j	moderately	moderate	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
loue	loue	vvi	love	love	0
alway	alway	av	always	always	0
faithfully	faithfully	av-j	faithfully	faithful	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
ouer	ouer	p-acp	over	over	0
hym	hym	pno31	him	he	0
affec	affec	fw-la	affec	affec	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
and	and	cc	and	and	0
passions	passions	n2	passion	passion	0
haue	haue	vhb	have	have	0
lefte	lefte	vvn	left	leave	0
authoritie	authoritie	n1	authority	authority	0
:	:	:	:	:	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
standeth	standeth	vvz	stands	stand	0
iuste	iuste	j	just	just	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
myddell	myddell	n-jn	middle	middle	0
,	,	,	,	,	0
standeth	standeth	vvz	stands	stand	0
most	most	ds	most	most	0
surely	surely	av-j	surely	sure	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
more	more	dc	more	more	0
foly	foly	n1	folly	folly	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
frendes	frendes	n2	friends	friend	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
do	do	vdb	do	do	0
folow	folow	vvi	follow	follow	0
Fortune	Fortune	n1	Fortune	fortune	0
,	,	,	,	,	0
lyke	lyke	av-j	like	like	0
as	as	c-acp	as	as	0
swyne	swyne	n1	swine	swine	0
do	do	vdb	do	do	0
folowe	folowe	vvi	follow	follow	0
the	the	dt	the	the	0
mayden	mayden	n1	maiden	maiden	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
beareth	beareth	vvz	bears	bear	0
on	on	p-acp	on	on	0
her	her	po31	her	her	0
heed	heed	n1	heed	heed	0
a	a	dt	a	a	0
payle	payle	n1	pail	pail	0
ful	ful	j	full	full	0
of	of	pp-f	of	of	0
mylke	mylke	n1	milk	milk	0
.	.	.	.	.	1
And	And	cc	And	and	0
yf	yf	cs	if	if	0
the	the	dt	the	the	0
payle	payle	n1	pail	pail	0
falle	falle	n1	fall	fall	0
,	,	,	,	,	0
or	or	cc	or	or	0
happen	happen	vvb	happen	happen	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
emptye	emptye	j	empty	empty	0
,	,	,	,	,	0
they	they	pns32	they	they	0
wyll	wyll	vmb	will	will	0
folowe	folowe	vvi	follow	follow	0
no	no	av-dx	no	no	0
lenger	lenger	av-jc	longer	long	0
.	.	.	.	.	1
The	The	dt	The	the	0
moderate	moderate	j	moderate	moderate	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
bothe	bothe	d	both	both	0
authoritie	authoritie	n1	authority	authority	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
frende	frende	n1	friend	friend	0
equell	equell	n1	equell	equell	0
,	,	,	,	,	0
bycause	bycause	c-acp	because	because	0
that	that	cst	that	that	0
vertue	vertue	n1	virtue	virtue	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
on	on	zz	on	on	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
that	that	cst	that	that	0
remaynyng	remaynyng	vvg	remaining	remain	0
,	,	,	,	,	0
his	his	po31	his	his	0
mynde	mynde	n1	mind	mind	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
suche	suche	d	such	such	0
wyse	wyse	n1	wise	wise	0
thervnto	thervnto	av	thereunto	thereunto	0
ioyned	ioyned	vvn	joined	join	0
,	,	,	,	,	0
that	that	cst	that	that	0
although	although	cs	although	although	0
authorytie	authorytie	n1	authorytie	authority	0
happen	happen	vvb	happen	happen	0
to	to	pc-acp	to	to	0
slyppe	slyppe	vvi	slip	slip	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
that	that	d	that	that	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
maye	maye	vmb	may	may	0
neuer	neuer	av-x	never	never	0
be	be	vbi	be	be	0
seuered	seuered	vvn	severed	sever	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
frendeshyppe	frendeshyppe	n1	frendeshyppe	frendeshyppe	0
perchaunce	perchaunce	av	perchance	perchance	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
nedeth	nedeth	vvz	needeth	need	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
who	who	q-crq	who	who	0
wylle	wylle	vmb	will	will	0
not	not	xx	not	not	0
wysshe	wysshe	vvi	wish	wish	0
,	,	,	,	,	0
(	(	(	(	(	0
yf	yf	cs	if	if	0
it	it	pn31	it	it	0
moughte	moughte	vmd	mought	mought	0
happen	happen	vvi	happen	happen	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
suche	suche	d	such	such	0
a	a	dt	a	a	0
treasour	treasour	n1	treasure	treasure	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
neyther	neyther	dx	neither	neither	0
the	the	dt	the	the	0
moun	moun	fw-fr	moun	moun	0
∣	∣	sy	∣	∣	0
taynes	taynes	vvz	tains	tain	0
of	of	pp-f	of	of	0
Ethiope	Ethiope	np1	Ethiope	Ethiope	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
ryuers	ryuers	n2	rivers	river	0
of	of	pp-f	of	of	0
Inde	Inde	np1	Inde	Ind	0
do	do	vdb	do	do	0
conteyne	conteyne	vvi	contain	contain	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
therto	therto	av	thereto	thereto	0
compared	compared	vvn	compared	compare	0
.	.	.	.	.	1
Cal	Cal	np1	Cal	Cal	0
∣	∣	sy	∣	∣	0
limachus	limachus	fw-la	limachus	limachus	0
an	an	dt	and	a	0
auncient	auncient	j-jn	ancient	ancient	0
poete	poete	n1	poet	poet	0
sayth	sayth	vvz	say	say	0
,	,	,	,	,	0
Puissance	Puissance	n1	Puissance	puissance	0
is	is	vbz	is	be	0
dredefull	dredefull	j	dreadful	dreadful	0
:	:	:	:	:	0
Rychesse	Rychesse	n2	Richesse	richesse	0
is	is	vbz	is	be	0
honourable	honourable	j	honourable	honourable	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
loue	loue	vvb	love	love	0
for	for	p-acp	for	for	0
suretie	suretie	n1	surety	surety	0
is	is	vbz	is	be	0
moste	moste	av-ds	most	most	0
incomparable	incomparable	j	incomparable	incomparable	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
perceyueth	perceyueth	vvz	perceiveth	perceive	0
herein	herein	av	herein	herein	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
your	your	po22	your	your	0
good	good	j	good	good	0
lordshyppe	lordshyppe	n1	lordship	lordship	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
besydes	besydes	p-acp	besides	beside	0
the	the	dt	the	the	0
aboundaunte	aboundaunte	j	aboundaunte	aboundaunte	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
hysto	hysto	n1	hysto	hysto	0
∣	∣	sy	∣	∣	0
ryes	ryes	n1	ryes	ryes	0
and	and	cc	and	and	0
naturall	naturall	j	natural	natural	0
wytte	wytte	n1	wit	wit	0
,	,	,	,	,	0
also	also	av	also	also	0
concernynge	concernynge	vvg	concerning	concern	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
sondry	sondry	j	sundry	sundry	0
experiences	experiences	n2	experiences	experience	0
,	,	,	,	,	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
saye	saye	vvb	say	say	0
without	without	p-acp	without	without	0
flatterye	flatterye	n1	flattery	flattery	0
,	,	,	,	,	0
are	are	vbr	are	be	0
equalle	equalle	j-jn	equal	equal	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
noble	noble	j	noble	noble	0
man	man	n1	man	man	0
lyuynge	lyuynge	vvg	living	live	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
this	this	d	this	this	0
my	my	po11	my	my	0
longe	longe	j	long	long	0
tale	tale	n1	tale	tale	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
su	su	n1	sum	sum	0
∣	∣	sy	∣	∣	0
perfluous	perfluous	j	perfluous	perfluous	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
is	is	vbz	is	be	0
tolde	tolde	vvn	told	tell	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
teache	teache	vvi	teach	teach	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
renewe	renewe	vvi	renew	renew	0
your	your	po22	your	your	0
lordeshyppes	lordeshyppes	n2	lordeshyppes	lordeshyppe	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
braunce	braunce	n1	braunce	braunce	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
alway	alway	av	always	always	0
present	present	j	present	present	0
,	,	,	,	,	0
specially	specially	av-j	specially	special	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
brayne	brayne	n1	brain	brain	0
is	is	vbz	is	be	0
choked	choked	vvn	choked	choke	0
with	with	p-acp	with	with	0
worldely	worldely	j	worldly	worldly	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
of	of	pp-f	of	of	0
weyghtye	weyghtye	j	weighty	weighty	0
importaunce	importaunce	n1	importance	importance	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
suche	suche	d	such	such	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
hauynge	hauynge	vhg	having	have	0
lyttell	lyttell	j	little	little	0
and	and	cc	and	and	0
lyttell	lyttell	av-j	little	little	0
to	to	pc-acp	to	to	0
doo	doo	vdi	do	do	0
,	,	,	,	,	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
braunce	braunce	n1	braunce	braunce	0
standeth	standeth	vvz	stands	stand	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
lybertie	lybertie	n1	liberty	liberty	0
,	,	,	,	,	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
more	more	av-dc	more	more	0
often	often	av	often	often	0
thynke	thynke	vvb	think	think	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
bothe	bothe	d	both	both	0
herde	herde	n1	herd	herd	0
and	and	cc	and	and	0
sene	sene	vvn	seen	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
chesyng	chesyng	vvg	chesyng	chesyng	0
fren	fren	n2	fren	fren	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
,	,	,	,	,	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
circumspecte	circumspecte	j	circumspect	circumspect	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
leste	leste	cs	lest	lest	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
frendshyppe	frendshyppe	n1	friendship	friendship	0
edyouse	edyouse	j	edyouse	edyouse	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
rehersalle	rehersalle	vvi	rehersalle	rehersalle	0
,	,	,	,	,	0
I	I	pns11	I	i	0
nowe	nowe	av	now	now	0
conclude	conclude	vvi	conclude	conclude	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
this	this	d	this	this	0
lyttelle	lyttelle	n1	lyttelle	lyttelle	0
warke	warke	n1	work	work	0
a	a	dt	a	a	0
monumente	monumente	n1	monument	monument	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
longe	longe	av-j	long	long	0
contynewed	contynewed	vvd	continued	continue	0
affection	affection	n1	affection	affection	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
borne	borne	vvn	born	bear	0
towarde	towarde	p-acp	toward	toward	0
your	your	po22	your	your	0
lordeshyppe	lordeshyppe	n1	lordeshyppe	lordeshyppe	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
perpetuall	perpetuall	j	perpetual	perpetual	0
wytnesse	wytnesse	n1	witness	witness	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
deserued	deserued	vvn	deserved	deserve	0
soo	soo	av	so	so	0
moche	moche	d	much	much	0
of	of	pp-f	of	of	0
youre	youre	po22	your	your	0
fauoure	fauoure	n1	favour	favour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
mutuall	mutuall	j	mutual	mutual	0
frendshyppe	frendshyppe	n1	friendship	friendship	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
rayson	rayson	j	rayson	rayson	0
requy	requy	n1	requy	requy	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
;	;	;	;	;	0
whyche	whyche	r-crq	which	which	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
easylye	easylye	av-j	easily	easy	0
payed	payed	vvn	paid	pay	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
graunted	graunted	vvn	granted	grant	0
,	,	,	,	,	0
yf	yf	cs	if	if	0
in	in	p-acp	in	in	0
place	place	n1	place	place	0
