KIng	KIng	n1	KIng	king	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Modell	Modell	n1	Model	model	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common-wealth	common-wealth	n1	commonwealth	commonwealth	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
end	end	n1	end	end	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
person	person	n1	person	person	0
came	came	vvd	came	come	0
over	over	a-acp	over	over	0
into	into	p-acp	into	into	0
Ireland	Ireland	np1	Ireland	Ireland	0
the	the	dt	the	the	0
second	second	ord	second	second	0
time	time	n1	time	time	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twelfth	twelfth	ord	twelfth	twelve	0
yeare	yeare	n1	year	year	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
raigne	raigne	n1	reign	reign	0
)	)	)	)	)	0
he	he	pns31	he	he	0
brought	brought	vvd	brought	bring	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
many	many	d	many	many	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
persons	persons	n2	persons	person	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Officers	Officers	n2	Officers	officer	0
,	,	,	,	,	0
&	&	cc	&	and	0
ministers	ministers	n2	ministers	minister	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
sorts	sorts	n2	sorts	sort	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
the	the	dt	the	the	0
English	English	jp	English	english	0
lawes	lawes	n2	laws	law	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
:	:	:	:	:	0
whereof	whereof	c-crq	whereof	whereof	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
notable	notable	j	notable	notable	0
record	record	n1	record	record	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Tower	Tower	n1	Tower	tower	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
11.	11.	crd	11.	11.	1
Henr.	Henr.	np1	Henr.	Henr.	0
3.	3.	crd	3.	3.	1
Patent	Patent	n1	Patent	patent	0
.	.	.	.	.	1
Membr	Membr	n1	Member	member	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
agreeing	agreeing	vvg	agreeing	agree	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
related	related	vvn	related	relate	0
by	by	p-acp	by	by	0
Matth.	Matth.	np1	Matth.	Matth.	0
Paris	Paris	np1	Paris	Paris	0
.	.	.	.	.	0
histor	histor	n1	histor	histor	0
.	.	.	.	.	0
magn	magn	n1	magn	magn	0
.	.	.	.	.	0
sol	sol	fw-la	sol	sol	0
.	.	.	.	.	1
220	220	crd	220	220	0
b	b	sy	b	b	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
the	the	dt	the	the	0
recordes	recordes	n2	records	record	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
legall	legall	j	legal	legal	0
Actes	Actes	n2	Acts	act	0
&	&	cc	&	and	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
the	the	dt	the	the	0
Piperolls	Piperolls	n2	Piperolls	piperoll	0
,	,	,	,	,	0
containing	containing	vvg	containing	contain	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
revenue	revenue	n1	revenue	revenue	0
both	both	d	both	both	0
Cer	Cer	np1	Cer	Cer	0
∣	∣	sy	∣	∣	0
taine	taine	zz	taine	taine	0
&	&	cc	&	and	0
casuall	casuall	j	casual	casual	0
,	,	,	,	,	0
the	the	dt	the	the	0
Plearolls	Plearolls	n2	Plearolls	plearoll	0
,	,	,	,	,	0
containing	containing	vvg	containing	contain	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
Common	Common	j	Common	common	0
pleas	pleas	n2	pleasant	plea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
pleas	pleas	n2	pleasant	plea	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Crowne	Crowne	n1	Crown	crown	0
,	,	,	,	,	0
Parliament	Parliament	n1	Parliament	parliament	0
Rolls	Rolls	n2	Rolls	roll	0
,	,	,	,	,	0
Charters	Charters	n2	Charters	charter	0
,	,	,	,	,	0
Patents	Patents	n2	Patents	patent	0
,	,	,	,	,	0
Commissions	Commissions	n2	Commissions	commission	0
,	,	,	,	,	0
&	&	cc	&	and	0
Inqui	Inqui	fw-la	Inqui	inqui	0
∣	∣	sy	∣	∣	0
sitions	sitions	n2	sitions	sition	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
made	made	vvn	made	make	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
forme	forme	n1	form	form	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
kings	kings	ng1	kings	king	0
time	time	n1	time	time	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
the	the	dt	the	the	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
VI	VI	crd	VI	vi	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
sension	sension	n1	sension	sension	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
two	two	crd	two	two	0
Royall	Royall	j	Royal	royal	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
neglecting	neglecting	vvg	neglecting	neglect	0
the	the	dt	the	the	0
gouernment	gouernment	n1	government	government	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
the	the	dt	the	the	0
Clarks	Clarks	n2	Clark's	clark	0
and	and	cc	and	and	0
Officers	Officers	n2	Officers	officer	0
grewe	grewe	vvd	grew	grow	0
also	also	av	also	also	0
negligent	negligent	j	negligent	negligent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
execution	execution	n1	execution	execution	0
of	of	pp-f	of	of	0
theire	theire	po32	their	their	0
severall	severall	j	several	several	0
places	places	n2	places	place	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
auncient	auncient	j-jn	ancient	ancient	0
recordes	recordes	n2	records	record	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
embezeled	embezeled	vvn	embezzled	embezzle	0
,	,	,	,	,	0
&	&	cc	&	and	0
many	many	d	many	many	0
haue	haue	vhb	have	have	0
perished	perished	vvn	perished	perish	0
by	by	p-acp	by	by	0
carlesse	carlesse	j	careless	careless	0
keeping	keeping	n-vvg	keeping	keep	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
divers	divers	j	diverse	diverse	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
sortes	sortes	n2	sorts	sort	0
doe	doe	vdb	do	do	0
yet	yet	av	yet	yet	0
remaine	remaine	vvi	remain	remain	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
faire	faire	j	fair	fair	0
&	&	cc	&	and	0
authentique	authentique	j	authentic	authentic	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
during	during	p-acp	during	during	0
all	all	d	all	all	0
the	the	dt	the	the	0
time	time	n1	time	time	0
that	that	cst	that	that	0
the	the	dt	the	the	0
lawes	lawes	n2	laws	law	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
theire	theire	po32	their	their	0
course	course	n1	course	course	0
in	in	p-acp	in	in	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
nowe	nowe	av	now	now	0
full	full	j	full	full	0
foure	foure	crd	foure	four	0
hundred	hundred	crd	hundred	hundred	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
any	any	d	any	any	0
Report	Report	n1	Report	report	0
made	made	vvn	made	make	0
&	&	cc	&	and	0
published	published	vvn	published	publish	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Case	Case	n1	Case	case	0
in	in	p-acp	in	in	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
argued	argued	vvn	argued	argue	0
,	,	,	,	,	0
or	or	cc	or	or	0
adiudged	adiudged	vvd	adjudged	adjudge	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
all	all	d	all	all	0
the	the	dt	the	the	0
arguments	arguments	n2	arguments	argument	0
&	&	cc	&	and	0
reasons	reasons	n2	reasons	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
iudgements	iudgements	n2	judgements	judgement	0
&	&	cc	&	and	0
resolutions	resolutions	n2	resolutions	resolution	0
giuen	giuen	vvn	given	give	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
hitherto	hitherto	av	hitherto	hitherto	0
beene	beene	vbn	been	be	0
vtterly	vtterly	av-j	utterly	utter	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
&	&	cc	&	and	0
buried	buried	vvn	buried	bury	0
in	in	p-acp	in	in	0
oblivion	oblivion	n1	oblivion	oblivion	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
seemeth	seemeth	vvz	seems	seem	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
straunge	straunge	j	strange	strange	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
there	there	pc-acp	there	there	0
haue	haue	vhi	have	have	0
beene	beene	vbn	been	be	0
within	within	p-acp	within	within	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
age	age	n1	age	age	0
since	since	p-acp	since	since	0
the	the	dt	the	the	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Iohn	Iohn	np1	Iohn	John	0
,	,	,	,	,	0
men	men	n2	men	man	0
sufficienly	sufficienly	av-j	sufficiently	sufficient	0
learned	learned	vvn	learned	learn	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
deriued	deriued	vvn	derived	derive	0
theire	theire	po32	their	their	0
learning	learning	n1	learning	learning	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fountaines	fountaines	n2	fountains	fountain	0
of	of	pp-f	of	of	0
lawe	lawe	n1	law	law	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
the	the	dt	the	the	0
Innes	Innes	n2	Inns	inn	0
of	of	pp-f	of	of	0
Court	Court	n1	Court	court	0
there	there	a-acp	there	there	0
(	(	(	(	(	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
florishing	florishing	vvg	flourishing	flourish	0
&	&	cc	&	and	0
honorable	honorable	j	honourable	honourable	0
Academy	Academy	n1	Academy	academy	0
of	of	pp-f	of	of	0
gentlemen	gentlemen	n2	gentlemen	gentleman	0
,	,	,	,	,	0
that	that	cst	that	that	0
euer	euer	av	ever	ever	0
was	was	vbds	was	be	0
established	established	vvn	established	establish	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
study	study	n1	study	study	0
&	&	cc	&	and	0
learning	learning	n1	learning	learning	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Municipall	Municipall	j	Municipal	municipal	0
lawes	lawes	n2	laws	law	0
thereof	thereof	av	thereof	thereof	0
)	)	)	)	)	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
beene	beene	vbn	been	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
duced	duced	wd	duced	duced	0
to	to	pc-acp	to	to	0
imitate	imitate	vvi	imitate	imitate	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Norman	Norman	jp	Norman	norman	0
Conquest	Conquest	n1	Conquest	conquest	0
downewards	downewards	av-j	downwards	downward	0
,	,	,	,	,	0
did	did	vdd	did	do	0
continually	continually	av-j	continually	continual	0
preseiue	preseiue	vvi	preseiue	preseiue	0
the	the	dt	the	the	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
notable	notable	j	notable	notable	0
cases	cases	n2	cases	case	0
as	as	a-acp	as	as	0
did	did	vdd	did	do	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
arise	arise	vvb	arise	arise	0
,	,	,	,	,	0
&	&	cc	&	and	0
where	where	c-crq	where	where	0
argued	argued	vvn	argued	argue	0
and	and	cc	and	and	0
ruled	ruled	vvn	ruled	rule	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
Iustice	Iustice	n1	Justice	justice	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reducing	reducing	vvg	reducing	reduce	0
the	the	dt	the	the	0
same	same	d	same	same	0
into	into	p-acp	into	into	0
bookes	bookes	n2	books	book	0
of	of	pp-f	of	of	0
Reports	Reports	n2	Reports	report	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
called	called	vvn	called	call	0
,	,	,	,	,	0
not	not	xx	not	not	0
improperly	improperly	av-j	improperly	improper	0
,	,	,	,	,	0
the	the	dt	the	the	0
Annalles	Annalles	np2	Annalles	annalle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
albeit	albeit	cs	albeit	albeit	0
our	our	po12	our	our	0
Reports	Reports	n2	Reports	report	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
Print	Print	n1	Print	print	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
beginn	beginn	vvi	begin	begin	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Edw.	Edw.	np1	Edw.	Edw.	0
III	III	np1	III	Iii	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
broken	broken	j-vvn	broken	break	0
Cases	Cases	n2	Cases	case	0
of	of	pp-f	of	of	0
elder	elder	jc	elder	old	0
times	times	n2	times	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
scattered	scattered	vvn	scattered	scatter	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Abridgements	Abridgements	n2	Abridgements	abridgement	0
,	,	,	,	,	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
found	found	vvn	found	find	0
higher	higher	jc	higher	high	0
then	then	cs	then	than	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Henry	Henry	np1	Henry	Henry	0
III	III	np1	III	Iii	0
.	.	.	.	.	0
yet	yet	av	yet	yet	0
assuredly	assuredly	av-vvn	assuredly	assure	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
other	other	j-jn	other	other	0
Reports	Reports	n2	Reports	report	0
digested	digested	vvn	digested	digest	0
in	in	p-acp	in	in	0
yeares	yeares	n2	years	year	0
&	&	cc	&	and	0
Tearmes	Tearmes	n2	Terms	term	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
auncient	auncient	j-jn	ancient	ancient	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
William	William	np1	William	William	0
the	the	dt	the	the	0
Conqueror	Conqueror	n1	Conqueror	conqueror	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
appeareth	appeareth	vvz	appears	appear	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
Chaucer	Chaucer	np1	Chaucer	Chaucer	0
writteth	writteth	vvz	writeth	write	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Seriaunt	Seriaunt	j	Seriaunt	seriaunt	0
at	at	p-acp	at	at	0
lawe	lawe	n1	law	law	0
In	In	p-acp	In	in	0
Termes	Termes	n2	Terms	term	0
had	had	vhd	had	have	0
hee	hee	pns31	he	he	0
Cases	Cases	n2	Cases	case	0
and	and	cc	and	and	0
Doomes	Doomes	n2	Dooms	doom	0
all	all	d	all	all	0
,	,	,	,	,	0
That	That	cst	That	that	0
fro	fro	p-acp	from	from	0
that	that	d	that	that	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
William	William	np1	William	William	0
were	were	vbdr	were	be	0
fall	fall	vvn	fallen	fall	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
doth	doth	vdz	does	do	0
Glanuill	Glanuill	n1	Glanuill	glanuill	0
or	or	cc	or	or	0
Bracton	Bracton	np1	Bracton	Bracton	0
disaffirme	disaffirme	vvb	disaffirme	disaffirme	0
this	this	d	this	this	0
antiquity	antiquity	n1	antiquity	antiquity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reports	Reports	n2	Reports	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
affirme	affirme	vvb	affirm	affirm	0
that	that	cst	that	that	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
was	was	vbds	was	be	0
Ius	Ius	np1	Ius	Ius	0
non	non	fw-fr	non	non	0
scriptum	scriptum	fw-la	scriptum	scriptum	0
in	in	p-acp	in	in	0
theire	theire	po32	their	their	0
times	times	n2	times	time	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
hath	hath	vhz	hath	have	0
noted	noted	vvn	noted	note	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
most	most	av-ds	most	most	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
graue	graue	j	graven	grave	0
,	,	,	,	,	0
&	&	cc	&	and	0
prudent	prudent	j	prudent	prudent	0
speech	speech	n1	speech	speech	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
Postnati	Postnati	n1	Postnati	postnati	0
of	of	pp-f	of	of	0
Scotland	Scotland	np1	Scotland	Scotland	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
indeede	indeede	av	indeed	indeed	0
those	those	d	those	those	0
Reports	Reports	n2	Reports	report	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
Comments	Comments	n2	Comments	comment	0
or	or	cc	or	or	0
interpretations	interpretations	n2	interpretations	interpretation	0
vppon	vppon	p-acp	upon	upon	0
the	the	dt	the	the	0
Text	Text	n1	Text	text	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
lawe	lawe	n1	law	law	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
Text	Text	n1	Text	text	0
was	was	vbds	was	be	0
neuer	neuer	av-x	never	never	0
originally	originally	av-j	originally	original	0
written	written	vvn	written	write	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hath	hath	vhz	hath	have	0
euer	euer	av	ever	ever	0
bin	bin	vbn	been	be	0
preserued	preserued	vvn	preserved	preserve	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
mory	mory	n1	mory	mory	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
though	though	cs	though	though	0
no	no	dx	no	no	0
mans	mans	ng1	men	man	0
memory	memory	n1	memory	memory	0
can	can	vmb	can	can	0
reach	reach	vvi	reach	reach	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
originall	originall	n-jn	original	original	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
lawe	lawe	n1	law	law	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
else	else	av	else	else	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
custome	custome	n1	custom	custom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
:	:	:	:	:	0
And	And	cc	And	and	0
a	a	dt	a	a	0
custome	custome	n1	custom	custom	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
obtained	obtained	vvn	obtained	obtain	0
the	the	dt	the	the	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
is	is	vbz	is	be	0
alwayes	alwayes	av	always	always	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
