Mr.	Mr.	n1	Mr.	mr.	0
Thee	Thee	pno21	Thee	thou	0
truelie	truelie	av-j	truly	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
heauen	heauen	n1	heaven	heaven	0
∣	∣	sy	∣	∣	0
lie	lie	vvb	lie	lie	0
affection	affection	n1	affection	affection	0
ouercommeth	ouercommeth	vvz	overcometh	overcome	0
it	it	pn31	it	it	0
twise	twise	av	twice	twice	0
;	;	;	;	;	0
once	once	a-acp	once	once	0
in	in	p-acp	in	in	0
vnspeakeable	vnspeakeable	j	unspeakable	unspeakable	0
softning	softning	j-vvg	softening	soften	0
sweetnesse	sweetnesse	n1	sweetness	sweetness	0
;	;	;	;	;	0
nixt	nixt	ord	nixt	nixt	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
vnsufficiencie	vnsufficiencie	n1	unsufficiency	unsufficiency	0
to	to	pc-acp	to	to	0
vtter	vtter	vvi	utter	utter	0
it	it	pn31	it	it	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
this	this	d	this	this	0
is	is	vbz	is	be	0
some	some	d	some	some	0
remeede	remeede	n1	remeede	remeede	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
poure	poure	vvi	pour	pour	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
immediatelie	immediatelie	av-j	immediately	immediate	0
vpon	vpon	p-acp	upon	upon	0
Thee	Thee	pno21	Thee	thou	0
:	:	:	:	:	0
Words	Words	n2	Words	word	0
&	&	cc	&	and	0
writes	writes	vvz	writes	write	0
come	come	vvb	come	come	0
shorter	shorter	jc	shorter	short	0
than	than	cs	than	than	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
and	and	cc	and	and	0
thoughts	thoughts	vvd	thoughts	think	0
shorter	shorter	jc	shorter	short	0
than	than	cs	than	than	0
the	the	dt	the	the	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
the	the	dt	the	the	0
onelie	onelie	j	only	only	0
just	just	j	just	just	0
and	and	cc	and	and	0
equall	equall	j-jn	equal	equal	0
expressing	expressing	vvg	expressing	express	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
thrust	thrust	vvi	thrust	thrust	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
on	on	p-acp	on	on	0
Thee	Thee	pno21	Thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
adhere	adhere	vvi	adhere	adhere	0
and	and	cc	and	and	0
inhere	inhere	vvi	inhere	inhere	0
in	in	p-acp	in	in	0
Thee	Thee	pno21	Thee	thou	0
continuallie	continuallie	av-j	continually	continual	0
.	.	.	.	.	1
It	It	pn31	It	it	0
suffi	suffi	n2	suffi	suffi	0
∣	∣	sy	∣	∣	0
ceth	ceth	vvz	ceth	ce	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
Thou	Thou	pns21	Thou	thou	0
knowest	knowest	vv2	knowest	know	0
mine	mine	po11	mine	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
thine	thine	po21	thine	thy	0
owne	owne	d	own	own	0
worke	worke	n1	work	work	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
the	the	dt	the	the	0
Meditations	Meditations	n2	Meditations	meditation	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
heart	heart	n1	heart	heart	0
and	and	cc	and	and	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
bee	bee	n1	bee	bee	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
ceptable	ceptable	j	ceptable	ceptable	0
to	to	pc-acp	to	to	0
Thee	Thee	pno21	Thee	thou	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
my	my	po11	my	my	0
Strength	Strength	n1	Strength	strength	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
Redeemer	Redeemer	n1	Redeemer	redeemer	0
,	,	,	,	,	0
and	and	cc	and	and	0
direct	direct	vvb	direct	direct	0
Thou	Thou	pns21	Thou	thou	0
the	the	dt	the	the	0
workes	workes	n2	works	work	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
may	may	vmb	may	may	0
serue	serue	vvi	serve	serve	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
magnifying	magnifying	vvg	magnifying	magnify	0
of	of	pp-f	of	of	0
Thy	Thy	po21	Thy	thy	0
glorious	glorious	j	glorious	glorious	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
edifying	edifying	vvg	edifying	edify	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
.	.	.	.	.	1
AMEN	AMEN	uh-n	AMEN	amen	0
.	.	.	.	.	1
