EVen	EVen	av	EVen	even	0
beloved	beloved	j-vvn	beloved	belove	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
have	have	vhi	have	have	0
freed	freed	vvn	freed	free	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
three	three	crd	three	three	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
provi	provi	fw-la	provi	provi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
,	,	,	,	,	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
General	General	n1	General	general	0
and	and	cc	and	and	0
your	your	po22	your	your	0
good	good	j	good	good	0
endeavors	endeavors	n2	endeavors	endeavour	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
zarding	zarding	vvg	zarding	zard	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
lives	lives	n2	lives	life	0
and	and	cc	and	and	0
fortunes	fortunes	n2	fortune's	fortune	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
bondage	bondage	n1	bondage	bondage	0
of	of	pp-f	of	of	0
tyrannical	tyrannical	j	tyrannical	tyrannical	0
Kings	Kings	n2	Kings	king	0
the	the	dt	the	the	0
restoring	restoring	vvg	restoring	restore	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self	self	n1	self	self	0
and	and	cc	and	and	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Common	Common	j	Common	common	0
∣	∣	sy	∣	∣	0
wealth	wealth	n1	wealth	wealth	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
prestine	prestine	j	prestine	prestine	0
freedoms	freedoms	n2	freedoms	freedom	0
and	and	cc	and	and	0
priviledges	priviledges	n2	privileges	privilege	0
of	of	pp-f	of	of	0
true	true	j	true	true	0
English	English	jp	English	english	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
delivering	delivering	vvg	delivering	deliver	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
bonage	bonage	n1	bonage	bonage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Norman	Norman	jp	Norman	norman	0
yoak	yoak	n1	yoke	yoke	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
now	now	av	now	now	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
free	free	j	free	free	0
people	people	n1	people	people	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
is	is	vbz	is	be	0
there	there	pc-acp	there	there	0
any	any	d	any	any	0
Nation	Nation	n1	Nation	nation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
like	like	av-j	like	like	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
be	be	vbb	be	be	0
both	both	d	both	both	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
ingenious	ingenious	j	ingenious	ingenious	0
people	people	n1	people	people	0
;	;	;	;	;	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
writ	writ	vvn	writ	write	0
this	this	d	this	this	0
Meta	Meta	np1	Meta	Meta	0
∣	∣	sy	∣	∣	0
phorical	phorical	j	phorical	phorical	0
and	and	cc	and	and	0
Hieroglyphical	Hieroglyphical	j	Hieroglyphical	hieroglyphical	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
thankfulness	thankfulness	n1	thankfulness	thankfulness	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
dedica	dedica	fw-la	dedica	dedica	0
∣	∣	sy	∣	∣	0
ted	ted	vvn	ted	t	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
General	General	n1	General	general	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
place	place	n1	place	place	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
next	next	ord	next	next	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
free-born	free-born	j	freeborn	freeborn	0
English	English	jp	English	english	0
man	man	n1	man	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
desires	desires	vvz	desires	desire	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Hosts	Hosts	n2	Hosts	host	0
in	in	p-acp	in	in	0
spirit	spirit	n1	spirit	spirit	0
and	and	cc	and	and	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
King	King	n1	King	king	0
Jesus	Jesus	np1	Jesus	Jesus	0
your	your	po22	your	your	0
heavenly	heavenly	j	heavenly	heavenly	0
Captaine	Captaine	n1	Captain	captain	0
General	General	n1	General	general	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
owned	owned	vvd	owned	own	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
General	General	n1	General	general	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
battel	battel	n1	battle	battle	0
,	,	,	,	,	0
and	and	cc	and	and	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
so	so	av	so	so	0
many	many	d	many	many	0
notable	notable	j	notable	notable	0
victories	victories	n2	victories	victory	0
over	over	p-acp	over	over	0
your	your	po22	your	your	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Commonwealths	Commonwealths	n2	Commonwealths	commonwealth	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
teach	teach	vvi	teach	teach	0
and	and	cc	and	and	0
instruct	instruct	vvi	instruct	instruct	0
you	you	pn22	you	you	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
these	these	d	these	these	0
victories	victories	n2	victories	victory	0
the	the	dt	the	the	0
living	living	j-vvg	living	live	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
fetching	fetching	vvg	fetching	fetch	0
of	of	pp-f	of	of	0
justice	justice	n1	justice	justice	0
and	and	cc	and	and	0
mercy	mercy	n1	mercy	mercy	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
again	again	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
establishing	establishing	vvg	establishing	establish	0
them	them	pno32	them	they	0
here	here	av	here	here	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
Methusalah	Methusalah	np1	Methusalah	Methusalah	0
;	;	;	;	;	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
advise	advise	vvi	advice	advise	0
you	you	pn22	you	you	0
speedily	speedily	av-j	speedily	speedy	0
to	to	pc-acp	to	to	0
pe	pe	zz	pe	pe	0
∣	∣	sy	∣	∣	0
tition	tition	n1	tition	tition	0
his	his	po31	his	his	0
Excellency	Excellency	n1	Excellency	excellency	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
hereafter	hereafter	av	hereafter	hereafter	0
remonstrated	remonstrated	vvn	remonstrated	remonstrate	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
free	free	vvi	free	free	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
plague	plague	n1	plague	plague	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
imminent	imminent	j	imminent	imminent	0
dangers	dangers	n2	dangers	danger	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Solar	Solar	j	Solar	solar	0
Eclipse	Eclipse	n1	Eclipse	eclipse	0
this	this	d	this	this	0
March	March	n1	March	march	0
doth	doth	vdz	does	do	0
threaten	threaten	vvi	threaten	threaten	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
mankinde	mankinde	n1	mankind	mankind	0
;	;	;	;	;	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
fear	fear	vvb	fear	fear	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
live	live	vvi	live	live	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
labors	labors	n2	labors	labor	0
)	)	)	)	)	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
sure	sure	j	sure	sure	0
to	to	pc-acp	to	to	0
learn	learn	vvi	learn	learn	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
unto	unto	p-acp	unto	unto	0
every	every	d	every	every	0
man	man	n1	man	man	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
unto	unto	p-acp	unto	unto	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
,	,	,	,	,	0
I	I	pns11	I	i	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
vowed	vowed	vvn	vowed	vow	0
to	to	pc-acp	to	to	0
eat	eat	vvi	eat	eat	0
no	no	dx	no	no	0
bread	bread	n1	bred	bread	0
for	for	p-acp	for	for	0
six	six	crd	six	six	0
moneths	moneths	n2	months	month	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
abled	abled	j-vvn	abled	able	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
my	my	po11	my	my	0
promise	promise	n1	promise	promise	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
cloath	cloath	n1	cloth	cloth	0
you	you	pn22	you	you	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
scarlet	scarlet	n-jn	scarlet	scarlet	0
,	,	,	,	,	0
and	and	cc	and	and	0
gaine	gaine	vvi	gain	gain	0
all	all	d	all	all	0
your	your	po22	your	your	0
ariears	ariears	n2	ariears	ariear	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
ingagement	ingagement	n1	engagement	engagement	0
:	:	:	:	:	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
case	case	n1	case	case	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
,	,	,	,	,	0
nevertheless	nevertheless	av	nevertheless	nevertheless	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
good	good	j	good	good	0
conscience	conscience	n1	conscience	conscience	0
done	done	vdn	done	do	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
Almighty	Almighty	j-jn	Almighty	almighty	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
Given	Given	vvn	Given	give	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
quarters	quarters	n2	quarters	quarter	0
this	this	d	this	this	0
7	7	crd	7	7	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
1651	1651	crd	1651	1651	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sixteenth	sixteenth	ord	sixteenth	sixteenth	0
week	week	n1	week	week	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
abstinence	abstinence	n1	abstinence	abstinence	0
from	from	p-acp	from	from	0
food	food	n1	food	food	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
mercy	mercy	n1	mercy	mercy	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
