SOlons	SOlons	ng1	SOlons	solon	0
spurre	spurre	n1	spur	spur	0
of	of	pp-f	of	of	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
zeale	zeale	n1	zeal	zeal	0
,	,	,	,	,	0
and	and	cc	and	and	0
hartie	hartie	j	hearty	hearty	0
desire	desire	n1	desire	desire	0
to	to	p-acp	to	to	0
good	good	j	good	good	0
the	the	dt	the	the	0
Region	Region	n1	Region	region	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
first	first	ord	first	first	0
tooke	tooke	vvd	took	take	0
breath	breath	n1	breath	breath	0
(	(	(	(	(	0
though	though	cs	though	though	0
little	little	av-j	little	little	0
carefull	carefull	j	careful	careful	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vtmost	vtmost	j	utmost	utmost	0
stretch	stretch	vvi	stretch	stretch	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
poor	poor	j	poor	poor	0
abilitie	abilitie	n1	ability	ability	0
,	,	,	,	,	0
I	I	pns11	I	i	0
bring	bring	vvb	bring	bring	0
here	here	av	here	here	0
my	my	po11	my	my	0
endeuour	endeuour	n1	endeavour	endeavour	0
,	,	,	,	,	0
and	and	cc	and	and	0
translati	translati	fw-la	translati	translati	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
vulgar	vulgar	j	vulgar	vulgar	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
helpe	helpe	n1	help	help	0
and	and	cc	and	and	0
instructi	instructi	fw-la	instructi	instructi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
simple	simple	j	simple	simple	0
.	.	.	.	.	1
The	The	dt	The	the	0
due	due	j-jn	due	due	0
commendations	commendations	n2	commendations	commendation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thor	thor	n1	thor	thor	0
and	and	cc	and	and	0
Subiect	Subiect	n-jn	Subject	subject	0
farre	farre	av-j	far	far	0
exceedeth	exceedeth	vvz	exceeds	exceed	0
my	my	po11	my	my	0
reach	reach	n1	reach	reach	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
do	do	vdb	do	do	0
leaue	leaue	vvi	leave	leave	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
censure	censure	n1	censure	censure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
.	.	.	.	.	1
And	And	np1	And	And	0
taught	taught	vvd	taught	teach	0
by	by	p-acp	by	by	0
long	long	j	long	long	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
godly	godly	j	godly	godly	0
zeale	zeale	n1	zeal	zeal	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
aduauncement	aduauncement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
true	true	j	true	true	0
religion	religion	n1	religion	religion	0
and	and	cc	and	and	0
due	due	j-jn	due	due	0
execution	execution	n1	execution	execution	0
of	of	pp-f	of	of	0
iustice	iustice	n1	justice	justice	0
(	(	(	(	(	0
the	the	dt	the	the	0
hauing	hauing	j-vvg	having	have	0
or	or	cc	or	or	0
wanting	wanting	vvg	wanting	want	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
and	and	cc	and	and	0
suretie	suretie	n1	surety	surety	0
,	,	,	,	,	0
or	or	cc	or	or	0
maime	maime	vvi	maim	maim	0
and	and	cc	and	and	0
ruine	ruine	n1	ruin	ruin	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
sttates	sttates	n2	sttates	sttate	0
and	and	cc	and	and	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
)	)	)	)	)	0
and	and	cc	and	and	0
seeing	seeing	vvg	seeing	see	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
by	by	p-acp	by	by	0
diuine	diuine	j-jn	divine	divine	0
goodnesse	goodnesse	n1	goodness	goodness	0
placed	placed	vvn	placed	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
Regall	Regall	j	Regal	regal	0
power	power	n1	power	power	0
depu	depu	fw-fr	depu	depu	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
common-wealth	common-wealth	n1	commonwealth	commonwealth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
light	light	n1	light	light	0
vnto	vnto	p-acp	unto	unto	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Shepheard	Shepheard	n1	Shepherd	shepherd	0
to	to	pc-acp	to	to	0
feed	feed	vvi	feed	feed	0
the	the	dt	the	the	0
people	people	n1	people	people	0
with	with	p-acp	with	with	0
iustice	iustice	n1	justice	justice	0
and	and	cc	and	and	0
iudgement	iudgement	n1	judgement	judgement	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
(	(	(	(	(	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thinesse	thinesse	n1	thinesse	thinesse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
best	best	js	best	best	0
beseeming	beseeming	vvg	beseeming	beseem	0
so	so	av	so	so	0
worthy	worthy	j	worthy	worthy	0
a	a	dt	a	a	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
tron	tron	n1	tron	tron	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
humble	humble	j	humble	humble	0
acknowledgment	acknowledgment	n1	acknowledgment	acknowledgement	0
of	of	pp-f	of	of	0
dutie	dutie	n1	duty	duty	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
haue	haue	vhb	have	have	0
caused	caused	vvn	caused	cause	0
me	me	pno11	me	i	0
make	make	vvi	make	make	0
choise	choise	n1	choice	choice	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
honorable	honorable	j	honourable	honourable	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
the	the	dt	the	the	0
better	better	av-jc	better	better	0
emboldened	emboldened	vvn	emboldened	embolden	0
thereunto	thereunto	av	thereunto	thereunto	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
good	good	j	good	good	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
former	former	j	former	former	0
booke	booke	n1	book	book	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
commend	commend	vvb	commend	commend	0
this	this	d	this	this	0
my	my	po11	my	my	0
trauel	trauel	n1	travel	travel	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
like	like	j	like	like	0
view	view	n1	view	view	0
and	and	cc	and	and	0
protection	protection	n1	protection	protection	0
:	:	:	:	:	0
not	not	xx	not	not	0
doubting	doubting	vvg	doubting	doubt	0
but	but	p-acp	but	but	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
your	your	po22	your	your	0
wonted	wonted	j	wonted	wont	0
honorable	honorable	j	honourable	honourable	0
disposition	disposition	n1	disposition	disposition	0
will	will	vmb	will	will	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
worth	worth	n1	worth	worth	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
present	present	n1	present	present	0
,	,	,	,	,	0
and	and	cc	and	and	0
pardon	pardon	vvb	pardon	pardon	0
my	my	po11	my	my	0
presumption	presumption	n1	presumption	presumption	0
proceeding	proceeding	vvg	proceeding	proceed	0
from	from	p-acp	from	from	0
an	an	dt	and	a	0
affectionate	affectionate	j	affectionate	affectionate	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
your	your	po22	your	your	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
before	before	p-acp	before	before	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
I	I	pns11	I	i	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
bounden	bounden	vvn	bounden	bind	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
dayly	dayly	j	daily	daily	0
study	study	n1	study	study	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
imploy	imploy	vvi	employ	employ	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
:	:	:	:	:	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
the	the	dt	the	the	0
eternall	eternall	j	eternal	eternal	0
Deity	Deity	n1	Deity	deity	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
increase	increase	vvi	increase	increase	0
his	his	po31	his	his	0
graces	graces	n2	graces	grace	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
that	that	cst	that	that	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
may	may	vmb	may	may	0
more	more	av-dc	more	more	0
thereby	thereby	av	thereby	thereby	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peare	peare	n1	pear	pear	0
,	,	,	,	,	0
and	and	cc	and	and	0
multiply	multiply	vvb	multiply	multiply	0
your	your	po22	your	your	0
dayes	dayes	n2	days	day	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
pull	pull	vvi	pull	pull	0
the	the	dt	the	the	0
pray	pray	n1	prey	prey	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
Spoylers	Spoylers	n2	Spoilers	spoiler	0
iawes	iawes	n2	jaws	jaw	0
,	,	,	,	,	0
and	and	cc	and	and	0
relieue	relieue	vvi	relieve	relieve	0
the	the	dt	the	the	0
oppressed	oppressed	j-vvn	oppressed	oppress	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
humilitie	humilitie	n1	humility	humility	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
leaue	leaue	vvi	leave	leave	0
.	.	.	.	.	1
Fleete	Fleete	n1	Fleet	fleet	0
my	my	po11	my	my	0
miserable	miserable	j	miserable	miserable	0
prison	prison	n1	prison	prison	0
this	this	d	this	this	0
24.	24.	crd	24.	24.	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
.	.	.	.	.	1
1600	1600	crd	1600	1600	0
,	,	,	,	,	1
