'T	'T	pn31	IT	it	0
admired	admired	vvn	admired	admire	0
whilst	whilst	cs	while	while	0
a	a	dt	a	a	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
receive	receive	vvi	receive	receive	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Lustre	Lustre	n1	Lustre	lustre	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Royal	Royal	j	Royal	royal	0
Diadem	Diadem	n1	Diadem	diadem	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
same	same	d	same	same	0
Vertues	Vertues	n2	Virtues	virtue	0
You	You	pn22	You	you	0
have	have	vhb	have	have	0
still	still	av	still	still	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
larger	larger	jc	larger	large	0
Sphere	Sphere	n1	Sphere	sphere	0
.	.	.	.	.	1
If	If	cs	If	if	0
then	then	av	then	then	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
Allegiance	Allegiance	n1	Allegiance	allegiance	0
you	you	pn22	you	you	0
owed	owed	vvd	owed	owe	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
exemplari	exemplari	fw-la	exemplari	exemplari	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
paid	paid	vvn	paid	pay	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Royal	Royal	j	Royal	royal	0
Brother	Brother	n1	Brother	brother	0
,	,	,	,	,	0
'tis	'tis	pn31|vbz	it's	it|be	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
only	only	av-j	only	only	0
exalted	exalted	vvn	exalted	exalt	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
now	now	av	now	now	0
immediately	immediately	av-j	immediately	immediate	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
;	;	;	;	;	0
What	What	q-crq	What	what	0
was	was	vbds	was	be	0
then	then	av	then	then	0
natural	natural	j	natural	natural	0
Goodness	Goodness	n1	Goodness	goodness	0
is	is	vbz	is	be	0
now	now	av	now	now	0
Cle	Cle	np1	Cle	Cle	0
∣	∣	sy	∣	∣	0
mency	mency	n1	mency	mency	0
and	and	cc	and	and	0
Mercy	Mercy	n1	Mercy	mercy	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
then	then	av	then	then	0
Courage	Courage	n1	Courage	courage	0
and	and	cc	and	and	0
Bravery	Bravery	n1	Bravery	bravery	0
of	of	pp-f	of	of	0
Mind	Mind	n1	Mind	mind	0
,	,	,	,	,	0
is	is	vbz	is	be	0
now	now	av	now	now	0
an	an	dt	and	a	0
undaunted	undaunted	j	undaunted	undaunted	0
Resolution	Resolution	n1	Resolution	resolution	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
yours	yours	png22	yours	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Subjects	Subjects	n2-jn	Subject's	subject	0
Rights	Rights	n2-jn	Rights	right	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
then	then	av	then	then	0
the	the	dt	the	the	0
Reverence	Reverence	n1	Reverence	reverence	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sacred	sacred	j	sacred	sacred	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
is	is	vbz	is	be	0
now	now	av	now	now	0
the	the	dt	the	the	0
persisting	persisting	vvg	persisting	persist	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
Royal	Royal	j	Royal	royal	0
Purposes	Purposes	n2	Purposes	purpose	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
good	good	j	good	good	0
Subjects	Subjects	n2-jn	Subject's	subject	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
then	then	av	then	then	0
your	your	po22	your	your	0
tender	tender	j	tender	tender	0
regard	regard	n1	regard	regard	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Faithful	Faithful	j	Faithful	faithful	0
Dependants	Dependants	n2-jn	Dependants	dependent	0
,	,	,	,	,	0
is	is	vbz	is	be	0
now	now	av	now	now	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
your	your	po22	your	your	0
equal	equal	j-jn	equal	equal	0
Indulgence	Indulgence	n1	Indulgence	indulgence	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
your	your	po22	your	your	0
Children	Children	n2	Children	child	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
then	then	av	then	then	0
your	your	po22	your	your	0
true	true	j	true	true	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
is	is	vbz	is	be	0
now	now	av	now	now	0
advanced	advanced	vvn	advanced	advance	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
Royal	Royal	j	Royal	royal	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
Protection	Protection	n1	Protection	protection	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
These	These	d	These	these	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
now	now	av	now	now	0
fill	fill	vvi	fill	fill	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Thoughts	Thoughts	n2	Thoughts	thought	0
;	;	;	;	;	0
and	and	cc	and	and	0
these	these	d	these	these	0
the	the	dt	the	the	0
great	great	j	great	great	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
hereafter	hereafter	av	hereafter	hereafter	0
be	be	vbi	be	be	0
registred	registred	vvn	registered	register	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
Fame	Fame	n1	Fame	fame	0
which	which	r-crq	which	which	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ready	ready	j	ready	ready	0
speaks	speaks	vvz	speaks	speak	0
you	you	pn22	you	you	0
so	so	av	so	so	0
great	great	j	great	great	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
and	and	cc	and	and	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
mighty	mighty	j	mighty	mighty	0
Actions	Actions	n2	Actions	action	0
carried	carried	vvd	carried	carry	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
and	and	cc	and	and	0
Terror	Terror	n1	Terror	terror	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Nation	Nation	n1	Nation	nation	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
remotest	remotest	js	remotest	remote	0
Parts	Parts	n2	Parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Universe	Universe	n1	Universe	universe	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
question	question	vvb	question	question	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
nearer	nearer	jc	nearer	near	0
Parts	Parts	n2	Parts	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Spain	Spain	np1	Spain	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
other	other	n-jn	other	other	0
your	your	po22	your	your	0
Allies	Allies	n2	Allies	ally	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
seen	seen	vvn	seen	see	0
or	or	cc	or	or	0
felt	felt	vvn	felt	feel	0
your	your	po22	your	your	0
Cou	Cou	np1	Cou	Cou	0
∣	∣	sy	∣	∣	0
rage	rage	n1	rage	rage	0
,	,	,	,	,	0
will	will	vmb	will	will	0
dread	dread	vvi	dread	dread	0
to	to	pc-acp	to	to	0
awaken	awaken	vvi	awaken	awaken	0
it	it	pn31	it	it	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
only	only	j	only	only	0
Treachery	Treachery	n1	Treachery	treachery	0
(	(	(	(	(	0
the	the	dt	the	the	0
heinous	heinous	j	heinous	heinous	0
nature	nature	n1	nature	nature	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
treat	treat	vvb	treat	treat	0
on	on	a-acp	on	on	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
following	following	j-vvg	following	follow	0
Discourse	Discourse	n1	Discourse	discourse	0
)	)	)	)	)	0
can	can	vmb	can	can	0
disturb	disturb	vvi	disturb	disturb	0
your	your	po22	your	your	0
Reign	Reign	vvi	Reign	reign	0
:	:	:	:	:	0
'tis	'tis	pn31|vbz	it's	it|be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
so	so	av	so	so	0
much	much	av-d	much	much	0
Mischief	Mischief	n1	Mischief	mischief	0
already	already	av	already	already	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
threatens	threatens	vvz	threatens	threaten	0
more	more	av-dc	more	more	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
new	new	j	new	new	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
Trimming	Trimming	vvg	Trimming	trim	0
.	.	.	.	.	1
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
you	you	pn22	you	you	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
,	,	,	,	,	0
and	and	cc	and	and	0
advanced	advanced	vvd	advanced	advance	0
your	your	po22	your	your	0
Triumphs	Triumphs	n2	Triumphs	triumph	0
by	by	p-acp	by	by	0
Sea	Sea	n1	Sea	sea	0
and	and	cc	and	and	0
Land	Land	n1	Land	land	0
into	into	p-acp	into	into	0
an	an	dt	and	a	0
Absolute	Absolute	j	Absolute	absolute	0
Sovereignty	Sovereignty	n1	Sovereignty	sovereignty	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
,	,	,	,	,	0
grant	grant	vvb	grant	grant	0
that	that	cst	that	that	0
no	no	dx	no	no	0
Storm	Storm	n1	Storm	storm	0
may	may	vmb	may	may	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
arise	arise	vvi	arise	arise	0
to	to	pc-acp	to	to	0
infest	infest	vvi	infest	infest	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
either	either	d	either	either	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
Prays	Prays	vvz	Prays	pray	0
,	,	,	,	,	1
