Daughters	Daughters	ng1	Daughters	daughter	0
,	,	,	,	,	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
not	not	xx	not	not	0
blame	blame	vvi	blame	blame	0
the	the	dt	the	the	0
Glasse	Glasse	n1	Glass	glass	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
presents	presents	vvz	presents	present	0
things	things	n2	things	thing	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
or	or	cc	or	or	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
Reflections	Reflections	n2	Reflections	reflection	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
my	my	po11	my	my	0
own	own	d	own	own	0
Intentions	Intentions	n2	Intentions	intention	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
holding	holding	vvg	holding	hold	0
forth	forth	av	forth	forth	0
this	this	d	this	this	0
Glasse	Glasse	n1	Glass	glass	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
approve	approve	vvi	approve	approve	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
sincere	sincere	j	sincere	sincere	0
and	and	cc	and	and	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
did	did	vdd	did	do	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
aspersing	aspersing	vvg	aspersing	asperse	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
disparaging	disparaging	vvg	disparaging	disparage	0
the	the	dt	the	the	0
weaker	weaker	jc	weaker	weak	0
Sex	Sex	n1	Sex	sex	0
,	,	,	,	,	0
discouraging	discouraging	vvg	discouraging	discourage	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
holy	holy	j	holy	holy	0
indeavours	indeavours	n2	endeavours	endeavour	0
of	of	pp-f	of	of	0
going	going	vvg	going	go	0
before	before	p-acp	before	before	0
others	others	n2-jn	others	other	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
profession	profession	n1	profession	profession	0
and	and	cc	and	and	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
godlinesse	godlinesse	n1	godliness	godliness	0
,	,	,	,	,	0
sad	sad	j	sad	sad	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
the	the	dt	the	the	0
spirits	spirits	n2	spirits	spirit	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
truly	truly	av-j	truly	true	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
or	or	cc	or	or	0
opening	opening	vvg	opening	open	0
the	the	dt	the	the	0
mouthes	mouthes	n2	mouths	mouth	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
profanely	profanely	av-j	profanely	profane	0
wicked	wicked	j	wicked	wicked	0
,	,	,	,	,	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
smi	smi	fw-fr	smi	smi	0
∣	∣	sy	∣	∣	0
teth	teth	vvz	teth	t	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
guilt	guilt	n1	guilt	guilt	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
first	first	ord	first	first	0
put	put	vvd	put	put	0
this	this	d	this	this	0
subject	subject	n-jn	subject	subject	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
was	was	vbds	was	be	0
chiefly	chiefly	av-jn	chiefly	chief	0
a	a	av	a	a	0
tender	tender	j	tender	tender	0
respect	respect	n1	respect	respect	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
welfare	welfare	n1	welfare	welfare	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
cast	cast	vvn	cast	cast	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Where	Where	c-crq	Where	where	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
a	a	dt	a	a	0
deep	deep	j-jn	deep	deep	0
resentment	resentment	n1	resentment	resentment	0
take	take	vvb	take	take	0
notice	notice	n1	notice	notice	0
how	how	c-crq	how	how	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
weaker	weaker	jc	weaker	weak	0
Sex	Sex	n1	Sex	sex	0
,	,	,	,	,	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
degrees	degrees	n2	degrees	degree	0
distasted	distasted	vvn	distasted	distaste	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
like	like	av-j	like	like	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
came	came	vvd	came	come	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
quite	quite	av	quite	quite	0
weaned	weaned	vvn	weaned	wean	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
:	:	:	:	:	0
No	No	dx	No	no	0
more	more	av-dc	more	more	0
owning	owning	vvg	owning	own	0
that	that	d	that	that	0
Ministery	Ministery	n1	Ministry	ministry	0
,	,	,	,	,	0
or	or	cc	or	or	0
those	those	d	those	those	0
means	means	n2	means	mean	0
which	which	r-crq	which	which	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
heretofore	heretofore	av	heretofore	heretofore	0
the	the	dt	the	the	0
avowed	avowed	j-vvn	avowed	avow	0
and	and	cc	and	and	0
acknowledged	acknowledged	vvn	acknowledged	acknowledge	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
salvation	salvation	n1	salvation	salvation	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
were	were	vbdr	were	be	0
these	these	d	these	these	0
meditations	meditations	n2	meditations	meditation	0
first	first	ord	first	first	0
conceived	conceived	vvd	conceived	conceive	0
;	;	;	;	;	0
And	And	cc	And	and	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
now	now	av	now	now	0
brought	brought	vvd	brought	bring	0
forth	forth	av	forth	forth	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
publike	publike	j	public	public	0
view	view	n1	view	view	0
:	:	:	:	:	0
That	That	cst	That	that	0
so	so	av	so	so	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
eare	eare	n1	ear	ear	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
yet	yet	av	yet	yet	0
have	have	vhi	have	have	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
.	.	.	.	.	1
May	May	np1	May	May	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
hereby	hereby	av	hereby	hereby	0
opened	opened	vvn	opened	open	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
error	error	n1	error	error	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
your	your	po22	your	your	0
wandrings	wandrings	n2-vvg	wanderings	wander	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
perswa	perswa	uh	perswa	perswa	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
againe	againe	av	again	again	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fold	fold	n1	fold	fold	0
from	from	p-acp	from	from	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
strayed	strayed	vvn	strayed	stray	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
account	account	vvi	account	account	0
it	it	pn31	it	it	0
an	an	dt	and	a	0
acceptable	acceptable	j	acceptable	acceptable	0
service	service	n1	service	service	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
You.	You.	pn22	You.	you	1
However	However	c-acp	However	however	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
it	it	pn31	it	it	0
no	no	dx	no	no	0
small	small	j	small	small	0
recompence	recompence	n1	recompense	recompense	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
stay	stay	vvb	stay	stay	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
from	from	p-acp	from	from	0
following	following	vvg	following	follow	0
after	after	p-acp	after	after	0
you	you	pn22	you	you	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
and	and	cc	and	and	0
hopes	hopes	n2	hope's	hope	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
hearty	hearty	j	hearty	hearty	0
prayers	prayers	n2	prayers	prayer	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
sit	sit	vvb	fit	sit	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
Yarmouth	Yarmouth	np1	Yarmouth	Yarmouth	0
.	.	.	.	.	1
