DEar	DEar	av-jn	DEar	dear	0
plunder	plunder	vvi	plunder	plunder	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
sentenced	sentenced	vvn	sentenced	sentence	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
to	to	p-acp	to	to	0
death	death	n1	death	death	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
uproar	uproar	n1	uproar	uproar	0
risings	risings	n2-vvg	risings	rise	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Round-heads	Round-heads	n2	Roundheads	roundhead	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
known	known	vvn	known	know	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Land	Land	n1	Land	land	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
never	never	av-x	never	never	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
vaile	vaile	n1	veil	veil	0
,	,	,	,	,	0
your	your	po22	your	your	0
Father	Father	n1	Father	father	0
hath	hath	vhz	hath	have	0
blessed	blessed	vvn	blessed	bless	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Num.	Num.	np1	Num.	Num.	1
12.	12.	crd	12.	12.	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
blessed	blessed	vvn	blessed	bless	0
:	:	:	:	:	0
Dan.	Dan.	np1	Dan.	Dan.	1
24.	24.	crd	24.	24.	1
D	D	sy	WORSER	d	0
6.	6.	crd	6.	6.	0
5.	5.	crd	5.	5.	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
chain	chain	vvi	chain	chain	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
Ecclesiasticall	Ecclesiasticall	j	Ecclesiastical	ecclesiastical	0
compulsive	compulsive	j	compulsive	compulsive	0
or	or	cc	or	or	0
coersive	coersive	j	coersive	coersive	0
power	power	n1	power	power	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
give	give	vvi	give	give	0
no	no	dx	no	no	0
li	li	n1	li	livre	0
∣	∣	sy	∣	∣	0
berty	berty	n1	berty	berty	0
to	to	p-acp	to	to	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
teaches	teaches	vvz	teaches	teach	0
you	you	pn22	you	you	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
preached	preached	vvn	preached	preach	0
against	against	p-acp	against	against	0
,	,	,	,	,	0
writ	writ	vvn	writ	write	0
against	against	p-acp	against	against	0
,	,	,	,	,	0
&	&	cc	&	and	0
petitio	petitio	fw-la	petitio	petitio	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
against	against	p-acp	against	against	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
higher	higher	jc	higher	high	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
II	II	crd	II	two	0
to	to	p-acp	to	to	0
bring	bring	vvi	bring	bring	0
you	you	pn22	you	you	0
under	under	p-acp	under	under	0
their	their	po32	their	their	0
foot-steps	foot-steps	n2	footsteps	footstep	0
:	:	:	:	:	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
counted	counted	vvn	counted	count	0
the	the	dt	the	the	0
troublers	troublers	n2	troublers	troubler	0
of	of	pp-f	of	of	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
and	and	cc	and	and	0
Parishes	Parishes	n2	Parishes	parish	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
dwell	dwell	vvb	dwell	dwell	0
,	,	,	,	,	0
though	though	cs	though	though	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
peace	peace	n1	peace	peace	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
Kingdoms	Kingdoms	ng1	Kingdoms	kingdom	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
the	the	dt	the	the	0
Magistrates	Magistrates	ng1	Magistrates	magistrate	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Peoples	Peoples	ng1	Peoples	people	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
love	love	n1	love	love	0
the	the	dt	the	the	0
health	health	n1	health	health	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
their	their	po32	their	their	0
souls	souls	n2	souls	soul	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
what's	what's	q-crq|vbz	what's	what|be	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
the	the	dt	the	the	0
world	world	n1	world	world	0
doth	doth	vdz	does	do	0
so	so	av	so	so	0
storm	storm	vvi	storm	storm	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
;	;	;	;	;	0
n	n	p-acp	n	in	0
19.	19.	crd	19.	19	0
hn	hn	n1	hn	hn	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
cannot	cannot	vmbx	cannot	can	0
walk	walk	vvi	walk	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
darkwayes	darkwayes	n2	darkwayes	darkwaye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
they	they	pns32	they	they	0
hated	hated	vvd	hated	hate	0
your	your	po22	your	your	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
hate	hate	vvb	hate	hate	0
you	you	pn22	you	you	0
;	;	;	;	;	0
they	they	pns32	they	they	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
you	you	pn22	you	you	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
known	known	vvn	known	know	0
him	him	pno31	him	he	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
crucified	crucified	vvn	crucified	crucify	0
him	him	pno31	him	he	0
;	;	;	;	;	0
et	et	fw-la	et	et	0
..	..	..	..	..	0
and	and	cc	and	and	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
truly	truly	av-j	truly	true	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
dwels	dwels	vvz	dwells	dwell	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
so	so	av	so	so	0
despise	despise	vvi	despise	despise	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
well	well	av	well	well	0
:	:	:	:	:	0
these	these	d	these	these	0
things	things	n2	things	thing	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
your	your	po22	your	your	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
will	will	vmb	will	will	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
so	so	av	so	so	0
,	,	,	,	,	0
e	e	sy	e	e	0
12.	12.	crd	12.	12.	0
the	the	dt	the	the	0
world	world	n1	world	world	0
must	must	vmb	must	must	0
lie	lie	vvi	lie	lie	0
under	under	p-acp	under	under	0
darkness	darkness	n1	darkness	darkness	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
Gods	Gods	npg1	Gods	God	0
dispensation	dispensation	n1	dispensation	dispensation	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
;	;	;	;	;	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Children	Children	n2	Children	child	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
,	,	,	,	,	0
must	must	vmb	must	must	0
lie	lie	vvi	lie	lie	0
under	under	p-acp	under	under	0
reproach	reproach	n1	reproach	reproach	0
and	and	cc	and	and	0
oppressions	oppressions	n2	oppressions	oppression	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
Gods	Gods	npg1	Gods	God	0
dispensation	dispensation	n1	dispensation	dispensation	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
little	little	j	little	little	0
time	time	n1	time	time	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
you	you	pn22	you	you	0
glad	glad	j	glad	glad	0
tydings	tydings	n2	tidings	tiding	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
redemption	redemption	n1	redemption	redemption	0
drawes	drawes	vvz	draws	draw	0
neer	neer	av-j	near	near	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
half	half	j-jn	half	half	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Beasts	Beasts	ng1	Beasts	beast	0
reign	reign	n1	reign	reign	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
very	very	av	very	very	0
hot	hot	j	hight	hot	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
short	short	j	short	short	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
righteousness	righteousness	n1	righteousness	righteousness	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
i	i	pns11	i	i	0
risen	risen	vvn	risen	rise	0
;	;	;	;	;	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
beginning	beginning	vvg	beginning	begin	0
to	to	pc-acp	to	to	0
disperse	disperse	vvi	disperse	disperse	0
those	those	d	those	those	0
cold	cold	n-jn	cold	cold	0
,	,	,	,	,	0
rainy	rainy	j	rainy	rainy	0
Clouds	Clouds	n2	Clouds	cloud	0
of	of	pp-f	of	of	0
mens	mens	ng2	men's	man	0
lusts	lusts	n2	lustest	lust	0
and	and	cc	and	and	0
inventions	inventions	n2	inventions	invention	0
;	;	;	;	;	0
And	And	cc	And	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
(	(	(	(	(	0
mankind	mankind	n1	mankind	mankind	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
become	become	vvi	become	become	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
summer	summer	n1	summer	summer	0
sea	sea	n1	sea	sea	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
,	,	,	,	,	0
heat	heat	n1	heat	heat	0
,	,	,	,	,	0
fruitfulness	fruitfulness	n1	fruitfulness	fruitfulness	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
our	our	po12	our	our	0
righte	righte	j-jn	right	right	0
∣	∣	sy	∣	∣	0
ousness	ousness	n1	ousness	ousness	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
doing	doing	vdg	doing	do	0
.	.	.	.	.	1
Jer.	Jer.	np1	Jer.	Jer.	0
23	23	crd	23	23	0
6	6	crd	6	6	0
First	First	ord	First	first	0
,	,	,	,	,	0
He	He	pns31	He	he	0
is	is	vbz	is	be	0
burning	burning	vvg	burning	burn	0
up	up	a-acp	up	up	0
all	all	d	all	all	0
the	the	dt	the	the	0
drosse	drosse	n1	dross	dross	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
flesh,2	flesh,2	n1	flesh,2	flesh,2	0
Thes	Thes	d	These	these	0
2.	2.	crd	2.	2.	0
8.	8.	crd	8.	8.	0
and	and	cc	and	and	0
treading	treading	vvg	treading	tread	0
it	it	pn31	it	it	0
under	under	p-acp	under	under	0
his	his	po31	his	his	0
feet	feet	n2	feet	foot	0
;	;	;	;	;	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
bright	bright	j	bright	bright	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pearing	pearing	vvg	pearing	pear	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
;	;	;	;	;	0
Luke	Luke	av	Lycia	luke	0
17.	17.	crd	17.	17.	0
21.	21.	crd	21.	21.	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
lively	lively	j	lively	lively	0
and	and	cc	and	and	0
free	free	j	free	free	0
discoveries	discoveries	n2	discoveries	discovery	0
of	of	pp-f	of	of	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
cast	cast	vvi	cast	cast	0
out	out	av	out	out	0
the	the	dt	the	the	0
accu	accu	n1	accu	accu	0
∣	∣	sy	∣	∣	0
ser	ser	fw-mi	ser	ser	0
,	,	,	,	,	0
(	(	(	(	(	0
The	The	dt	The	the	0
Serpent	Serpent	n1	Serpent	serpent	0
)	)	)	)	)	0
and	and	cc	and	and	0
takes	takes	vvz	takes	take	0
possession	possession	n1	possession	possession	0
and	and	cc	and	and	0
dwels	dwels	vvz	dwells	dwell	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
4.	4.	crd	4.	4.	0
3.	3.	crd	3.	3.	0
and	and	cc	and	and	0
takes	takes	vvz	takes	take	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
:	:	:	:	:	0
this	this	d	this	this	0
is	is	vbz	is	be	0
Gods	Gods	npg1	Gods	God	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
;	;	;	;	;	0
1	1	crd	1	1	0
John	John	np1	John	John	0
4.	4.	crd	4.	4.	0
4.	4.	crd	4.	4.	0
and	and	cc	and	and	0
this	this	d	this	this	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
God	God	n1	God	god	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
in	in	fw-la	in	in	0
,	,	,	,	,	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
supports	supports	vvz	supports	support	0
you	you	pn22	you	you	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
the	the	dt	the	the	0
stor	stor	n1	stor	stor	0
∣	∣	sy	∣	∣	0
ming	ming	j	ming	ming	0
provocations	provocations	n2	provocations	provocation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
without	without	p-acp	without	without	0
;	;	;	;	;	0
stronger	stronger	jc	stronger	strong	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Esa.	Esa.	np1	Esa.	Esa.	1
1.	1.	crd	1.	1.	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
burning	burning	vvg	burning	burn	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
drosse	drosse	n1	dross	dross	0
and	and	cc	and	and	0
shaking	shaking	vvg	shaking	shake	0
and	and	cc	and	and	0
casting	casting	vvg	casting	cast	0
down	down	a-acp	down	down	0
all	all	d	all	all	0
cor	cor	fw-la	cor	cor	0
∣	∣	sy	∣	∣	0
ruptions	ruptions	n2	ruptions	ruption	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
flesh	flesh	n1	flesh	flesh	0
(	(	(	(	(	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
wicked	wicked	j	wicked	wicked	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
built	built	vvn	built	build	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
Common-wealths	Common-wealths	n2	Commonwealths	commonwealth	0
and	and	cc	and	and	0
Churches	Churches	n2	Churches	church	0
;	;	;	;	;	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
beginning	beginning	vvg	beginning	begin	0
to	to	pc-acp	to	to	0
spread	spread	vvi	spread	spread	0
the	the	dt	the	the	0
knowledg	knowledg	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
himself	himself	px31	himself	himself	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
waters	waters	n2	waters	water	0
cover	cover	vvb	cover	cover	0
the	the	dt	the	the	0
Seas	Seas	n2	Seas	sea	0
;	;	;	;	;	0
Esa.	Esa.	np1	Esa.	Esa.	1
1	1	crd	1	1	0
But	But	cc-acp	But	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
present	present	j	present	present	0
,	,	,	,	,	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
angry	angry	j	angry	angry	0
&	&	cc	&	and	0
disqui	disqui	fw-la	disqui	disqui	0
∣	∣	sy	∣	∣	0
eted	eted	vvn	eted	et	0
at	at	p-acp	at	at	0
it	it	pn31	it	it	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
God	God	np1	God	God	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
God	God	np1	God	God	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
must	must	vmb	must	must	0
work	work	vvi	work	work	0
against	against	p-acp	against	against	0
their	their	po32	their	their	0
wills	wills	n2	wills	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
swelling	swelling	j-vvg	swelling	swell	0
spirit	spirit	n1	spirit	spirit	0
to	to	pc-acp	to	to	0
become	become	vvi	become	become	0
willing	willing	j	willing	willing	0
and	and	cc	and	and	0
obedient	obedient	j	obedient	obedient	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
healed	healed	vvn	healed	heal	0
.	.	.	.	.	1
And	And	cc	And	and	0
what's	what's	q-crq|vbz	what's	what|be	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
?	?	?	?	?	1
Why	Why	q-crq	Why	why	0
truly	truly	av-j	truly	true	0
the	the	dt	the	the	0
,	,	,	,	,	0
Serpent	Serpent	n1	Serpent	serpent	0
that	that	cst	that	that	0
deceived	deceived	vvd	deceived	deceive	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
still	still	av	still	still	0
stir	stir	vvi	stir	stir	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
to	to	pc-acp	to	to	0
