NOBLES	NOBLES	np1	NOBLES	Nobles	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	crd	one	one	0
sir	sir	n1	sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Chandos	Chandos	fw-la	Chandos	chandos	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
sir	sir	n1	sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Grayllie	Grayllie	np1	Grayllie	Grayllie	0
by	by	p-acp	by	by	0
name	name	n1	name	name	0
(	(	(	(	(	0
commonly	commonly	av-j	commonly	common	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Captall	Captall	j	Captall	captall	0
de	de	fw-fr	de	de	0
Buz	Buz	np1	Buz	Buz	0
)	)	)	)	)	0
it	it	pn31	it	it	0
delighted	delighted	vvd	delighted	delight	0
me	me	pno11	me	i	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
louer	louer	n1	lover	lover	0
of	of	pp-f	of	of	0
honor	honor	n1	honour	honour	0
and	and	cc	and	and	0
cheualrie	cheualrie	n1	chivalry	chivalry	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
note	note	vvi	note	note	0
downe	downe	a-acp	down	down	0
their	their	po32	their	their	0
seuerall	seuerall	j	several	several	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
tunes	tunes	n2	tunes	tune	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
reasons	reasons	n2	reasons	reason	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
falles	falles	n2	falls	fall	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
gesse	gesse	vvi	guess	guess	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
iudgements	iudgements	n2	judgements	judgement	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
hauing	hauing	vhg	having	have	0
enterprised	enterprised	vvn	enterprised	enterprise	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
dedicated	dedicated	vvn	dedicated	dedicate	0
these	these	d	these	these	0
my	my	po11	my	my	0
labors	labors	n2	labors	labor	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hono	hono	fw-la	hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
societie	societie	n1	society	society	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
doings	doings	n2-vdg	doings	do	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
men	men	n2	men	man	0
friuolous	friuolous	j	frivolous	frivolous	0
and	and	cc	and	and	0
not	not	xx	not	not	0
woorth	woorth	j	worth	worth	0
your	your	po22	your	your	0
regard	regard	n1	regard	regard	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
doubt	doubt	vvb	doubt	doubt	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
benefit	benefit	n1	benefit	benefit	0
valuable	valuable	j	valuable	valuable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
time	time	n1	time	time	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
therein	therein	av	therein	therein	0
bestow	bestow	vvi	bestow	bestow	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
imitation	imitation	n1	imitation	imitation	0
,	,	,	,	,	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
aemu	aemu	n1	aemu	aemu	0
∣	∣	sy	∣	∣	0
lation	lation	n1	lation	lation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
subiect	subiect	n-jn	subject	subject	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
stir	stir	vvi	stir	stir	0
your	your	po22	your	your	0
woorthie	woorthie	j	worthy	worthy	0
endeuors	endeuors	n2	endeavours	endeavour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
honor	honor	n1	honour	honour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
your	your	po22	your	your	0
dutifull	dutifull	j	dutiful	dutiful	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
hir	hir	png31	his	he	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
countrie	countrie	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
eternall	eternall	j	eternal	eternal	0
glorie	glorie	n1	glory	glory	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
care	care	n1	care	care	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
downe	downe	a-acp	down	down	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
maner	maner	n1	manner	manner	0
is	is	vbz	is	be	0
)	)	)	)	)	0
the	the	dt	the	the	0
Standards	Standards	n2	Standards	standard	0
pennons	pennons	n2	pennons	pennon	0
,	,	,	,	,	0
cote	cote	n1	coat	cote	0
armours	armours	n2	armours	armour	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
marks	marks	n2	marks	mark	0
of	of	pp-f	of	of	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
publikely	publikely	av-j	publicly	public	0
be	be	vbi	be	be	0
knowen	knowen	vvn	known	know	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
necessitie	necessitie	n1	necessity	necessity	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
cause	cause	n1	cause	cause	0
first	first	ord	first	first	0
ordeined	ordeined	vvn	ordained	ordain	0
)	)	)	)	)	0
how	how	c-crq	how	how	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
maner	maner	n1	manner	manner	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
vsed	vsed	vvn	used	use	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
of	of	pp-f	of	of	0
right	right	n-jn	right	right	0
most	most	av-ds	most	most	0
chiefly	chiefly	av-jn	chiefly	chief	0
and	and	cc	and	and	0
properly	properly	av-j	properly	proper	0
appertaine	appertaine	vvi	appertain	appertain	0
and	and	cc	and	and	0
belong	belong	vvi	belong	belong	0
.	.	.	.	.	1
And	And	cc	And	and	0
these	these	d	these	these	0
matters	matters	n2	matters	matter	0
being	being	vbg	being	be	0
well	well	av	well	well	0
conceiued	conceiued	vvn	conceived	conceive	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
indeed	indeed	av	indeed	indeed	0
without	without	p-acp	without	without	0
such	such	d	such	such	0
tokens	tokens	n2	tokens	token	0
no	no	av-dx	no	no	0
martiall	martiall	j	martial	martial	0
discipline	discipline	n1	discipline	discipline	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
exercised	exercised	vvn	exercised	exercise	0
,	,	,	,	,	0
no	no	dx	no	no	0
armie	armie	n1	army	army	0
ranged	ranged	vvn	ranged	range	0
,	,	,	,	,	0
no	no	dx	no	no	0
attempt	attempt	n1	attempt	attempt	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
companie	companie	n1	company	company	0
atchieued	atchieued	vvn	achieved	achieve	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
consequence	consequence	n1	consequence	consequence	0
)	)	)	)	)	0
no	no	dx	no	no	0
conquest	conquest	n1	conquest	conquest	0
made	made	vvd	made	make	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
Common	Common	j	Common	common	0
∣	∣	sy	∣	∣	0
wealth	wealth	n1	wealth	wealth	0
(	(	(	(	(	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
)	)	)	)	)	0
defended	defended	vvd	defended	defend	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
from	from	p-acp	from	from	0
outward	outward	j	outward	outward	0
enimies	enimies	n2	enemies	enemy	0
,	,	,	,	,	0
ciuill	ciuill	j	civil	civil	0
discord	discord	n1	discord	discord	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
rebellion	rebellion	n1	rebellion	rebellion	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
plebeian	plebeian	j-jn	plebeian	plebeian	0
rout	rout	n1	rout	rout	0
,	,	,	,	,	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
neuer	neuer	av	never	never	0
so	so	av	so	so	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
rude	rude	j	rude	rude	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
esteeme	esteeme	n1	esteem	esteem	0
)	)	)	)	)	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
reduce	reduce	vvb	reduce	reduce	0
into	into	p-acp	into	into	0
esti	esti	n1	esti	esti	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
order	order	n1	order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
necessitie	necessitie	n1	necessity	necessity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
abuse	abuse	n1	abuse	abuse	0
thereof	thereof	av	thereof	thereof	0
)	)	)	)	)	0
is	is	vbz	is	be	0
so	so	av	so	so	0
far	far	av-j	far	far	0
run	run	vvn	run	run	0
into	into	p-acp	into	into	0
contempt	contempt	n1	contempt	contempt	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
men	men	n2	men	man	0
)	)	)	)	)	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
holden	holden	vvn	held	hold	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
price	price	n1	price	price	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
thought	thought	vvd	thought	think	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
very	very	j	very	very	0
mockerie	mockerie	n1	mockery	mockery	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
sequence	sequence	n1	sequence	sequence	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
vp	vp	a-acp	up	up	0
vaine	vaine	j	vain	vain	0
and	and	cc	and	and	0
fantasticall	fantasticall	j	fantastical	fantastical	0
glorious	glorious	j	glorious	glorious	0
fellowes	fellowes	n2	fellows	fellow	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
pride	pride	n1	pride	pride	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
drawe	drawe	vvi	draw	draw	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
some	some	d	some	some	0
small	small	j	small	small	0
summes	summes	n2	sums	sum	0
to	to	p-acp	to	to	0
certaine	certaine	j	certain	certain	0
persons	persons	n2	persons	person	0
into	into	p-acp	into	into	0
an	an	dt	and	a	0
office	office	n1	office	office	0
instituted	instituted	vvn	instituted	institute	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
was	was	vbds	was	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
wisest	wisest	js	wisest	wise	0
and	and	cc	and	and	0
best	best	av-js	best	best	0
gouerned	gouerned	vvn	governed	govern	0
states	states	n2	states	state	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
deuised	deuised	vvd	devised	devise	0
,	,	,	,	,	0
and	and	cc	and	and	0
generally	generally	av-j	generally	general	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
policie	policie	n1	policy	policy	0
recei	recei	vvi	recei	recei	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
necessarie	necessarie	j	necessary	necessary	0
end	end	n1	end	end	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
thinke	thinke	vvb	think	think	0
they	they	pns32	they	they	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
vse	vse	n1	use	use	0
)	)	)	)	)	0
it	it	pn31	it	it	0
serueth	serueth	vvz	serveth	serve	0
but	but	p-acp	but	but	0
onely	onely	j	only	only	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
And	And	cc	And	and	0
indeed	indeed	av	indeed	indeed	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
complaine	complaine	vvi	complain	complain	0
,	,	,	,	,	0
that	that	cst	that	that	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
officers	officers	n2	officers	officer	0
(	(	(	(	(	0
or	or	cc	or	or	0
others	others	n2-jn	others	other	0
pertaining	pertaining	vvg	pertaining	pertain	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
)	)	)	)	)	0
either	either	d	either	either	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
skill	skill	n1	skill	skill	0
or	or	cc	or	or	0
maintenance	maintenance	n1	maintenance	maintenance	0
,	,	,	,	,	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
gaine	gaine	n1	gain	gain	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
committed	committed	vvn	committed	commit	0
faults	faults	n2	faults	fault	0
not	not	xx	not	not	0
iustifiable	iustifiable	j	justifiable	justifiable	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
brought	brought	vvn	brought	bring	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
honor	honor	n1	honour	honour	0
into	into	p-acp	into	into	0
defame	defame	n1	defame	defame	0
,	,	,	,	,	0
and	and	cc	and	and	0
iniured	iniured	vvd	injured	injure	0
thereby	thereby	av	thereby	thereby	0
the	the	dt	the	the	0
Commonwealth	Commonwealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
both	both	d	both	both	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
managed	managed	vvn	managed	manage	0
those	those	d	those	those	0
affaires	affaires	n2	affairs	affair	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
discretion	discretion	n1	discretion	discretion	0
,	,	,	,	,	0
and	and	cc	and	and	0
themselues	themselues	px32	themselves	themselves	0
into	into	p-acp	into	into	0
obloquie	obloquie	n1	obloquy	obloquy	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
these	these	d	these	these	0
faults	faults	n2	faults	fault	0
and	and	cc	and	and	0
errors	errors	n2	errors	error	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
also	also	av	also	also	0
(	(	(	(	(	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
dedication	dedication	n1	dedication	dedication	0
instituted	instituted	vvn	instituted	institute	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
)	)	)	)	)	0
will	will	vmb	will	will	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
more	more	av-dc	more	more	0
easily	easily	av-j	easily	easy	0
appeere	appeere	vvi	appear	appear	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
be	be	vbb	be	be	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
reformed	reformed	vvn	reformed	reform	0
either	either	av-d	either	either	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
good	good	j	good	good	0
endeuors	endeuors	n2	endeavours	endeavour	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
officers	officers	n2	officers	officer	0
(	(	(	(	(	0
vnder	vnder	p-acp	under	under	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
thereof	thereof	av	thereof	thereof	0
)	)	)	)	)	0
will	will	vmb	will	will	0
vse	vse	vvi	use	use	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
magistrate	magistrate	n1	magistrate	magistrate	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
haue	haue	vhi	have	have	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
the	the	dt	the	the	0
abuses	abuses	n2	abuses	abuse	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
informed	informed	vvn	informed	inform	0
of	of	pp-f	of	of	0
.	.	.	.	.	1
And	And	cc	And	and	0
first	first	ord	first	first	0
that	that	d	that	that	0
Guydhomes	Guydhomes	n2	Guydhomes	guydhome	0
ensignes	ensignes	n2	ensigns	ensign	0
and	and	cc	and	and	0
marks	marks	n2	marks	mark	0
of	of	pp-f	of	of	0
armorie	armorie	n1	armoury	armoury	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
necessi	necessi	n1	necessi	necessi	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
,	,	,	,	,	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
considered	considered	vvn	considered	consider	0
whether	whether	cs	whither	whether	0
wars	wars	n2	wars	war	0
be	be	vbb	be	be	0
somtimes	somtimes	av	sometimes	sometime	0
of	of	pp-f	of	of	0
necessi	necessi	n1	necessi	necessi	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
or	or	cc	or	or	0
not	not	xx	not	not	0
,	,	,	,	,	0
and	and	cc	and	and	0
surely	surely	av-j	surely	sure	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
very	very	j	very	very	0
meane	meane	j	mean	mean	0
capacitie	capacitie	n1	capacity	capacity	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
will	will	vmb	will	will	0
yeeld	yeeld	vvi	yield	yield	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
:	:	:	:	:	0
especially	especially	av-j	especially	especial	0
defensiue	defensiue	j	defensive	defensive	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
cases	cases	n2	cases	case	0
also	also	av	also	also	0
offensiue	offensiue	j	offensive	offensive	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
granted	granted	vvd	granted	grant	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
ouerpasse	ouerpasse	vvi	overpass	overpass	0
.	.	.	.	.	1
And	And	cc	And	and	0
then	then	av	then	then	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
further	further	av-jc	further	further	0
,	,	,	,	,	0
that	that	cst	that	that	0
wars	wars	n2	wars	war	0
being	being	vbg	being	be	0
lawful	lawful	j	lawful	lawful	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
necessitie	necessitie	n1	necessity	necessity	0
,	,	,	,	,	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
also	also	av	also	also	0
be	be	vbi	be	be	0
granted	granted	vvn	granted	grant	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
same	same	d	same	same	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
companies	companies	n2	companies	company	0
and	and	cc	and	and	0
bands	bands	n2	bans	band	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
ouer	ouer	p-acp	over	over	0
which	which	r-crq	which	which	0
some	some	d	some	some	0
must	must	vmb	must	must	0
command	command	vvi	command	command	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
obey	obey	vvi	obey	obey	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
will	will	vmb	will	will	0
it	it	pn31	it	it	0
follow	follow	vvi	follow	follow	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
oredring	oredring	j-vvg	oredring	oredr	0
&	&	cc	&	and	0
diuiding	diuiding	vvg	dividing	divide	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
aduantage	aduantage	n1	advantage	advantage	0
,	,	,	,	,	0
standards	standards	n2	standards	standard	0
and	and	cc	and	and	0
banners	banners	n2	banners	banner	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
allotted	allotted	vvn	allotted	allot	0
to	to	p-acp	to	to	0
euery	euery	d	every	every	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
draw	draw	vvi	draw	draw	0
togither	togither	av	together	together	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
strength	strength	n1	strength	strength	0
,	,	,	,	,	0
and	and	cc	and	and	0
performe	performe	vvi	perform	perform	0
such	such	d	such	such	0
