Much	Much	av-d	Much	much	0
a	a	dt	a	a	0
good	good	j	good	good	0
title	title	n1	title	title	0
,	,	,	,	,	0
None	None	pix	None	none	0
may	may	vmb	may	may	0
contend	contend	vvi	contend	contend	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
;	;	;	;	;	0
a	a	dt	a	a	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
ther's	ther's	pc-acp|vbz	ther's	there|be	0
obligations	obligations	n2	obligations	obligation	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
Sonne	Sonne	n1	Son	son	0
are	are	vbr	are	be	0
confes	confes	vvi	confess	confess	0
∣	∣	sy	∣	∣	0
sedly	sedly	av-vvn	sedly	se	0
greatest	greatest	js	greatest	great	0
.	.	.	.	.	1
If	If	cs	If	if	0
Goodnesse	Goodnesse	n1	Goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
Bene	Bene	vbn	Be	be	0
∣	∣	sy	∣	∣	0
ficence	ficence	n1	ficence	ficence	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
best	best	js	best	best	0
claime	claime	n1	claim	claim	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
tell	tell	vvi	tell	tell	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
your	your	po22	your	your	0
right	right	n-jn	right	right	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
is	is	vbz	is	be	0
such	such	d	such	such	0
,	,	,	,	,	0
There	There	a-acp	There	there	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
better	better	jc	better	better	0
Patron	Patron	n1	Patron	patron	0
then	then	cs	then	than	0
a	a	dt	a	a	0
Good	Good	j	Good	good	0
Father	Father	n1	Father	father	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
adde	adde	vvb	add	add	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
out	out	av	out	out	0
your	your	po22	your	your	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
(	(	(	(	(	0
besides	besides	c-acp	beside	beside	0
I	I	pns11	I	i	0
prevent	prevent	vvb	prevent	prevent	0
the	the	dt	the	the	0
losing	losing	vvg	losing	lose	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Dedication	Dedication	n1	Dedication	dedication	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
disproportioning	disproportioning	vvg	disproportioning	disproportion	0
the	the	dt	the	the	0
Frontispice	Frontispice	n1	Frontispice	frontispiece	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
building	building	n1	building	building	0
,	,	,	,	,	0
)	)	)	)	)	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
cut	cut	vvi	cut	cut	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
jea	jea	n1	jea	jea	0
∣	∣	sy	∣	∣	0
lous	lous	n2	lous	love	0
surmises	surmises	n2	surmises	surmise	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
uncharitable	uncharitable	j	uncharitable	uncharitable	0
world	world	n1	world	world	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
suspect	suspect	vvi	suspect	suspect	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
so	so	av	so	so	0
good	good	j	good	good	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
so	so	av	so	so	0
few	few	d	few	few	0
.	.	.	.	.	0
)	)	)	)	)	1
And	And	cc	And	and	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
most	most	av-ds	most	most	0
intend	intend	vvb	intend	intend	0
)	)	)	)	)	0
reserve	reserve	vvb	reserve	reserve	0
more	more	dc	more	more	0
roome	roome	n1	room	room	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Practicke	Practicke	n1	Practic	practice	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
and	and	cc	and	and	0
obedience	obedience	n1	obedience	obedience	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
more	more	av-dc	more	more	0
doubt	doubt	vvi	doubt	doubt	0
your	your	po22	your	your	0
reception	reception	n1	reception	reception	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
your	your	po22	your	your	0
reception	reception	n1	reception	reception	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
entreat	entreat	vvi	entreat	entreat	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
,	,	,	,	,	0
(	(	(	(	(	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
detract	detract	vvi	detract	detract	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
repute	repute	n1	repute	repute	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
tender	tender	j	tender	tender	0
Father	Father	n1	Father	father	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
deserve	deserve	vvb	deserve	deserve	0
.	.	.	.	.	1
What	What	r-crq	What	what	0
it	it	pn31	it	it	0
wants	wants	vvz	wants	want	0
of	of	pp-f	of	of	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
fully	fully	av-j	fully	full	0
,	,	,	,	,	0
and	and	cc	and	and	0
easily	easily	av-j	easily	easy	0
made	made	vvn	made	make	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
whilest	whilest	cs	whilst	while	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
rising	rising	j-vvg	rising	rise	0
advantage	advantage	n1	advantage	advantage	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Sonne's	Sonne's	n1|vbz	Son's	son|be	0
affections	affections	n2	affections	affection	0
,	,	,	,	,	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
willingnesse	willingnesse	n1	willingness	willingness	0
makes	makes	vvz	makes	make	0
his	his	po31	his	his	0
lest	lest	j	lest	left	0
essay	essay	n1	essay	essay	0
of	of	pp-f	of	of	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
worth	worth	n1	worth	worth	0
accep	accep	vvb	accept	accept	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
,	,	,	,	,	0
)	)	)	)	)	0
and	and	cc	and	and	0
whilest	whilest	cs	whilst	while	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
graines	graines	n2	grains	grain	0
of	of	pp-f	of	of	0
allowance	allowance	n1	allowance	allowance	0
which	which	r-crq	which	which	0
a	a	dt	a	a	0
Fathers	Fathers	ng1	Father's	father	0
kind	kind	n1	kind	kind	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
will	will	n1	will	will	0
cast	cast	vvn	cast	cast	0
in	in	p-acp	in	in	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
weight	weight	n1	weight	weight	0
.	.	.	.	.	1
Sr	Sr	n1	Sir	sir	0
,	,	,	,	,	0
these	these	d	these	these	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
being	being	vbg	being	be	0
judged	judged	vvn	judged	judge	0
ripe	ripe	j	ripe	ripe	0
sooner	sooner	av-c	sooner	soon	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
gathered	gathered	vvd	gathered	gather	0
(	(	(	(	(	0
much	much	av-d	much	much	0
against	against	p-acp	against	against	0
my	my	po11	my	my	0
will	will	n1	will	will	0
.	.	.	.	.	1
)	)	)	)	)	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
been	been	vbn	been	be	0
offered	offered	vvn	offered	offer	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Tem	Tem	n1	Tem	tem	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
spirituall	spirituall	j	spiritual	spiritual	0
Temple	Temple	n1	Temple	temple	0
,	,	,	,	,	0
are	are	vbr	are	be	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
handfull	handfull	n1	handful	handful	0
left	left	vvn	left	leave	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
portion	portion	n1	portion	portion	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
hold	hold	n1	hold	hold	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
duly	duly	av-jn	duly	due	0
offered	offered	vvn	offered	offer	0
did	did	vdd	did	do	0
procure	procure	vvi	procure	procure	0
a	a	dt	a	a	0
blessing	blessing	n1	blessing	blessing	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
offerer	offerer	n1	offerer	offerer	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
fare	fare	vvi	fare	fare	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
nothing	nothing	pix	nothing	nothing	0
doubts	doubts	vvz	doubts	doubt	0
your	your	po22	your	your	0
blessing	blessing	n1	blessing	blessing	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
head	head	n1	head	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
doubts	doubts	vvz	doubts	doubt	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Jacob's	Jacob's	npg1	Jacob's	Jacob	0
,	,	,	,	,	0
prevaile	prevaile	vvi	prevail	prevail	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bove	bove	p-acp	above	above	0
the	the	dt	the	the	0
blessings	blessings	n2	blessings	blessing	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Progeni	Progeni	np1	Progeni	Progeni	0
∣	∣	sy	∣	∣	0
tours	tours	ng2	tours	tours	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
abundant	abundant	j	abundant	abundant	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
Mercy	Mercy	n1	Mercy	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
on	on	p-acp	on	on	0
From	From	p-acp	From	from	0
Merton	Merton	np1	Merton	Merton	0
Coll.	Coll.	np1	Coll.	Coll.	0
July	July	np1	July	July	0
6.	6.	crd	6.	6.	0
1659.	1659.	crd	1659.	1659.	1
