YOur	YOur	po22	YOur	your	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Princess	Princess	n1	Princess	princess	0
the	the	dt	the	the	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
racles	racles	n2	racles	racle	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
conspicuous	conspicuous	j	conspicuous	conspicuous	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
smallest	smallest	js	smallest	small	0
things	things	n2	things	thing	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
testifie	testifie	vvb	testify	testify	0
the	the	dt	the	the	0
infinite	infinite	j	infinite	infinite	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
supreme	supreme	j	supreme	supreme	0
Creator	Creator	n1	Creator	creator	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
raise	raise	vvi	raise	raise	0
the	the	dt	the	the	0
mindes	mindes	n2	minds	mind	0
of	of	pp-f	of	of	0
Prin	Prin	n1	Prin	prin	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
who	who	q-crq	who	who	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Highest	Highest	js	Highest	high	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
causes	causes	n2	causes	cause	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
places	places	n2	places	place	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Deity	Deity	n1	Deity	deity	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
bountiful	bountiful	j	bountiful	bountiful	0
hand	hand	n1	hand	hand	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
sin	sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
gular	gular	j	gular	gular	0
direction	direction	n1	direction	direction	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
influence	influence	n1	influence	influence	0
that	that	cst	that	that	0
acts	acts	vvz	acts	act	0
by	by	p-acp	by	by	0
election	election	n1	election	election	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
adore	adore	vvi	adore	adore	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
humble	humble	j	humble	humble	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
grateful	grateful	j	grateful	grateful	0
minde	minde	n1	mind	mind	0
;	;	;	;	;	0
so	so	av	so	so	0
weighing	weighing	vvg	weighing	weigh	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
grees	grees	vvz	grees	agree	0
of	of	pp-f	of	of	0
proportion	proportion	n1	proportion	proportion	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
obliged	obliged	vvn	obliged	oblige	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
received	received	vvn	received	receive	0
most	most	av-ds	most	most	0
.	.	.	.	.	1
The	The	dt	The	the	0
Author	Author	n1	Author	author	0
before	before	c-acp	before	before	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
accomplish	accomplish	vvi	accomplish	accomplish	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
died	died	vvd	died	die	0
;	;	;	;	;	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
lived	lived	vvn	lived	live	0
longer	longer	av-jc	longer	long	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
of	of	pp-f	of	of	0
Art	Art	n1	Art	art	0
and	and	cc	and	and	0
Learning	Learning	n1	Learning	learning	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
the	the	dt	the	the	0
Book	Book	n1	Book	book	0
was	was	vbds	was	be	0
left	left	vvn	left	leave	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
death	death	n1	death	death	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Heir	Heir	n1	Heir	heir	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
smaller	smaller	jc	smaller	small	0
estate	estate	n1	estate	estate	0
than	than	cs	than	than	0
suited	suited	vvn	suited	suit	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
merit	merit	n1	merit	merit	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quired	quired	vvn	quired	quire	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
many	many	d	many	many	0
watchings	watchings	n2-vvg	watchings	watch	0
and	and	cc	and	and	0
labours	labours	n2	labours	labour	0
sustained	sustained	vvn	sustained	sustain	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
good	good	j	good	good	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
curing	curing	vvg	curing	cure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sick	sick	j	sick	sick	0
,	,	,	,	,	0
justly	justly	av-j	justly	just	0
deserved	deserved	vvn	deserved	deserve	0
.	.	.	.	.	1
Fortune	Fortune	n1	Fortune	fortune	0
is	is	vbz	is	be	0
blinde	blinde	j	blind	blind	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
hardly	hardly	av	hardly	hardly	0
favour	favour	vvi	favour	favour	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
best	best	js	best	best	0
but	but	p-acp	but	but	0
against	against	p-acp	against	against	0
her	her	po31	her	her	0
will	will	n1	will	will	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
disagreeing	disagreeing	vvg	disagreeing	disagree	0
and	and	cc	and	and	0
dissonant	dissonant	n1	dissonant	dissonant	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
any	any	d	any	any	0
commerce	commerce	n1	commerce	commerce	0
between	between	p-acp	between	between	0
Pluto	Pluto	np1	Pluto	Pluto	0
with	with	p-acp	with	with	0
Apollo	Apollo	np1	Apollo	Apollo	0
,	,	,	,	,	0
Minerva	Minerva	np1	Minerva	Minerva	0
and	and	cc	and	and	0
Mercury	Mercury	np1	Mercury	Mercury	0
.	.	.	.	.	1
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
being	being	vbg	being	be	0
departed	departed	vvn	departed	depart	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
James	James	np1	James	James	0
then	then	av	then	then	0
holding	holding	vvg	holding	hold	0
the	the	dt	the	the	0
reins	reins	n2	reins	reins	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
British	British	jp	British	british	0
Empire	Empire	n1	Empire	empire	0
piously	piously	av-j	piously	pious	0
and	and	cc	and	and	0
justly	justly	av-j	justly	just	0
,	,	,	,	,	0
and	and	cc	and	and	0
ruling	ruling	vvg	ruling	rule	0
peaceably	peaceably	av-j	peaceably	peaceable	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
storms	storms	n2	storms	storm	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
shook	shook	vvd	shook	shake	0
all	all	d	all	all	0
Europe	Europe	np1	Europe	Europe	0
,	,	,	,	,	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
weeded	weeded	vvn	weeded	weed	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Majestick	Majestick	j	Majestic	majestic	0
Scepter	Scepter	n1	Sceptre	sceptre	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
providence	providence	n1	providence	providence	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
soul	soul	n1	soul	soul	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
prudent	prudent	j	prudent	prudent	0
even	even	av	even	even	0
to	to	p-acp	to	to	0
miracle	miracle	n1	miracle	miracle	0
,	,	,	,	,	0
all	all	d	all	all	0
Monsters	Monsters	n2	Monsters	monster	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
endevoured	endevoured	vvd	endeavoured	endeavour	0
to	to	pc-acp	to	to	0
shake	shake	vvi	shake	shake	0
the	the	dt	the	the	0
foundati	foundati	n1	foundati	foundati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
by	by	p-acp	by	by	0
Treason	Treason	n1	Treason	treason	0
,	,	,	,	,	0
Deceit	Deceit	n1	Deceit	deceit	0
,	,	,	,	,	0
Wickedness	Wickedness	n1	Wickedness	wickedness	0
,	,	,	,	,	0
Lust	Lust	n1	Lust	lust	0
,	,	,	,	,	0
and	and	cc	and	and	0
Wrath.	Wrath.	np1	Wrath.	Wrath.	1
The	The	dt	The	the	0
Over	Over	np1	Over	Over	0
∣	∣	sy	∣	∣	0
ers	ers	n1	ers	ers	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Orphan	Orphan	n1	Orphan	orphan	0
left	left	vvn	left	leave	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
very	very	j	very	very	0
poor	poor	j	poor	poor	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
resolved	resolved	vvn	resolved	resolve	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
this	this	d	this	this	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
Work	Work	n1	Work	work	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Noble	Noble	j	Noble	noble	0
Heros	Heros	np1	Heros	Heros	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
no	no	av-dx	no	no	0
less	less	av-dc	less	less	0
famous	famous	j	famous	famous	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Learning	Learning	n1	Learning	learning	0
than	than	cs	than	than	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
concourse	concourse	n1	concourse	concourse	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Virtues	Virtues	n2	Virtues	virtue	0
that	that	cst	that	that	0
met	met	vvd	met	meet	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
great	great	j	great	great	0
poverty	poverty	n1	poverty	poverty	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
,	,	,	,	,	0
delayed	delayed	vvd	delayed	delay	0
the	the	dt	the	the	0
business	business	n1	business	business	0
,	,	,	,	,	0
and	and	cc	and	and	0
hindred	hindred	vvd	hindered	hinder	0
this	this	d	this	this	0
windy	windy	j	windy	windy	0
intention	intention	n1	intention	intention	0
from	from	p-acp	from	from	0
taking	taking	vvg	taking	take	0
effect	effect	n1	effect	effect	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
off-spring	off-spring	n1	offspring	offspring	0
from	from	p-acp	from	from	0
coming	coming	vvg	coming	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
light	light	n1	light	light	0
.	.	.	.	.	1
So	So	np1	So	So	0
the	the	dt	the	the	0
Book	Book	n1	Book	book	0
lay	lay	vvd	lay	lie	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
obscurity	obscurity	n1	obscurity	obscurity	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
custody	custody	n1	custody	custody	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
friends	friends	n2	friends	friend	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
departed	departed	vvd	departed	depart	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
offered	offered	vvn	offered	offer	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
Dar	Dar	zf	Dar	there	0
∣	∣	sy	∣	∣	0
nellus	nellus	fw-la	nellus	nellus	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
formerly	formerly	av-j	formerly	former	0
his	his	po31	his	his	0
Apothecary	Apothecary	n1	Apothecary	apothecary	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
very	very	j	very	very	0
honest	honest	j	honest	honest	0
man	man	n1	man	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
wished	wished	vvd	wished	wish	0
well	well	av	well	well	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Master	Master	n1	Master	master	0
being	being	vbg	being	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
very	very	av	very	very	0
desirous	desirous	j	desirous	desirous	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
;	;	;	;	;	0
so	so	av	so	so	0
it	it	pn31	it	it	0
lay	lay	vvd	lay	lie	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
years	years	n2	years	year	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Study	Study	n1	Study	study	0
cast	cast	vvd	cast	cast	0
aside	aside	av	aside	aside	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dust	dust	n1	dust	dust	0
among	among	p-acp	among	among	0
Worms	Worms	n2	Worms	worm	0
and	and	cc	and	and	0
Moths	Moths	n2	Moths	moth	0
;	;	;	;	;	0
truly	truly	av-j	truly	true	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
fault	fault	n1	fault	fault	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Printers	Printers	n2	Printers	printer	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
greedy	greedy	j	greedy	greedy	0
of	of	pp-f	of	of	0
Money	Money	n1	Money	money	0
,	,	,	,	,	0
that	that	cst	that	that	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
Coun	Coun	vvb	Con	con	0
∣	∣	sy	∣	∣	0
treys	treys	n2	treys	trey	0
I	I	pns11	I	i	0
invited	invited	vvd	invited	invite	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Letters	Letters	n2	Letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
did	did	vdd	did	do	0
solicit	solicit	vvi	solicit	solicit	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
the	the	dt	the	the	0
Orphan	Orphan	n1	Orphan	orphan	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
refused	refused	vvd	refused	refuse	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
said	said	vvd	said	say	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
an	an	dt	and	a	0
unthankful	unthankful	j	unthankful	unthankful	0
business	business	n1	business	business	0
;	;	;	;	;	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
pleased	pleased	vvn	pleased	please	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
unless	unless	cs	unless	unless	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
pay	pay	vvi	pay	pay	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
the	the	dt	the	the	0
fraight	fraight	vvn	fraught	fraught	0
.	.	.	.	.	1
O	O	sy	O	o	0
the	the	dt	the	the	0
times	times	n2	times	time	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
pains	pains	n2	pains	pain	0
of	of	pp-f	of	of	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
valued	valued	vvn	valued	value	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
price	price	n1	price	price	0
the	the	dt	the	the	0
work	work	n1	work	work	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
sold	sold	vvn	sold	sell	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
money	money	n1	money	money	0
that	that	cst	that	that	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
laid	laid	vvn	laid	lay	0
out	out	av	out	out	0
for	for	p-acp	for	for	0
ink	ink	n1	ink	ink	0
and	and	cc	and	and	0
paper	paper	n1	paper	paper	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
depraved	depraved	j-vvn	depraved	deprave	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vulgar	vulgar	j	vulgar	vulgar	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
commonly	commonly	av-j	commonly	common	0
applaud	applaud	vvb	applaud	applaud	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
worst	worst	js	worst	worst	0
)	)	)	)	)	0
and	and	cc	and	and	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
essence	essence	n1	essence	essence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
dignity	dignity	n1	dignity	dignity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
solid	solid	j	solid	solid	0
explanation	explanation	n1	explanation	explanation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
!	!	!	!	!	1
Then	Then	av	Then	then	0
tere	tere	a-acp	tere	there	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
Epistle	Epistle	n1	Epistle	epistle	0
prefixed	prefixed	vvn	prefixed	prefix	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
which	which	r-crq	which	which	0
men	men	n2	men	man	0
call	call	vvb	call	call	0
Dedicatory	Dedicatory	j	Dedicatory	dedicatory	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
the	the	dt	the	the	0
name	name	n1	name	name	0
before	before	p-acp	before	before	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
the	the	dt	the	the	0
Edition	Edition	n1	Edition	edition	0
seemed	seemed	vvd	seemed	seem	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
forth	forth	av	forth	forth	0
unseasonably	unseasonably	av-j	unseasonably	unseasonable	0
after	after	c-acp	after	after	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
both	both	d	both	both	0
dead	dead	j	dead	dead	0
.	.	.	.	.	1
Perchance	Perchance	av	Perchance	perchance	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
man	man	n1	man	man	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
cacht	cacht	vvn	cacht	cacht	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
brought	brought	vvn	brought	bring	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
King	King	n1	King	king	0
Charles	Charles	np1	Charles	Charles	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
great	great	j	great	great	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
whose	whose	rg-crq	whose	who	0
fortunate	fortunate	j	fortunate	fortunate	0
reign	reign	n1	reign	reign	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Kingly	Kingly	j	Kingly	kingly	0
person	person	n1	person	person	0
,	,	,	,	,	0
all	all	d	all	all	0
Kingly	Kingly	j	Kingly	kingly	0
virtues	virtues	n2	virtues	virtue	0
run	run	vvb	run	run	0
toge	toge	n1	toga	toge	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
in	in	p-acp	in	in	0
troops	troops	n2	troops	troop	0
,	,	,	,	,	0
each	each	d	each	each	0
striving	striving	vvg	striving	strive	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
upper	upper	jc	upper	upper	0
hand	hand	n1	hand	hand	0
)	)	)	)	)	0
and	and	cc	and	and	0
kneeling	kneeling	vvg	kneeling	kneel	0
down	down	a-acp	down	down	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
offered	offered	vvn	offered	offer	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
hopes	hopes	n2	hope's	hope	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
reward	reward	n1	reward	reward	0
,	,	,	,	,	0
another	another	j-jn	another	another	0
mans	mans	n2	men	man	0
Works	Works	vvz	Works	work	0
vail'd	vail'd	vvn	veiled	veil	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
false	false	j	false	false	0
cover	cover	n1	cover	cover	0
of	of	pp-f	of	of	0
commendations	commendations	n2	commendations	commendation	0
,	,	,	,	,	0
or	or	cc	or	or	0
