Renowned	Renowned	j-vvn	Renowned	renown	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
afraid	afraid	j	afraid	afraid	0
to	to	pc-acp	to	to	0
incurre	incurre	vvi	incur	incur	0
the	the	dt	the	the	0
blame	blame	n1	blame	blame	0
or	or	cc	or	or	0
suspicion	suspicion	n1	suspicion	suspicion	0
of	of	pp-f	of	of	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
delivered	delivered	vvn	delivered	deliver	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
paw	paw	n1	paw	paw	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lyon	Lyon	n1	Lion	lion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
thirsted	thirsted	vvd	thirsted	thirst	0
after	after	p-acp	after	after	0
my	my	po11	my	my	0
bloud	bloud	n1	blood	blood	0
;	;	;	;	;	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
set	set	vvn	set	set	0
mee	mee	pno11	me	i	0
at	at	p-acp	at	at	0
liberty	liberty	n1	liberty	liberty	0
after	after	p-acp	after	after	0
two	two	crd	two	two	0
yeares	yeares	ng2	years	year	0
imprisonment	imprisonment	n1	imprisonment	imprisonment	0
,	,	,	,	,	0
and	and	cc	and	and	0
Voted	Voted	vvd	Voted	vote	0
a	a	dt	a	a	0
just	just	j	just	just	0
recompence	recompence	n1	recompense	recompense	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wrongs	wrongs	n2-jn	wrongs	wrong	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Satisfaction	Satisfaction	n1	Satisfaction	satisfaction	0
from	from	p-acp	from	from	0
mine	mine	po11	mine	my	0
Oppressors	Oppressors	ng2	Oppressors'	oppressor	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
my	my	po11	my	my	0
losses	losses	n2	losses	loss	0
and	and	cc	and	and	0
dammages	dammages	n2	damages	damage	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
malice	malice	n1	malice	malice	0
sustained	sustained	vvn	sustained	sustain	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
recompence	recompence	n1	recompense	recompense	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
forwardnesse	forwardnesse	n1	forwardness	forwardness	0
to	to	pc-acp	to	to	0
relieve	relieve	vvi	relieve	relieve	0
mee	mee	pno11	me	i	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
certainely	certainely	av-j	certainly	certain	0
received	received	vvn	received	receive	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
Malignant	Malignant	j	Malignant	malignant	0
spirits	spirits	n2	spirits	spirit	0
,	,	,	,	,	0
then	then	av	then	then	0
too	too	av	too	too	0
prevalent	prevalent	j	prevalent	prevalent	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
now	now	av	now	now	0
expelled	expelled	vvd	expelled	expel	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Assemblie	Assemblie	n1	Assembly	assembly	0
,	,	,	,	,	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
opposed	opposed	vvn	opposed	oppose	0
and	and	cc	and	and	0
hindred	hindred	vvd	hindered	hinder	0
the	the	dt	the	the	0
transmission	transmission	n1	transmission	transmission	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Cause	Cause	n1	Cause	cause	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
LORDS	LORDS	ng1	LORDS	lord	0
.	.	.	.	.	1
I	I	pns11	I	i	0
saw	saw	vvd	saw	see	0
also	also	av	also	also	0
a	a	dt	a	a	0
speciall	speciall	j	special	special	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
in	in	p-acp	in	in	0
calling	calling	vvg	calling	call	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
Preach	Preach	vvi	Preach	preach	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
Honourable	Honourable	j	Honourable	honourable	0
an	an	dt	and	a	0
Assemblie	Assemblie	n1	Assembly	assembly	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
power	power	n1	power	power	0
and	and	cc	and	and	0
providence	providence	n1	providence	providence	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
frustrating	frustrating	vvg	frustrating	frustrate	0
and	and	cc	and	and	0
bringing	bringing	vvg	bringing	bring	0
to	to	p-acp	to	to	0
nought	nought	pi	nought	nought	0
the	the	dt	the	the	0
Counsells	Counsells	n2	Counsels	counsel	0
and	and	cc	and	and	0
purposes	purposes	n2	purposes	purpose	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
proud	proud	j	proud	proud	0
persecuting	persecuting	vvg	persecuting	persecute	0
Prelate	Prelate	n1	Prelate	prelate	0
of	of	pp-f	of	of	0
CANTERBURIE	CANTERBURIE	np1	CANTERBURIE	Canterbury	0
,	,	,	,	,	0
Ianuar.	Ianuar.	np1	Ianuar.	Ianuar.	1
29.	29.	crd	29.	29.	0
1638.	1638.	crd	1638.	1638.	0
who	who	r-crq	who	who	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
same	same	d	same	same	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
VVeeke	VVeeke	n1	VVeeke	week	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Yeare	Yeare	n1	Year	year	0
,	,	,	,	,	0
six	six	crd	six	six	0
yeares	yeares	n2	years	year	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
brought	brought	vvd	brought	bring	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
Ore	Ore	a-acp	Over	over	0
tenus	tenus	fw-la	tenus	tenus	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Star-Chamber	Star-Chamber	n1	Star-Chamber	star-chamber	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
full	full	j	full	full	0
intent	intent	n1	intent	intent	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
a	a	dt	a	a	0
heavie	heavie	j	heavy	heavy	0
Censure	Censure	n1	Censure	censure	0
on	on	p-acp	on	on	0
mee	mee	pno11	me	i	0
:	:	:	:	:	0
And	And	cc	And	and	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
suffered	suffered	vvd	suffered	suffer	0
,	,	,	,	,	0
did	did	vdd	did	do	0
beare	beare	vvi	bear	bear	0
mee	mee	pno11	me	i	0
out	out	av	out	out	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
his	his	po31	his	his	0
Slanders	Slanders	n2	Slanders	slander	0
,	,	,	,	,	0
and	and	cc	and	and	0
false	false	j	false	false	0
Accusations	Accusations	n2	Accusations	accusation	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
most	most	av-ds	most	most	0
proudly	proudly	av-j	proudly	proud	0
affirmed	affirmed	vvn	affirmed	affirm	0
,	,	,	,	,	0
and	and	cc	and	and	0
bid	bid	vvb	bid	bid	0
me	me	pno11	me	i	0
assure	assure	vvi	assure	assure	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
That	That	cst	That	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
never	never	av-x	never	never	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
any	any	d	any	any	0
more	more	dc	more	more	0
.	.	.	.	.	1
Vpon	Vpon	p-acp	Upon	upon	0
these	these	d	these	these	0
Considerations	Considerations	n2	Considerations	consideration	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
cheerefully	cheerefully	av-j	cheerfully	cheerful	0
submit	submit	vvi	submit	submit	0
my	my	po11	my	my	0
shoulders	shoulders	n2	shoulders	shoulder	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
this	this	d	this	this	0
burthen	burthen	n1	burden	burden	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
seemed	seemed	vvd	seemed	seem	0
farre	farre	av-j	far	far	0
heavier	heavier	jc	heavier	heavy	0
then	then	cs	then	than	0
my	my	po11	my	my	0
strength	strength	n1	strength	strength	0
was	was	vbds	was	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
sustaine	sustaine	vvi	sustain	sustain	0
and	and	cc	and	and	0
undergoe	undergoe	vvi	undergo	undergo	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
,	,	,	,	,	0
Yee	Yee	pn22	Ye	you	0
Worthies	Worthies	n2-jn	Worthies	worthy	0
of	of	pp-f	of	of	0
GODS	GODS	npg1	GODS	God	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
begge	begge	vvb	beg	beg	0
this	this	d	this	this	0
favour	favour	n1	favour	favour	0
at	at	p-acp	at	at	0
Your	Your	po22	Your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
will	will	vmb	will	will	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
willingnesse	willingnesse	n1	willingness	willingness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Workman	Workman	n1	Workman	workman	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
You	You	pn22	You	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
the	the	dt	the	the	0
worth	worth	n1	worth	worth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Service	Service	n1	Service	service	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
Looke	Looke	vvb	Look	look	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
pure	pure	j	pure	pure	0
,	,	,	,	,	0
precious	precious	j	precious	precious	0
matter	matter	n1	matter	matter	0
here	here	av	here	here	0
handled	handled	vvn	handled	handle	0
,	,	,	,	,	0
chosen	chosen	vvn	chosen	choose	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
golden	golden	j	golden	golden	0
Psalme	Psalme	n1	Psalm	psalm	0
of	of	pp-f	of	of	0
DAVID	DAVID	np1	DAVID	David	0
,	,	,	,	,	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
Singer	Singer	n1	Singer	singer	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
not	not	xx	not	not	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
weake	weake	j	weak	weak	0
handling	handling	n-vvg	handling	handle	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
conceived	conceived	vvd	conceived	conceive	0
it	it	pn31	it	it	0
verie	verie	av	very	very	0
seasonable	seasonable	j	seasonable	seasonable	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Time	Time	n1	Time	time	0
and	and	cc	and	and	0
Occasion	Occasion	n1	Occasion	occasion	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
present	present	j	present	present	0
Calamities	Calamities	n2	Calamities	calamity	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
LORD	LORD	n1	LORD	lord	0
calls	calls	vvz	calls	call	0
us	us	pno12	us	we	0
to	to	p-acp	to	to	0
publike	publike	j	public	public	0
and	and	cc	and	and	0
generall	generall	j	general	general	0
Fasting	Fasting	n-vvg	Fasting	fast	0
and	and	cc	and	and	0
Humiliation	Humiliation	n1	Humiliation	humiliation	0
,	,	,	,	,	0
proceed	proceed	vvb	proceed	proceed	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Bands	Bands	n2	Bans	band	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Brethren	Brethren	n2	Brothers	brethren	0
in	in	p-acp	in	in	0
Iniquitie	Iniquitie	n1	Iniquity	iniquity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
so	so	av	so	so	0
many	many	d	many	many	0
cursed	cursed	j-vvn	cursed	curse	0
Brambles	Brambles	n2	Brambles	bramble	0
of	of	pp-f	of	of	0
severall	severall	j	several	several	0
sorts	sorts	n2	sorts	sort	0
,	,	,	,	,	0
pestering	pestering	vvg	pestering	pester	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
stinging	stinging	vvg	stinging	sting	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
hurtfull	hurtfull	j	hurtful	hurtful	0
pricks	pricks	n2	pricks	prick	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
abound	abound	vvb	abound	abound	0
in	in	p-acp	in	in	0
everie	everie	d	every	every	0
Band	Band	n1	Band	band	0
,	,	,	,	,	0
Sect	Sect	n1	Sect	sect	0
,	,	,	,	,	0
and	and	cc	and	and	0
Faction	Faction	n1	Faction	faction	0
.	.	.	.	.	1
The	The	dt	The	the	0
thing	thing	n1	thing	thing	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
seeke	seeke	vvb	seek	seek	0
unto	unto	p-acp	unto	unto	0
GOD	GOD	np1	GOD	God	0
by	by	p-acp	by	by	0
Fasting	Fasting	vvg	Fasting	fast	0
and	and	cc	and	and	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Deliverance	Deliverance	n1	Deliverance	deliverance	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
State	State	n1	State	state	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
mischiefe	mischiefe	n1	mischief	mischief	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
sharply	sharply	av-j	sharply	sharp	0
set	set	vvn	set	set	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
and	and	cc	and	and	0
inflict	inflict	vvi	inflict	inflict	0
upon	upon	p-acp	upon	upon	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Righteous	Righteous	j	Righteous	righteous	0
and	and	cc	and	and	0
Religious	Religious	j	Religious	religious	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Land.	Land.	n1	Land.	land	1
This	This	d	This	this	0
Deliverance	Deliverance	n1	Deliverance	deliverance	0
cannot	cannot	vmbx	cannot	can	0
bee	bee	vbi	be	be	0
fully	fully	av-j	fully	full	0
and	and	cc	and	and	0
perfectly	perfectly	av-j	perfectly	perfect	0
obtained	obtained	vvn	obtained	obtain	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
our	our	po12	our	our	0
God	God	n1	God	god	0
bee	bee	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
cut	cut	vvi	cut	cut	0
downe	downe	a-acp	down	down	0
these	these	d	these	these	0
cursed	cursed	j-vvn	cursed	curse	0
Brambles	Brambles	n2	Brambles	bramble	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
ridde	ridde	vvi	rid	rid	0
these	these	d	these	these	0
three	three	crd	three	three	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
the	the	dt	the	the	0
LORD	LORD	n1	LORD	lord	0
will	will	vmb	will	will	0
doe	doe	vdi	do	do	0
verie	verie	av	very	very	0
speedily	speedily	av-j	speedily	speedy	0
,	,	,	,	,	0
so	so	av	so	so	0
soone	soone	av	soon	soon	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
sees	sees	vvz	sees	see	0
us	us	pno12	us	we	0
made	made	j	made	mad	0
ripe	ripe	j	ripe	ripe	0
for	for	p-acp	for	for	0
Deliverance	Deliverance	n1	Deliverance	deliverance	0
by	by	p-acp	by	by	0
true	true	j	true	true	0
unfeigned	unfeigned	j	unfeigned	unfeigned	0
repentance	repentance	n1	repentance	repentance	0
,	,	,	,	,	0
and	and	cc	and	and	0
amendment	amendment	n1	amendment	amendment	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lives	lives	n2	lives	life	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
away	away	av	away	away	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Storme	Storme	n1	Storm	storm	0
and	and	cc	and	and	0
Whirle-winde	Whirle-winde	n1	Whirlwind	whirlwind	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
great	great	j	great	great	0
Faction	Faction	n1	Faction	faction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
Papists	Papists	njp2	Papists	papist	0
,	,	,	,	,	0
Atheists	Atheists	n2	Atheists	atheist	0
,	,	,	,	,	0
and	and	cc	and	and	0
Malignants	Malignants	n2	Malignants	malignant	0
,	,	,	,	,	0
banded	banded	vvd	banded	band	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
wageing	wageing	n-vvg	waging	wage	0
open	open	j	open	open	0
VVarre	VVarre	n1	VVarre	war	0
against	against	p-acp	against	against	0
us	us	pno12	us	we	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
all	all	d	all	all	0
the	the	dt	the	the	0
Sects	Sects	n2	Sects	sect	0
of	of	pp-f	of	of	0
Anabaptists	Anabaptists	np1	Anabaptists	Anabaptists	0
,	,	,	,	,	0
Antinomians	Antinomians	njp2	Antinomians	antinomians	0
,	,	,	,	,	0
Libertines	Libertines	n2	Libertines	libertine	0
,	,	,	,	,	0
and	and	cc	and	and	0
Schismaticall	Schismaticall	j	Schismatical	schismatical	0
Separatists	Separatists	n2	Separatists	separatist	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
opposing	opposing	vvg	opposing	oppose	0
the	the	dt	the	the	0
Reformation	Reformation	n1	Reformation	reformation	0
,	,	,	,	,	0
and	and	cc	and	and	0
union	union	n1	union	union	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
Reformed	Reformed	vvn	Reformed	reform	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
and	and	cc	and	and	0
Discipline	Discipline	n1	Discipline	discipline	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
written	written	j-vvn	written	write	0
VVord	VVord	n1	VVord	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
do	do	vdb	do	do	0
act	act	vvi	act	act	0
strongly	strongly	av-j	strongly	strong	0
for	for	p-acp	for	for	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
raising	raising	vvg	raising	raise	0
up	up	a-acp	up	up	0
Divisions	Divisions	n2	Divisions	division	0
and	and	cc	and	and	0
Distractions	Distractions	n2	Distractions	distraction	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
our	our	po12	our	our	0
Armies	Armies	n2	Armies	army	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
weaken	weaken	vvi	weaken	weaken	0
us	us	pno12	us	we	0
,	,	,	,	,	0
make	make	vvb	make	make	0
breaches	breaches	n2	breaches	breach	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
VValls	VValls	n2	VValls	wall	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
us	us	pno12	us	we	0
open	open	vvi	open	open	0
and	and	cc	and	and	0
naked	naked	j	naked	naked	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
violence	violence	n1	violence	violence	0
and	and	cc	and	and	0
furie	furie	n1	fury	fury	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
open	open	j	open	open	0
enemies	enemies	n2	enemies	enemy	0
:	:	:	:	:	0
All	All	d	All	all	0
these	these	d	these	these	0
things	things	n2	things	thing	0
my	my	po11	my	my	0
Text	Text	n1	Text	text	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
faithfully	faithfully	av-j	faithfully	faithful	0
opened	opened	vvn	opened	open	0
and	and	cc	and	and	0
expounded	expounded	vvn	expounded	expound	0
it	it	pn31	it	it	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
grave	grave	n1	grave	grave	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
consideration	consideration	n1	consideration	consideration	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
proved	proved	vvn	proved	prove	0
every	every	d	every	every	0
particular	particular	j	particular	particular	0
by	by	p-acp	by	by	0
cleare	cleare	j	clear	clear	0
testimonies	testimonies	n2	testimonies	testimony	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
holy	holy	j	holy	holy	0
