CHriſtian	CHriſtian	np1	CHriſtian	CHriſtian	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
unwearied	unwearied	j	unwearied	unwearied	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
patient	patient	j	patient	patient	0
ſufferings	ſufferings	n2	ſufferings	ſuffering	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cauſe	cauſe	n1	cauſe	cauſe	0
of	of	pp-f	of	of	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
.	.	.	.	.	1
If	If	cs	If	if	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
but	but	p-acp	but	but	0
once	once	a-acp	once	once	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
his	his	po31	his	his	0
life	life	n1	life	life	0
ſtumbled	ſtumbled	vvd	ſtumbled	ſtumble	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
bad	bad	j	bad	bad	0
cauſe	cauſe	n1	cauſe	cauſe	0
,	,	,	,	,	0
and	and	cc	and	and	0
pleaded	pleaded	vvd	pleaded	plead	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
common	common	j	common	common	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
ſome	ſome	d	ſome	ſome	0
ſort	ſort	n1	ſort	ſort	0
a	a	dt	a	a	0
neceſſary	neceſſary	j	neceſſary	neceſſary	0
evil	evil	n-jn	evil	evil	0
,	,	,	,	,	0
hardly	hardly	av	hardly	hardly	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
avoided	avoided	vvn	avoided	avoid	0
by	by	p-acp	by	by	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
vocation	vocation	n1	vocation	vocation	0
:	:	:	:	:	0
)	)	)	)	)	0
let	let	vvb	let	let	0
not	not	xx	not	not	0
this	this	d	this	this	0
blemiſh	blemiſh	n1	blemiſh	blemiſh	0
his	his	po31	his	his	0
great	great	j	great	great	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
his	his	po31	his	his	0
judgement	judgement	n1	judgement	judgement	0
,	,	,	,	,	0
ſound	ſound	vvn	found	find	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
points	points	n2	points	point	0
,	,	,	,	,	0
and	and	cc	and	and	0
leaſt	leaſt	ds	leaſt	leaſt	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
approved	approved	j-vvn	approved	approve	0
piety	piety	n1	piety	piety	0
and	and	cc	and	and	0
zeale	zeale	n1	zeal	zeal	0
for	for	p-acp	for	for	0
true	true	j	true	true	0
religion	religion	n1	religion	religion	0
.	.	.	.	.	1
His	His	po31	His	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
happily	happily	av-j	happily	happy	0
concealed	concealed	vvn	concealed	conceal	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
annexed	annexed	vvn	annexed	annex	0
to	to	p-acp	to	to	0
theſe	theſe	d	theſe	theſe	0
foure	foure	crd	foure	four	0
queſtions	queſtions	n2	queſtions	queſtion	0
,	,	,	,	,	0
ſhall	ſhall	vmb	ſhall	ſhall	0
ever	ever	av	ever	ever	0
be	be	vbi	be	be	0
precious	precious	j	precious	precious	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
Gods	Gods	ng1	Gods	god	0
people	people	n1	people	people	0
alſo	alſo	av	alſo	alſo	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
truly	truly	av-j	truly	true	0
feare	feare	vvb	fear	fear	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
long	long	av-j	long	long	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
of	of	pp-f	of	of	0
Zion	Zion	np1	Zion	Zion	0
,	,	,	,	,	0
and	and	cc	and	and	0
unfeignedly	unfeignedly	av-j	unfeignedly	unfeigned	0
ſeek	ſeek	vvi	ſeek	ſeek	0
the	the	dt	the	the	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
theſe	theſe	d	theſe	theſe	0
three	three	crd	three	three	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
ſmall	ſmall	j	ſmall	ſmall	0
griefe	griefe	n1	grief	grief	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
compelled	compelled	vvn	compelled	compel	0
to	to	pc-acp	to	to	0
move	move	vvi	move	move	0
my	my	po11	my	my	0
pen	pen	n1	pen	pen	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
againſt	againſt	p-acp	againſt	againſt	0
any	any	d	any	any	0
paper	paper	n1	paper	paper	0
,	,	,	,	,	0
publiſhed	publiſhed	vvn	publiſhed	publiſh	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
hand	hand	n1	hand	hand	0
ſo	ſo	av	ſo	ſo	0
deare	deare	j-jn	deer	dear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cauſe	cauſe	n1	cauſe	cauſe	0
of	of	pp-f	of	of	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
point	point	n1	point	point	0
ſo	ſo	av	ſo	ſo	0
prejudiciall	prejudiciall	j	prejudicial	prejudicial	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
pure	pure	j	pure	pure	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
Who	Who	r-crq	Who	who	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
ſilent	ſilent	j	ſilent	ſilent	0
?	?	?	?	?	1
The	The	dt	The	the	0
neareſt	neareſt	js	neareſt	neareſt	0
relations	relations	n2	relations	relation	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
which	which	r-crq	which	which	0
one	one	pi	one	one	0
Chriſtian	Chriſtian	np1	Chriſtian	Chriſtian	0
can	can	vmb	can	can	0
have	have	vhi	have	have	0
to	to	p-acp	to	to	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
muſt	muſt	crd	muſt	muſt	0
not	not	xx	not	not	0
hinder	hinder	vvi	hinder	hinder	0
us	us	pno12	us	we	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
ſtay	ſtay	vvi	ſtay	ſtay	0
our	our	po12	our	our	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
tongues	tongues	n2	tongues	tongue	0
or	or	cc	or	or	0
pens	pens	n2	pens	pen	0
from	from	p-acp	from	from	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
all	all	d	all	all	0
ſtand	ſtand	vvb	ſtand	ſtand	0
obliged	obliged	vvn	obliged	oblige	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
our	our	po12	our	our	0
Redeemer	Redeemer	n1	Redeemer	redeemer	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
our	our	po12	our	our	0
deare	deare	j-jn	deer	dear	0
mother	mother	n1	mother	mother	0
.	.	.	.	.	1
And	And	cc	And	and	0
wherein	wherein	q-crq	wherein	wherein	0
can	can	vmb	can	can	0
we	we	pns12	we	we	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
neceſſitated	neceſſitated	vvn	neceſſitated	neceſſitate	0
to	to	pc-acp	to	to	0
ſhew	ſhew	vvi	show	show	0
our	our	po12	our	our	0
duty	duty	n1	duty	duty	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
,	,	,	,	,	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
reſisting	reſisting	vvg	reſisting	reſist	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
our	our	po12	our	our	0
power	power	n1	power	power	0
whatſoever	whatſoever	r-crq	whatſoever	whatſoever	0
tends	tends	vvz	tends	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
common	common	j	common	common	0
and	and	cc	and	and	0
continuall	continuall	j	continual	continual	0
prophanation	prophanation	n1	profanation	profanation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
of	of	pp-f	of	of	0
Chriſts	Chriſts	npg1	Chriſts	chriſts	0
body	body	n1	body	body	0
and	and	cc	and	and	0
blood	blood	n1	blood	blood	0
?	?	?	?	?	0
which	which	r-crq	which	which	0
cannot	cannot	vmbx	cannot	can	0
poſſibly	poſſibly	av-j	poſſibly	poſſible	0
be	be	vbi	be	be	0
avoided	avoided	vvn	avoided	avoid	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
keys	keys	n2	keys	key	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Apoſtles	Apoſtles	n2	Apoſtles	apoſtle	0
and	and	cc	and	and	0
their	their	po32	their	their	0
ſucceſſors	ſucceſſors	n2	ſucceſſors	ſucceſſor	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
promiſe	promiſe	n1	promiſe	promiſe	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
be	be	vbb	be	be	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
any	any	d	any	any	0
pretence	pretence	n1	pretence	pretence	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pastors	Pastors	ng1	Pastor's	pastor	0
and	and	cc	and	and	0
Presbyters	Presbyters	n2	Presbyters	presbyter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
no	no	dx	no	no	0
power	power	n1	power	power	0
left	left	vvn	left	leave	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
ſinners	ſinners	n2	ſinners	ſinner	0
,	,	,	,	,	0
openly	openly	av-j	openly	open	0
ſcandalous	ſcandalous	j	ſcandalous	ſcandalous	0
and	and	cc	and	and	0
impenitent	impenitent	j	impenitent	impenitent	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Communion	Communion	n1	Communion	communion	0
nor	nor	ccx	nor	nor	0
to	to	pc-acp	to	to	0
exclude	exclude	vvi	exclude	exclude	0
ſuch	ſuch	d	ſuch	ſuch	0
ſpirituall	ſpirituall	j	spiritual	spiritual	0
lepers	lepers	n2	lepers	leper	0
,	,	,	,	,	0
moſt	moſt	av-ds	moſt	moſt	0
loathſome	loathſome	j	loathſome	loathſome	0
and	and	cc	and	and	0
infections	infections	n2	infections	infection	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
ſacred	ſacred	j	ſacred	ſacred	0
meeting	meeting	n1	meeting	meeting	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
holy	holy	j	holy	holy	0
Table	Table	n1	Table	table	0
.	.	.	.	.	1
Who	Who	q-crq	Who	who	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
ſee	ſee	vvi	ſee	ſee	0
that	that	cst	that	that	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
cauſe	cauſe	n1	cauſe	cauſe	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Schiſmes	Schiſmes	n2	Schisms	schism	0
and	and	cc	and	and	0
ſeparations	ſeparations	n2	ſeparations	ſeparation	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
godly	godly	j	godly	godly	0
and	and	cc	and	and	0
zealous	zealous	j	zealous	zealous	0
Chriſtians	Chriſtians	np1	Chriſtians	Chriſtians	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
Communion	Communion	n1	Communion	communion	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
prophane	prophane	j	profane	profane	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
pious	pious	j	pious	pious	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
admiſſion	admiſſion	n1	admiſſion	admiſſion	0
of	of	pp-f	of	of	0
perſons	perſons	n2	perſons	perſon	0
openly	openly	av-j	openly	open	0
ſcandalous	ſcandalous	j	ſcandalous	ſcandalous	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
?	?	?	?	?	1
This	This	d	This	this	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
moved	moved	vvn	moved	move	0
many	many	d	many	many	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
blinde	blinde	j	blind	blind	0
zeale	zeale	n1	zeal	zeal	0
to	to	pc-acp	to	to	0
proclaime	proclaime	vvi	proclaim	proclaim	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
a	a	dt	a	a	0
whore	whore	n1	whore	whore	0
a	a	dt	a	a	0
ſtrumpet	ſtrumpet	n1	ſtrumpet	ſtrumpet	0
,	,	,	,	,	0
a	a	dt	a	a	0
Synagogue	Synagogue	n1	Synagogue	synagogue	0
of	of	pp-f	of	of	0
Antichriſt	Antichriſt	np1	Antichriſt	Antichriſt	0
;	;	;	;	;	0
and	and	cc	and	and	0
our	our	po12	our	our	0
faithfull	faithfull	j	faithful	faithful	0
Miniſters	Miniſters	n2	Miniſters	miniſter	0
,	,	,	,	,	0
Baals	Baals	npg1	Baals	Baal	0
Prieſts	Prieſts	n2	Prieſts	prieſt	0
,	,	,	,	,	0
and	and	cc	and	and	0
limmes	limmes	n2	limbs	limb	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
beaſt	beaſt	n1	beaſt	beaſt	0
.	.	.	.	.	1
All	All	av-d	All	all	0
true	true	j	true	true	0
Chriſtians	Chriſtians	np1	Chriſtians	Chriſtians	0
,	,	,	,	,	0
and	and	cc	and	and	0
moſt	moſt	ds	moſt	moſt	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Miniſters	Miniſters	n2	Miniſters	miniſter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
and	and	cc	and	and	0
ſhoulders	ſhoulders	n2	ſhoulders	ſhoulder	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
removing	removing	n-vvg	removing	remove	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ſtumbling-block	ſtumbling-block	n1	ſtumbling-block	ſtumbling-block	0
and	and	cc	and	and	0
rock	rock	n1	rock	rock	0
of	of	pp-f	of	of	0
offence	offence	n1	offence	offence	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
:	:	:	:	:	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
eſpecially	eſpecially	av-j	eſpecially	eſpecial	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reaſon	reaſon	n1	reaſon	reaſon	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
ſingular	ſingular	j	ſingular	ſingular	0
love	love	n1	love	love	0
I	I	pns11	I	i	0
bear	bear	vvb	bear	bear	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
deare	deare	j-jn	deer	dear	0
brother	brother	n1	brother	brother	0
erring	erring	vvg	erring	err	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
point	point	n1	point	point	0
,	,	,	,	,	0
and	and	cc	and	and	0
leaſt	leaſt	cs	leaſt	leaſt	0
I	I	pns11	I	i	0
ſhould	ſhould	vmd	ſhould	ſhould	0
offend	offend	vvi	offend	offend	0
against	against	p-acp	against	against	0
that	that	d	that	that	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
Lev.	Lev.	np1	Lev.	Lev.	1
19.	19.	crd	19.	19	0
17.	17.	crd	17.	17.	1
Thou	Thou	pns21	Thou	thou	0
ſhalt	ſhalt	vm2	ſhalt	ſhalt	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
thy	thy	po21	thy	thy	0
brother	brother	n1	brother	brother	0
in	in	p-acp	in	in	0
thine	thine	po21	thine	thy	0
heart	heart	n1	heart	heart	0
:	:	:	:	:	0
thou	thou	pns21	thou	thou	0
ſhalt	ſhalt	vm2	ſhalt	ſhalt	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
wiſe	wiſe	j	wiſe	wiſe	0
rebuke	rebuke	n1	rebuke	rebuke	0
thy	thy	po21	thy	thy	0
neighbour	neighbour	n1	neighbour	neighbour	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
ſuffer	ſuffer	vvi	ſuffer	ſuffer	0
ſin	ſin	n1	ſin	ſin	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
,	,	,	,	,	0
or	or	cc	or	or	0
bear	bear	vvi	bear	bear	0
ſin	ſin	n1	ſin	ſin	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
.	.	.	.	.	1
His	His	po31	His	his	0
paper	paper	n1	paper	paper	0
is	is	vbz	is	be	0
gone	gone	vvn	gone	go	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
publike	publike	j	public	public	0
,	,	,	,	,	0
private	private	j	private	private	0
rebuke	rebuke	n1	rebuke	rebuke	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
hinder	hinder	vvi	hinder	hinder	0
the	the	dt	the	the	0
hurt	hurt	n1	hurt	hurt	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
doe	doe	vdi	do	do	0
:	:	:	:	:	0
It	It	pn31	It	it	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
ſuch	ſuch	d	ſuch	ſuch	0
publike	publike	j	public	public	0
wounds	wounds	n2	wounds	wound	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
cured	cured	vvn	cured	cure	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
publike	publike	j	public	public	0
remedy	remedy	n1	remedy	remedy	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
healer	healer	n1	healer	healer	0
of	of	pp-f	of	of	0
ſoules	ſoules	n2	souls	soul	0
,	,	,	,	,	0
give	give	vvb	give	give	0
a	a	dt	a	a	0
ſpeedy	ſpeedy	j	ſpeedy	ſpeedy	0
cure	cure	n1	cure	cure	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
maladies	maladies	n2	maladies	malady	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
our	our	po12	our	our	0
ſoule-ſickneſſes	ſoule-ſickneſſes	j	soul-sicknesses	soul-sicknesses	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
be	be	vbb	be	be	0
praiſe	praiſe	n1	praiſe	praiſe	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
