May	May	vmb	May	may	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
sorts	sorts	n2	sorts	sort	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
Crowned	Crowned	vvn	Crowned	crown	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
singular	singular	j	singular	singular	0
Piety	Piety	n1	Piety	piety	0
and	and	cc	and	and	0
Noblenesse	Noblenesse	n1	Nobleness	nobleness	0
in	in	p-acp	in	in	0
disposing	disposing	vvg	disposing	dispose	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
good	good	j	good	good	0
and	and	cc	and	and	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
thankfully	thankfully	av-j	thankfully	thankful	0
acknowledged	acknowledged	vvn	acknowledged	acknowledge	0
and	and	cc	and	and	0
worthily	worthily	av-j	worthily	worthy	0
celebrated	celebrated	vvn	celebrated	celebrate	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
the	the	dt	the	the	0
Lovers	Lovers	n2	Lovers	lover	0
of	of	pp-f	of	of	0
Antiquities	Antiquities	n2	Antiquities	antiquity	0
;	;	;	;	;	0
so	so	av	so	so	0
doe	doe	vdb	do	do	0
they	they	pns32	they	they	0
give	give	vvb	give	give	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
an	an	dt	and	a	0
especiall	especiall	j	especial	especial	0
interest	interest	n1	interest	interest	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
their	their	po32	their	their	0
Labours	Labours	n2	Labours	labour	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
that	that	d	that	that	0
way	way	n1	way	way	0
inclined	inclined	vvn	inclined	incline	0
.	.	.	.	.	1
The	The	dt	The	the	0
other	other	j-jn	other	other	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
handleth	handleth	vvz	handleth	handle	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
the	the	dt	the	the	0
Antiquities	Antiquities	n2	Antiquities	antiquity	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
such	such	d	such	such	0
Particulars	Particulars	n2-j	Particulars	particular	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
neere	neere	j	near	near	0
relation	relation	n1	relation	relation	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
reasons	reasons	n2	reasons	reason	0
(	(	(	(	(	0
may	may	n1	may	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
)	)	)	)	)	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
trouble	trouble	vvi	trouble	trouble	0
You	You	pn22	You	you	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Humility	Humility	n1	Humility	humility	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
may	may	vmb	may	may	0
prevaile	prevaile	vvi	prevail	prevail	0
with	with	p-acp	with	with	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
for	for	p-acp	for	for	0
Your	Your	po22	Your	your	0
patience	patience	n1	patience	patience	0
and	and	cc	and	and	0
pardon	pardon	n1	pardon	pardon	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
presumption	presumption	n1	presumption	presumption	0
:	:	:	:	:	0
and	and	cc	and	and	0
though	though	cs	though	though	0
not	not	xx	not	not	0
procure	procure	vvi	procure	procure	0
Your	Your	po22	Your	your	0
Graces	Graces	ng1	Graces	grace	0
acceptance	acceptance	n1	acceptance	acceptance	0
and	and	cc	and	and	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Worke	Worke	n1	Work	work	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
Your	Your	po22	Your	your	0
excuse	excuse	n1	excuse	excuse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Authors	Authors	ng1	Authors	author	0
boldnesse	boldnesse	n1	boldness	boldness	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
craves	craves	vvz	craves	crave	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
Your	Your	po22	Your	your	0
Gracious	Gracious	j	Gracious	gracious	0
Hands	Hands	n2	Hands	hand	0
:	:	:	:	:	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
hearty	hearty	j	hearty	hearty	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
long	long	j	long	long	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Graces	Graces	ng1	Graces	grace	0
Health	Health	n1	Health	health	0
and	and	cc	and	and	0
Happinesse	Happinesse	n1	Happiness	happiness	0
here	here	av	here	here	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
Glory	Glory	n1	Glory	glory	0
and	and	cc	and	and	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
Your	Your	po22	Your	your	0
endlesse	endlesse	j	endless	endless	0
blisse	blisse	n1	bliss	bliss	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
prostrates	prostrates	vvz	prostrates	prostrate	0
both	both	av-d	both	both	0
Himselfe	Himselfe	px31	Himself	himself	0
and	and	cc	and	and	0
His	His	po31	His	his	0
Labours	Labours	n2	Labours	labour	0
at	at	p-acp	at	at	0
Your	Your	po22	Your	your	0
Graces	Graces	ng1	Graces	grace	0
Feete	Feete	n2	Feet	foot	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
reverence	reverence	n1	reverence	reverence	0
which	which	r-crq	which	which	0
becomes	becomes	vvz	becomes	become	1
